,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
17581,0.025040766,0.021730805,0.008462069,0.02061864,0.03837958,0.016503545,0.0025459293,-0.015092601,0.012221355,-0.018226132,0.054051187,0.02713643,0.02503177,0.0007804876,0.04748483,0.004715933,-0.0069326307,-0.0034438847,0.0037173908,0.025522726,-0.002115204,0.041247834,-0.008749465,0.04426736,0.0031276715,-0.012697853,0.012788996,0.03498103,0.0062503833,0.0037728108
17582,0.06282865,0.013252661,0.008580241,0.024299182,0.033849146,-0.011686485,0.0144341765,0.042549778,0.014119144,-0.014402825,0.014586754,0.019879917,-0.0028190117,0.030026764,0.02006974,0.013517365,-0.018368168,0.017114682,0.023717852,0.0018336611,0.0018399679,0.05475224,0.014144771,0.05745861,0.028480342,0.015641475,0.02902638,0.015598525,0.048358425,0.021805415
17607,0.00037471516,0.032997295,0.050752927,0.0292802,0.030436119,0.0012690477,-0.02953683,0.03140464,0.035077773,-0.009308618,0.026362909,-0.0021464543,-0.015343,0.023459861,0.05678964,-0.01868167,-0.017872667,0.024329266,0.0053581404,0.0009053486,-0.015370342,0.02004193,0.016195038,0.030696789,0.043635994,0.03187226,0.012904376,0.020128002,0.012382846,0.052341193
17665,0.05810463,0.067562215,0.06807742,0.09125353,0.04178216,0.055952787,0.02853814,0.09461617,0.077663355,0.04399699,0.07355627,0.022503085,0.045375377,0.059667114,0.049029473,0.017968088,0.04975259,0.05817531,0.01574008,0.05191117,0.02452772,0.07144477,0.053964153,0.04396977,0.058325678,0.03012663,0.04282118,0.084060945,0.036043942,0.056367826
17666,0.042624116,0.041252498,0.040277757,0.030029962,0.026520982,0.050408926,0.021177256,0.03893127,0.022435652,0.016279565,0.057772998,0.0314058,0.022989916,0.0076579615,0.024623238,0.0029112243,0.036696434,0.05367439,0.03302866,0.03297275,0.044882953,0.02752404,-0.007183129,0.0525385,0.02991467,0.020051979,0.034929425,0.037498277,0.04311167,0.028277365
20458,0.04033832,0.02818886,0.013626647,0.06755959,0.008732491,-0.027871104,0.019890463,0.026070198,0.020982271,-0.0071181017,0.025536316,0.028230125,-0.010848765,0.020204654,0.057713788,-0.03461195,0.00908373,0.023603762,-0.023420094,0.019448437,0.010885532,0.025969895,0.024950126,0.026604066,0.037108287,0.036436047,0.04593174,0.059066843,0.012190198,0.02629439
20459,0.040520716,0.031271935,0.022563783,0.05303799,0.03929728,0.042435944,0.013097811,-0.00634232,0.005749718,0.022953363,0.04641499,0.05766085,-0.011646946,0.037805542,0.04382443,0.009146937,-0.0053069163,0.013889465,0.021205299,0.004743773,0.021633172,0.03949402,0.0016291545,0.037878733,0.010602039,0.017180597,0.029829426,0.07801106,0.04366125,0.051526666
20460,0.027621722,0.0217874,0.043481577,0.056714714,0.028724635,0.02369684,0.011170487,0.010146434,0.006165486,0.03343858,0.021163478,0.023460647,0.040269103,0.031566955,0.010774723,0.020556571,0.028471714,-0.00594475,0.015564815,0.038665067,0.00081373256,0.05402009,0.0035793353,0.031019317,0.027433524,-0.007685382,0.024641821,0.035400108,0.009360295,0.006325975
20485,-0.0027226347,-0.015111896,-0.0066771912,0.007683544,0.008090028,0.00554339,0.0067584105,-0.021218764,-0.007506804,-0.029307066,0.01906299,0.031265974,0.0043226667,-0.039878774,-0.010361739,-0.0041527287,-0.0022055765,-0.00535921,-0.017464904,-0.0086160535,-0.015817635,0.01999483,0.0025850565,-0.0042373748,-0.019822106,0.004954596,0.0074397116,0.0035200345,-0.031095041,-0.0043375995
20486,0.026963314,6.6062436e-05,-1.1460234e-05,0.0149914,0.022038214,-0.024765268,-0.0038501022,-0.033711907,0.021677485,0.006720388,-0.02113506,0.021294842,0.014918433,-0.0019905616,-0.011838322,0.016055452,-0.0066733113,-0.010542865,0.030446323,0.0063982685,0.0198662,0.02849684,0.024469035,0.027113765,0.016548706,0.007610058,0.0069009312,0.02548378,-0.0049852305,0.0044141547
