,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
41551,0.029868623,0.013388865,0.018542083,0.020336978,0.019558305,0.019479873,0.053652298,0.049826916,0.014118984,0.011556711,0.011617287,0.059535414,-0.0013867496,0.0095134275,0.043140966,-0.0063927663,-0.011775353,0.03479048,0.018725917,0.01871621,0.036338303,0.026181892,0.035762493,0.061020244,0.040697265,0.029414022,0.028529147,0.013176017,0.0051548234,0.049897864
41607,0.010785704,0.016997766,0.032187637,0.036885347,0.026248753,0.051439177,0.013592303,0.038889006,0.05099873,0.042459253,-0.0077413884,0.03515648,0.027886542,0.014860347,0.022697225,0.0471651,0.02680035,0.02411238,0.025939243,0.002556747,0.024476593,0.027673533,-0.0010230172,0.029196313,0.018265381,0.014708579,-0.0045701177,-0.022235746,0.034697812,0.008163487
45215,0.04621923,0.030900864,0.060315832,0.045294043,0.07795914,0.03426711,0.044555437,0.045030504,0.035091024,0.009782709,0.05503651,0.03303018,0.011476415,0.051332727,0.06482134,0.018365635,0.04589705,0.039648216,0.021048047,0.042684257,0.027307816,0.037862703,0.050960798,0.0627434,0.041047834,0.042855334,0.05665118,0.03965639,0.023308037,0.073805444
45270,0.022918498,0.032789752,0.012774408,0.03392886,0.009269982,0.021033697,0.023670055,-0.023029456,0.016722435,0.012225854,0.06514449,0.021096846,0.043426648,0.02227653,0.040558692,0.011714957,0.00728851,0.009408966,0.009402464,0.029713476,-0.0109620765,0.0042797574,0.049963117,-0.0042227716,0.042843834,0.02505468,0.018313585,0.044708457,0.012821323,0.036968254
45271,0.030944623,0.044737726,0.026781857,0.009715444,0.011845977,0.03310159,0.004995749,0.03876044,0.0223742,0.019809557,0.01135398,0.04665676,0.028520206,0.016069597,0.042950954,-0.012479537,0.006481023,0.037821524,0.062344808,0.043720555,0.0035313051,0.03852607,-0.018231587,0.079754345,0.01864421,0.060628604,0.043878075,0.014362838,0.009944766,0.037292656
45272,0.03468958,0.053876247,0.006666083,0.05430327,0.024175175,0.043117147,0.014058147,0.047100276,0.02562613,0.009091389,0.024483262,0.054823294,0.004610274,0.008637554,0.035574276,0.025704334,0.0170974,0.026634797,0.024821274,0.04209131,0.027998947,0.030917376,0.023343027,0.021317855,0.037236977,0.043084413,0.02268718,0.014793046,0.04010536,0.02718369
45327,0.020975651,0.013617154,0.030280752,0.0174584,0.05130269,0.016858427,0.009385817,0.019291027,0.046514556,0.014269705,0.03866173,0.029577062,0.05016144,0.061624985,0.064471565,0.0010619015,0.014333706,0.018101534,0.0074770264,0.006794467,0.045429528,0.026341042,0.020545034,0.0053365394,0.02002866,0.05234464,0.04496553,0.033487257,-0.010022115,0.055111274
45328,0.008022137,0.012922776,-0.0050230897,0.02303294,0.035647918,-0.032449286,-0.025411345,0.013363189,0.016934091,0.014214338,0.01860369,0.026132837,0.014928778,-0.009751174,0.043627005,0.0008567613,0.025323778,0.03373624,0.0051577683,0.012421578,0.0014332092,-0.000749377,0.005884709,0.031510722,-0.010163938,0.01497528,0.007716644,-0.011662181,0.0042711035,0.020336425
45383,0.0017159386,0.031106735,0.0051112864,0.031066753,0.047350314,0.021210408,0.019048164,0.040693272,0.03409598,0.033429645,0.04722013,0.05167568,0.008107592,0.016049653,0.0091050565,0.05780169,-0.0018635303,0.038586307,0.0058341287,0.023239234,0.05190633,0.064359516,0.039870948,0.015091485,0.026364975,0.070690386,0.055884402,0.028468447,0.060996022,0.060900316
45384,-0.0048924303,0.02707016,0.035548687,0.016556336,0.012610749,-0.01255795,0.010868204,0.028478319,0.023880385,0.013541822,0.0075795962,0.004300471,0.00021572427,-0.008949205,0.012824281,0.023091307,0.032699537,0.01153531,0.040128846,-0.018999713,0.03287333,0.026284842,0.010223518,0.014253229,0.0031653736,0.01551352,0.019987023,-0.017674398,0.01508724,0.0058294795
45440,-0.018088369,0.06187329,0.037381086,0.060075138,0.057691637,0.04024433,0.030977534,0.033009823,0.045477178,0.025749184,0.021904401,0.0749855,0.07447419,0.016372653,0.06313229,-0.0020603891,0.019398406,0.030165976,0.032761596,0.041515086,0.032746356,0.05629499,0.04425474,0.029959748,0.023941824,0.020899056,0.04565526,0.056595612,0.067968875,0.06204601
45441,0.009927417,0.022133388,-0.0037928766,0.026312595,0.009168238,-0.0056437105,0.031886112,-0.020475449,0.011926979,0.0061616185,0.028183147,-0.0008634448,0.019623158,0.011070394,-0.007356712,-0.017767763,0.0016231836,0.007737763,-0.01323057,-0.006111073,0.005124884,-0.022186378,0.04022909,0.01224199,-0.013649319,0.009375495,0.0066976245,-0.0071360376,0.024384208,0.024062186
49061,0.044906866,0.018632261,0.017786732,-0.0015508389,0.028160313,-0.024572058,0.0069730543,0.007283255,0.017252972,0.017167145,0.03184299,-0.00076202705,0.006817905,0.028673189,0.02112206,0.000298686,0.016391188,-0.0058411495,-0.07269489,-0.0013748863,-0.022016382,-6.432257e-05,0.028226905,0.016867092,-0.009293359,0.012531181,0.032201786,-0.021662965,0.002431583,0.0055647083
49062,-0.007217848,-0.004568756,-0.013186167,-0.0026925195,0.04083611,0.008782853,0.0030912394,-0.0014732196,0.0042607337,0.014084525,0.0071802675,0.021423938,0.012975533,0.0058071106,0.026005113,0.0088189235,0.026851019,0.023165718,-0.04299807,-0.028150702,-0.011711791,0.006016726,0.022069836,0.014326499,-0.008116985,5.3556945e-05,0.011275652,-0.02225647,0.012486299,0.015834492
49063,-0.009382888,0.0022707554,0.0029633578,0.004787521,0.026588276,-0.016856393,0.003489582,0.0324243,-0.0053023025,-0.0014133792,-6.300894e-05,-0.015324049,-0.002876198,-0.021675361,-0.0012936244,0.011032007,0.0047465153,0.019584103,-0.032274403,-0.000643262,-0.004510855,0.012774837,-0.014790679,0.00014596277,-0.0036842402,0.007500944,0.0063616987,0.022595825,0.0115618305,0.046039578
49117,0.013442274,0.024427801,0.024162665,0.03779604,0.055122256,-0.0061422326,0.011179749,0.04861088,0.039578605,0.042202815,0.054293584,0.0020273577,0.002185381,0.018946923,0.02510851,-0.049566966,-0.02672419,-0.01414371,-0.010799759,0.02961246,-0.014042522,0.011438361,0.0064557954,-0.0151805645,0.0145367095,0.018457685,0.01831314,-0.025562922,0.000956002,0.01334969
49118,-0.0072417124,0.010764319,0.011150006,0.020785596,0.0534229,0.02043054,0.0061480035,0.0035065655,-0.0016892161,0.007492283,0.04020043,-0.0029462937,0.03245829,0.013214889,0.017520681,0.0116420565,0.002281513,0.0046284753,-0.0028249228,0.045387212,0.01733933,0.0025908034,0.03664059,-0.018951869,0.002180861,0.024906501,0.0088080615,0.007937234,0.0068864203,0.027241925
49119,0.0133156665,0.0058444235,0.0042405482,0.0010573883,-0.01620081,0.029631466,-0.009125726,-0.019125383,0.015669968,0.01812025,-0.022498883,-0.016447928,0.03288478,0.006970279,0.002059374,0.0034234095,0.0039720307,0.00017581631,0.017330637,0.004157278,-0.002348652,0.022561684,-0.014505092,0.0061716028,0.007341269,0.021900794,0.0063904184,0.030178115,0.0030146393,0.01514132
49173,0.015613609,0.038029257,0.035745088,0.047289204,0.030665694,0.028862968,0.039800003,0.023931155,0.048725873,0.02976879,0.059714947,0.028135842,0.012296149,0.010838244,0.042161424,0.013130031,0.0023205213,-0.0022140166,-0.022753099,0.06764053,0.009536468,0.05240113,0.034130994,0.0147715295,0.011628561,0.053177323,0.028805321,0.021062672,0.039869364,0.02145186
49174,0.047586408,0.041546766,0.007033385,0.007241562,0.005944885,-0.004675618,0.027083397,0.014747821,-0.0001259994,0.01766537,0.023603098,0.012398084,-0.0019532104,0.02188833,0.00035697114,0.035966184,0.021241719,-0.0030482523,0.03891784,0.035800945,0.04485604,0.033354566,0.011334192,0.017016144,0.023456508,0.03460855,0.024413832,0.0019654762,0.030604145,0.016636832
49175,0.030188689,-0.018089384,-0.004979634,0.009579735,0.001532694,-0.011526145,0.004170067,0.017752282,0.010076952,-0.012256838,0.0074222074,0.0019653284,0.00056499476,-0.015441235,0.019986838,-0.02647428,-0.010194514,-0.0032603545,0.030876053,-0.0032845566,0.0056858715,0.009574892,-0.01773739,-0.003678022,-0.017093642,-0.034118492,0.004655981,-0.01965741,-0.016315762,0.0058870427
49230,0.010600467,0.04644066,0.018502241,0.06963372,0.047101926,-0.0051984168,0.007093025,0.030228136,0.04373398,0.021562496,0.071687646,0.054154813,0.043774325,0.012008247,0.03715035,0.049595952,0.016584655,0.010101639,-0.026751963,0.030317446,-0.0012762003,0.056035817,0.02506377,0.028592965,0.019424746,0.018325262,0.04519554,0.019511456,0.019095052,0.049732175
49231,0.0067069214,-0.011518481,-0.0070128343,-0.0117804855,0.016839223,0.00701927,0.014529302,0.0074688136,0.025290377,-0.010722517,0.021958575,0.059789706,0.014098887,0.028255804,0.02614165,0.0057660225,0.012337588,0.00035487209,-0.013560335,0.015464659,-0.0008306192,0.03529683,0.040788744,0.0317954,0.010488887,-0.015022795,0.02088988,0.0447416,0.039605945,0.006958702
49232,0.011009888,-0.016281888,0.0031813595,0.010300416,0.030118821,0.00085260486,-0.005946638,0.02870295,0.0073179784,-0.020595146,-0.021439418,0.019836532,-0.02307708,-0.0053414237,-0.0007005292,0.019434424,0.00874756,0.0018285738,0.020577213,0.002319783,0.007841448,0.020110747,0.010735606,-0.018536335,0.027773514,0.0023252636,0.0011494958,0.019285865,0.017331714,-0.0020272173
49289,0.00048219273,-0.004591897,-0.0146852,-0.010075501,-0.011899303,0.0060490095,-0.022697745,0.018251462,0.008405953,0.025581472,0.014439426,0.019683346,0.019814445,0.012910343,-0.00039050044,0.001440363,0.009635785,-0.005971667,0.0029715598,-0.0026083265,-0.009993613,0.011800706,0.0043085204,-0.013828906,-0.018411614,0.0097438535,-0.016013585,0.012320573,0.014776263,-0.007702764
52965,0.037713174,0.03330371,0.03733862,0.0150818275,0.028517023,-0.019513331,-0.0018799794,0.022741908,-0.00067959866,-0.02923297,0.049920183,0.02801503,-0.014427456,0.014767681,0.06157041,-0.0045887097,-0.0065174154,-0.0033291858,-0.06273251,0.008274878,-0.022995269,0.005239041,-0.0026720464,0.04170655,0.02631698,0.007110633,0.023095943,-0.0035758757,-0.035432246,-0.021741793
