,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
80126,-0.005068192,-0.004492054,-0.0022921683,0.022380948,-0.008803938,-0.015785767,0.034977835,-0.011421229,-0.020374041,0.0015845265,0.011920319,-0.031544168,-0.0047630463,0.038809564,0.0058319587,0.00054157525,0.023215676,-0.01788768,-0.024815215,0.019640317,0.010069863,0.011316814,0.031744476,0.022777332,0.015056572,-0.022380754,0.0047636298,-0.010493715,-0.0067031756,0.010229544
84255,0.0348414,0.007674067,0.021005498,-0.00021669206,-0.005455386,-0.026344659,-0.0029856672,0.015235272,0.016886951,-0.0018592725,0.019918114,-0.017562503,0.009793485,-0.0090128565,0.050838385,-0.011590384,4.1833613e-05,-0.013324588,-0.028557045,0.022043226,-0.0022027034,0.00022871094,-0.021641081,-0.0026033407,-0.002067609,-0.0037538542,0.009326334,0.011372246,-0.03759402,0.024118936
84256,0.030730272,0.023541689,0.010230818,0.025233125,0.015198801,-0.0075494586,0.019919664,0.04247089,0.01710036,0.02420105,0.045056213,-0.022953456,0.03479361,-0.004982908,0.030141471,0.025509136,0.0133600915,0.018341519,-0.019704308,0.039321512,-0.00647264,0.0017774276,0.019638548,-0.008734653,0.019907586,-0.016387435,0.009633309,0.018859008,-0.010326269,0.04314448
84257,-0.001551808,-0.0016827108,0.023401082,-0.024293311,0.022518644,-0.02819413,0.022825591,0.015022193,-0.024981968,0.019375311,-0.003283524,-0.017972814,0.019479783,0.0041052722,0.009070558,0.014650188,-0.0009034214,-0.0117993625,-0.010172686,-0.020043813,-0.012470208,0.009624767,0.0014492883,-0.0043774564,-0.00326154,-0.015131134,0.00016041892,-0.01853968,0.027001029,0.012688436
84258,0.018564897,0.005584503,0.01663801,-0.014535456,0.016769243,-0.028005397,-0.034590915,0.017771423,0.03045162,0.025055332,-0.0057406654,0.0041778716,0.01521692,0.0029997404,0.0151190655,-0.021221213,0.030342976,0.0018664043,-0.009532855,0.0061833486,-0.036838274,-0.014260727,0.004302947,-0.015166686,0.012740103,-0.032008085,0.018032977,0.033907425,0.006950568,0.029619923
84295,0.05804743,0.025809156,0.0307644,0.028039115,0.054065514,-0.024630725,-0.0011732181,0.063119106,0.030060498,0.012123222,0.068005644,-0.011886458,0.023656959,0.048398416,0.046818554,0.021565357,0.03679527,0.026455926,-0.0023793348,0.067493804,-0.003128336,0.0072911642,0.034078028,0.022242716,0.057113543,0.016096156,0.022011196,0.054331277,0.00049725565,0.025190756
84296,0.0112991035,0.053620428,0.0021425807,0.008395524,0.040727768,-0.030698406,0.01345485,0.056724485,-0.002558145,0.026782468,0.048573706,-0.03518643,0.010101502,0.01076179,0.035461735,0.015567008,0.011902522,0.030403974,-0.059851322,0.021526126,0.0029703907,0.012248248,-0.0032670489,0.006948869,0.029552914,-0.028318634,0.023707464,0.038267415,-0.006115413,0.02353741
84297,0.022660876,0.014611383,-0.011761245,-0.021028742,-0.013668475,-0.019227723,-0.03368922,0.020548565,0.0064282487,-0.021105291,0.021406436,-0.020715984,0.012243097,0.012145836,0.018992225,-0.029260824,0.042416632,-0.009731647,-0.030326447,0.01715192,0.009824763,-0.0014978107,0.007619426,0.0105711445,0.015510232,-0.019463234,-0.007532827,0.022785863,-0.015382424,0.023258649
84334,0.042955372,0.042760704,0.012029912,0.009735739,0.02319759,-0.038945254,0.029185466,0.05988164,0.020853182,0.026644053,0.068162836,-0.02914977,0.024434345,0.05168311,0.057806935,0.012028324,0.015160468,0.035848547,-0.041484322,0.061452914,-0.003388256,0.012043595,-0.005023087,0.017446535,0.053422246,-0.018197017,0.044677433,0.04634225,-0.025874818,0.029784009
84335,0.013723433,0.023631496,-0.012266077,-0.00922327,-0.009093518,0.003783338,0.014251289,0.050535563,-0.004219482,-0.01169178,0.04960345,-0.010031673,-0.004782293,0.02143535,0.03106937,-0.016400987,0.014190085,0.0161018,-0.018647501,0.03840004,0.021436265,0.013517926,0.008301996,0.01720971,0.00682045,-0.022191463,0.020541806,0.014288928,-0.034873247,0.030316174
84372,0.048444312,0.055033017,0.017853135,0.005782534,0.03664756,-0.030427473,0.02091738,0.057669085,0.019175768,0.014260128,0.07439565,-0.030782506,0.03530438,0.047917668,0.055365358,0.008881112,0.022352884,0.027680434,-0.02677763,0.06303788,0.0020787136,0.012321755,0.018805297,0.0044579194,0.033566754,-0.008535412,0.043433007,0.061603818,-0.03370183,0.032514818
84373,0.029802114,0.01161632,-0.006164106,0.006406455,0.0013808621,-0.021942385,-0.0019843448,0.04547814,-0.0034985568,0.0010581043,0.044277493,-0.04307009,0.010296304,0.007226582,0.03494514,0.014594917,0.015916565,0.014383449,-0.039309364,0.028483175,-0.008331838,0.011435454,0.011009749,-0.005996497,0.01040715,-0.015111777,0.021157416,0.0094208075,-0.032947153,0.020655593
88478,0.009530383,0.010962263,0.0019848223,0.0247501,0.04288009,-0.0059919446,0.041506004,0.0782047,0.016139252,0.004097401,0.048929274,-0.03644481,0.038461704,0.017214946,0.05302463,0.031478614,0.038945097,0.029615229,-0.029075602,0.028493382,0.00330906,0.007926333,0.022134429,-0.00256549,0.021002753,0.02325646,0.019557817,0.06001695,-0.00025821663,0.03311223
88518,0.02287475,0.030673021,-0.0052068317,0.019661663,0.029872969,0.008276748,0.015848497,0.040050294,0.022771569,-0.009608644,0.023565019,-0.021568822,0.021213887,0.0005916916,0.005759122,0.006450932,0.030081823,0.03372922,0.009411242,0.04569116,-0.010528703,0.019155527,0.014963247,0.00815662,0.02242332,-0.009435404,0.02090568,0.007635055,-0.02925235,0.002826194
88519,0.06473513,0.017913582,0.0067469343,0.014326784,0.036739405,0.012764051,-0.0017828789,0.06387848,0.008443813,0.00792682,0.060053978,-0.011646594,0.044062186,0.04444437,0.056545883,0.014036503,0.030919274,0.038917277,-0.037780408,0.0694297,-0.0073975003,0.011298247,0.022951035,-0.00075053424,0.029267684,0.011401526,0.0390241,0.0761794,-0.02037027,0.04603203
88520,0.007144496,0.015616804,0.0039231624,-0.0034353735,0.04432215,-0.005771043,0.0062855836,0.047957223,-0.0010828372,0.0069357683,0.050431836,-0.029495463,0.006819149,0.031505328,0.015358977,0.015523824,0.013863086,-0.007741768,-0.053264424,0.018070335,0.00910823,-0.004817805,0.005702976,-0.0046031796,0.01812899,-0.025177853,0.015733222,0.017119532,-0.029209262,0.023337198
88521,0.011696239,0.016820606,0.0027665328,0.030727535,-0.0060061975,-0.01864254,0.009301471,0.022221616,0.012043533,0.024232047,0.021251671,-0.028791241,0.01981123,-0.024675617,-0.0106717935,-0.015558928,0.021596322,-0.002067947,0.012011684,-0.008428522,-0.017926013,0.01254915,-0.020273501,0.010632791,0.0006966001,0.012748445,0.0123399375,-0.003903956,-0.00937939,0.004810271
88522,0.012076859,-0.0066800932,0.00032479223,0.024609359,0.0036583059,-0.0313126,0.006968928,0.030290782,-0.0008968957,-0.013575914,0.015233572,-0.015828067,0.008944601,-0.010773365,0.0031620543,0.0324991,-0.038821243,0.01995035,-0.01084759,-0.011677361,-0.01164477,0.02276209,-0.0068791783,0.042418703,0.0042995936,0.007102108,0.019933281,0.010165605,-0.011670093,-0.011225693
88557,0.0079441285,0.0019723703,-0.03404555,0.01293989,0.046743274,0.029927835,0.0072378176,0.02909415,-0.017391317,-0.03954172,-0.006070401,-0.018263413,0.018479967,-0.002320525,-0.037210647,0.00472188,0.006696019,0.0032983813,0.022610126,0.04048086,-0.003132635,0.0067133694,0.007772565,-0.016671335,0.016979575,-0.0034091666,-0.0017013919,-0.01683684,-0.003600261,0.009185652
88558,0.046892498,0.04023446,0.0015375441,-0.014130018,0.018009229,-0.015679711,-0.019705748,0.04952653,0.02566892,0.0025365427,0.045507785,-0.039037865,0.04376411,0.02907616,0.050745904,0.024561489,0.024319319,0.018597849,-0.03316486,0.063165195,-0.004390148,0.03371189,0.020600902,0.00018141915,0.02219064,-0.010483939,0.028829888,0.045153394,-0.03183989,0.038767982
88559,0.030650394,0.036766667,-0.0026539236,-0.005170933,0.025593363,-0.041015785,-0.0031098884,0.058147535,0.018500723,0.0006631327,0.06198327,-0.036553964,0.019247785,0.034614347,0.039178204,0.017445361,0.014676783,0.015021355,-0.06369788,0.045575142,0.0026035458,0.011188309,0.013027224,-0.008125503,0.030796004,-0.026086152,0.028031379,0.044844493,-0.03307399,0.02771052
