,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
32493,-0.019234149,-0.00092388067,-0.010168525,-0.0028042851,0.003405121,-0.005864702,-0.008668448,0.008994799,0.008453698,-0.01379924,-0.0072705303,0.020387607,0.0027829986,-0.009939303,0.007996629,-0.010432742,-0.030927027,0.0042648125,0.0010149122,-0.008822657,-0.04839612,-0.033455703,0.0077860993,-0.011682547,-0.012894936,-0.006653385,-0.0012990286,0.014180593,-0.010184877,0.0035773155
32494,0.0041583865,-0.019814303,-0.03686579,0.0008556948,0.011889811,-0.008763547,0.014558631,0.005705291,0.021248525,-0.0074994974,-0.0014646221,0.014247712,-0.016934918,0.00091047585,-0.010218642,-0.004229434,-0.022107929,0.0074843317,-0.009838403,-0.006725624,-0.006529289,-0.00435349,0.0031078374,0.028199894,0.016794452,-0.010867238,0.008222542,-0.008350115,-0.036685165,-0.0018863349
32495,-0.00344118,0.0017311679,-0.0038688395,-2.107195e-05,0.01685109,0.029213468,-0.0059874705,0.037397753,-0.0035805951,0.029385163,-0.0014645765,0.009238302,0.022232415,-0.010097339,-0.02587712,-0.0064957743,0.012354535,-0.02214505,-0.054571133,0.022341153,0.015406591,-0.013253026,0.031550497,0.017671391,-0.018299423,-0.01691383,0.002938498,0.0064716083,0.0027537886,-0.012336749
32542,0.034529552,0.0021258288,-0.0039724805,0.015691103,-0.014320242,0.01497902,-0.01138186,-0.008053544,0.002040747,0.018715076,0.010554713,0.013907672,-0.02009631,-0.0040054233,0.0006753088,0.014242682,-0.010785048,-0.006988244,0.021023268,0.004919059,-0.009141426,0.00799434,-0.0198389,-0.008269253,-0.010403637,-0.021494089,0.008486143,-0.0063276202,0.0071141045,-0.0062988256
32543,0.01616381,0.011239813,-0.01350328,0.025731025,0.01993522,0.01510115,0.018393872,0.0275732,0.003758773,0.024940522,0.008574788,-0.022633778,0.0027840913,-0.014845591,-0.013810066,0.012478548,-0.002672407,0.013402726,-0.007141541,0.0033531515,-0.03641841,-0.003959932,0.035725966,0.0246856,0.013914914,-0.013347604,-0.009483372,0.0080628125,0.01990966,-0.0012018982
32544,0.009526613,-0.009966534,-0.005959326,0.0023962047,0.0047691246,0.023271272,0.02851029,0.024186196,-0.011953581,0.008857242,-0.013510036,0.0031650004,0.006509684,-0.018682012,0.0138192875,0.009192603,-0.020539217,-0.0025680724,0.01887355,0.0027542636,0.020223295,-0.016276894,-0.007926607,-0.00046087243,0.0045048823,-0.006834056,-6.705014e-05,-0.027748132,-0.016102845,0.0022756131
32590,0.004079466,0.015577256,0.008873157,-0.010131909,-0.01983606,-0.014513798,-0.0039833523,0.033043824,0.018149568,-0.00067844783,0.023048831,-0.016139233,-0.008730323,-0.012408,0.01355843,-0.01357194,0.00068700436,-0.034277868,-0.012451303,-0.009340861,-0.003347326,0.023680685,0.013065542,0.011278338,0.020467564,0.0040101367,0.003387129,-0.0067009963,0.02201105,-0.023635074
32591,0.0011824308,0.0030293,-0.0066118357,0.022322783,0.019547502,0.014558538,-0.002058766,0.002259943,0.019937024,0.022696627,0.029094992,-0.00021116622,0.037987903,0.019946808,0.007783647,-0.0014361452,0.023830093,-0.01740552,0.0007194585,0.019228168,-0.01344296,-0.006144009,0.012198858,0.009989267,-0.008192909,0.02725617,0.011850301,0.010440048,-0.010374744,0.0039317296
32592,0.01972927,-0.0077108047,-0.019375043,0.00976546,-0.0023457098,0.019079767,0.00017541026,0.0004404524,-0.015918847,-0.005727324,-0.03053336,0.03883638,0.007130062,0.016338237,0.009539273,-0.008258103,-0.015122023,0.013946702,0.0013542088,0.003392841,0.048698273,-0.006739496,-0.01168701,0.010786974,-0.025947472,-0.0066749007,0.009256401,-0.017387629,0.010825525,-0.0040003373
32638,-0.014453289,0.015177909,0.015586097,0.021039383,0.0022873282,-0.007669249,0.0041247313,-0.00027347542,-0.0034037873,0.0061394707,0.013247094,-0.009877858,0.016895948,0.018107772,0.0026956147,-0.008244723,0.0007147708,0.024919689,0.009109321,-0.0169917,0.0029315092,-0.0031240974,0.022076339,-0.0045932364,-0.0015299494,0.0018109413,-0.0101686,-0.009115868,-0.032355215,-0.005840359
32639,-0.0055382843,0.017601615,0.01173047,-0.0064745545,0.0058151786,-0.009916802,0.013613862,0.0026595835,0.0075343535,0.001918622,0.035331752,0.017089276,0.000708438,-0.0004579362,-0.014340706,0.00045483405,-0.018131945,-0.010743902,0.010145252,0.032245148,0.01901504,0.021213932,-0.027649825,-0.0079813255,-0.031910468,0.019467512,0.0106424345,0.010251305,-0.008271883,0.016863627
35991,-0.030404821,-0.024793519,-0.0076753125,-0.0117951585,0.024225349,-0.008123502,0.013277449,-0.01869465,-0.0027476207,-0.0028470748,0.005384753,0.018187823,-0.007933413,0.02602216,0.0116999475,-0.007408023,-0.015863718,0.0071616657,-0.013555866,0.010164263,-0.010989803,0.028747046,-0.023459598,0.008808403,0.02926298,-0.0086817825,0.0029996138,-0.03515318,-0.0047970847,0.0070143105
35992,0.009626549,0.014224409,-0.012883272,-0.023447288,-0.013802723,0.010109483,-0.008271367,0.008912385,-0.0004637592,0.008589738,0.0050179516,0.016373752,-0.0031813204,-0.0059247524,-0.0058654007,0.009534465,0.027505258,-0.008116411,-0.014630494,-0.009010018,-0.0024546236,0.017569548,0.008185727,0.020143077,0.00951263,0.0042218654,0.0017404435,-0.03412394,0.012027393,-0.016972987
35993,-0.0045959675,0.026063366,-0.004417483,0.010853275,0.021878695,-0.0107438555,-0.02259355,0.0022860626,0.021577923,-0.025637114,0.01965051,0.021288985,0.005553669,0.023846203,0.0026613951,-0.017579058,0.0032262073,0.0116335405,-0.048934143,-0.012351264,-0.011068568,-0.0018900475,0.004468728,0.0007581084,0.0064016897,-0.034549024,0.00688347,0.012380102,-0.016731005,0.012179499
36040,-0.0012795012,0.039744187,0.01212504,-0.010299883,0.02967012,0.019370163,0.03641097,-0.016858822,0.014643894,-0.0053188116,-0.00873197,0.00017403997,-0.014628336,0.020543668,0.02764839,0.033442605,-0.0047333124,-0.0022514209,-0.000544769,-0.045355722,0.009668196,0.010425332,0.007226,0.0009759558,0.020745007,-0.010088352,-0.0017709652,0.0058659255,-0.0035926942,0.014939492
36041,0.0301752,0.0028116228,-0.008284786,0.014428717,0.015354869,0.015154847,-0.010942447,0.004733466,-0.0031702772,-0.015082781,-0.007636467,0.0035018388,-0.015721897,0.0029181726,0.015139115,0.008753403,-0.03679614,-0.002813331,0.009103277,-0.017047772,-0.0073419823,0.017295197,0.0047895685,0.0072119683,0.025572127,-0.033996582,0.017874317,-0.0043343687,0.0030830062,-0.00020189867
36042,-0.0059803254,-0.00055404037,-0.009840741,0.029589633,-0.02055785,-0.024993943,-0.02227597,0.014770758,0.0034431294,-0.021936916,0.012817782,-0.0058033336,-0.019075839,-0.0071509625,-0.0118153775,-0.013682938,-0.017003333,-0.0074635246,-0.030352773,-0.039505634,-0.016449584,-0.027142046,0.020040514,-0.0031871472,0.03042146,-0.056600634,-0.012293207,-0.028301908,-0.026110006,-0.0018439885
36043,0.00461248,0.0031558163,-0.0066487077,0.0009240743,-0.012897576,0.017025188,0.00815716,0.01643208,0.0013727875,-0.0022513187,0.024284147,0.009118906,0.012637476,0.011914964,0.019764284,-0.0014954368,0.018103449,-0.0023021277,0.00514744,-0.0108186,-0.042801604,0.019887188,0.00973596,-0.03263871,0.026786314,-0.041572344,0.005630035,0.0016558258,-0.03082546,-0.0004266072
36090,-0.008967326,-0.0019601316,-0.008408597,-0.029247284,0.010421206,-0.012526448,0.011711258,0.016234502,0.02185511,0.001779666,0.008966746,-0.029460756,0.0018514808,-0.002706514,-0.011915724,0.003259141,-0.026589146,-0.024942683,-0.004719879,-0.024791056,-0.012671853,-0.0028580287,0.022269748,-0.008280938,0.030787416,-0.03368908,0.014804117,-0.021051303,0.019828008,-0.008158024
