,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
48639,0.02900388,0.03148919,0.017468512,0.033168435,0.054881707,0.039897244,0.033896994,0.057218026,0.027220415,0.012985237,0.059607442,0.05723816,-0.010864788,0.0216718,0.024097035,0.010460046,-0.01526749,0.0121004665,-0.015897365,0.034109537,0.015085351,0.05087872,0.005972287,0.04301934,0.017100936,0.036344163,0.043264017,0.02907904,0.019266875,0.06922998
52542,0.026519245,0.027764583,0.031285394,0.038722876,0.03894573,0.013745503,0.011831339,0.05082528,0.012901892,0.0068495795,0.05348134,0.016980829,0.0071288985,-0.0069557256,-0.0032846108,-0.021401385,0.040758766,0.0010284061,0.010781638,0.0021308325,0.013588775,-0.0038956918,0.021657318,0.025862949,0.013360118,0.0053732996,0.030804439,0.025107332,0.021125259,0.025599396
52596,-0.03977328,-0.030915359,0.007988404,-0.03182948,-0.030468203,-0.008794127,-0.018993083,-0.0007258151,-0.028496994,-0.022906678,-0.0051032687,-0.027406996,-0.03413024,-0.01188878,0.018767223,-0.025319805,-0.041245166,-0.02209091,-0.0048499205,-0.014695011,-0.060819235,-0.011291218,-0.05473374,0.012119518,0.0076763253,-0.013929232,-0.020253645,-0.028517136,-0.0061266846,-0.0063630864
56390,-0.022303231,0.008045326,0.003670183,-0.0019378224,0.044639725,-0.031916734,-0.0040540784,-0.0054227654,0.0064061717,-0.01071756,0.020954372,0.007308405,-0.048287496,0.01866529,-0.0060463953,-0.002992137,0.031630233,0.020174444,-0.017983967,0.015195203,0.011873038,-0.00429992,0.0062312693,0.00061445596,0.0065077706,0.016615437,0.019562036,0.009176397,0.0090136025,0.0029919313
56391,0.044619102,0.021764243,0.03094274,0.02959227,0.006167071,-0.0048551024,0.016143678,0.015298295,0.006518414,-0.018028969,0.0127659775,0.028664589,0.0037091493,0.009593917,0.030890113,0.004732163,-0.007081793,0.019386757,-0.0018890233,-0.00021735409,0.02981271,-0.008550857,0.03889593,0.0045471,-0.013907596,0.009945857,0.0075966176,0.023417622,-0.011331058,-0.007650089
56443,0.044758607,-0.023763763,0.012750289,0.002426643,0.028904116,0.003969616,0.03278006,0.0039300993,0.02560995,0.0028787141,0.0025906607,-0.017870933,-0.004864781,0.0137625225,-0.004865915,0.015950615,0.007106514,0.01810314,0.025832562,0.0062040756,-0.0014285477,-0.024325432,0.010464937,0.016750822,0.0009161718,0.0063206293,0.022741692,0.032101255,-0.002535621,0.02891031
56444,0.03677938,0.008226769,0.017293502,0.016071726,0.04611194,0.010961411,0.0045146793,0.026718253,0.029936604,0.014927984,0.03729951,0.0036390063,0.035152398,0.020892754,0.022338144,0.007427022,0.024794215,0.04525295,0.025791153,-0.004340964,0.034978207,-0.0049833297,-0.0029516935,0.03163094,0.02259846,-0.031380862,0.010956687,0.012734588,0.018926749,0.023437275
56496,-0.005723553,0.0016550891,-0.019330397,-0.025768064,0.03319526,0.0046185604,-0.00819526,0.026820945,-0.007151574,0.017502783,0.008019456,0.009385123,0.0020341973,-0.004940742,0.008776049,-0.036236417,0.025677795,-0.026336437,-0.014385915,-0.018183602,-0.028488228,-0.004558219,0.006173853,0.0024156542,0.00932359,-0.0039021724,0.010813261,0.018165814,0.026236577,-0.0033440692
56498,0.034216892,-0.013917423,0.024846407,0.019879492,0.048981234,0.01790003,0.033557747,0.0020091508,0.018008849,0.0026137128,0.03558634,-0.009170924,0.011330098,0.008137328,0.0071238005,0.027143707,0.03845928,0.040373664,0.004001277,0.033071946,0.0057579665,-0.0014523108,0.015837908,0.037572872,0.04314581,0.011269496,0.026385283,0.03096961,-0.004262608,0.050557766
56499,0.011356144,0.025740301,0.0038867996,0.015713744,0.009905414,-0.010958143,0.01580831,0.03611959,0.013996319,0.009514181,0.025377633,0.009247712,0.002368904,-0.016170897,0.014640186,0.012976295,0.019570833,0.0036729414,-0.01992989,0.026825914,0.0052458425,-0.017220663,0.029673373,0.02601617,0.010722394,0.005206074,0.031249372,0.0018908553,0.007301306,0.0041188337
56500,-0.012863465,-0.035496343,0.010946891,0.011245529,-0.00043261983,0.0056920466,0.0056263483,0.016539931,-0.026016027,0.04283328,0.02002744,0.030577535,-0.017340576,0.01908387,0.02033636,0.020443818,-0.01039828,0.006605811,-0.028947465,-0.03883127,-0.023727162,-0.009149934,0.023497066,0.0066239797,-0.005148934,0.0002425642,0.007058865,-0.0005757618,0.001609921,0.022539787
56552,0.015877366,0.024262607,0.009009879,0.03315813,0.027736107,0.021702975,-0.007928369,-0.011811431,0.007255807,0.017250868,0.0029960482,-0.0031597938,-0.0073095425,0.027030846,-0.013490967,-0.00305923,0.0015404951,0.02207025,-0.0030879097,0.019870637,-0.0016273049,-0.008704772,-0.018565143,0.015671855,-0.013187333,-0.012561093,0.018704953,-0.0015816092,0.009643241,0.010034958
56553,0.019807868,0.013140392,0.014820266,0.04062461,0.02745947,0.031194806,0.013498087,-0.00146265,-0.00761944,0.0078010955,0.011822271,0.00935037,0.010021501,-0.0031757287,-0.016566543,0.013761192,0.01218075,0.03248469,0.022057196,0.013412618,-0.007935231,0.03596745,0.053019594,0.023200328,0.025652146,0.016558884,0.043024793,0.023486534,-0.016378049,0.040557444
