,Concept,Cosine Similarity,Correlation
0,bee_raccoon,0.8553564995527267,0.7512920796871185
1,bird_ant,0.7045436501502991,0.7252750098705292
2,ant_raccoon,0.9337928220629692,0.7822332233190536
3,deer_fish,0.5489063858985901,0.6004517078399658
4,bear_frog,0.5609008073806763,0.611096203327179
5,alligator_rhinoceros,0.8890728577971458,0.8029390126466751
6,rhinoceros_alligator,0.8890728577971458,0.8029390126466751
7,bird_deer,0.5965805053710938,0.610797643661499
8,frog_turtle,0.6897682249546051,0.7185269296169281
9,bird_horse,0.6731853187084198,0.6810725331306458
10,horse_bird,0.6731853187084198,0.6810725331306458
11,alligator_turtle,0.7791797518730164,0.8302188664674759
12,kangaroo_camel,0.40328121185302734,0.6114993989467621
13,horse_kangaroo,0.4013996124267578,0.615025520324707
14,kangaroo_horse,0.4013996124267578,0.615025520324707
15,squirrel_cat,0.8522397875785828,0.8428539335727692
16,rabbit_deer,0.6346108317375183,0.676303505897522
17,raccoon_rabbit,0.7548374384641647,0.6929141879081726
18,horse_monkey,0.4200557470321655,0.5515775084495544
19,rabbit_camel,0.6725253164768219,0.7321384847164154
20,monkey_dog,0.4693007469177246,0.5643960535526276
21,monkey_squirrel,0.882841594517231,0.8381315171718597
22,horse_goat,0.46862852573394775,0.6512036025524139
23,giraffe_zebra,0.7561626434326172,0.7064907848834991
24,horse_cow,0.8582742363214493,0.8047597408294678
25,rhinoceros_cow,0.8829994723200798,0.8848988488316536
26,zebra_deer,0.6183754503726959,0.6453989148139954
27,cow_lion,0.6343747079372406,0.6351054012775421
28,donkey_cow,0.7769180536270142,0.7781514525413513
29,lion_cow,0.6343747079372406,0.6351054012775421
30,bear_cow,0.7623160481452942,0.7456862926483154
31,camel_rhinoceros,0.9157921671867371,0.8483772128820419
32,cat_sheep,0.8682423979043961,0.7745410352945328
33,giraffe_donkey,0.735485315322876,0.7401552498340607
34,giraffe_lion,0.7576599717140198,0.7818080931901932
35,cow_dog,0.7703239470720291,0.7371311485767365
36,giraffe_dog,0.9058917984366417,0.7875953018665314
37,leopard_zebra,0.8447280526161194,0.8324509412050247
38,donkey_dog,0.8740477412939072,0.8405755311250687
39,cat_dog,0.6348177492618561,0.6520119607448578
40,lion_bear,0.9122953489422798,0.8727073967456818
41,rabbit_raccoon,0.7548374384641647,0.6929141879081726
42,bear_leopard,0.8671999871730804,0.8450242131948471
43,rhinoceros_horse,0.8317533731460571,0.7431019246578217
44,raccoon_lion,0.6697529554367065,0.6900798678398132
45,tiger_raccoon,0.871776819229126,0.827088326215744
46,dog_bear,0.5843913853168488,0.6454091966152191
47,dog_raccoon,0.8626071363687515,0.7412174046039581
48,deer_sheep,0.9819943346083164,0.7633177936077118
