,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
52763,-0.01763732,-0.017247861,0.024011577,-0.022602951,0.00841006,-0.0059557655,0.03321525,0.012328275,-0.0008978459,0.0021734303,0.018704394,0.038685393,-0.0058392757,-0.02671661,-0.0007178734,0.015955774,-0.0048237024,0.0012924448,-0.04756045,0.001389519,-0.0029376105,0.006900633,0.014411685,0.0046676476,-0.014847033,-0.023416074,-0.017767387,0.0049468125,0.022433063,-0.011441843
56663,0.023853993,0.021607077,0.04008584,0.041188728,0.05703632,0.064967364,0.06519408,0.016459404,0.0186166,0.006404503,0.06491515,0.0395947,0.0040829433,0.026940746,0.023114426,0.027174437,0.014545902,0.018745532,0.009451295,0.03221007,0.013663233,0.05848226,0.026082063,0.053434044,0.048985507,0.034174863,0.030381456,0.031651236,0.044539243,0.01848046
56722,-0.016728977,-0.021231955,0.017498614,0.030598484,0.03317268,-0.0018474838,-0.004590894,0.012486908,0.011579883,0.0052967914,0.020120075,0.025132947,-0.005605848,0.015376321,0.01312508,-0.006269099,-0.0074492213,-0.01020359,-0.031171637,0.019585693,0.009001358,-0.0074445126,0.03908127,-0.008457288,-0.011761132,-0.011294807,-0.01669397,0.005253718,-0.0052756504,0.005133863
60506,-0.05647699,-0.0029400724,0.014153037,0.029719673,-0.0071448847,0.01969046,-0.00093597174,-0.0046014874,0.013463631,-0.025491504,0.03247961,0.025504075,0.08161815,-0.0035345852,0.043955296,0.023817398,-0.024653107,-0.013985301,-0.015352431,-0.024500698,-0.016834572,0.0061276015,0.02799671,0.010590054,0.044745967,-0.012598394,0.0037616696,-0.026245644,0.03630533,0.0034144921
60507,-0.03339422,-0.013185383,0.034627583,0.021880388,-0.0189752,0.019123686,0.013110979,0.0055130706,0.016907023,-0.019617444,0.029811874,0.013149603,0.022670425,-0.014977485,0.010310956,0.01582143,-0.01715225,-0.0018791201,-0.0030557725,-0.01922403,-0.019681536,-0.014983886,-0.012200043,0.0072584716,0.023698458,-0.021424623,0.0054090316,0.0067290794,-0.005665941,-0.007880547
60560,-0.044651505,-0.02336172,0.0030996744,0.014570482,0.009387533,0.010071154,-0.00881116,-0.01826202,-0.00091733667,-0.015108403,0.02827893,0.024688942,0.030055767,0.0062663197,0.048432827,-0.011836995,-0.009023656,-0.033284288,-0.028603598,0.0088239815,0.041875377,0.047362193,0.030717129,0.012721591,0.025157182,0.008610831,0.022223838,-0.005455043,-0.0073541948,0.002614218
60561,-0.022361154,-0.019916,-0.014112789,0.01789593,0.014511869,-0.0038584184,0.03431889,-0.0024796214,-0.000776181,0.013663513,-0.0005586783,0.031680156,0.017933901,0.003274344,-0.0032769218,-0.015269169,-0.031139245,-0.009576623,0.0027208526,-0.032914873,0.026140323,0.014769559,0.011962891,0.007205701,0.02576483,-0.037804633,0.0075690052,-0.011451191,0.012186631,0.040351797
60614,-0.0352513,-0.005440082,0.014325474,0.039492358,0.0084834,0.021146044,0.027628249,0.018614167,0.026655108,0.012626228,0.04078706,0.043713506,-0.0070384983,0.0030135002,0.014417809,-0.02137331,-0.020858461,-0.012877148,-0.00058562803,0.034837503,-0.017393218,-0.013181679,0.026652327,0.022587856,0.007081481,0.016333433,0.010667796,0.014346323,-0.009518399,0.03547337
60665,0.020610416,0.046288256,0.043600395,0.043198377,0.06761109,0.038025293,0.031825475,0.047324672,0.0321466,0.019631961,0.06327631,0.059752364,0.019690143,0.039750997,0.05896667,0.0047059925,0.0065251277,0.014261992,0.035476144,0.054057878,0.024021337,0.032417525,0.031900067,0.08309203,0.027053803,0.025505638,0.061798308,0.03227326,0.0061094263,0.049451534
60668,-0.0045117456,0.016432157,0.0100996345,0.027585482,0.0031880352,-0.010333556,0.01620132,-0.007257348,0.00021904933,-0.0026769906,0.027247809,0.037103478,0.008923729,0.0036627383,-0.0008368837,-0.009799975,-0.018326499,-0.0067800083,-0.017970739,-0.018470725,-0.006394271,-0.0034008652,-0.027633684,0.013267827,0.0025239505,-0.012762585,0.0025131542,-0.0021465837,-0.0055144965,0.02493994
