,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
2174,-0.022798603,-0.0024342139,-0.00071431487,0.008054945,0.0017319233,-0.05205523,0.0038067948,-0.01804859,-0.018526442,-0.010618426,0.04208906,0.010036212,-0.025992602,-0.0065147826,0.034151886,0.020930402,-0.003248226,-0.015679846,-0.01995711,0.016200762,-0.016637826,-0.014491088,0.018744115,-0.017461667,-0.018577643,-0.037027527,0.0046859966,0.025066884,-0.0050894856,0.0049919537
2326,-0.0022624342,-0.019358393,0.004527607,-0.02846974,-0.0447598,0.020971172,-0.014353686,0.036437612,0.0077217333,0.0037851743,0.027082061,0.0061426456,-0.015272011,0.004807428,0.014287095,-0.0033861,0.011571811,-0.0015943028,-0.007417282,0.0021100093,-0.045265045,0.00016464417,0.036497124,-0.034911733,0.040989783,-0.015810361,-0.017659372,-0.016185729,-0.029848585,-0.01683721
2328,-0.035264637,0.014486301,-0.018565381,-0.037124526,-0.0062288996,-0.011657234,-0.031388175,0.02235365,-0.012743041,-0.025137782,0.011354081,-0.023703925,-0.045890946,0.032358933,-0.008139913,-0.0405789,-0.0141309155,-0.03212477,-0.012069079,-0.036826856,-0.04706559,-0.02974873,0.0063600256,-0.002546753,0.033900693,-0.052896738,-0.0104854405,-0.046484616,-0.016311307,-0.018447958
2364,-0.01877251,0.015511699,-0.017563883,-0.022793867,0.0057915044,-0.0036541987,-0.017396925,0.013493377,-0.011501722,-0.01893065,0.019565376,-0.0063940906,-0.04904529,-0.0006406692,0.01837776,-0.020203307,-0.026750768,-0.013524767,-0.0060967784,-0.019548452,-0.04764246,0.0034262345,0.011095561,-0.023728594,0.06172034,-0.055312853,-0.02252665,-0.017432837,-0.02307217,-0.013403888
2365,-0.008773176,0.009490502,0.008052237,-0.027687207,0.012687654,-0.015472691,0.0149556985,-0.008203448,-0.014711231,0.008259394,0.001555214,0.014862885,0.0032655306,-0.011527919,-0.012701708,-0.007402256,0.02261792,-0.00074407755,-0.007540893,-0.030928133,-0.0072204135,0.024360104,0.0044855876,-0.018707663,0.032585572,-0.015907178,-0.0043441607,-0.012737904,-0.009402223,-0.04444455
2366,-0.04503577,-0.018418808,-0.010741546,-0.005104104,-0.052644182,-0.021858884,-0.024479711,0.014728663,-0.001867792,0.014332759,0.018729879,-0.018097205,-0.02251253,-0.04684055,0.02438967,-0.036025822,-0.014164862,-0.003458421,-0.006906112,-0.023958059,-0.036159333,0.012200628,0.021220213,-0.026792916,-0.010276998,0.0153363915,-0.0043180618,-0.0022104047,-0.040008426,-0.047164787
2367,-0.035369445,-0.009569163,-0.01084096,-0.0062988247,0.0033579522,0.0014395682,-0.0055855266,-0.008500893,0.015699921,-0.013163835,0.011906435,0.016049681,-0.013361077,-0.0063824784,0.037308455,-0.0024401965,-0.0087052025,-0.006947668,-0.014874016,-0.014447759,-0.039651345,0.0063261986,0.0064673983,-0.0066769817,0.038312178,-0.004033902,-0.017935267,-0.05569628,-0.034525704,-0.029208176
2403,-0.03706116,0.0028307082,-0.00625669,-0.0029822842,-0.024728827,-0.016259106,-0.045310456,-0.014990012,-0.00548722,-0.0102927545,0.011368451,-0.0025165977,-0.0264194,0.004185922,0.015772456,-0.0014108223,-0.004846154,-0.008608219,-0.0020583447,-0.037229586,-0.05765685,-0.02106747,0.015643321,-0.0134207355,0.06303434,-0.035809968,-0.013981772,-0.036384676,-0.023329413,-0.018398741
2404,-0.02922111,-0.008090388,-0.0072757606,-0.010635779,-0.020243438,0.01047673,-0.028250268,-0.017543567,-0.01022978,-0.014724006,0.005484667,0.023243358,-0.045327485,0.025273038,-0.0022963507,-0.010027968,0.0027536808,-0.008370359,0.00037330078,-0.050750718,-0.06606343,0.014463908,-0.004433585,0.0061837714,0.03866368,-0.031139754,-0.0053449944,-0.013235928,-0.023395225,-0.012189507
2405,-0.029543437,-0.022000603,-0.02339256,-0.028268224,-0.0020239742,-0.016821917,-0.016290382,-0.014850517,-0.014200463,-0.0044103027,0.0034394634,-0.0074950936,-0.030106733,0.01350693,-0.004643655,-0.017300837,-0.0005803814,-0.014566387,-0.010000064,-0.03113077,-0.034212057,-0.018248191,0.0073248805,-0.049457118,0.029119747,-0.03614127,-0.01043423,-0.024277112,-0.02865676,0.0026493364
