,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
8132,-0.013579001,0.007088062,0.026865812,0.0050392975,0.015801603,0.038512252,-0.008567669,0.026374782,0.010019831,0.00021025662,0.00593674,0.042554244,0.019490546,-0.026607485,-0.008390016,0.0070266244,0.014876109,0.0028492867,-0.03545116,-0.00020464727,0.0047518373,-0.00069885,0.04187186,0.02790613,0.013527069,-0.011998457,0.0075664315,-0.013976753,0.029894173,0.03803537
8133,0.01083602,-0.011440545,0.015397814,-0.0033945001,0.030301044,-0.019916886,-0.029458739,0.02242376,-0.012753089,0.014870505,0.020474495,0.00566696,0.0067030317,-0.025562659,0.034321927,0.020457324,-0.014803208,0.01794119,-0.050824407,-0.016217418,-0.027512452,0.010637127,0.0061920597,-0.045090273,0.025627978,-0.009519338,0.005294599,-0.010134585,-0.008210008,-0.022454971
8134,-0.0072301677,-0.0036075187,0.010160347,-0.013498802,0.03169484,-0.021781282,-0.01759052,0.026441073,-0.0009545832,0.012396793,0.020630142,0.010016073,0.008666261,-0.021783618,0.034419026,0.030198397,-0.0046853875,0.014786433,-0.06526871,-0.035690945,-0.04478177,0.0033691842,0.004863234,-0.018078053,0.037194964,-0.016876208,0.017962242,0.00071188435,-0.009776736,-0.017105453
8175,0.022244416,0.008699819,-0.0066744126,0.01558692,0.01310382,-0.02819323,-0.01136931,-0.0029422252,-0.0011043126,-0.009727578,0.015422482,-0.0076384065,-0.012599296,-0.026500003,-0.01607738,0.00049229275,-0.00032165865,0.0030763524,0.0029768862,-0.014135857,-0.020217925,0.009616841,-0.026824564,-0.011421132,0.016589502,-0.04323153,0.008194261,-0.016911356,-0.018897505,-0.006088397
8176,0.015306387,0.0066031534,0.01345099,0.036461834,0.007956703,0.018513381,0.002705238,-0.009270521,0.0019028733,-0.017823003,0.0018881313,-0.011783905,0.019837448,0.01739916,-0.015802165,-0.02617289,-0.031112997,0.0074838824,-0.038672775,-0.021980384,-0.0075393203,0.031756397,0.012958426,0.010513325,0.049833085,-0.027185967,0.008178035,-0.005272035,0.002181202,-0.0072309743
8178,0.03502472,0.017165124,0.0061461665,0.004997889,0.041450653,-0.025330931,-0.010054901,0.04258226,0.0020043596,0.016809728,0.031161293,0.017062772,0.028042234,-0.0254378,0.051258486,0.030559018,-0.034255978,0.028462129,-0.06522251,-0.02540812,-0.035965182,0.021858407,0.013773479,-0.00015040115,0.019573452,-0.019213317,0.007950869,0.017759822,-0.0004387734,0.007812501
8408,-0.020194411,-0.016880615,-0.0047400254,-0.0018349829,-0.009073087,-0.020440273,-0.014078288,-0.0007575325,-0.027627826,0.0050861533,0.019573057,-0.029688543,0.02881743,-0.010864566,0.018303273,-0.01595764,-0.0030860838,0.01461886,-0.007140519,-0.007882826,-0.0125070475,-0.0028109383,0.0040981537,0.022813978,0.0044412394,0.03713591,0.0019345116,0.018119616,0.028062185,-0.006995735
8459,0.002963117,-0.028438069,-0.00765127,0.0080744075,-0.034754653,-0.0027960248,0.016883304,-0.027768567,0.02157244,-0.005297249,0.010954087,-0.026014658,0.024338908,-0.0006278698,0.02201399,-0.018700998,-0.006156266,-0.007553644,0.0015870365,-0.009903292,-0.0057657138,6.553469e-05,0.033347838,0.013314902,-0.012977686,0.001293684,0.004820573,0.02904326,-0.0149746025,0.0025248767
10216,0.045215722,-0.0047287177,-0.008313622,0.026521027,0.018948697,-0.034652766,0.0046813027,-3.4279812e-05,-0.001119963,0.017891916,0.015658041,0.016672747,0.0014948435,0.0139097385,0.0201785,0.0069398955,0.00082769647,0.019338718,-0.0050664996,-0.00718734,0.0003637305,-0.017665619,0.023190245,-0.03290732,0.06774082,-0.030900175,0.007058673,0.01834377,-0.009293345,0.019684708
10258,-0.0006955601,-0.0043245596,0.009105418,-0.0043341084,0.0058638905,-0.023445422,0.0038412174,0.010961992,0.012478173,-0.006800717,-0.014556128,-0.0030801136,0.019755354,0.0064037605,-0.00638617,0.021175766,0.044763774,-0.014887701,-0.013950762,0.0012788903,-0.013587713,-0.012018102,0.02061828,-0.0029601639,0.010254017,-0.012325797,-0.0029156674,-0.012722209,-0.0060354793,0.013520314
10259,-0.008379388,-0.00418113,0.01170078,-0.00074578886,-0.01652109,-0.027904332,0.03277992,-0.008805218,-0.001778217,0.007450078,-0.026822196,0.0077088685,-0.016997563,0.002116793,0.02153524,0.010705296,0.05078881,-0.022746218,0.0060884035,0.0018466897,-0.002714764,-0.002537592,0.0005734966,0.03000739,0.006466187,-0.0071549304,-0.012614547,-0.0074257976,0.0041036136,0.002084626
10300,0.014018957,-0.012258233,0.014278449,-0.011520202,0.0076119234,0.005849568,0.0030022108,0.021420589,-0.0059634713,0.0054004528,-0.00074401806,0.015259545,0.004718308,-0.023416204,0.006311024,0.037447337,0.01751876,0.034498412,-0.016331002,-0.0022649847,-0.021687016,-0.0015983185,0.021691449,-0.038028073,0.028486414,-0.017408764,-0.00041485252,0.01395563,0.019186817,-0.020655554
10301,0.019165464,-0.0113185635,0.013887032,0.0015831721,0.008915037,-0.009034557,-0.006708348,0.032052368,0.004479341,0.0076650954,0.0065833316,0.017112063,0.013040394,-0.0074506016,0.007310184,0.018175226,0.005885052,0.030864747,-0.043467086,-0.011152863,-0.05341515,-0.007971486,0.007798876,-0.052506287,0.03613146,-0.02375164,-0.010550226,-0.021722198,0.00906463,-0.042779744
10302,0.033997655,-0.019594954,0.013132617,-0.01404854,0.03178229,-0.030943131,-0.020939985,0.041783083,-0.0071933437,0.014196519,0.004806925,0.021162974,0.026446037,-0.004096229,0.035188776,0.030529505,0.015666835,0.024607316,-0.021814482,-0.012309194,-0.027520448,-0.00021938483,0.010958617,-0.053463798,0.01467973,-0.014695515,0.0013797405,-0.020017298,0.019421203,-0.025405874
10303,0.0077316985,-0.010626823,0.0015531037,0.004463786,0.035351112,-0.007733541,-0.006526038,0.030242244,0.0052895774,0.028907856,0.01327125,0.016668,-0.0006068212,-0.025552204,0.023999432,-0.002616506,0.043354552,0.018779973,-0.024628686,-0.027913665,-0.007117588,0.011403557,-0.0005423737,-0.0007617716,-0.009856445,-0.017732967,0.012419804,-0.009563069,0.03135678,-0.011870761
10347,-0.014132772,0.014937262,0.0010284018,-0.011046584,0.017572025,-0.028132772,-0.003269967,-0.0046116314,-0.025069162,0.017151162,-0.011690944,0.022393294,-0.025726287,-0.007396642,-0.0031096125,-0.000139508,-0.020219201,0.001458865,0.018125283,0.0032643315,0.0076517407,0.02045471,0.029611647,-0.015814943,0.023544198,-0.01932877,0.013164732,0.02686988,0.032677315,0.022648273
