,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
50030,-0.019921837,-0.035417147,0.009437944,0.04679882,0.0032095935,-0.009330991,0.0018664766,-0.0023695554,0.013810328,-0.015248675,-0.005783919,-0.016730906,0.0040367995,-0.016473236,0.002776511,-0.015272386,0.0003990264,0.008925631,0.0075305947,0.0012746193,0.0055385698,-0.035597492,-0.005703967,0.014689053,0.008544029,0.02023486,0.009959051,-0.006477326,0.02509114,-0.0110468
53773,0.011985005,0.002447362,-0.012804546,-0.0011349426,0.0074344124,0.051737044,-0.014717009,0.01795046,0.013727878,0.002912445,-0.0027021489,-0.0019514208,-0.016374918,0.008198047,0.0022143347,-0.016833419,-0.01824428,-0.0023079815,-0.0132264905,0.03963201,-0.011923979,-0.01272527,0.017725676,-0.03573697,0.010022919,-0.0014619554,0.035066716,-0.012640659,-0.0037790872,-0.027178323
53829,0.020410016,0.013573916,-0.021771511,0.005700858,0.005338628,0.027191669,-0.023193277,-0.009903305,0.0073831137,-0.010691009,-0.010011701,-0.010371127,-0.014319077,-0.04468305,-0.005485967,-0.024269141,-0.02925261,-0.021820277,0.008181569,0.0059327185,0.0076148384,-0.0020239532,-0.0048645153,0.00094019994,0.008920429,0.032944385,-0.005012376,-0.008786966,-0.027801076,-0.0061680838
53830,0.005733417,-0.013477326,-0.00822203,0.0082926275,-0.0049437312,-0.016885048,-0.0075415154,-0.004497635,-0.014955738,-0.0048929607,-0.023834443,0.0044011357,-0.0050284956,-0.0071989656,0.012837984,-0.011173274,-0.02224662,0.0011870645,-0.005930178,0.004688295,-0.004484961,-0.008512297,-0.0047889906,0.0017314479,0.0044429777,0.00014048473,-0.010823183,-0.019148529,0.008542834,-0.01447353
53883,0.00043053305,0.013832389,-0.007652063,0.012982582,-0.007589456,0.005040273,0.008411168,0.01316522,0.014865946,-0.014600083,-0.010021524,0.061626002,0.007991157,0.016496291,0.019303204,0.0064687054,0.010916084,0.0030399428,0.0069213924,0.009938306,0.019491987,0.052373733,0.040431693,-0.009962452,-0.005538535,0.050420363,-0.015950501,0.0047472254,0.038850617,-0.007470259
53884,0.027648576,0.014342807,-0.0066800187,0.0058079637,0.022704026,-0.00722397,-0.022954987,0.04689659,-0.003166753,-0.013145395,0.010337339,-0.011074412,0.001541385,-0.026772277,0.0041007167,0.0031070746,0.005848096,0.0048635392,-0.015982917,-0.0061355936,-0.008872221,0.0022375116,0.010350539,0.0039930237,-0.000625638,-0.00041692145,0.015397814,0.016871652,-0.009699685,-0.0019049682
53885,-0.0032150352,-0.007464185,0.003168003,-0.009876583,0.027077733,0.026290178,-0.012969303,0.008566111,-0.004774519,-0.016100349,0.023534214,0.007793071,0.015547124,-0.010982747,-0.0058848714,0.014006059,0.01337896,-0.0026859883,0.0057022856,0.002140533,0.040699854,0.005507832,0.013248923,0.015119339,-0.019758562,0.009111429,0.007749991,0.00542666,-0.0025117404,0.0033997044
53886,-0.009118807,0.0037595804,0.0143634975,0.00967705,-0.010452573,0.0043738475,-0.04207584,0.011741374,-0.00081564306,-0.0125408275,0.016940694,-0.021004407,0.019452197,-0.01622966,0.0021677578,0.019076312,0.019126108,0.019165695,0.026216706,0.00042248005,0.017006343,0.023748329,0.0247562,0.0076179425,0.008193097,-0.016630376,-0.0036397164,-0.030238012,-0.012861173,-0.0050157825
53940,0.017663317,0.014208652,-0.00035567084,-0.028680736,-0.04877472,-0.01671558,-0.008603472,0.005522004,0.0054712663,0.0032300425,0.008179893,0.019233318,-0.032276746,-0.004960762,0.016011817,-0.016420767,0.01738433,0.017847123,0.008720572,0.024004875,0.011985645,0.0083459215,-0.02527071,0.01298277,0.0021449246,-0.0081477715,-0.0187641,-0.0009773535,0.0055572693,-0.012628938
53942,-0.015957091,0.018752217,0.007018872,-0.023152048,-0.053532258,-0.012497805,-0.035419814,-0.007131737,-0.008546293,0.0025763654,0.012418401,-0.017964348,-0.019185595,-0.03433347,-0.00466596,0.00108229,-2.2205524e-05,-0.0009908633,0.005786814,0.010825191,0.008629709,0.011921391,0.023793273,-0.021471998,-0.029315762,-0.004383269,-0.0015053124,0.010701316,0.03140455,-0.0047365488
53943,-0.02053506,-0.02677158,0.002815335,0.021632249,-0.025875123,-0.023890316,-0.0056386883,0.005222371,-0.007617206,0.008811586,-0.0031736658,1.7278517e-05,0.01633629,-0.0283825,0.009727865,-0.00891133,0.00357439,0.01219367,-0.0040349215,-0.001659343,-0.00018326503,-0.03275478,0.028109206,0.006315553,-0.029547252,0.014598042,0.019002302,-0.0048022214,0.0068397988,-0.002731435
53999,0.039075,-0.012543715,-0.015438553,0.009971377,0.007109072,0.011054312,-0.023259006,0.006313639,0.0016513285,-0.017954433,-0.0005942329,0.0066437777,0.004832876,-0.014074494,0.013382413,0.018306686,0.00010503456,-0.0055450103,0.010600988,-0.019199794,-0.016118819,-0.028071992,0.006064071,0.0077603403,0.0009844536,0.004512476,0.0058876206,-0.014490309,-0.0008295374,-0.0028849815
54055,-0.015219781,0.012607061,-0.0018659855,-0.030992432,-0.016671067,0.014801473,-0.008153112,0.0037346443,-0.0062656812,0.004543432,0.0033138667,0.0014764286,0.0012837499,0.010839149,0.0036883403,0.007899136,-0.008885071,0.00068566203,-0.01961952,0.0051144455,-0.003954301,-0.0034857597,-0.011824623,0.0022736357,0.037710495,0.015281028,-0.0019953367,-0.022900792,0.007283339,-0.010401446
54056,-0.017881466,-0.006706666,-0.0065048165,-0.004052842,0.014088877,-0.02617704,0.037108596,0.012584829,-0.016438233,0.0018657176,0.008548572,-0.034227747,-0.0018133897,-0.022154862,0.0014504431,-0.00016714633,0.030019507,-0.001627091,0.018215887,0.018169431,-0.0041467138,0.004966792,-0.018440092,0.008312825,-4.2205054e-05,0.022347441,-0.014707231,-0.04663303,-0.0045299563,0.00885176
57622,0.019145282,0.014809734,0.006103272,-0.0028109048,-0.018371085,0.0029553284,0.007827165,0.059098918,-0.0011618808,0.0066290298,0.033793435,-0.016523289,0.005801657,0.020701975,-0.0098334635,-0.005169823,0.023007413,0.010397196,-0.018319197,0.023991385,0.0008119829,0.003824207,0.005774898,-0.02784239,0.01435819,-0.04340909,0.020306226,0.039912518,0.004217625,0.036719453
57679,-0.00842742,-0.006179899,-0.0036369192,-0.030972637,0.015226275,-0.013863911,0.00025665853,-0.007818926,-0.009084172,-0.010274195,-0.006512746,0.027839886,0.013848624,-0.012133233,0.025750106,-0.02481327,0.026172854,-0.00043641496,-0.026074983,0.0054187193,-0.003402927,0.008684667,-0.008055876,-0.017805338,-0.021137254,-0.038430832,-0.010995824,-0.007767714,0.014800407,-0.0054245307
57734,-0.0133414045,-0.018504744,0.00066499785,-0.0060461196,0.017431593,0.010355775,-0.0014273463,0.0132391965,-0.012523663,-0.005607914,-0.019574279,0.0012350939,0.0116363345,0.012927897,0.03790726,-0.009797501,0.039286833,0.0008241753,-0.0325357,-0.013451464,-0.021480411,0.00052470126,0.029632455,0.0031103631,0.012270752,0.0107996585,-0.0018574496,-0.00760627,-0.005231887,-0.02032701
57735,-0.006258443,0.01656892,0.02024913,-0.025558563,0.0027600117,-0.0058264,-0.0045575644,0.025380624,-0.0071592736,0.020156668,0.0092566,-0.0194257,-0.00076834735,-0.0077772583,0.007988774,-0.013821632,0.0063323765,-0.0014206166,0.009896557,-0.011973229,-0.027285533,-0.014274347,0.0074793757,-0.030737141,-0.020855872,-0.0058894805,-0.0021436363,0.00093208504,-0.03274491,0.009256864
57736,0.006156746,0.01802419,0.011390928,0.018685384,-0.009286138,-0.010692735,0.007473476,0.003621415,0.0077891643,0.013475932,0.019719228,-0.022592202,-0.067096986,0.013577779,-0.0018678551,-0.01011477,-0.025615672,-0.032345403,-0.02043784,0.012625322,-0.01011577,-0.0012623626,0.0053972863,-0.026271874,-0.0045789317,-0.045414988,0.0112341335,-0.034906592,-0.011256459,-0.015972676
57737,0.028314913,0.012029377,-0.007784636,0.026816033,0.002346262,-0.024330536,0.03569213,0.0046051084,0.0075185765,-0.005575465,0.012435932,0.012352838,-0.026797978,-0.006512832,0.043760095,0.019760996,-0.01276103,-0.001215259,0.0068508717,0.013690324,-0.0091953315,0.014895197,0.023109848,0.014718217,0.012102311,0.0032289885,0.011937953,0.027561814,0.019646753,0.006833425
57790,0.017929945,0.0063154567,0.0012256088,-0.012781382,-0.011138228,-0.022815371,0.0058731637,0.008965352,-0.005145502,-0.009381368,0.006110726,0.023225328,0.014478713,0.0036340647,0.0178197,-0.0017073671,-0.022883996,0.00090576126,-0.003960796,0.0026694064,0.0035750314,0.03341877,0.015986579,0.028824253,-0.007647594,0.035613954,-0.0003263074,-0.028821183,0.0042197625,0.0039413427
57791,-0.0108277565,-0.01365016,-0.0013221968,0.019195758,0.013803303,-0.0033683786,-0.021431906,-0.0053530545,0.012280046,-0.011071257,-0.024196757,-0.0262907,0.0048912964,-0.011712129,0.0061908313,-0.02449148,0.012675829,0.0011174266,-0.027221868,-0.025738267,0.008936832,0.017411333,0.017042132,-0.0055975686,0.021717584,0.0040032114,0.008278084,-0.004372129,0.008830694,-0.036049675
