,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
17680,0.06426317,0.05911225,0.08137821,0.07438585,0.042011548,0.05503946,0.087471366,0.050656755,0.032944832,0.020940678,0.07766731,0.07878134,0.038022146,0.024516558,0.10669068,0.018030757,0.012922709,0.028147802,0.05084881,0.09917966,0.04583019,0.065092586,0.06495852,0.12884921,0.05928867,0.085092515,0.06855554,0.022274196,0.08371728,0.0834147
17714,0.07884753,0.011263169,0.07121157,0.07045233,0.050527662,0.06667719,0.05674748,0.06634664,0.02104009,0.008820586,0.043340635,0.062495813,0.055192124,0.0073169214,0.101541005,0.010770746,0.03339861,0.023209909,0.044138815,0.06763128,0.035857797,0.06817102,0.06114615,0.109848894,0.036207728,0.061071564,0.035553966,0.033194177,0.08561634,0.063590296
17754,0.072618596,0.025713662,0.06770328,0.08783927,0.11224976,0.07201502,0.07130521,0.07447519,0.048247334,0.019685464,0.10379874,0.079895,0.07458645,0.024749823,0.10613834,0.024818793,0.006845571,0.05246447,0.013105144,0.09694772,0.009220422,0.056551788,0.06394916,0.1089144,0.07505692,0.05402424,0.05582409,0.061415944,0.09908546,0.124705695
17755,0.07295698,-0.010118468,0.05480897,0.07916764,0.045690004,0.06139988,0.009167378,0.031571582,0.009103954,0.010828506,0.07566786,0.044828687,0.059001613,0.01771108,0.068658195,0.00038387734,0.03129178,0.011768311,-0.02851847,0.04499643,0.0068069547,0.022717893,0.043162245,0.044167787,0.067997344,0.040616382,0.022440402,-0.0027437683,0.070193745,0.07036856
17797,0.046787526,0.056132197,0.067425035,0.108634524,0.07433701,0.06884034,0.01839134,0.060197648,0.039329935,0.009000202,0.09484697,0.06953108,0.06057922,0.04405355,0.09270352,0.009095203,0.012827183,0.015250134,-0.011547759,0.08920332,0.017644502,0.03976464,0.051149443,0.10088163,0.086873524,0.06746919,0.062301423,0.03616716,0.053509697,0.08674335
17798,0.055048365,0.02690643,0.06495755,0.06818696,0.055778712,0.06249779,0.058492124,0.05019791,0.03315824,0.008669212,0.10317699,0.09132293,0.06298364,0.08280692,0.069149576,0.0034964879,0.014282507,0.007374022,-0.046047512,0.06155996,-0.0040352955,0.008208428,0.07576326,0.07469397,0.086857535,0.053149942,0.033859756,0.02330404,0.052083045,0.06809011
17799,0.007268481,0.022908457,0.0374923,0.061543375,0.01676987,0.039077505,0.009208683,0.020656366,0.01461113,0.027823878,0.09903079,0.049540173,0.01792914,0.019340446,0.017007502,0.008866321,0.033017077,0.0008793327,-0.067923255,0.018475192,-0.003803299,0.0072257183,0.03279688,-0.002532107,0.08022693,0.027090153,0.01782746,-0.009122424,0.021596031,0.00800465
20534,-0.012876138,-0.007266794,-0.041013297,0.0024361818,-0.039071124,-0.055334736,-0.018767526,0.008448609,0.011784728,-0.037099916,-0.047315095,-0.020028701,-0.005058778,0.007007966,-0.023986682,-0.008462602,-0.058743957,-0.019954383,-0.05463631,-0.013319929,-0.010705691,0.027439004,-0.0005579951,0.0027228848,-0.039566647,-0.03380982,-0.019082015,-0.033440474,-0.06743156,-0.04111662
20568,0.04325071,0.0046956525,0.00052646484,0.06164212,-0.00024236972,0.04152534,0.0026066166,0.021128902,0.007351549,-0.0162561,0.04891767,0.037014473,0.01562246,0.011249815,0.023414299,0.0026186707,-0.012095411,0.00343452,0.018664787,0.0056355707,0.0051468723,-0.013348754,0.023891056,0.026511872,0.017012373,-0.027313622,0.010265142,0.051753998,0.01732984,0.029288292
20569,0.041770145,0.020519273,0.03366578,0.040236752,0.040816944,0.04247718,0.053076368,0.02597741,-0.0074481084,-0.00016187008,0.05774555,0.041466165,0.034502506,0.019211026,0.08930545,0.017240928,-0.00036170086,0.013281059,-0.014606523,0.0684054,0.02156651,0.05152255,0.019132404,0.059588373,0.039273668,0.058774594,0.049654204,0.026146138,0.04334246,0.08930052
20607,0.02142512,0.03736038,-0.0021149998,0.006598133,0.050526947,0.010775268,-0.012276041,0.0070935823,0.01754065,0.043156605,0.03415485,0.006012395,0.028387534,0.017920958,0.029212877,0.00789602,-0.008903727,0.004151931,-0.043157686,0.024744263,-0.020958878,-0.005252272,0.032099944,0.018058522,0.011156687,0.009359567,-0.0020416353,0.01999943,-0.011924084,-0.011489137
20608,0.031567182,0.08134743,0.05407485,0.07245308,0.058745634,0.037019897,0.028740691,0.028378377,0.04028883,0.029432498,0.068283714,0.04180959,0.020604279,0.015981408,0.057764918,0.00680333,0.029159686,0.052813042,0.017457826,0.079020016,0.015853021,0.036016796,0.065794356,0.045220267,0.04698728,0.047521386,0.06353911,0.06736155,0.044827223,0.04464918
20609,0.054574747,0.040439636,0.0759736,0.07376121,0.06686821,0.055815328,0.054550517,0.039425883,0.05186978,0.036971923,0.086847804,0.048188288,0.030785784,0.04627867,0.07998072,0.026511477,0.03361982,0.05848272,0.011965413,0.09389981,0.06139316,0.06632823,0.039726496,0.07918065,0.0693179,0.04931064,0.04282261,0.04877073,0.03197277,0.060276657
20610,0.037220165,0.030353146,0.02326942,0.047611773,0.06192473,0.051573306,0.021724498,0.038517322,0.001956587,0.023830557,0.04997608,0.0015844932,0.054630008,0.023557788,0.08166998,0.0057815653,0.0038247406,0.022556521,0.0027631102,0.032015275,0.03167211,0.06732549,0.024541764,0.052456636,0.0031895302,0.028997188,0.025378214,0.011638269,0.020283418,0.07239687
20650,0.041304413,0.04154239,0.01774277,0.03437294,0.05246557,0.02350582,-0.021740181,0.008610168,0.019173326,0.021581031,0.04947642,0.0041781785,0.027552748,0.026885929,0.017280003,0.012135693,0.017215006,0.018553909,-0.020281708,0.019483289,0.012613679,0.06448304,0.034965366,0.05148084,-0.02270951,0.03870469,0.0071267686,-0.005322255,0.04385082,0.018109059
20651,0.082542494,0.07465863,0.060146768,0.09676949,0.07140935,0.03715798,0.053177133,0.062230002,0.07099271,0.02608105,0.080633074,0.05916981,0.05005983,0.046370592,0.040018544,0.018300937,0.03495082,0.045106012,0.0020141795,0.09343785,0.018798107,0.08632451,0.064555414,0.084477715,0.073775925,0.06510796,0.07448246,0.10071664,0.06980377,0.08786742
