,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
60769,0.036111552,0.00039110883,0.0026403337,-0.0015267631,0.015271984,-0.011534472,0.006404529,-0.008251978,0.015242521,0.008889074,0.037583735,0.018631192,-0.013585318,0.0024210734,0.023244848,-0.028965019,-0.017665459,0.00058018864,0.025980346,-0.00773312,-0.011372808,-0.015830705,0.028455188,0.0045032543,0.02396868,0.012569796,0.011272311,0.005727393,-0.0016126555,-0.0059348955
60771,-0.030618995,-0.011295582,0.0011606206,-0.0067112832,0.0026133724,0.009283782,-0.0001282085,0.0045130164,0.01125821,-0.012084513,-0.0055975486,-0.004993031,-0.015397705,-0.00783097,0.006481447,-0.018541144,-0.023192683,0.009992425,-0.03391284,0.02178734,-0.017017236,-0.013931401,0.0096529,-0.024482368,-0.008078486,-0.0041606044,-0.006935831,0.0047972742,-0.034631435,-0.013380174
64770,0.0012531864,-0.021737782,-0.0064447527,-0.043009136,-0.0015735183,0.018978981,-0.013604753,0.015456361,0.012364128,0.008565473,0.018074322,-0.030119112,0.033442315,-0.010533257,0.009223445,-0.01943413,0.013098341,-0.008770642,0.0021729907,-0.019187355,0.025744146,0.021367192,0.039090138,0.0070782136,-0.035460655,-0.0005154784,-0.005029792,-0.019810162,-0.007273255,-0.026526244
64771,0.031017596,-0.0012822099,-0.004023996,0.015072691,-0.013813257,-0.00820065,-0.022338936,-0.010299499,0.0023239527,-0.025517926,-0.007075649,-0.037008904,0.019187057,-0.02367577,0.039181594,-0.0040734806,-0.026354194,0.0060698655,-0.005504228,-0.024195591,0.014390662,0.0060161348,0.013645244,0.01215525,-0.0230724,-0.0029727134,-0.019216979,0.010759808,-0.026924223,-0.017910255
64772,-0.008426349,0.018989703,0.0012828283,0.017644478,-0.006133491,-0.019232875,-0.003483707,-0.0126120625,-0.004939527,-0.03010437,0.006315732,-4.5484554e-05,-0.0044454844,0.0060236896,0.04499198,0.02140624,-0.0056888596,-0.00799561,0.0028536653,-0.018822132,-0.02753446,0.003852052,0.005897815,-0.029561033,-0.037259262,0.0004127572,-0.03239386,-0.010894165,-0.010775453,0.0016958577
64827,0.021384427,0.0023587241,0.021030141,0.0056053307,0.0067720083,0.02172567,-0.014553934,-0.0049220454,-0.009217546,0.0060595325,0.029632755,-0.022148313,0.0022256766,0.021533914,0.037866846,0.0015242257,-0.0056516496,0.009081855,-0.010578343,0.02070713,0.0059666676,0.02155359,0.016175764,-0.03521428,0.03363033,-0.01846834,0.015970962,-0.017327327,-0.021352112,0.0021096233
64828,0.028094104,0.012758006,0.015955588,0.0085966615,0.0101292655,0.010145911,-0.0018628187,-0.005744465,-0.00040286253,-0.020752499,0.008809302,-0.009960435,-0.015173546,0.0026386182,0.041173846,0.0045577292,0.004701809,0.0037121375,-0.019982286,0.021297244,0.009439428,0.00018525869,0.0021939406,-0.035899747,0.022501381,-0.008987402,-0.0028574122,0.029035732,-0.03369345,-0.009436072
64881,0.0008936341,0.012921992,-0.009622743,-0.0036875021,-0.0006799542,-0.0023906573,-0.010114457,0.024366274,0.0012844176,-0.008051697,0.017257633,0.0008389503,-0.00075032376,-0.0056483187,-0.010974941,3.863064e-05,0.02566807,-0.009942787,-0.007248737,0.009778052,-0.001805761,-0.020127818,-0.021370642,-0.023863392,-0.03541698,-0.021331543,0.012618247,-0.012643099,-0.03615609,0.01782491
64882,0.0054894793,-0.023799114,0.0021003715,-0.0011198536,0.0007862784,0.03097544,-0.029362964,0.0041047833,0.010381603,-0.021021372,-0.010707825,0.0033410154,0.012111473,0.012214578,-0.016560324,0.013132758,-0.006695282,0.0007932335,-0.012659121,0.006639047,-0.013285697,0.01013857,0.0002524623,-0.022736616,0.0023534193,0.050226156,-0.0046209577,-0.0344254,-0.0016855914,-0.004754102
64883,0.007812572,-0.0048070946,0.0047806287,-0.00913225,0.024999574,-0.0051991506,0.011096573,0.028799845,-0.017224351,-0.024610095,0.0062748953,-0.024598718,0.00956321,0.017144017,0.011171866,0.005216824,-0.013011545,-0.0021449013,-0.014898921,-0.020716147,-0.0123587055,0.030269206,0.017017718,-0.01652123,-0.015477248,-0.035717953,0.0045196754,0.0041163475,-0.024021706,0.022253662
