,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
492,0.01855128,0.0004995037,-0.00022350135,-0.0172216,0.009851403,-0.030079117,0.00899404,-0.017229468,-0.0032425039,0.011011998,0.0038982045,-0.01352999,-0.020395482,-0.001179566,-0.020963697,-0.020014169,-0.022432037,0.009840816,0.0054243407,-0.032740805,0.007617052,0.04443599,-0.004363997,0.007578764,-0.0014440665,-0.031106643,-0.00011846932,-5.2358024e-05,-0.023423767,-0.012052043
493,0.016960964,-0.0027487471,-0.018327264,0.019961208,-0.0008980576,-0.0019889744,-0.010418777,-0.00095379475,0.0035612795,0.011736388,-0.0030890163,-0.039128255,0.005086859,-0.0037117004,-0.004521885,0.011572968,0.029543668,-0.008181689,0.008318669,0.0059110126,0.0010522358,-0.021940717,-0.0003568111,-0.04669775,0.0033800218,-0.021439461,-0.0026731293,0.0024314353,-0.026872152,-0.0003662482
523,-0.026787164,0.02464243,0.008625417,0.06137618,0.026866263,-0.0036110543,0.0033787403,-0.005774744,0.024044262,-0.0011068244,0.0048960154,-0.008718009,0.0020076083,0.0036348626,0.042832915,0.010868989,-0.0006946127,0.009503671,-0.0010671293,0.0039147446,0.027484437,0.0040770546,0.018460745,0.048214987,0.020301754,0.026354052,0.030176163,0.028725564,0.0029523752,0.003937068
524,0.014975894,-0.013034201,0.00042348946,0.023547614,0.0045270664,-0.03895937,0.010496941,-0.0070585446,-0.008936288,-0.029201604,-0.007788375,-0.002174481,0.010737188,0.026851095,0.0030009744,-0.007589718,-0.004890015,-0.0149473855,0.007184027,0.0008019333,0.023011565,-0.00076943514,0.023815727,0.020082898,0.025808655,-0.004928967,0.024488783,0.016518706,-0.03770986,0.0136202825
525,0.0039208955,0.019902362,-0.000868123,-0.004736868,0.007418398,-0.026240125,0.0045033055,-0.022839949,-0.008866517,-0.0040234667,0.02385688,0.0053993477,-0.0037683416,0.025416093,-0.014434884,0.008037482,0.0034042003,-0.0006315109,0.02100221,0.025780186,-0.017676665,0.003190926,0.028191188,-0.01381784,0.0005778085,-0.004320504,0.024857683,0.008362154,-0.047502026,-0.012615003
1140,0.019176783,0.011631638,0.015190322,0.0010524895,-0.003839073,-0.0052077253,-0.00736477,-0.01292036,0.008563516,0.030160224,0.0010796651,-0.026074009,-0.013022102,-0.021990554,-0.0052899397,0.005241597,0.015911335,-0.009009159,0.006367434,-0.0017121518,-0.013054252,0.015688935,0.0006895112,-0.007939961,0.03058985,-0.026261026,0.0064038155,-0.01739542,-0.007897351,0.000486239
1166,-0.004307186,0.006417439,0.019173985,0.022480933,0.019092873,0.0041420106,0.010160904,0.00782797,0.009175503,0.014591336,0.035702396,0.015851965,0.013694662,-0.033132773,0.0030624282,-0.010375437,0.01983009,0.009554928,-0.027159946,0.0058860313,-0.017643167,-0.023880424,0.010639057,-0.002808464,0.040344287,0.03604385,0.010430117,-0.005406274,0.011124137,0.0103494525
1167,0.022466557,-0.0153889945,0.0087401075,0.010695745,0.014861953,0.013702482,-0.0060730944,0.0064890194,-0.015581571,0.0006084793,-0.0064281155,0.018178398,0.018305587,0.018391062,-0.03338659,-0.0039061066,0.03661814,0.003905949,-0.0014569927,-0.016897501,-0.006052412,0.011962137,-0.005799579,-0.003754644,0.021147469,0.010783878,0.020430148,0.0015422838,0.013925637,0.0048123286
1168,-0.015823262,-0.012720323,0.0044843466,0.033841882,0.004532246,-0.015809542,-0.021523409,0.04199013,0.0041500647,0.026235282,-0.010918572,-0.004739908,0.0051996824,0.012671873,0.0044291685,0.01183905,0.00983962,0.01998991,0.029325292,0.020693595,-0.003500438,0.03562616,-0.031490646,0.009135339,0.0234608,0.0010490874,3.0497866e-05,-0.0031527865,-0.0035828708,0.034779582
1195,0.046884555,0.023352234,0.020829922,0.009300176,-0.030605724,-0.033725657,0.0011237947,0.029172612,-0.0024672374,0.019028686,0.013146573,-0.0031781823,0.004112749,0.0047177295,0.017775668,0.0018612007,0.0028054288,-0.02170229,-0.030882182,0.03208762,-0.0011027508,0.012287301,-0.025420899,-0.023967499,0.011931979,-0.0115171755,0.00195538,0.013320193,-0.020464772,-0.01923764
1196,0.014705378,-0.030582393,0.006721949,0.008515653,0.0032188892,-0.031370062,-0.00808983,0.05325952,-0.0025620481,-0.0062044957,0.018518953,0.026656782,0.014642436,-0.011336342,0.0042598485,-0.0058018845,-0.022749742,-0.010415159,-0.0028590176,0.019845951,-0.00873308,0.016161101,-0.015417836,-0.0048801997,0.012952198,0.014618608,0.03142031,0.015983038,-0.0023489287,-0.0023796961
