,Concept,Cosine Similarity,Correlation
0,bee_raccoon,0.8732917457818985,0.8638895004987717
1,bird_ant,0.6050732433795929,0.6456875205039978
2,ant_raccoon,0.6636826694011688,0.659100353717804
3,deer_fish,0.4254259467124939,0.5223030745983124
4,bear_frog,0.5209338963031769,0.5952527523040771
5,alligator_rhinoceros,0.6821835339069366,0.7323796153068542
6,rhinoceros_alligator,0.6821835339069366,0.7323796153068542
7,bird_deer,0.40306007862091064,0.4580138325691223
8,frog_turtle,0.7718347609043121,0.839756652712822
9,bird_horse,0.4108480215072632,0.46368616819381714
10,horse_bird,0.4108480215072632,0.46368616819381714
11,alligator_turtle,0.5707240402698517,0.601806104183197
12,kangaroo_camel,0.43528497219085693,0.4871608018875122
13,horse_kangaroo,0.4906391501426697,0.5452512502670288
14,kangaroo_horse,0.4906391501426697,0.5452512502670288
15,squirrel_cat,0.6346476972103119,0.6899206936359406
16,rabbit_deer,0.36327803134918213,0.4063171148300171
17,raccoon_rabbit,0.6390135288238525,0.625807136297226
18,horse_monkey,0.3261393904685974,0.38201212882995605
19,rabbit_camel,0.47796690464019775,0.5370836555957794
20,monkey_dog,0.3375988006591797,0.4335630536079407
21,monkey_squirrel,0.5289210379123688,0.6173287630081177
22,horse_goat,0.3282439708709717,0.3865971565246582
23,giraffe_zebra,0.787870243191719,0.7107779383659363
24,horse_cow,0.3790835738182068,0.44301706552505493
25,rhinoceros_cow,0.6667017042636871,0.7439316511154175
26,zebra_deer,0.5271492302417755,0.6103586554527283
27,cow_lion,0.5049726068973541,0.6074268221855164
28,donkey_cow,0.5447457730770111,0.6203490495681763
29,lion_cow,0.5049726068973541,0.6074268221855164
30,bear_cow,0.451454222202301,0.5135038793087006
31,camel_rhinoceros,0.5915345251560211,0.6514579653739929
32,cat_sheep,0.6852153539657593,0.5970503687858582
33,giraffe_donkey,0.8050618320703506,0.7481369078159332
34,giraffe_lion,0.8604588806629181,0.7842835336923599
35,cow_dog,0.5254939496517181,0.6421757340431213
36,giraffe_dog,0.9164946675300598,0.8389997184276581
37,leopard_zebra,0.4817548990249634,0.5345908403396606
38,donkey_dog,0.6120498180389404,0.6966550052165985
39,cat_dog,0.4589848518371582,0.5099707543849945
40,lion_bear,0.5837030410766602,0.6602586507797241
41,rabbit_raccoon,0.6390135288238525,0.625807136297226
42,bear_leopard,0.47635453939437866,0.5197589099407196
43,rhinoceros_horse,0.6933703720569611,0.7593788653612137
44,raccoon_lion,0.6932805776596069,0.6720788180828094
45,tiger_raccoon,0.6208935976028442,0.617031067609787
46,dog_bear,0.449837327003479,0.5106971561908722
47,dog_raccoon,0.7469992935657501,0.7270755171775818
48,deer_sheep,0.6331540942192078,0.4991164803504944
