,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
48344,0.03840551,0.024616964,0.04524749,0.066103846,0.063753664,0.025326341,0.0014791876,0.023127906,0.04290235,-0.016902993,0.061289415,0.0009871278,-0.008679421,-0.00636894,0.029843427,-0.0054123797,0.007532805,0.018634703,0.03113093,0.055605114,-0.00068008463,0.035869785,0.024485702,0.082437076,0.017015563,0.013852514,0.049164057,0.035222683,0.04659116,0.047374755
48387,0.04919961,0.037142262,0.05325743,0.055595685,0.08046267,0.01924671,-0.0108451,0.046566073,0.044120457,0.01666581,0.05298284,0.014158386,0.05271618,0.020600269,0.06196466,0.019589456,0.028436834,0.051519264,0.024124982,0.06604911,0.010183097,0.050297905,0.03170351,0.049182806,0.04396941,0.04732138,0.05328138,0.058463473,0.034827933,0.029656196
48388,0.017535627,0.019972458,0.02821327,0.040874243,0.01005016,0.014987826,-0.004221877,0.038225565,0.037129056,0.003325309,0.010574683,0.03097107,0.037648518,0.005380495,0.043633383,0.021158958,0.013622775,0.014127958,0.03046073,0.039912324,-0.0029689192,0.010446325,0.062124643,0.033899922,0.016516669,0.026722474,0.009620712,0.024813235,-0.017972602,0.046126653
48433,0.0063154646,0.020485027,0.027736358,0.013528167,0.01190475,-0.006041704,0.009597983,0.030951818,0.023227535,-0.015357345,0.01992827,0.007192956,0.010457042,0.03627741,0.0064863027,0.02393577,0.016041478,0.029993646,0.010114954,0.029073916,0.04522014,0.036117785,0.032761708,0.03471655,0.022376148,0.04157923,0.05086227,0.04737119,-0.00053379935,0.05843347
48434,0.0063083633,0.023869263,0.021898335,0.013197188,0.04866145,0.027516462,-0.01250213,0.02278255,0.02145763,0.0027520366,0.027354041,0.0059097274,0.0060694665,-0.0048566195,0.06347277,-0.009698056,0.0051482157,0.018222472,0.0023699647,0.024315596,0.022428064,0.025120093,0.009916175,0.002815092,0.03103405,0.03971288,0.025303563,0.007856879,0.024578735,0.032291267
48481,0.032412577,0.051132027,0.023983046,0.04915173,0.06628232,0.011309396,0.008940156,0.044996757,0.042934015,-0.011987009,0.05937491,0.029281491,-0.006027246,0.022954414,0.044860628,0.002648823,0.026455922,0.018169593,0.009153579,0.041128058,-0.0054389797,0.07501415,0.0049950527,0.07084927,0.04423355,0.028022923,0.049714934,0.05756593,0.02629693,0.04810523
48482,0.024630582,0.04358785,0.009849147,0.010481012,-0.00034475885,0.018203259,-0.02356834,0.00902747,0.029357612,-0.024355434,0.016565619,0.0034813976,-0.011061661,-0.0011682581,0.022535838,-0.006964039,-0.0059278836,0.00967023,0.0020365333,0.01532155,-0.02068994,0.027876431,-0.000903517,0.033864394,0.047977924,0.024896948,0.036706436,0.009922619,-0.0011381678,0.03346164
48533,0.02690422,0.04677294,0.048038896,0.006969902,0.017647589,0.041261274,0.028086746,0.059657097,0.01929876,-0.015192378,0.017798947,0.023698337,0.009223055,0.019592077,0.044595513,0.018691447,0.01831871,-0.0027304,0.021294085,0.045241375,0.0069498015,0.049507886,-0.004399948,0.05952494,0.04645738,0.020275248,0.05151174,0.031670906,0.003781508,0.021306895
48586,0.062393,0.043485973,0.03646476,0.021338338,0.047559004,0.051436096,0.044116136,0.07781343,0.03631532,0.031918246,0.030365327,0.021071969,0.0102203945,0.021443402,0.06418776,0.017101308,0.012807171,0.01254062,0.023489313,0.04068834,0.030308835,0.070080124,0.0076838024,0.047050614,0.054500375,0.052125562,0.054470588,0.024102246,0.02599824,0.029534966
52163,0.08185617,0.040569115,0.075907566,0.12968601,0.08403009,0.055019613,0.06871599,0.036135025,0.057886645,0.002349062,0.08281336,0.07108877,0.02681841,0.044213194,0.11981472,0.030985594,0.028566683,0.0605306,0.049812,0.085790806,0.01822954,0.08303062,0.04659255,0.11741829,0.08012192,0.10618722,0.08089264,0.043468345,0.08754414,0.061205436
52165,0.053674106,0.038235452,0.03284371,-0.005902573,0.04290935,-0.00036380813,-0.025547355,0.02955132,-0.007260267,0.007948947,0.04267245,0.021433616,-0.009171377,0.035194684,0.013816805,-0.025025023,-0.005645855,0.020036506,-0.0657599,0.0064924154,-0.007926817,0.014219812,0.0130421,0.016519858,0.05056477,-0.044313982,0.03496523,0.009612223,0.0145224705,-0.05518228
52166,0.0460013,0.012840136,0.01591624,-0.029793387,-0.014134228,-0.02512222,-0.023259172,0.031853896,-0.016577752,0.018033525,0.039715424,0.017664494,0.007010265,0.03893143,0.008371166,-0.028862149,0.024275167,0.016536677,-0.041203067,-0.03052213,-0.024690432,-0.012691595,0.011525136,-0.005089491,0.038646255,-0.041925307,-0.00028106882,-0.013381492,-0.0175129,-0.021504195
