,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
24049,-0.0115387635,-0.033421166,0.015310773,-0.005656574,-0.019771373,-0.017258286,0.02922683,0.021871986,0.013790903,-0.005153159,0.017427526,0.01622689,0.02337508,-0.005235184,0.0034803909,-0.013998546,-0.024678797,0.017110609,-0.012579692,0.0071758167,-0.0013077883,-0.0040825326,0.011249371,-0.009365502,0.021505179,-0.014667458,0.012910989,0.015913686,-0.043065444,-0.01636129
24050,0.023467667,0.0038199613,0.022389144,0.025269955,-0.00033957264,-0.0074136667,0.00050725666,0.02566945,-0.02050235,-0.0039437353,0.04692324,0.029644726,0.034162115,0.035019483,0.04445574,0.023414971,0.020432563,-0.01959125,-0.01144744,0.025085447,0.01774205,0.039647225,0.007456847,0.022135966,0.042012554,-0.0081678815,0.019951524,0.018437358,-0.009248934,0.01944109
24101,0.023505494,-0.014214403,-0.0019253645,0.027422344,0.032738756,-0.030802444,0.008776773,0.0075108125,0.008885817,-0.01745584,0.028845875,0.0013364977,0.0308375,0.020004556,0.029324085,0.0010884227,-0.027030177,0.014187269,-0.023689069,0.01650895,-0.012878075,0.012484399,-0.0023240033,-0.0048850686,0.014073018,-0.019379664,0.02618209,0.02222856,-0.011322663,-0.014487878
24102,-0.019784115,0.016497452,0.0025616318,0.015712323,0.033664662,0.020940108,0.01716183,0.0076565924,-0.0020570497,0.0062219943,0.05940771,0.007821332,0.009126741,0.01003682,0.028998539,0.03887817,0.034053657,-0.019968653,-0.0022163996,0.01878184,0.009686091,0.036269736,-0.01295288,0.0056736474,0.006098386,0.0065022553,-0.00023834966,0.016050369,-0.017438732,0.029258715
24103,0.062422324,0.0317075,0.05550964,0.09107197,0.07899503,0.07866675,0.008523248,0.07325443,0.024337316,0.032089848,0.06981448,0.06237493,0.03381009,0.05088793,0.07881192,0.035048287,0.008939969,0.006819215,-0.00070168934,0.055163104,-0.0057180673,0.06472437,0.032164082,0.045291316,0.05037384,0.032032322,0.04889995,0.06275918,0.0037445535,0.045747165
24153,-0.014152981,-0.0056714527,-0.007827706,0.045804013,-0.009581489,-0.016890222,0.011573411,0.05200996,-0.001299012,0.047651842,0.043513153,0.043943714,-0.01233825,0.021696089,-0.01081355,0.002069739,0.0018546426,0.025730722,0.028718486,0.0037156101,0.03786115,0.041689306,-0.020359961,0.024450058,0.035403196,0.009229179,0.038429126,0.034439694,0.0225512,0.020099698
27263,0.02977203,0.00963104,0.024447555,0.028184459,0.013382469,0.01830427,0.012802835,0.03368463,0.029887304,0.03349942,0.025048958,-0.01322165,0.03943495,0.0016274061,0.01723563,0.009965478,0.004198096,0.027175486,-0.0057980656,-0.011569094,0.0109133525,0.0003887814,-0.021709727,0.017060416,0.01055035,0.003208256,0.03658119,0.018669235,-0.0017490996,0.01901717
27264,-0.014740877,0.0051562153,0.011142332,-0.047775134,-0.016367724,0.017832218,-0.015251006,0.017509889,-0.007472448,-0.00043377499,0.0041528554,-0.0032486508,0.008696868,0.0048316806,0.015922016,-0.020075917,-0.039074022,-0.022876265,0.015882574,-0.027621761,0.030841613,-0.009443059,-0.031271722,0.031636514,-0.0058815577,0.02826129,0.014146168,0.0023922313,0.0100949695,0.0011989538
27265,0.042165905,0.064384066,0.066418506,0.091489725,0.07731538,0.04608983,0.017573604,0.0662771,0.025701081,0.0047440515,0.05047827,0.062034484,0.042798344,0.07695908,0.07653128,0.00593495,0.025007628,0.015495662,0.0047728275,0.058951765,0.01948314,0.050840214,0.03995733,0.06294643,0.04148401,0.038918015,0.04707996,0.044434026,0.061718453,0.058900695
27315,0.03245377,0.006730391,0.0063403198,0.024888895,7.6432865e-05,0.04162759,-0.022441318,-0.0015999725,0.016277986,0.018345589,-0.016474374,-0.020037303,0.020569036,-0.014468375,-0.009092052,0.014191039,0.014002281,0.012101124,0.020366775,-0.009212178,0.008956262,0.031236328,-0.0003674409,0.008720638,-0.025447339,0.012976471,0.031808235,0.040842637,0.03393564,0.037281692
27316,0.013616074,-0.030788908,-0.0025359439,-0.014974366,-0.032789446,-0.0048636906,0.0028375238,-0.04200345,-0.021741873,0.015911376,-0.005088666,0.002747249,0.0310721,0.015032102,0.012265845,-0.00032474162,-0.0029795219,-0.023709303,-0.03501938,-0.024167322,-0.0030100204,-0.013231389,0.00912208,-0.011050712,0.001677108,-0.017503865,-0.010463537,-0.0045106313,0.01189065,-0.0140204495
