,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
47999,0.013788198,-0.011721549,0.014340526,0.0134299835,0.00018965515,0.015699383,-0.029621849,-0.010318552,0.0060010985,0.042679176,-0.008859158,0.005653316,0.00941906,-0.03992984,0.001145908,0.020682493,0.02622134,0.003588644,-0.015830962,-0.0009350221,-0.0008200347,0.007867128,0.028670778,-0.0062646195,-0.006190009,0.036508784,0.016441451,-0.00982163,0.008601074,0.018632984
51759,-0.02593255,0.018480664,0.00074620126,0.04589066,-0.00027192477,0.019682845,-0.01002192,-0.0053966176,-0.011145716,-0.0065387166,-0.022979101,-0.0064910986,0.014973595,-0.0072138384,-0.017120117,0.023510603,-0.0024835921,0.011423512,-0.014634918,-0.020904856,-0.042242914,-0.0014989739,0.020080483,-0.007009089,-0.004847592,0.0062757055,-0.0043451735,0.027879694,-0.024362603,0.023559364
51779,-0.042893346,-0.012298771,-0.020694295,-0.0070373565,-0.027433537,-0.026154121,-0.018673707,-0.016025998,-0.01645509,0.027427003,0.002779413,0.016780024,0.0039518294,-0.020364918,-0.010695298,-0.014088869,0.0355852,0.011409854,-0.014182682,-0.012619294,-0.044192597,-0.030023664,-0.022493131,-0.025678406,0.0059618005,0.006461403,0.0047856555,-0.0016284218,-0.015169823,-0.017397383
51780,-0.014480856,-0.016601818,-0.014970454,-0.03414011,-0.022749318,-0.0039594285,-0.027040856,0.011402062,-0.024271509,0.029765068,0.0008016193,-0.0008445273,0.016279003,-0.007719737,0.011685022,-0.01684503,-0.024935633,0.0023660874,-0.03242879,-0.031602263,-0.014090374,-0.040284276,-0.007317306,6.916126e-05,0.0058570593,0.00035861414,0.017452048,-0.032130297,-0.023702675,0.00057166815
51781,-0.015010434,-0.02199888,0.009816076,-0.053639323,0.031614434,-0.014082088,-0.033713244,0.023033008,-0.01633496,-0.012839566,1.4587927e-05,0.006455265,0.013421747,-0.023970902,-0.00820008,-0.02097146,-0.00012504745,-0.006346382,-0.021736441,0.005339323,-0.04756354,0.003533765,-0.0088513605,-0.0007460243,0.023307437,0.00057432614,-0.011902516,-0.013655984,-0.004327633,-0.015938742
51804,-0.022397252,-0.0013949467,-0.0155726895,-0.013173471,-0.0018480284,-0.041425195,-0.011310621,0.027967887,-0.029199066,0.024670387,0.025530538,0.008094223,-0.021277212,-0.0066013816,0.005146315,0.0033066478,0.041559886,-0.00017790096,-0.039487682,-0.032608885,-0.04813935,-0.0059850025,0.00034932108,0.0068813716,0.010922165,-0.02390427,0.00089825015,0.0067935344,-0.04729487,-0.009901807
51805,-0.02149796,-0.017721882,-0.02803652,-0.04708953,-0.0051611136,-0.013998799,-0.022210905,0.014709164,-0.029428026,0.013119164,-0.016509503,-0.007404556,-0.002682822,-0.044625282,-0.017821625,-0.03982705,-0.0051244744,0.0023921768,-0.03837019,-0.04108687,-0.05276212,-0.0030808263,-0.009600807,-0.0117460815,-0.03866582,-0.02652674,0.004945177,-0.026036032,-0.027800241,0.010234398
51828,-0.0052025723,-0.014470436,0.012208227,0.01021508,0.010085808,-0.019838752,-0.009676515,0.045518264,-0.0368882,0.021102974,0.0007052625,0.02356383,0.0024217109,-0.024780927,-0.001472511,-0.010798331,0.026573164,0.00042745782,-0.021669174,-0.034625817,-0.029966937,0.00012916529,0.008561553,-0.018977746,-0.0040585254,-0.034814823,0.0024689098,0.02692832,-0.037642535,-0.0037475268
51829,-0.007082056,-0.006544249,-0.03865725,-0.009784269,-0.014299923,-0.0011506509,-0.028020352,0.019215172,-0.030592272,-0.013793145,-0.021447236,-0.022165217,-0.04308768,0.0036025185,-0.013114714,0.0038082192,0.006339647,-0.017105965,-0.0297912,-0.006661138,-0.012909281,0.010266208,-0.012654237,-0.03891316,-0.01995674,-0.030084835,-0.018647475,0.009872634,-0.02025895,-0.008762677
51830,-0.020906337,-0.011568412,-0.005615438,-0.0094575295,0.0028484294,0.029159537,-0.024558304,0.00067107286,-0.030490495,0.006259741,-0.014511568,-0.0076550334,-0.015078515,-0.034174174,-0.018345473,-0.0044033383,0.0068298094,-0.0048413216,0.004538299,-0.011797181,-0.022498399,-0.013423125,-0.022217236,-0.04246582,-0.017259188,-0.012179509,-0.012486345,-0.030745825,-0.06047866,-0.009797483
51851,-0.020590074,-0.0059751123,-0.0068500754,-0.032690335,0.0030786588,-0.0057310835,-0.029553773,-0.041930005,-0.0046931584,-0.014819544,-0.02102194,-0.0015474841,-0.008565533,-0.015976382,-0.010759008,0.004744308,0.03258675,0.005028497,-0.02376292,0.009701811,0.0038842962,0.03519468,-0.004421448,-0.010905516,-0.01745759,0.018775417,0.011621569,0.007336516,-0.0033018477,0.001805968
51852,-0.034999497,0.0061936784,-0.021993652,-0.014300194,0.0070289248,-0.013147131,0.009331715,0.010298585,-0.014645293,-0.01575109,0.0015161199,0.006682401,-0.038737174,-0.017877575,0.014240779,-0.004287228,0.02095993,0.0076836958,-0.016380453,-0.04560806,-0.018462505,0.0023371365,-0.003703154,-0.047902737,0.023285696,-0.032614563,0.0048966887,0.018133728,-0.013040781,-0.0043544266
51853,-0.0069474652,0.0030761168,-0.03610476,-0.020490572,-0.031704348,-0.0013580906,-0.018316403,0.014212458,-0.017137209,-0.010182145,-0.01092631,-0.01251413,-0.021751782,0.0032872164,-0.041184794,-0.008955065,-0.01677876,-0.0036417777,-0.015760647,-0.018749503,-0.013053087,0.0025389383,-0.04669254,-0.009334673,-0.024397582,-0.02129011,-0.03484818,-0.034707084,-0.021190055,-0.029724037
51872,0.024050238,0.0032971986,-0.0048825103,-0.0017150926,-0.0026458453,-0.009895896,-0.020604573,0.003553396,0.0011596897,-0.0036219088,0.015306716,-0.007534594,-0.004928968,-0.003022204,-0.029199356,0.035158727,0.04740797,-0.004199889,-0.00059707026,-0.005943636,-0.033049207,0.003390029,0.015975332,-0.009555769,-0.010151998,0.018874781,0.020339906,0.0031535246,-0.046506066,0.0061709457
51873,-0.02946849,-0.035344284,-0.021674002,-0.0041027837,-0.020763578,-0.042481,-0.026737573,0.004697343,-0.0035934707,-8.5097425e-05,-0.0140220625,0.028780892,-0.0013181752,-0.038133405,-0.011547209,-0.009756124,0.032055624,0.0025065718,0.011234674,-0.051316913,-0.027625566,0.006242177,-0.011184584,-0.038301315,-0.044358224,0.005782521,0.0072020083,-0.0021559903,-0.045173693,-0.057408422
55680,-0.013266788,-0.011863414,-0.020092689,-0.020144273,0.012678645,-0.011713245,0.011640494,0.019117743,-0.019314105,0.042078596,0.022162423,-0.014245927,-0.0008045885,-0.013746028,0.0017740304,-0.01997041,-0.0021423744,0.013545095,-0.01736729,-0.022693515,-0.023001784,0.005008821,0.0043043382,-0.016783811,0.0029132043,0.009744961,0.009202156,-0.014306743,-0.03254313,3.4001034e-06
55681,-0.0051561785,-0.030459458,-0.009759317,-0.009290685,-0.005768439,-0.009949368,0.008875567,0.030613972,-0.019787345,0.03222889,0.011056255,0.0037849601,-0.019992614,-0.03402884,-0.018185036,-0.006696012,0.0096748555,0.0075495034,-0.014471804,-0.012416691,-0.031344745,-0.016238533,-0.004467108,-0.018462425,0.0067833043,-0.007591959,0.0041805157,-0.0062849945,-0.048911165,-0.0026535362
55682,0.01184334,-0.044530828,-0.0044983807,-0.03682321,-0.0040042144,-0.012505323,-0.015981007,0.018860035,-0.013784231,-0.002339152,-0.007585831,-0.017988397,-0.008285197,-0.027617179,-0.022318697,0.0022698948,-0.014200809,-0.0010257077,-0.040930074,-0.01743543,-0.024616038,0.005782844,0.0013644574,-0.0137573825,-0.0029854595,-0.017872011,0.01106203,-0.0060873386,-0.016784562,0.015691614
55684,-0.004100027,0.042439993,0.002168899,0.015181996,0.018472329,0.0028320749,0.0022337418,0.015056076,-0.013743012,-0.028491879,0.007735601,-0.051515136,-0.033247642,-0.0064740744,-0.016570715,0.009536012,-0.010233942,0.021666238,-0.019186042,-0.01035906,0.0033316922,0.013351053,-0.008086292,-0.0068158642,-0.0056905416,-0.022741074,0.015615017,-0.008447765,0.011045061,-0.028953156
55706,-0.015275054,-0.020760728,-0.02497256,-0.011753985,-0.010669733,-0.020757318,-0.025629727,0.03611687,-0.03035135,0.023625722,0.012970272,0.0092260735,-0.030038893,-0.014209014,-0.011161137,-0.0025746503,0.039427865,0.001337093,-0.051988084,-0.04786918,-0.03617153,-0.014970784,0.0040291925,-0.016010918,-0.00021472135,-0.0046119676,0.004230196,0.01722159,-0.04028079,-0.007689387
55707,-0.023694815,-0.027229996,-0.024593422,-0.036901683,0.0021927578,-0.009937183,-0.02192461,0.040562432,-0.022944918,0.018997323,0.003578761,0.010548274,-0.021706322,-0.02268684,-0.016484244,-0.014813368,0.013041305,-0.013081928,-0.024704227,-0.055925447,-0.034171715,-0.019221215,0.015499174,-0.0097522205,-0.027441872,0.009413482,-0.0010420503,-0.0047848267,-0.07031996,-0.0075492114
55708,-0.049634114,-0.023682484,-0.010191959,-0.031381935,-0.004117914,-0.017791808,0.0011129137,0.012656365,-0.020313421,0.013796463,-0.008100527,-0.0126310615,-0.0010372084,-0.0023882787,-0.025478056,0.012367516,0.025549075,-0.0061421297,-0.017572848,-0.0044234614,-0.015460212,-0.0068035326,-0.0050033326,-0.0038581647,-0.010847854,-0.0031153124,-0.01979112,-0.024465518,-0.02627931,-0.00970092
55709,-0.011986893,-0.012298871,-0.030807486,-0.004453044,-0.008102775,-0.0188973,0.0014715344,-0.008527424,-0.023773463,0.043755736,0.001477515,0.044142906,-0.017314507,-0.018344855,0.02580835,0.012260386,0.016421095,-0.0073562805,-0.021624073,-0.025063625,0.0018178009,-0.03061851,-0.013270251,-0.025749609,-0.00068381097,0.0024614,0.011318471,0.007531159,0.0012202783,0.017505646
55710,0.02188125,-0.021787116,-0.00089634024,-0.0054889643,-0.008221378,0.0010556122,-0.02132752,-0.0072089923,0.0016741675,0.015053564,0.0031915142,0.0016394699,-0.011239186,-0.04811496,0.0053196214,0.0115037365,-0.023932522,0.0036828332,0.017191784,-0.0026063418,-0.009914205,0.028846376,0.015846923,-0.024751045,-0.0064221267,-0.003712738,0.016054308,0.007992872,0.008091121,-0.027124641
55711,0.0072113243,0.0023953328,0.016256385,-0.00946046,-0.0043494357,-0.0021351704,0.024356546,-0.0102046225,0.003253556,0.0074880817,0.007823351,-0.017467348,0.0030512884,-0.011143154,-0.010855635,0.016283365,-0.036393117,0.002180849,-0.0015879795,0.002820588,-0.008189093,-0.009412731,0.012892784,-0.007521305,0.02304858,-0.013425277,0.0060579646,0.0026073472,0.03205721,0.01943571
55731,-0.025181925,-0.003516591,-0.02661249,-0.039517526,-0.0007602588,-0.037777655,-0.019375732,0.011273627,-0.050725568,0.015059157,0.0090802135,0.01162731,-0.033499714,-0.047990266,0.0018446366,0.011371733,0.017081682,-0.011494293,-0.020423608,-0.03060229,-0.05110535,0.013751675,-0.00014235762,-0.018299831,0.004089415,-0.005345086,0.00971222,0.033506695,-0.029803904,-0.008634162
55732,-0.020684496,-0.029549027,-0.022268437,-0.020618895,0.0056577786,-0.03375121,-0.012020312,0.005736004,-0.03943659,0.009608482,-0.0017648736,0.022739613,-0.058339328,-0.041850146,0.017385313,0.004022253,0.0019849117,-0.018941307,-0.036451805,-0.028338747,-0.048630282,-0.005127807,-0.0070547634,0.0072741713,-0.04319666,-0.0071767657,-0.01047003,-0.001928912,-0.04692347,-0.043397527
55733,-0.029846275,0.0025671017,0.011473953,-0.053567324,-0.0015760753,-0.012136565,-0.04154003,0.028951297,-0.028215216,-3.176431e-05,-0.0057731033,0.011379245,-0.02726501,-0.026914388,0.00078078435,-0.013559879,0.020077163,-0.017920157,-0.031557325,-0.028599868,-0.033859964,-0.00013811451,-0.02048502,-0.018677764,-0.004466579,-0.004780833,0.00973197,-0.015409601,-0.032749575,0.0036057325
