,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
28681,-0.0099221235,-0.0042334762,0.012702088,0.024611888,0.03048715,-0.0046709348,0.001295633,-0.0027619274,-0.0004506409,0.005758965,-0.011391181,0.022063894,-0.022087796,-0.017923381,0.0042337654,0.013972427,-0.0041620736,0.0091372095,-0.013196662,-0.0038361251,-0.043680083,-0.02175949,-0.0035780317,0.0054646772,0.030265594,-0.0142326765,-0.015185609,0.011764119,-0.016391795,0.0098959
31999,-0.008743829,0.01888952,0.026041232,0.026022146,0.062580295,0.032154094,0.032942925,0.07481619,0.022311695,0.0325999,0.03986677,0.03947394,0.06476899,-0.012829321,0.029969633,0.015446868,0.02540494,0.012718055,0.029567996,0.012559508,0.023519978,0.017560324,0.06248656,0.030981973,0.042448774,0.045382652,0.041454468,0.027850633,0.011540808,0.022491356
35490,-0.020877948,0.001129855,0.042713728,0.034630984,0.0327625,0.033968627,-0.011270552,-0.0032195773,0.0010957356,-0.011200833,0.018765826,0.016136603,0.027378066,-0.026829427,0.009435779,0.0022510595,0.01553587,0.0117096715,-0.017615063,0.037170123,0.0147596,-0.0034209026,0.013292946,0.0005269057,0.005118773,0.023538932,-0.0017570191,0.025324792,-0.016025262,-0.0050717317
35491,0.020873703,0.03853641,0.047029674,0.0040004407,0.04621231,0.054323237,0.04101159,0.07061153,0.029430427,0.018335363,0.056350723,0.042667445,0.02326268,0.02977716,0.045905545,0.03483794,0.065842204,0.03690449,0.052876424,0.010376273,0.03187939,0.044398453,0.060690675,0.01353541,0.053202588,0.0064219735,0.06331933,0.035392094,0.004657702,0.027671812
35543,0.018631598,0.012988814,0.010635472,0.015672462,0.025738934,0.024509957,-0.021555675,-0.024655202,0.014672925,0.016537713,0.018618492,0.008665004,0.039136056,0.015010186,0.0049324506,0.023880264,0.027976885,-0.0046769413,-0.007112469,0.032119807,-0.013876614,0.019867606,0.0140661,-0.002364128,0.000607247,0.035648372,-0.00094273285,0.0109945135,0.023747103,0.012651029
39097,-0.008734069,0.009139667,0.0072587994,0.050122708,0.0046598352,0.0036098827,0.015806466,-2.6215954e-05,0.031391088,0.025996536,0.011328199,0.0014535604,0.023582296,0.02321226,0.005911214,0.01786732,0.009276379,0.0017555429,0.028135976,0.028024487,0.0006251301,-0.0010574298,0.030918375,0.012597407,0.0011742801,7.574757e-05,0.023756474,0.0106974915,-0.010657262,-0.0059433556
39098,0.03626664,0.039621364,0.03707672,0.023980344,0.04966921,0.014600858,0.01099906,0.032725025,0.031026743,0.00705621,0.036483098,0.032324687,0.02747383,0.0540982,0.025731405,0.01970979,0.054886237,0.029345311,0.028923934,0.021428771,-0.0024010777,0.048908755,0.021169348,0.026544541,0.04499504,0.018126784,0.051263046,0.0076447404,0.017527116,0.038842734
39099,0.028172947,0.033026244,0.030190436,0.042363983,0.029267333,0.023771502,0.04606385,0.02814295,0.0154571645,0.0047028908,0.024604792,0.019644657,0.016541991,0.020486167,0.035520148,0.019453181,0.06744712,0.027861765,0.04221495,0.026422253,0.02893643,0.052088004,0.045218423,0.0766468,0.0268304,0.044757795,0.035846278,0.03663941,0.009694581,0.024605362
39150,-0.0048293397,-0.0003319846,-0.00016466512,-0.016600031,-0.013715026,-0.0033326105,0.007253837,-0.0013319263,0.012927501,-0.004249845,0.022024637,0.01680025,0.02549094,0.014274675,-0.0055604535,0.03393014,-0.02132836,-0.015175629,0.07162488,0.02445575,-0.011669614,-0.003703543,0.024064327,0.0314101,-0.0043751104,0.020182168,-0.010691124,0.012214713,0.008641463,0.004938578
39151,0.031548318,0.06214047,0.04060605,0.04351705,0.046434313,0.04481375,0.04333661,0.04518387,0.0502941,0.031598166,0.046268836,0.042076096,0.026428541,0.036520388,0.04461043,0.04282114,0.0399619,0.015321874,0.029078774,0.03551339,0.011491132,0.046983447,0.03610544,0.019994078,0.0726065,0.0015727569,0.053557377,0.06586263,0.022532463,0.048101783
