,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
85931,-0.032546833,0.0009055051,0.012188662,0.008246564,-0.0015690271,-0.024579937,-0.0057019223,-0.014258319,-0.00043749003,-0.019092547,0.0009858379,0.018565496,-0.0065830867,-0.0095639555,0.005701211,-0.025353365,0.03597292,-0.0005934546,-0.0011539105,0.0068694837,0.011457793,0.049052745,0.009806324,-0.021452136,0.0017199308,0.0020840678,-0.005817453,0.03194937,-0.0066451407,-0.012801065
90100,0.053549502,0.033179943,0.0133846225,0.03603931,0.045982778,-0.024888953,0.013078883,0.052789878,0.01611152,0.00877075,-0.0046224785,-0.021227159,0.026969014,0.021637676,0.048797876,0.0050314195,0.01173835,0.020859636,-0.018350577,0.03304435,0.00489465,0.010283404,0.007955531,0.008697013,0.009993917,0.0046684663,0.025035841,0.07776105,-0.0058149532,0.023354089
90158,0.045012146,-0.025797347,0.008973804,0.037050422,0.010264108,-0.015249521,-0.025897557,0.027850157,0.015667513,-0.0041088234,-0.0029788378,0.007088246,-0.021935547,0.0048711686,-0.017320829,0.0036799822,-0.01915653,0.021210378,0.015684718,0.0087452205,0.017963782,0.024026966,0.03534994,-0.0107681,-0.019704528,-0.02813902,0.009629252,0.0071488954,0.006173544,0.018498715
90159,0.036148503,0.019520266,0.014436483,-0.007372135,0.029944345,-0.018444085,-0.017695853,0.016273921,0.005095434,-0.017696654,0.0019681084,0.0051067467,-0.020965906,0.028333092,0.016528169,-0.0036135644,0.019145885,0.007305264,-0.0020014837,0.0400875,0.03217494,-0.0041458798,-0.005561039,0.0072819795,-0.0060368995,-0.0037869997,0.029224714,0.04530044,0.002764523,0.020151168
90219,0.01102525,-0.025210425,-0.011865278,0.020692177,0.009524339,-0.033720233,0.006857434,-0.0071739503,0.014380638,-0.010391579,0.0076439977,0.00735482,0.010184399,0.0050623864,-0.024294674,-0.01634091,0.0020975436,0.0037506074,0.0059610642,-0.006270647,0.002282594,0.006710746,0.013893132,0.0032258474,0.022163138,-0.016545283,0.0077778734,-0.0075856824,0.022731202,-0.0027427562
90220,-0.028481243,0.0149055915,-0.00035994724,0.009505638,0.005178075,-0.0061692595,0.010550257,-0.0058374256,0.0058623087,-0.015268676,-0.012600097,-0.018917117,-0.026568105,0.0010728253,0.015596916,0.0013028601,0.025134942,0.014241461,0.002557148,0.011637981,-0.013930227,0.005693806,0.026510447,-0.017426966,0.007232999,-0.004445937,-0.0013712813,-0.0013625665,-0.010405769,0.003454312
94147,-0.011702041,-0.0086892815,-0.008442541,0.04807223,-0.0037529331,0.005301077,-0.009190728,-0.010130814,0.0009384576,-0.0015576115,-0.004683409,-0.016943404,0.0006775308,0.02170126,-0.0007050887,0.0032624584,0.016848022,-0.010987368,-0.020786835,0.004014091,-0.0054516797,0.04368937,0.011545968,0.016866894,-0.014492896,-0.027214358,0.002207217,-0.0124344425,0.006101699,0.012997031
94149,0.030650603,0.021348258,0.0022408029,-0.004755301,-0.0038506377,0.029163072,-0.0029981493,-0.0141730765,0.0004159847,-0.00475858,0.009448084,-0.012257166,-0.004108209,0.004509004,0.009420411,-0.004922231,-0.0007431889,0.012529095,-0.020133717,0.026238792,-0.019826468,0.012425794,0.003699207,-0.0055031762,0.024581661,-0.007622231,0.032257445,0.019134529,-0.0060731038,-0.0081100315
94259,0.009051602,0.006526375,-0.019780723,0.015054785,-0.011697699,0.012088916,0.013275966,0.00944012,0.014597054,-0.006790208,0.010507476,-0.0035040155,-0.013659097,0.001579031,0.020515423,-0.020433998,0.018298816,-0.00058145006,0.025736183,0.020975417,0.0025882393,-0.0128656,0.005002657,-0.013061722,0.028060302,0.015300487,-0.00784855,0.0014513911,0.0020424605,0.022552796
94260,-0.0029007292,0.010276393,0.006160081,-0.0130834775,0.019433813,-0.042849362,0.022794398,0.0125596905,-0.006519065,-0.01290939,0.0056196037,-0.0013705866,-0.012958366,-0.043294076,-0.010421737,-0.014832114,-0.008425873,-0.010521469,0.017911047,0.014712185,-0.0098983385,-0.0056543783,0.018334439,0.002280375,0.0027628418,0.014156714,0.0009729483,-0.010957994,0.0041910317,-0.016359486
