,Concept,Cosine Similarity,Correlation
0,bee_raccoon,0.15299630165100098,0.2960558533668518
1,bird_ant,0.1748563051223755,0.31275928020477295
2,ant_raccoon,0.14955657720565796,0.29354506731033325
3,deer_fish,0.14400535821914673,0.2712399363517761
4,bear_frog,0.1699010133743286,0.2897968292236328
5,alligator_rhinoceros,0.15079140663146973,0.2810969352722168
6,rhinoceros_alligator,0.15079140663146973,0.2810969352722168
7,bird_deer,0.16700232028961182,0.29474079608917236
8,frog_turtle,0.23293417692184448,0.4110935926437378
9,bird_horse,0.12671279907226562,0.22030574083328247
10,horse_bird,0.12671279907226562,0.22030574083328247
11,alligator_turtle,0.20962589979171753,0.39449018239974976
12,kangaroo_camel,0.16639280319213867,0.2889309525489807
13,horse_kangaroo,0.18522393703460693,0.3252445459365845
14,kangaroo_horse,0.18522393703460693,0.3252445459365845
15,squirrel_cat,0.3487548828125,0.5963968932628632
16,rabbit_deer,0.11808031797409058,0.21951520442962646
17,raccoon_rabbit,0.1294293999671936,0.246789813041687
18,horse_monkey,0.11178290843963623,0.20532190799713135
19,rabbit_camel,0.09659403562545776,0.17302817106246948
20,monkey_dog,0.13749784231185913,0.29067444801330566
21,monkey_squirrel,0.19966810941696167,0.34165072441101074
22,horse_goat,0.12542712688446045,0.23957329988479614
23,giraffe_zebra,0.5371655225753784,0.6025139391422272
24,horse_cow,0.10973227024078369,0.20111548900604248
25,rhinoceros_cow,0.17166239023208618,0.34864330291748047
26,zebra_deer,0.15149056911468506,0.27329951524734497
27,cow_lion,0.15531623363494873,0.30740422010421753
28,donkey_cow,0.16326558589935303,0.2830713391304016
29,lion_cow,0.15531623363494873,0.30740422010421753
30,bear_cow,0.13945162296295166,0.26648443937301636
31,camel_rhinoceros,0.15782928466796875,0.2980641722679138
32,cat_sheep,0.2641114592552185,0.4872812032699585
33,giraffe_donkey,0.5835424065589905,0.6664689183235168
34,giraffe_lion,0.5462546646595001,0.6050180196762085
35,cow_dog,0.14435315132141113,0.2759193181991577
36,giraffe_dog,0.7029877603054047,0.8370399922132492
37,leopard_zebra,0.1353105902671814,0.2506150007247925
38,donkey_dog,0.18888038396835327,0.3308219909667969
39,cat_dog,0.15613466501235962,0.2997887134552002
40,lion_bear,0.17758655548095703,0.35870158672332764
41,rabbit_raccoon,0.1294293999671936,0.246789813041687
42,bear_leopard,0.15049362182617188,0.2994931936264038
43,rhinoceros_horse,0.14154332876205444,0.2723744511604309
44,raccoon_lion,0.17708539962768555,0.36222898960113525
45,tiger_raccoon,0.18947076797485352,0.40923935174942017
46,dog_bear,0.17945414781570435,0.3482447862625122
47,dog_raccoon,0.16585278511047363,0.3250623941421509
48,deer_sheep,0.3216502070426941,0.5885045230388641
