,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
64617,-0.02223964,-0.025961049,-0.01572324,-0.051806632,-0.027997179,-0.0038427853,0.0037128215,0.04106508,-0.0067695403,-0.0026795308,-0.016463507,0.013090104,-0.00015993386,-0.014030684,0.016640885,0.025522731,-0.011232595,0.004212037,0.029188113,0.003044273,-0.05046316,-0.0011125971,-0.011517994,0.0072166496,0.02825225,0.011626806,-0.01969841,-0.020471772,-0.012597725,0.0073578744
64673,-0.010328688,-0.010252652,-0.01697321,-0.0065772007,-0.025233323,-0.042557042,0.014215528,0.016879456,0.0058642873,-0.006901458,-0.0069986978,-0.002118662,0.014926839,-0.021837577,0.011843368,-0.0043853275,0.035679113,0.019193629,-0.029536197,0.021639643,-0.012421447,0.026077522,0.020032978,-0.0144471275,-0.0065007745,-0.009392227,0.009077268,9.681663e-05,0.02659993,-0.008703189
64696,0.00021111965,0.007635308,0.012208181,0.0029355243,0.011619615,-0.022270447,0.00071363273,-0.014976233,0.0005731873,-0.018061345,0.012315904,0.007195035,-0.012449291,0.0153536685,0.005867465,-0.0227857,0.035871778,-0.006037049,-0.014930069,-0.018758653,-0.003287798,0.007930655,0.01563473,-0.014154901,-0.006672174,-0.010191344,-0.021411225,0.03157926,0.008897535,0.029073635
68805,-0.003999378,-0.006663926,-0.013673216,-0.014665097,0.034299802,-0.007041319,0.0050472547,0.011956368,0.0032541554,0.009887614,-0.013112831,0.060277183,0.008744585,0.00760516,-0.003368767,0.016424926,0.01282853,-0.0105624795,0.0072376537,-0.012810927,0.007988237,-0.04444245,0.038807735,0.009701983,-0.02081781,0.002462094,0.013656219,-0.016828157,-0.025996836,0.026029693
68806,0.0042933244,0.02106978,-0.008311185,-0.032576058,0.00037453044,-0.0118941255,-0.025766132,-0.006758686,0.016997397,0.015415751,-0.02280733,-0.014174505,0.002340919,-0.021666937,0.014193867,0.01593189,-0.0051075253,-0.0031260613,-0.0031623489,-0.022583514,0.0015608361,0.021534445,0.01248845,-0.027750464,-0.002165646,-0.0019182629,0.0046583423,-0.009609828,0.0020003621,-0.011716039
68840,-0.00091847713,0.0026963586,-0.008107438,-0.008783436,-0.020634457,-0.008823269,-0.011032817,-0.012203318,-0.014910463,0.013181233,-0.006019205,-0.0065700063,-0.007271332,0.002492043,0.035172645,0.00624775,-0.009453447,-0.0052411035,0.015625304,-0.02717237,-0.018602926,-0.015053506,-0.02058619,0.017533975,0.021808319,-0.020880269,0.012502051,0.00052735023,-0.010957806,0.0010994603
68841,-0.0023500824,0.014362839,0.01200633,0.025721842,0.0046754153,0.013022154,-0.012888953,-0.0034621486,-0.009206821,-0.009855126,-0.017305076,0.016917182,-0.007363899,0.027518606,-0.031622622,0.01632077,-0.0006024027,0.0007101532,0.0057403143,0.0057493798,0.0090060895,-0.00219873,-0.013867331,-0.01692196,-0.0065602995,0.021364925,-0.032742176,0.019726777,0.007368868,0.006815327
68842,-0.010113555,0.0012762273,0.0012179012,-0.014190987,-0.021446124,-0.007925741,0.009594973,0.028121652,0.009642767,0.00014907774,0.010971337,0.030721188,-0.014226854,0.011616122,0.013260814,-0.0060899616,0.025969261,-0.014816324,0.006779428,-0.036162347,0.01352905,-0.0070123724,0.010813507,-0.009456654,0.006653752,-0.020809893,-0.01715122,0.0053114467,-0.010431085,0.0002012495
68876,-0.036662985,0.010305133,-0.0044394466,0.018142506,-0.0018400488,-0.01667525,-0.011774902,-0.0031697343,-0.005817967,0.015546724,-0.01485872,0.02898088,-0.027115313,-0.031857897,-0.014854059,0.0275974,-0.020239942,-0.003462035,0.014228557,-0.002003338,0.022747928,-0.011979948,-0.0100485,0.0016853014,-0.016688531,0.02936014,0.0061370432,0.022554947,0.0073670517,0.0024384905
68910,0.015907178,-0.0027238335,-0.021421254,-0.0029565627,-0.01827271,-0.028041683,-0.021628445,0.0030235462,0.0047869124,0.013426694,-0.043188524,-0.0053595514,0.024437971,0.003419334,0.0063445307,0.0018689173,0.013013035,-0.028651431,-0.0053913034,-0.029798098,-0.03186742,0.0016771397,-0.018735955,-0.03672014,-0.021789739,-0.002681873,-0.01092109,-0.044213336,0.022343,0.0071434663
68941,-0.018733276,0.04047388,-0.020177172,-0.0021930265,-0.020306384,0.0236297,0.02080455,0.015168533,0.009882865,0.0105576515,-0.015784835,0.016538901,0.0050470345,0.049742967,0.025403874,0.0058059474,-0.011186925,-0.018497638,0.020673951,0.009200354,0.034971345,0.026324896,-0.02703617,-0.022388183,0.023856653,0.005409626,-0.017524974,-6.689768e-05,0.036539648,-0.0052454597
68942,-0.012552239,0.04654139,-0.02059305,-0.017795755,-0.009653684,0.0007021359,-0.006665218,-0.02023765,-0.017863361,-0.020305695,-0.001433921,-0.010772909,-0.002973783,-0.023913786,-0.04921189,-0.008137758,-0.011709687,-0.0061015734,0.013089369,-0.0064255595,0.004222737,-0.013098639,-0.00018003087,-0.011570256,-0.0014321441,0.029601417,-0.03299141,-0.019082358,0.012593247,-0.007005524
