,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
83743,0.009760975,0.055481795,-0.0034627065,0.017215094,-0.055592384,-0.003312289,0.031197578,-0.034103464,0.0037322908,-0.006359294,0.0045973645,0.007706786,-0.020093061,0.0011698852,-0.0055346894,-0.010678534,0.007149856,0.016387055,-0.024156982,-0.029193811,0.021491304,0.006486632,0.00086244446,-0.010466084,0.008082886,0.029420713,0.00056196563,0.02134428,0.01777857,0.03274781
83800,0.011488373,0.073096864,-0.013172611,0.009806494,-0.018052889,-0.012859288,-0.009825416,-0.020707395,-0.0030092883,0.023474194,0.004205305,0.016332196,0.0044420525,0.009455457,-0.03952024,0.0032711274,-0.028977357,0.016938629,-0.0060636797,-0.022734305,0.018354349,0.016376626,-0.0053165792,-0.042148184,-0.0032444594,0.009874148,-0.021065742,0.011407845,0.001123564,0.015851552
83801,0.01847515,0.025147663,-0.0063743987,0.00031987022,-0.027945476,0.0034951412,0.025621513,0.01966129,-0.0032206448,0.009534626,-0.012600622,0.011668985,-0.02525095,-0.014670737,0.0074379104,0.0009787589,-0.02856339,0.013105556,-0.0077385656,-0.04118645,0.04152054,-0.0051888395,0.012977851,2.7302964e-05,0.005223216,-0.009058976,-0.0051879343,0.030587899,-0.0073042964,0.021568807
83802,0.022402942,0.016677314,-0.0027891367,-0.0015238123,0.021145558,0.016465435,0.011371483,-0.025616096,-0.015363931,0.00359055,0.0072235283,-0.00667185,-0.011193615,0.031077811,0.020682955,0.0104272915,0.00766309,0.01633005,0.005771739,-0.016443865,0.0072409213,0.0024177146,0.012175503,0.001036127,-0.018682955,0.0096266875,0.011241079,-0.027913764,0.004625345,-0.0059298184
83857,0.052423548,0.0057709343,-0.008288552,0.013176869,0.0027866215,-0.02259706,0.016002404,0.012754128,-0.0030169461,0.035466198,0.017760273,-0.014357056,-0.006789764,-0.0032156606,0.024128607,-0.009906744,-0.005955419,0.013762365,-0.023687443,0.013398419,0.013240807,0.008705636,0.0050124587,0.0033283161,0.0016857743,-0.023526818,-0.024023263,0.030696088,0.0059008896,-0.02145511
83858,0.024695447,0.05514647,-0.0060209516,0.021242663,-0.026602829,-0.0046278914,0.013201485,-0.039215893,0.014975935,0.037754435,0.021164171,0.006066698,0.008316427,0.05268243,-0.000717665,-0.01254749,-0.0057640406,0.015556794,-0.0087011885,0.014012468,0.042528044,0.019190967,0.011945874,0.007514395,0.0016127747,0.01521816,-0.014165447,0.0287278,0.01661093,0.008915787
83917,-0.010772225,0.013864151,-0.03248467,-0.00495076,-0.00842319,-0.012077647,0.014932558,0.006164702,-0.0019714565,0.021137021,0.010411411,0.013283356,-0.0060928524,-0.017898684,-0.01094643,-0.02337481,0.018439332,-0.0140750855,-0.014405423,0.0047687017,-0.051671315,0.021146199,0.025849568,-0.018018994,-0.021838715,-0.030356174,-0.02518159,0.02320461,0.011287211,-0.0012000833
83976,-0.007323826,-0.0052159294,0.033173356,0.005086897,0.024026105,-0.009345288,-0.006666646,-0.011532132,0.00539347,-0.010648514,-0.011758435,0.022284994,-0.011262351,0.007948025,0.002158366,-1.3335298e-05,0.0076794997,0.023555227,-0.029153591,-0.02053334,-0.02603419,0.021911992,-0.02340117,0.022671664,0.0026636522,-0.009051,-0.0295988,0.022341622,-6.042064e-05,-0.008574037
88285,0.028172197,0.041607976,-0.011016547,-0.01734897,-0.024716953,-0.0009679217,0.007323125,0.011601108,-0.0014300753,0.011125915,0.0060782786,-0.0029381502,-0.019666998,0.035955492,0.00019950916,-0.011834048,-0.018452875,0.027165607,-0.04283456,-0.024600571,0.031567004,0.0018745136,-0.025797226,-0.016753508,0.019912643,-0.010757315,0.0014143599,-0.011626511,-0.001935288,0.019198054
88286,0.043451518,0.07667753,0.00032754568,0.03966337,-0.039499916,0.027466392,0.040441934,-0.015311814,0.0044618896,0.0114821615,0.0292247,0.02248519,-0.033031926,0.033903807,-0.020300979,-0.012107623,-0.016296389,0.042967755,-0.005521692,-0.0027841676,0.059093535,0.01793042,0.012696882,-0.005877623,0.025310183,0.020883461,0.015441337,0.03525051,0.00982817,0.025145164
