,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
83916,0.0048104688,0.017924175,-0.0041610003,-0.018699892,0.019516096,-0.016438348,-0.005269853,-0.03424063,-0.006692799,0.017136775,0.0015876394,0.02746068,-0.0047801877,0.018437574,-0.02443468,-0.051036045,-0.0063422346,0.0011080854,-0.029539818,0.03890923,0.03833807,-0.021406837,0.01344635,-0.0062232115,0.01758722,-0.0032492094,-0.009527539,0.0009379566,0.0066369264,0.022512576
83975,-0.010614668,-0.0006053929,0.026925936,0.038196754,0.0036847228,-0.020588538,0.00650134,-0.006369299,0.013766035,-0.0080499975,-0.017244423,0.021549938,-0.02595069,0.014190544,0.0052091107,-0.028257111,0.01832941,0.005619597,0.0060235322,0.0104933875,-0.031769007,0.0073488685,-0.01753995,-0.017880986,0.010760023,0.0019428796,-0.024737678,-0.0064395703,0.013842204,0.008238381
88520,0.040855367,0.036855265,0.005011872,0.035646442,-0.032314986,0.028440116,0.012760762,-0.004171988,0.009586565,0.008081355,0.010223295,-0.0022840558,0.0013585178,0.03924265,-0.034144748,-0.008588852,-0.015217404,0.031009138,0.034928847,0.029905364,0.056110814,0.011611425,0.008863298,0.054735024,0.035623055,0.0052303313,0.0051654954,0.028936505,0.030592049,0.0057170633
88580,0.0022924247,-0.02872854,0.0041196113,0.04381271,0.02363084,0.04667537,-0.0014708377,-0.02192841,0.0016358616,0.0028017967,0.0035261745,-0.027190506,-0.0021962642,-0.0066065546,-0.0036724515,0.0040307296,-0.027369207,0.0032846946,0.0058546797,0.0053991503,0.010306529,0.010557298,0.003897056,-0.017125111,-0.000117457625,-0.008511429,0.004096925,0.024507271,0.012950721,-0.017003952
88641,-0.042055618,0.01933694,-0.0024566937,0.0071604163,0.00276298,-0.0067640916,0.009118921,-0.003380077,0.012488955,0.006881464,0.013163318,-0.0121161,0.0029556777,0.01693577,-0.0038537404,0.0080600055,-0.010995011,0.002304176,0.010201791,-0.017106516,0.0014951527,-0.0072925347,0.008209708,-0.025498457,-0.00063782866,-0.022348033,0.00013468321,-0.009131826,-0.013023076,-0.0061617517
92944,-0.0063061365,-0.025802307,-0.019675385,-0.017212,-0.0016976056,0.0034290876,0.0064086337,-0.012592538,-0.0125461845,-0.009924477,-0.0070106597,0.0120623885,0.03034444,-0.024341047,-0.02827239,0.00930629,-0.005568679,0.00871414,-0.031866577,0.007875408,-0.029080821,0.0066404394,-0.025004959,-0.010300181,0.0072840913,-0.008112813,0.02284956,0.012902153,-0.011405766,-0.022952525
93004,0.013961945,-0.0073449207,0.023106122,-0.045707732,-0.021494394,-0.023845663,0.008671253,0.0061498485,0.00445474,-0.012149763,-0.0013829665,-0.0048580477,0.01615502,-0.0034106765,-0.017957,-0.009754482,0.007957831,0.018528225,0.012197732,-0.020016436,-0.015773518,-0.02007017,-0.03267895,-0.0090834815,0.028470084,-0.04198954,-0.00852792,-0.0008133885,-0.0067378096,-0.027958028
93005,0.0060689705,0.033389635,-0.027378162,0.008283558,-0.027079092,0.018840117,0.033546675,-0.00911818,-0.0031361666,0.0053516827,-0.008183269,-0.0017308897,0.014850776,0.023947762,0.00015759126,0.0021540478,0.011240785,0.011441649,0.005724942,0.0034723561,0.014452527,-0.012330465,-0.016153296,-0.0064146835,0.0038804093,0.020609844,-0.012340854,0.0048726066,0.015310782,0.008759611
93065,0.009064604,0.043732118,-0.0068490966,0.033927124,-0.022815058,-0.0020897824,-0.00610285,0.034174986,0.020522872,0.011081536,0.0158499,-0.014932235,-0.0021525586,0.06731545,-0.021136632,0.0016188351,0.0020564024,0.038821816,0.03178652,0.03736944,0.03693782,0.009345968,0.024202943,0.02888148,0.008419967,0.02126552,-0.017197737,0.05193213,0.04066478,0.0024993916
93125,0.0110398615,0.0142998705,0.016208239,0.025019556,-0.060956005,0.007658275,-0.009861481,0.007870303,0.009390815,-0.010808925,0.009538844,0.015102324,-0.0008528155,0.032118976,-0.016459346,-0.0021816671,0.014540811,0.014510359,0.032220896,-0.021634081,0.0144669665,0.020940242,-0.006346366,0.023343734,0.003036848,-0.042025756,0.0036765737,0.03668393,-0.010151625,0.0022046145
