,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
54533,0.004828471,0.009268719,-0.018063728,-0.0045029097,0.01603423,0.006482266,-0.016054505,0.011203113,-0.0023077729,0.019520735,0.0058531086,-0.006787218,0.005635874,-0.0069621503,-0.01715693,-0.033618268,0.0053214007,0.01472615,-0.009468311,0.018745763,0.028579466,0.017722799,0.008984078,-0.00898726,-0.013773483,-0.01299116,-0.0061741807,0.023445057,0.006482478,0.03143664
54589,-0.008439197,-0.036396,-0.023549957,-0.0015905626,-0.0033016987,-0.036398787,-0.043350335,-0.0011579505,-0.004566303,0.017515073,-0.024179466,-0.017649306,0.0003675598,0.0056624026,-0.033866618,0.009089813,0.00040786728,0.009588458,-0.00050072296,9.4249845e-07,-0.012220341,0.017015247,-0.025864014,0.0034833543,0.017403005,-0.015867462,-0.003621636,-0.02626507,-0.024909025,0.033597507
54590,0.022967948,0.01604394,-0.0020691727,-0.0043575577,-0.0055736736,0.0063091456,0.0010273894,0.0039051643,-0.00949746,-0.023532527,-0.024325466,-0.00056023774,0.0016698405,-0.00798605,-0.008621161,-0.021859748,0.013195343,-0.004922293,-0.02892941,-0.0153785525,-0.008699794,0.005711718,-0.015324659,0.016176362,-0.017348247,0.0013162164,-0.01399864,0.0030310228,0.022640347,0.02040751
58598,-0.0068142577,-0.012639468,0.029215505,-0.044624742,0.018846931,-0.0049541276,-0.018111447,0.022789845,-0.021880316,0.009416074,-0.0257392,-0.010058484,-0.030674273,-0.03230494,-0.034026105,-0.035269916,0.0027206067,0.020496747,-0.00078365084,-0.0017545236,0.0039810897,-0.0013362085,0.02578458,-0.0028316143,0.009327085,-0.0141610885,-0.0509869,-0.013866493,0.0066037686,-0.023543434
58711,0.018396813,-0.041370913,0.0072273468,0.022190409,-0.019612104,0.012745907,-0.01750044,0.0068468046,0.007846166,-0.016434796,-0.015948758,-0.0015231284,0.025512526,0.00577155,-0.031809624,0.011852499,-0.0052544945,0.016256368,0.023101402,0.034227576,0.0024680283,0.011854752,0.010974117,-0.014091673,-0.009771758,-0.0054762345,0.006873325,-0.0049383915,0.0056536775,0.04721049
58712,0.010123294,-0.0057735015,-0.023752088,0.010511949,-0.005777145,0.032206878,-0.011884457,-0.009348952,0.0075119045,0.0065560597,0.018413376,0.022105904,0.0017104172,-0.0048392527,0.009943464,0.0076092877,-0.013639946,0.009337575,-0.013763447,0.026735954,0.0020343682,0.029786112,-0.00067899475,0.0027160356,0.014938512,0.02525706,0.014953668,0.019841857,0.0031843071,0.0100091295
58713,0.05266324,0.0057214736,-0.007905702,0.003296125,0.009648613,0.005713694,-0.008182225,0.024047531,0.004102683,-0.027600965,0.017736208,0.0027394204,-0.010376948,-0.0043519144,-0.0034830372,-0.009833329,0.007538393,-0.010963165,0.0018708654,0.020482464,0.00032877302,0.016334543,0.0011754497,0.019453084,0.0019390009,-0.017059278,-0.021752411,0.019789362,0.039787933,0.0034141352
58714,0.042000663,0.004128575,0.0022614372,0.0013313331,0.03067634,0.02114587,-0.0038088874,0.044855583,0.0043985485,0.013262476,0.0108915595,0.017026214,0.01670746,0.026750311,0.010878071,-0.021971108,0.01683463,0.019230945,0.0014010958,0.014454181,0.033545338,-0.010402241,0.009138572,0.031155443,-0.010990796,-0.007505166,-0.0013118954,-0.015827132,0.026731119,0.0015383024
58768,-0.0025917355,-0.014109808,-0.008199439,0.009547637,-0.00032791705,-0.0046394025,0.009389914,-0.010849799,0.0008507,-0.000347962,0.006860931,0.025822824,0.0016411886,0.008119255,0.00769698,-0.003009861,0.015679698,0.012725029,-0.014651101,-0.018570928,0.011737156,-0.00017647818,-0.002085867,0.032339387,0.009984297,0.009895533,-0.0048500295,-0.0006260515,-0.0033043995,0.020055985
58769,-0.023464203,0.0038776367,0.0021758138,-0.0030977398,-0.0061987923,0.023381019,-0.0005635985,-0.02327458,-0.0137859965,-0.007911728,-0.0047960836,0.005607404,0.0033573192,-0.037154775,-0.009955064,-0.011525952,0.02829215,0.0025624626,-0.016418071,0.0026976997,-0.027238159,0.010638282,-0.009153998,0.024620289,0.0011720167,0.012862819,0.00365075,0.013037178,0.02287314,-0.011354537
58770,0.014270504,-0.029454557,0.0032278548,-0.007548331,-1.3559747e-05,0.013999268,-0.011587176,0.014626995,-9.225177e-05,-0.01914573,0.012216351,-0.016414775,0.0075689047,-0.013330359,-0.00057753146,0.0027937184,-0.014039827,-0.0061174296,0.025662417,0.0018372448,-0.03204335,0.015332646,0.0038137257,0.016505234,-0.0044932715,0.0147735225,-0.00063160755,0.0031719005,0.02453988,-0.009724998
58826,0.0031546718,0.013350122,0.0031370427,-0.021962034,0.0041680443,0.011934578,0.012506501,0.004078902,-0.009844461,-0.007642757,-0.010118668,0.015783725,-0.009610335,-0.008279272,0.025186673,0.0025383795,-0.015032836,0.0074450118,0.0062814266,0.009739255,0.0036947702,0.007224431,0.012975602,-0.021758271,-0.0055193473,0.0048352517,-0.015424125,0.0047232155,0.020778839,0.010109593
58827,0.015916469,-0.0020470582,0.014425178,-0.05975355,-0.024715906,-0.017860387,-0.0050522783,-0.0127553,-0.0062754094,0.05225672,0.0025398037,-0.019961141,0.0067797005,-0.059912425,0.008535569,0.0050865067,0.014880921,-0.0071471115,0.007431527,-0.0027512822,0.008967138,0.015334584,-0.0115447575,-0.02070454,0.002704575,-0.00532776,-0.0119651975,0.026553718,0.005567242,-0.007921128
58828,0.002531192,-0.03597824,0.0024049815,-0.027986921,-0.014697087,-0.0054537538,0.022902906,-0.008766172,-0.017714808,0.04946823,-0.010154205,0.014291074,0.01061977,-0.005192448,0.005980262,-0.019351425,0.0020806873,0.010265808,0.020903056,0.008065055,-0.0064753382,0.019642653,0.028720483,0.0049899523,0.028350962,0.0012451079,-0.003835843,-0.0019702064,-0.01352206,-0.0053437757
58884,-0.018244395,0.009929252,0.002705112,-0.0037823748,-0.02063641,-0.022794731,-0.0010954408,-0.017426414,-0.010004757,-0.019182121,0.011282533,0.009879992,-0.006273364,0.024945306,-0.0064612194,-0.02448426,0.017671084,0.014087748,-0.0104584815,0.0022119612,-0.006914169,0.011818829,-0.0361482,-0.029006807,0.022152526,0.009648216,0.007748235,-0.009556447,-0.012370785,0.0024966532
58885,0.009765369,0.0025237214,-0.00022147507,-0.026492408,0.007285666,0.020330956,0.022882858,0.018054081,-0.006046182,0.010427783,0.01594364,0.0189241,-0.035984136,-0.034297574,-0.008586467,-0.021489928,-0.016546696,-0.0049291966,-0.0023483736,0.0007306803,0.012743245,0.017234202,0.0029337679,0.004162474,0.011201471,0.002558117,0.0067269425,-0.012107596,0.0033745766,0.012170355
58886,-0.008124281,0.017397769,-0.009575228,-0.008399445,0.009574814,-0.034932587,-0.017302794,-0.021409547,-0.018729992,0.010252114,-0.021654159,4.8029236e-05,-0.020199003,0.015462603,0.0010666406,-0.008565324,-0.021345688,-0.00883092,-0.03052067,-0.019914726,-0.017673476,-0.013054297,-0.008420328,0.0027656255,0.05093488,0.00042894296,-0.002224159,0.0007052136,0.008666606,0.002292117
58942,0.015229429,-0.009686713,-0.017010992,0.01852228,0.00029626742,-0.033422086,0.027060745,-0.011877593,-0.013136472,-0.030787608,0.007842527,-0.019283598,-0.007302312,0.002503245,-0.0031902231,-0.028408384,0.01667693,0.011508551,-0.018443536,-0.0145748155,0.0028697643,0.031600475,0.009666824,-0.018418172,0.024857944,-0.0017164499,-0.0034215637,-0.008224961,-0.0016418417,0.0034834547
58943,0.01789728,-0.004976109,-0.021661794,0.0075158817,-0.006346855,-0.022821808,-0.022765113,0.04796977,-0.03504195,-0.02825971,-0.0103611825,0.0015564176,-0.012825939,-0.00851221,0.0067398413,-0.016770063,-0.0036621944,0.0041196994,0.00037418384,-0.022712037,0.0025489125,0.010383639,0.007021425,-0.022399778,-0.0006813267,-0.012537119,0.015183869,-0.011651903,0.0017288671,-0.01084882
59001,0.02690292,-0.011657625,-0.008926594,-0.018319638,-0.029526139,0.027507553,0.0059197308,-0.01630416,0.00812229,-0.012375026,0.00707536,-0.00038054027,-0.0036860444,0.031173816,0.013941719,-0.0015895292,0.0114921825,0.024091074,-0.005756905,0.0014996802,0.001755991,0.02904372,-0.0034116153,-0.016301941,0.038593862,0.02958963,0.009440531,0.009743309,0.007613423,0.016778508
59002,-0.023930676,-0.014268111,0.011027906,-0.013803567,0.008758499,0.02461405,0.000832544,0.009475957,-0.0237408,-0.010762761,0.012556799,0.00789986,0.01822301,-0.006916084,0.0048982515,-0.0048922617,-0.0035107723,0.003199591,0.017722754,0.043534145,0.003892755,0.011582977,-0.008443958,0.015940728,-0.006965045,-0.00474316,0.0013989545,-0.004841622,0.0023666488,-0.031167507
62499,-0.028675944,-0.020821406,-0.0060365987,-0.005249553,-0.017344875,-0.0107374685,-0.01570562,-0.0016493233,-0.001506852,0.0057354067,-0.0020274366,0.0012469878,0.002432025,-0.003039926,-0.0037883867,0.0076566893,-0.02035663,0.019654512,-0.017174155,-0.0034536105,-0.018367121,0.013135188,0.013378548,0.033732448,0.0014601828,0.028719082,0.0076877144,0.007691523,-0.022070019,0.014959696
62617,-0.06510853,-0.034992058,-0.0020611787,-0.03229494,-0.031003356,-0.009860463,-0.0033306472,-0.008085166,-0.02021754,-0.03155488,-0.032980558,-0.014043459,0.013187851,0.0016923621,-0.032019395,-0.023769617,-0.02056014,-0.038898185,-0.03772307,-0.034205172,-0.033510253,0.02023281,-0.027841285,-0.025945926,0.002402031,-0.024644688,-0.0072886646,-0.0684461,-0.018478157,-0.020354053
62736,-0.0030319113,-0.07639044,-0.0063085356,-0.06295157,-0.003777257,-0.043023217,0.005390248,0.015373475,-0.021022156,0.032344002,-0.007876147,0.01920552,0.011244682,-0.0303362,0.0072054937,-0.0061381743,-0.012243554,-0.049371455,-0.0279446,-0.0041415677,0.014031214,0.012524207,-0.007367263,0.019486928,-0.010771102,0.0030273024,0.017547486,-0.03326311,0.0053562485,0.0017522126
62737,-0.023044936,-0.054314245,0.007426512,-0.03460623,0.0122917,-0.0030590792,0.0010211555,0.03791715,-0.0006943538,0.0045241755,-0.0035797916,0.05081636,0.038527947,0.0052754693,-0.0017455068,0.0010126954,0.0064472617,-0.016331894,-0.0113758,0.032385632,0.0015999913,0.029511636,0.0062464015,0.039871138,0.015941476,0.026222162,0.017478295,-0.011166148,0.021089422,0.027195403
