,Concept,Cosine Similarity,Correlation
0,bee_raccoon,0.7745349705219269,0.831803172826767
1,bird_ant,0.9026976600289345,0.9623882174491882
2,ant_raccoon,0.843959778547287,0.9321417734026909
3,deer_fish,0.7735924273729324,0.7976576685905457
4,bear_frog,0.847531646490097,0.7724943310022354
5,alligator_rhinoceros,0.7296423614025116,0.8349027633666992
6,rhinoceros_alligator,0.7296423614025116,0.8349027633666992
7,bird_deer,0.6899975538253784,0.7043536007404327
8,frog_turtle,0.8350469619035721,0.8121575862169266
9,bird_horse,0.675865113735199,0.6605155766010284
10,horse_bird,0.675865113735199,0.6605155766010284
11,alligator_turtle,0.7617589831352234,0.791658565402031
12,kangaroo_camel,0.8169359117746353,0.8342625051736832
13,horse_kangaroo,0.8113326877355576,0.8157771527767181
14,kangaroo_horse,0.8113326877355576,0.8157771527767181
15,squirrel_cat,0.7753984034061432,0.8347305506467819
16,rabbit_deer,0.7350563108921051,0.7609753459692001
17,raccoon_rabbit,0.6754591464996338,0.7630032747983932
18,horse_monkey,0.6805457472801208,0.6785069704055786
19,rabbit_camel,0.8743665814399719,0.7645255476236343
20,monkey_dog,0.7672457545995712,0.7661275118589401
21,monkey_squirrel,0.8547272235155106,0.8561561554670334
22,horse_goat,0.8198453336954117,0.8235197812318802
23,giraffe_zebra,0.8783590272068977,0.8874478340148926
24,horse_cow,0.7919889837503433,0.7654355019330978
25,rhinoceros_cow,0.7665085792541504,0.8349686115980148
26,zebra_deer,0.8228230029344559,0.8282645344734192
27,cow_lion,0.9431713633239269,0.938877709209919
28,donkey_cow,0.7522169947624207,0.7389126718044281
29,lion_cow,0.9431713633239269,0.938877709209919
30,bear_cow,0.5728379189968109,0.6402566730976105
31,camel_rhinoceros,0.9683498814702034,0.9119477495551109
32,cat_sheep,0.7598987370729446,0.7837939709424973
33,giraffe_donkey,0.781064510345459,0.7759452164173126
34,giraffe_lion,0.8212232440710068,0.8167780637741089
35,cow_dog,0.796125665307045,0.7762594223022461
36,giraffe_dog,0.8077422827482224,0.7976449728012085
37,leopard_zebra,0.7458312511444092,0.7305511236190796
38,donkey_dog,0.895017221570015,0.8951051086187363
39,cat_dog,0.7054726481437683,0.6904426515102386
40,lion_bear,1.0037680990062654,1.0021371492184699
41,rabbit_raccoon,0.6754591464996338,0.7630032747983932
42,bear_leopard,0.9355704933404922,0.8610991388559341
43,rhinoceros_horse,0.8745922893285751,0.8546279519796371
44,raccoon_lion,0.9734205715358257,0.9709556791931391
45,tiger_raccoon,1.0011326645035297,0.9842820931226015
46,dog_bear,0.9582628272473812,0.9432576149702072
47,dog_raccoon,0.814571738243103,0.7981321662664413
48,deer_sheep,0.8825688883662224,0.8974376618862152
