,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
16305,0.008234707,-0.009136037,0.0036204488,-0.029762829,-0.012557241,-0.015422138,-0.009678266,0.014255222,-0.008015477,-0.036075756,-0.0070828428,0.01571444,-0.0228722,0.007296004,0.014943801,0.020725692,-0.011312594,-0.015939651,-0.0136959115,0.019819437,0.010331913,0.013324954,0.0034242647,-0.0076072975,0.017466193,-0.006251449,-0.004090292,-0.020825082,-0.027482226,-0.022617742
16306,0.011998444,-0.028482622,-0.0027603598,-0.011974406,0.00215513,0.008740442,-0.050433014,0.029576987,0.002385136,0.017364105,-1.2598466e-06,0.0077591892,-0.010708313,0.012476136,0.00094535825,0.03511339,-0.0059739607,-0.0060381605,-0.009028978,0.017219627,0.04353124,-0.010827959,0.009329133,0.01146624,-0.0092486255,-0.006905124,0.004078667,0.023844339,0.0014014797,-0.024807654
16307,-0.02073858,0.0072745434,0.009353893,-0.009041592,-0.012218193,0.0028808408,-0.0065846234,-0.006157798,-0.00040736436,0.034544457,-0.024092644,-0.007821597,-0.019859122,0.012971419,0.011434261,0.0028480922,-0.02695383,-0.0057617407,-0.0040630247,-0.002982654,-0.012438555,0.0012736957,-0.043323606,0.0057423334,-0.006187368,-0.023319898,0.0062811263,0.010547749,0.00046990687,0.016256405
16353,0.037125707,-0.00990735,0.019976104,0.030666009,0.009110329,-0.0013853307,0.0011406476,-0.016304664,0.002277204,-0.018582655,0.018388795,0.030388286,-0.009529758,0.0039230487,0.037294086,-0.0063771787,-0.0038963414,0.0010229616,-0.019475738,-0.013913718,0.031573087,0.026088739,0.013915897,-0.03209338,-0.007978007,-0.017276047,-0.0068119126,0.012854613,-0.0081744725,-0.0076145506
16354,-8.721525e-05,-0.0034092478,-0.0027035188,-0.02401053,-0.03428041,-0.0056215,-0.013842631,-0.018318055,-0.0075364057,-0.016141577,-0.015635494,0.007913553,-0.020795302,0.00080047053,0.016032122,-0.02695869,-0.021689229,-0.008330017,0.022818549,0.011846756,0.013852385,0.0038650346,-0.031018121,0.020108454,-0.01939593,-0.010292592,-0.027719148,-0.03427707,-0.019951796,-0.011775147
16398,0.017805235,-0.0043833563,-0.0013803225,0.0022052098,-0.018875718,-0.020266304,-0.009362883,-0.01941005,-0.019189607,-0.007801482,0.0053589027,-0.005695866,-0.0031717774,0.0066665425,-0.008522491,-0.005640961,0.00037013614,0.0031184964,0.0027716116,-0.022679068,-0.030660816,0.0061520375,-0.0064289696,-0.042777497,0.021039499,-0.049911454,0.0028379941,0.04082344,-0.0003866375,0.02843534
16399,-0.026254073,-0.01619105,-0.015159588,-0.005116192,0.0018818285,-0.0121363215,-0.013595301,0.012161187,-0.024569327,0.0031299738,-0.011822497,0.0076341815,0.019126374,0.009918497,0.0073329695,0.00095431943,0.013976961,-0.0011080998,-0.024024287,0.017286612,0.013042164,-0.020168776,0.019534394,0.0053307167,0.030933818,0.011177613,-0.016824244,-0.007554364,0.0023008469,-0.013799558
16400,-0.029692328,-0.016173115,0.009010942,0.028513953,-0.02597569,-0.039019734,-0.005732576,-0.016533395,-0.0049745156,0.027393533,-0.014311454,-0.034007106,-0.025152246,-0.0043513495,0.01296823,-0.008211129,0.041975934,0.009603881,-0.010732715,0.01981222,0.018655332,-0.010104764,-0.002451612,0.0012034178,-0.0015216228,0.012702725,-0.0071671144,-0.00018477156,0.0045871693,0.03681336
16443,-0.047704708,-0.024670713,-0.021612667,0.011400652,0.005262797,-0.022768402,-0.023738341,-0.016684895,-0.007948177,-0.01622242,-0.008581431,-0.008570544,-0.017332623,0.0098750945,-0.012744397,0.02454674,0.008652164,-0.00141754,-0.025940575,-0.039550498,0.01317392,-0.039859492,0.00022314179,-0.029367698,0.0073454403,-0.02315565,0.017585376,0.023240225,-0.008861694,-6.6782035e-05
19015,-0.009985275,0.012487396,0.02011591,-0.0036240972,-0.026948558,0.032459136,-0.02870212,-0.026375959,0.0037164837,0.029224366,0.016862156,-0.019234635,-0.023345187,0.016540898,-0.023664588,0.0162664,-0.027576583,-0.0038726442,-0.0064939675,0.022671953,-0.004461741,0.023461573,-0.027594006,-0.015775511,-0.01722367,-0.040958498,-0.018235913,0.0046813264,-0.011851069,-0.017362779
