,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
765,-0.0041146367,-0.03907069,-0.0060591907,0.010410591,0.0015842518,-0.034033895,0.010300328,0.011077293,0.0011360407,-0.017371377,-0.0045266026,0.011927988,0.015855903,-0.017569967,-0.0016811652,0.014819592,-0.0263604,0.00036959397,0.014226007,-0.0040603927,-0.038979005,-0.008407984,0.035789575,0.00022425973,-0.014606577,0.0075386395,-0.0007366792,0.012352324,0.0046361783,0.021075753
766,0.00233801,-0.023505049,0.021853475,0.0009999342,0.007155834,-0.008578903,-0.0026917045,0.0004162034,-0.010865544,-0.017812492,0.0040855506,0.016767418,0.008401628,-0.009878928,-0.007101076,0.018857544,-0.04450379,-0.0022493922,-0.024380244,-0.004332689,-0.0010539409,0.0025910165,0.040909607,-0.01689028,-0.0007961942,0.001292166,-0.0020144598,0.038453575,-0.0013880735,-0.025313048
767,-8.809628e-05,-0.027212553,-0.018972972,-0.009386797,-0.012015731,0.01258069,-0.03075994,-0.0012275003,-0.0039931526,-0.040175933,-0.013464165,-0.02740856,0.0028443616,-0.008611041,-0.05453353,-0.03415981,-0.025219666,-0.0016977685,-0.021229887,-0.014693666,-0.0011689657,-0.005554831,-0.008780961,0.0027505073,-0.027826076,0.019373303,-0.027218446,-0.000542912,-0.017821267,-0.02146059
797,-0.014344405,-0.009832407,-0.00012139542,0.018352732,-0.01907458,-0.0015611447,-0.018237585,0.0080766035,0.006113133,0.0336522,-0.0060062264,0.0032057716,-0.0049621128,0.0037141263,0.030863455,-0.0134898415,-0.014515117,-0.012020641,-0.0016269125,0.017925764,-0.0018832916,-0.016227076,0.0041334685,0.01100671,0.017691104,0.0106146,0.010380383,0.012347457,-0.0018374868,-0.0032237507
798,-0.016555162,-0.015439558,0.0013669619,0.027429782,0.002849127,-0.012299432,-0.0136526115,-0.018807415,-0.00070308335,0.019476159,-0.03510632,-0.004397102,0.0104375295,-0.0134902345,-0.028119104,0.00019467762,-0.0030770584,-0.0030192835,0.0031760952,0.029770995,0.0107219415,-0.012158138,-0.002907939,0.0037919218,0.002605062,-0.04550938,0.0051994487,0.0083529875,0.019171955,-0.018416153
799,-0.008177267,-0.0035818275,-0.011054485,0.0024875859,0.014499635,0.05558328,0.012429471,-0.018793346,-0.0020026432,-0.010513827,-0.013408245,-0.0020234073,0.010005771,0.015679019,-0.01381147,-0.0020222913,-0.0009875532,0.007635281,-0.010309763,-0.009168312,0.021713473,-0.015220602,0.021708658,-0.0013189049,0.03527703,0.015882874,-0.005701317,0.011103935,0.009921856,-0.02968841
800,-0.022793313,0.0016728741,-0.007271318,0.0037875085,-0.015761403,0.02686861,0.012605491,-0.03587501,0.0060475804,0.010324785,-0.020171579,0.009177155,-0.0061432463,0.029404446,-0.00013770552,-0.016366264,-0.034988374,0.009079813,-0.019137846,-0.007556452,0.008469138,0.008000144,0.0015348519,-0.005472003,-0.010495213,0.026014814,0.002417194,0.028142111,-0.030868085,-0.021574115
831,-0.032729786,-0.026649749,-0.0046248934,0.032327313,0.020304227,0.02099908,-0.0029959262,0.02423582,-0.00039090504,0.003355029,-0.0031787448,-0.019327989,0.0008617528,0.007881385,-0.031076826,0.012079752,0.03358318,-0.0022653555,0.005325636,-0.024446525,0.012529903,-0.001556764,-0.014731068,0.00045429668,-0.008527334,-0.008341479,0.021828746,-0.015969431,-0.021532098,0.037809756
832,-0.013965812,0.010546782,-0.0005052332,-0.050060887,-0.0058167577,0.02157388,-0.020800855,0.0029818958,-0.013131506,0.0036746187,-0.00020311074,0.047099724,0.003073249,-0.00551027,0.0129437605,-0.009203108,-0.007979946,0.014063753,-0.0016404074,-0.01470548,0.014112182,0.005957726,0.040009733,0.0048984624,0.031938057,-0.012843528,-0.014265166,0.0006044668,-0.009739518,0.0065710135
833,0.00390554,0.039556224,0.024468293,-0.0031972572,-0.019740673,0.03646329,-0.0037379593,0.012516819,-0.0021315154,0.008416613,-0.024421414,0.025862223,-0.0059995875,0.035454247,0.013783105,0.028963288,-0.011731736,0.009476348,-0.025993595,-0.0020322092,-0.0072224145,-0.008258426,-0.030666938,0.03840614,-0.0067569944,0.014014371,-0.0035308457,-0.017072016,0.003565359,-0.03329286
