,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
88228,0.014259501,0.049852025,-0.0051204492,0.023324499,-0.027807998,0.0012316294,0.048419222,-0.020963622,0.003242908,0.013435709,0.012406687,-0.007885981,-0.03419997,0.040685724,-0.02449716,-0.023456456,-0.03569351,0.029128112,-0.009477508,-0.014414077,0.041708782,-0.0050576376,0.001886736,-0.015854754,0.027306208,0.019568173,-0.012624562,0.022331977,0.013376216,0.02121185
92658,0.021640545,0.036582064,-0.001161584,0.04911187,-0.04997481,0.010033828,0.0025388624,0.0006137782,0.00083177426,0.031713467,0.024437318,0.010091189,-0.003073221,0.05390292,-0.011369304,-0.009606178,-0.030077957,0.023117391,-0.013896246,-0.014826633,0.03922249,0.0024628628,0.0034319523,-0.0023076995,-0.0011622244,-0.029072946,0.0010948837,0.052030727,0.016090393,0.018920554
92714,0.020539664,0.06782252,-0.005554337,0.043650333,-0.049188722,0.019461194,0.02793275,-0.024486579,-0.008800733,0.018786361,0.021007435,0.006482903,-0.031232765,0.065308966,-0.0028641324,0.0018511539,-0.017340666,0.04276161,-0.018151278,-0.018747078,0.037992362,0.0013613788,-0.0003790135,0.0011938264,0.025236836,0.031050155,0.010166845,0.033644676,0.020313807,0.035280194
92715,-0.008332101,0.032192376,0.011313214,0.041056514,-0.041692898,0.004583483,-0.03242251,-0.003981581,0.0031522624,0.02200056,-0.01202482,-0.0074384823,-0.038360212,0.023082947,-0.03551468,-0.026371904,-0.021849202,0.021607554,-0.016638204,-0.019869318,0.013144764,-0.012925726,-0.016376773,-0.0422028,0.014714256,-0.015921239,-0.013529807,0.012045048,-0.0018313583,-0.032305505
92716,-0.0028117832,0.025267972,0.027334085,0.02018434,1.7817132e-05,-0.0063962764,0.028322848,-0.029823005,0.01563727,-0.013982759,-0.014850735,0.0023886517,0.014447536,-0.0075190645,-0.011406603,0.015665283,-0.012641278,-0.0032567831,0.0027983764,0.043877717,0.017031083,-0.010880995,0.010580323,0.00897853,-0.04904261,0.03438015,0.011226268,-0.0025186075,-0.015314984,-0.00035642865
92771,0.023349866,0.056358147,-0.0053786444,0.004089566,-0.011955511,-0.0009538208,0.034384366,-0.0315349,0.0113908425,0.0107339965,0.009130112,-0.029413076,-0.03740823,0.03839884,-0.018693019,-0.004047448,-0.039675277,0.018671537,-0.015903793,-0.019149309,0.031105243,-0.0020621342,0.011658784,-0.0069511286,-0.0057505504,0.0030551034,0.016638244,0.013559832,0.017561264,0.04166789
92772,0.027546654,0.063480236,-0.00283966,0.025721585,-0.035362255,0.015230642,0.0019615034,-0.017063653,0.0064608096,-0.0013340693,0.023447698,0.013755175,-0.04579532,0.059249762,-0.032251198,-0.0010470919,-0.02566631,0.04527889,-0.007166588,-0.007553535,0.048138026,-0.005220145,-0.0018052361,-0.009968627,0.02555029,0.00079338247,0.010386422,0.021720445,0.029857248,0.020617856
92773,0.012698564,-0.0065966095,0.024686405,-0.0018801143,0.025611639,-0.0062693483,0.0263969,-0.033314258,-0.0025933902,-0.015558937,-0.0056712744,-0.027237775,-0.011882641,-0.019668898,-0.021440046,0.030807866,-0.011625315,0.009501966,-0.022194037,0.0066478695,0.002670425,-0.015453361,-0.0069370274,-0.014998041,-0.014250512,-0.008741818,0.014910962,-0.00577425,0.0042453934,-0.032953475
92830,-0.01715249,0.040647577,-0.0009335208,0.012087204,0.0013937472,-0.009513922,0.0007744522,0.009005939,0.0041309204,-0.019011846,0.021638006,0.019103168,-0.0009171457,0.008340519,-0.020970084,-0.033682685,-0.023355177,-0.0035909663,-0.007151611,-0.0064562056,-0.0014534052,-0.0020006148,-0.011991191,-0.016725706,0.024511255,-0.005807786,-0.022220736,0.021048367,0.022485727,0.009384953
92889,-0.03306758,0.0025529566,-0.009909905,-0.0008861904,0.0183579,-0.030643461,0.017572055,0.040862937,-0.0062465747,0.019268474,0.012815376,-0.015520386,0.032781336,0.0069178008,-0.0033747696,-0.030814001,-0.011588487,0.0049630026,-0.01223773,-0.026180489,-0.015408605,-0.012073677,-0.007462289,-0.011322249,-0.005709861,-0.008294336,0.005065845,0.024346424,0.0015508258,-0.0020071615
97202,0.000790797,0.04338576,-0.00051389606,0.022325084,-0.039350297,-0.0009960942,-0.008961418,-0.009406843,-0.0019215896,0.007585786,-0.00018309981,-0.012075326,-0.024416924,0.074000426,-0.006906921,-0.014439623,-0.024033874,0.022674238,-0.013864764,-0.024020454,0.038462553,0.007943927,0.02101242,0.0021892653,-0.015477409,-0.023319364,-0.0055840462,0.019704314,0.01878038,0.012284331
97203,0.008786543,0.002002961,0.00979975,-0.003329703,-0.0112590045,-0.015485417,-0.013576943,-0.02233019,0.003198118,0.0020827122,-0.005402492,-0.01689359,-0.027349992,0.025245897,-0.007988643,0.0014640841,0.020300081,-0.031290025,-0.0011823425,-0.03940636,-0.014839825,-0.012250863,-0.0042700646,0.006977744,-0.0111062145,0.014176781,-0.011067919,0.017733594,0.017784812,-0.011542462
97258,-0.0029793524,0.017366542,-0.0036538858,0.007952747,-0.04881717,-0.005381648,-0.028367117,-0.019680474,-0.0074120373,-0.016451696,-0.005556146,-0.012710191,0.009336513,-0.01684633,-0.00649414,0.017931886,0.0050873086,0.0050456855,0.02917081,-0.056945633,-0.0050013135,-0.029078467,0.009183918,0.017257063,-0.03454688,-0.008048598,0.006165461,-0.018624606,0.007923413,0.019262267
97259,-0.010455825,-0.010735345,0.0007970145,0.00372675,-0.039937414,-0.018310035,-0.011709805,0.008641715,0.0017368606,-0.009313994,-0.017658712,-0.0025945245,-0.03812978,0.030064702,-0.03410921,-0.010100979,-0.023622401,0.010489907,-0.0002586525,-0.041048724,-0.012883772,-0.023291834,-0.004123503,-0.0029678063,-0.030427238,-0.029817127,-0.015803827,-0.0039896304,-0.0069668773,-0.010227181
97260,-0.0009888619,0.005883798,-0.0019941127,0.0261603,-0.028119773,0.0069382726,-0.02325981,-0.04276836,0.006348858,-0.0017678639,-0.0062969998,-0.019217119,0.006121214,0.027504362,-0.019730689,0.020776508,0.0009087287,-0.010866601,0.030100524,0.00046854778,-0.014822549,0.009189482,-0.0111345155,-0.019810146,-0.023253636,-0.0018579519,-0.0035812,-0.012834594,0.012240683,0.044966433
97261,0.0041415617,0.016803613,-0.006684648,0.007418661,0.009078972,0.003760069,-0.019196883,0.00087256386,-0.016033592,0.033818334,-0.01609178,-0.01559813,0.00051498535,-0.0043953755,0.007815227,-0.006578339,0.003783783,0.01744018,0.018334392,0.005115803,-0.011530757,-0.012425239,0.016653007,0.0025025604,0.00094643235,-0.0056202407,0.015035283,-0.0020871721,-0.0047645927,0.019833786
97316,-0.038680688,0.020029806,0.002439013,-0.022462012,-0.044979766,-0.021562168,-0.021005698,-0.017104562,-0.0036613157,0.0054720803,-0.011260658,-0.0016220814,-0.014705703,0.016474454,-0.045017596,-0.0077026356,-0.033234257,0.031651553,-0.006798698,-0.0294338,0.013466342,0.014244395,-0.0099641085,-0.033653732,0.02116963,-0.008386001,-0.0055156816,-0.0027752693,-0.006366069,0.006221472
97317,0.0061791525,-0.013734128,-0.012448541,-0.016660871,0.007039213,0.01012782,0.029071903,-0.0102879,0.017134903,-0.01882633,-0.015854293,0.02733835,-0.010371783,-0.04179297,0.014805902,0.025269056,-0.06162289,-0.0067186244,-0.017120335,-0.012115687,0.008319482,-0.029368514,-0.027078716,0.0048125023,-0.02977558,-0.018777678,0.0076792375,-0.0027360714,-0.04231925,-0.020267634
97319,0.016417755,0.019347554,0.017655617,-0.008969945,-0.0040119262,-0.022518672,0.0070929285,0.01429363,0.014423374,0.008804312,0.0028692049,-0.027758753,-0.013764589,-0.013058376,0.014923368,0.010286552,0.0219768,0.0065219398,-0.004524253,-0.02888578,-0.00026590284,-0.02106981,0.017930733,-0.0063876086,-0.0033309783,0.030638007,0.00866453,-0.016601691,0.026354067,0.024590978
97374,-0.023525232,0.026027514,-0.0027829788,0.009652804,-0.027347192,0.009373833,-0.012705579,-0.007065126,0.0019026824,0.009096204,0.012298652,-0.0024218445,-0.028604656,0.0067203757,-0.010279681,0.010744895,-0.026238168,0.011940077,-0.0035174813,-0.004897537,-0.0020476563,-0.03255299,0.017672695,-0.011078872,0.021074804,0.0016991893,-0.018402474,0.011668388,0.0024465404,-0.0033557266
97375,-0.004404358,0.012950316,-0.008109677,0.008510717,-0.03016907,-0.004068991,0.013310597,0.0038653358,0.003706347,-0.024174122,0.0012794061,-0.0070639015,-0.01919631,0.007978695,0.030102322,0.015704853,-0.021291038,0.02294559,0.0046212734,0.019600792,-0.0063582123,0.0051692976,-0.029494993,0.0053965165,0.007620966,-0.0035882462,0.01733038,0.034215305,-0.0072366367,-0.0034381694
97433,0.0125028305,-0.014967151,-0.01733224,-0.005121149,-0.01871547,-0.008223111,0.020880902,0.027384521,0.0021203288,0.007120287,0.0054210746,-0.0005022424,-0.006875435,0.002014051,0.003677859,-0.018446524,0.009995787,-0.007338134,-0.023188159,-0.0026148807,-0.018544339,-0.0058545433,-0.033067126,-0.022466913,0.0073553068,-0.0025487319,-0.0069449223,0.0021814022,-0.015582971,-0.008717905
97491,0.00728201,0.00053749076,-0.011763833,0.0040502977,-0.008759968,-0.010903623,0.02755201,0.015784962,-0.0009440011,-0.012303635,-0.017573351,0.020331044,-0.0021108526,-0.019274252,-0.0175651,0.0057785437,-0.008368469,-0.007009737,0.010548177,-0.010220417,-0.024889966,0.0012481101,-0.0038107783,-0.018838324,-0.009233574,0.0047002803,-0.0032709402,0.023637706,-0.03006302,0.01453935
