,Concept,Cosine Similarity,Correlation
0,bee_raccoon,1.046339649707079,1.043894451111555
1,bird_ant,0.860282763838768,0.872730165719986
2,ant_raccoon,0.8826540857553482,0.8743830025196075
3,deer_fish,0.7056641578674316,0.734388917684555
4,bear_frog,0.8786334097385406,0.8785155937075615
5,alligator_rhinoceros,0.7688128054141998,0.7750273495912552
6,rhinoceros_alligator,0.7688128054141998,0.7750273495912552
7,bird_deer,0.7533761262893677,0.7304054796695709
8,frog_turtle,0.7628845572471619,0.7472724914550781
9,bird_horse,0.8117583096027374,0.8091595023870468
10,horse_bird,0.8117583096027374,0.8091595023870468
11,alligator_turtle,0.6083582639694214,0.6234312355518341
12,kangaroo_camel,0.7459442913532257,0.7606085389852524
13,horse_kangaroo,0.7709428519010544,0.7728306204080582
14,kangaroo_horse,0.7709428519010544,0.7728306204080582
15,squirrel_cat,0.7749970406293869,0.7711117714643478
16,rabbit_deer,0.7890713065862656,0.7425869703292847
17,raccoon_rabbit,0.787448525428772,0.7820525914430618
18,horse_monkey,0.7274735867977142,0.7214725613594055
19,rabbit_camel,0.7821488380432129,0.7393778860569
20,monkey_dog,0.7855243980884552,0.7455408573150635
21,monkey_squirrel,0.8456578552722931,0.8508722931146622
22,horse_goat,0.7828953117132187,0.776455894112587
23,giraffe_zebra,0.8036034256219864,0.8036437481641769
24,horse_cow,0.6258172690868378,0.5986917614936829
25,rhinoceros_cow,0.7015602588653564,0.7020523250102997
26,zebra_deer,0.6709078550338745,0.6837709248065948
27,cow_lion,0.5216116607189178,0.5466982126235962
28,donkey_cow,0.8680114448070526,0.79648657143116
29,lion_cow,0.5216116607189178,0.5466982126235962
30,bear_cow,0.67110276222229,0.6375249624252319
31,camel_rhinoceros,0.7490746974945068,0.7581245303153992
32,cat_sheep,0.8675749152898788,0.8798323646187782
33,giraffe_donkey,0.7220219373703003,0.7190302312374115
34,giraffe_lion,0.6922308504581451,0.6891531348228455
35,cow_dog,0.5574734508991241,0.6168559193611145
36,giraffe_dog,0.7850375920534134,0.7807088643312454
37,leopard_zebra,0.7192162871360779,0.73119056224823
38,donkey_dog,0.8711423277854919,0.836853101849556
39,cat_dog,0.6533839404582977,0.656634122133255
40,lion_bear,0.7144962549209595,0.711236298084259
41,rabbit_raccoon,0.787448525428772,0.7820525914430618
42,bear_leopard,0.7759863287210464,0.7737490385770798
43,rhinoceros_horse,0.7243863344192505,0.7257904410362244
44,raccoon_lion,0.7119036316871643,0.710185706615448
45,tiger_raccoon,0.6522407233715057,0.65203458070755
46,dog_bear,0.8104235678911209,0.8061419129371643
47,dog_raccoon,0.8044999837875366,0.8023145794868469
48,deer_sheep,0.663947343826294,0.714893639087677
