,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
6846,-0.01608787,-0.044513498,0.0040976363,-0.0036954794,0.010023511,-0.0135829,0.00048522433,0.016499678,-0.0033514614,0.00071800343,-0.0145179825,0.011274286,0.007876904,-0.021014705,-0.006284442,0.00422853,0.0063521974,-0.030543461,-0.00022146106,-0.005039051,-0.011273582,0.0075451857,-0.005772239,-0.025721438,0.0047107143,-0.0034020243,-0.014760452,-0.00627239,-0.0053516068,-0.015693268
8794,0.023376638,-0.018860433,-0.022726962,0.00477595,0.033793695,-0.0017702607,-0.007837574,-0.019551063,0.0025989718,-0.012097868,-0.0072590336,-0.02451256,0.02254098,-0.000968758,-0.0034482738,0.013767858,-0.0075491234,-0.009444623,-0.0005427551,-0.015100236,-0.010106885,-0.0074682124,0.00966775,-0.02641482,0.002361771,-0.020192103,0.006453987,0.0053375843,-0.003268867,-0.015149627
8836,-0.027699403,-0.021586448,-0.0046123476,0.0015350776,-0.01607557,0.026477993,-0.005318629,-0.00045389612,0.0024836373,0.022984589,-0.003191645,-0.0016652588,-0.025394239,-0.018210901,0.01470196,0.00014496657,-0.018386306,0.024715342,-0.035086196,0.008963369,-0.016674956,-0.006739099,-0.003508282,-0.026583554,0.01801058,-0.0020270178,0.018735474,0.0037540123,0.006053303,-0.03090745
8837,-0.017640783,-0.017539395,-0.02407825,0.000917401,0.021679869,-0.014286809,-0.014164381,-0.0025957327,0.0012676901,0.0016651502,-0.0033053178,-0.0019326532,0.016977483,-0.01017233,0.017859014,-0.015690664,-0.005819898,0.012194884,-0.02865322,0.0028047424,0.027797991,0.03085125,0.0019786006,0.011693711,0.011176056,0.0073530655,-0.0079347035,0.008189234,-0.013624306,-0.029960185
10929,-0.0024617908,-0.01477733,0.007814242,0.03641156,-0.011069291,-0.022006623,-0.007374395,0.01959545,0.0058676316,-0.010794039,-0.015451481,0.024366476,0.015397079,0.018308938,-0.010736798,0.0028881466,0.00038994921,0.019368043,-0.009489093,0.004108572,-0.010573782,0.019230919,-0.005646939,0.0128067685,0.010392219,-0.014060437,0.00479478,0.0011265296,0.0042368993,-0.022011893
10930,0.002100302,-0.025099782,0.014171094,-0.012631275,0.0037519357,0.013379308,0.004556471,0.0029321236,-0.0053231944,0.018219141,0.011006228,0.0067664944,-0.0001521599,0.0061034374,-0.026540508,0.0073739304,-0.015635256,0.004272685,0.024250554,-0.020642841,0.0147959255,-0.00022997397,0.04705602,0.0035724354,-0.0059588626,-0.014550236,0.0018040827,0.059630524,0.03140508,-0.049151033
10975,-0.009659096,-0.046243757,-0.001418539,-0.0067011653,-0.0105362125,-0.027255282,-0.0036344149,-0.0073806928,0.01419431,-0.013518274,-0.035184223,0.006618696,0.05264382,0.024593325,-0.0074831317,-0.0015946784,-0.008868995,0.007219923,-0.03981516,-0.017704159,0.008907053,-0.021113938,0.01477056,-0.009522443,-0.0044072294,0.006081308,-0.0060382956,-0.020936087,-0.017061053,-0.042584147
10976,0.013231818,-0.046136245,-0.012365964,-0.009009375,0.026129862,-0.0017423216,-0.01948692,-0.0035355268,-0.0016484937,0.008419889,-0.012012973,-0.033452675,0.010844972,0.0020196782,0.0016503241,0.016844915,0.008386903,-0.013954741,-0.013937425,-0.0006426101,-0.030684337,0.010505929,0.026391754,-0.01127309,-0.00847357,-0.00059485686,0.017966008,0.042193215,0.0022434127,-0.0028976651
11021,-0.0144003965,-0.00833048,0.00787094,0.01888982,0.0054627233,0.011940752,0.016692873,-0.011393618,0.00657055,0.010744136,-0.0060077435,-0.026948325,0.03427476,-0.024550224,-0.0013537109,-0.029855477,-0.017279463,-0.023279183,-0.02125875,-0.027753668,0.023944102,-0.0058189346,-0.011357992,-0.02451284,-0.0044523985,0.017630026,-0.0004480898,-0.0012573887,-0.0015331078,-0.0074469782
11022,0.013257462,-0.03726464,-0.03253427,0.007438755,0.030279137,-0.018752791,-0.0103112,-0.03296012,0.0036356838,-0.02338942,-0.031792156,-0.016228905,0.037934806,0.0054255724,-0.0037718266,0.021507429,0.007867,-0.02605327,0.00230818,-0.005259428,-0.022427732,0.02142228,-0.003715324,-0.039701745,-0.013487765,0.011399443,-0.00094375917,-0.0052286983,0.007923492,0.007428518
