,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
6792,-0.003655251,0.0077680033,-0.019996798,0.024058433,-0.02102007,-0.014978263,0.003101932,0.01584134,-0.011257685,-0.011694069,-0.0021574127,0.008933595,0.0068324604,0.022935038,-0.023328597,0.046107635,-0.023456847,-0.017875196,-0.016387878,0.0018609209,0.008581356,0.013184979,-0.010813867,-0.0019221017,0.017896594,-0.0027152083,0.0025372321,0.010923541,0.01306658,0.009206697
6831,0.014915083,-0.0006934262,0.01577797,-0.012110833,-9.424363e-06,-0.007538973,0.009523698,0.005181146,-0.0066271345,-0.030522054,0.003192133,0.0015315277,-0.0007244032,-0.005956788,-0.023826115,-0.0014678467,-0.012631975,0.0037467715,-0.035690106,-0.009928307,0.009057722,0.029865934,0.028802104,-0.005899938,0.015979638,-0.020044725,-0.010655667,-0.016130142,-0.0016196821,-0.0024449266
6832,0.013194797,0.0047050696,0.0056306794,0.004646992,-0.009334598,-0.015469885,-0.014273119,-0.002848312,0.0024172652,-0.013311128,0.0034996613,0.031560842,0.024406254,0.027270643,0.0052515776,0.0017457899,-0.0110172555,0.007102884,-0.03369497,0.004666642,0.048362028,0.021992238,0.008833266,-0.02622849,0.010928504,-0.012368254,0.0025749244,0.026515037,-0.0019443837,-0.030418893
6833,0.0010991594,0.03161001,-0.0075815376,-0.0044219866,0.01851662,-0.010968802,-0.0107096145,-0.0073301024,0.010770663,0.005740335,-0.01262365,0.012139848,-0.013849919,0.038615882,-0.0016569044,-0.02401339,0.012481258,0.010568048,-0.004045391,0.00034373472,0.0018845076,0.016321892,-0.01672343,-0.006734427,0.001682914,0.0051146396,0.008420066,0.00025522397,0.029217048,0.0026480919
6871,0.008218184,0.013451767,-0.0053874278,-0.027814552,-0.023784585,0.014911116,-0.013475329,-0.0007049583,0.022673434,0.021014726,0.00938321,-0.0027584035,0.015584092,0.026032811,-0.0028989187,0.020049667,0.0053014853,0.011745607,-0.007587341,-0.003954833,-0.018590497,-0.014984111,-0.0028422025,0.015336025,-0.03502793,-0.0065582623,0.000996003,-0.024537904,-0.0010716255,0.036034677
6872,0.026300197,0.0101284245,-0.0053248126,0.0016177706,-0.039953362,0.013229248,-0.033088785,0.013357602,0.010128616,0.010330828,-0.0062278477,0.018677864,-0.01633585,0.022954047,0.0055151526,0.018567469,-0.0056348606,0.0072650206,0.002347159,-0.0024702202,-0.0060916706,0.011245851,-0.013034634,0.01134384,0.016041676,-0.013211124,0.012166305,-0.0036784876,-0.01598779,0.02431371
6873,-0.009027739,0.02148555,0.005603036,0.011582029,-0.007980422,0.03235821,0.0089999745,0.025764292,-0.005285542,-0.0013232222,0.0024290043,-0.00012818568,0.0040386007,0.044339582,0.0017922396,0.0012314649,-0.0044151177,0.0033785806,-0.045612678,0.013193055,0.0044659185,-0.017533636,0.022179306,-0.003764156,0.007607892,0.002456802,-0.0044068396,0.014375332,-0.0049079964,-0.008305729
6910,0.0010383847,0.01445396,-0.013058399,0.008790101,0.0021747667,0.015539783,-0.008555103,-0.012180884,0.0020363242,-0.00312224,-0.03251022,0.003616114,0.018313175,0.024045406,-0.009953533,0.019950612,0.009166852,0.013377712,-0.029454231,0.011629257,-0.012881141,-0.0025192685,0.021398,0.023087189,0.062842526,-0.026778894,-0.016151821,0.041066363,0.006127493,0.023820514
6911,0.019517666,-0.002302176,0.006728133,-0.019317804,-0.013019875,-0.014652404,-0.0040273056,0.0013109725,-0.0068649403,0.0020868692,-0.0023212687,0.010016474,-0.02831327,0.0058884323,0.0045637223,0.011995979,-0.010875751,-0.0041765785,-0.00010883622,-0.0028214355,0.005150788,-0.012779082,-0.0073903273,-0.0391044,0.027213061,-0.0063177086,-0.02913821,0.029071635,0.017673954,-0.00601498
6912,0.005092816,0.028259208,0.010935299,0.019720875,-0.028361501,0.012150738,0.015959688,-0.016737714,-0.0060093873,0.0010595446,0.019534605,0.005152033,0.01623614,0.040507566,0.027048534,0.010245893,-0.010713651,0.024238547,-0.029325558,0.013766191,-0.00022406038,-0.029165415,0.0160955,0.025171354,0.02638673,0.044568773,0.012528803,-0.011354317,-0.016283311,-0.0012070499
