,Concept,Cosine Similarity,Correlation
0,bee_raccoon,0.47843867540359497,0.5073159635066986
1,bird_ant,0.39069169759750366,0.4011886715888977
2,ant_raccoon,0.38114964962005615,0.3962293863296509
3,deer_fish,0.4051765203475952,0.42045527696609497
4,bear_frog,0.48159128427505493,0.44132721424102783
5,alligator_rhinoceros,0.3189522624015808,0.33094072341918945
6,rhinoceros_alligator,0.3189522624015808,0.33094072341918945
7,bird_deer,0.4739055037498474,0.4861146807670593
8,frog_turtle,0.35249602794647217,0.37647104263305664
9,bird_horse,0.3838716149330139,0.3949163556098938
10,horse_bird,0.3838716149330139,0.3949163556098938
11,alligator_turtle,0.31793302297592163,0.329619824886322
12,kangaroo_camel,0.41124069690704346,0.4595187306404114
13,horse_kangaroo,0.3813058137893677,0.4001516103744507
14,kangaroo_horse,0.3813058137893677,0.4001516103744507
15,squirrel_cat,0.3970986604690552,0.4192463755607605
16,rabbit_deer,0.3731573820114136,0.38595736026763916
17,raccoon_rabbit,0.34633415937423706,0.3647053837776184
18,horse_monkey,0.2885565757751465,0.3015748858451843
19,rabbit_camel,0.35193514823913574,0.37345677614212036
20,monkey_dog,0.3048856854438782,0.3385612964630127
21,monkey_squirrel,0.28616130352020264,0.31673938035964966
22,horse_goat,0.3718579411506653,0.38854414224624634
23,giraffe_zebra,0.3814762830734253,0.37236374616622925
24,horse_cow,0.2758883237838745,0.28772085905075073
25,rhinoceros_cow,0.30553579330444336,0.32903051376342773
26,zebra_deer,0.42275744676589966,0.43911129236221313
27,cow_lion,0.2943456172943115,0.3135039210319519
28,donkey_cow,0.3405742645263672,0.3575407862663269
29,lion_cow,0.2943456172943115,0.3135039210319519
30,bear_cow,0.38930678367614746,0.34816890954971313
31,camel_rhinoceros,0.3829231262207031,0.414104163646698
32,cat_sheep,0.38540977239608765,0.4070444107055664
33,giraffe_donkey,0.3964195251464844,0.3965468406677246
34,giraffe_lion,0.3788021206855774,0.3763994574546814
35,cow_dog,0.31382811069488525,0.3528466820716858
36,giraffe_dog,0.4655958414077759,0.442712664604187
37,leopard_zebra,0.28151583671569824,0.3104708790779114
38,donkey_dog,0.4207978844642639,0.44156330823898315
39,cat_dog,0.415073037147522,0.43749290704727173
40,lion_bear,0.4263237714767456,0.4025997519493103
41,rabbit_raccoon,0.34633415937423706,0.3647053837776184
42,bear_leopard,0.47760629653930664,0.434884250164032
43,rhinoceros_horse,0.32496505975723267,0.33983004093170166
44,raccoon_lion,0.3739156126976013,0.3952469229698181
45,tiger_raccoon,0.3798809051513672,0.407123327255249
46,dog_bear,0.5425408184528351,0.48215025663375854
47,dog_raccoon,0.4018561840057373,0.4356488585472107
48,deer_sheep,0.40789878368377686,0.4228305220603943
