,Concept,Cosine Similarity,Correlation
0,bee_raccoon,0.7804757356643677,0.7420487105846405
1,bird_ant,0.5547982752323151,0.5577464997768402
2,ant_raccoon,0.6130815744400024,0.6266451179981232
3,deer_fish,0.7572066634893417,0.7585398703813553
4,bear_frog,0.9179438576102257,0.858875498175621
5,alligator_rhinoceros,0.685429036617279,0.6955573260784149
6,rhinoceros_alligator,0.685429036617279,0.6955573260784149
7,bird_deer,0.6849862039089203,0.6872429847717285
8,frog_turtle,0.5655715763568878,0.5612673461437225
9,bird_horse,0.5521107316017151,0.5547674000263214
10,horse_bird,0.5521107316017151,0.5547674000263214
11,alligator_turtle,0.6925552785396576,0.6835151314735413
12,kangaroo_camel,0.5765440762042999,0.5902579128742218
13,horse_kangaroo,0.6130319535732269,0.5881851017475128
14,kangaroo_horse,0.6130319535732269,0.5881851017475128
15,squirrel_cat,0.7164316475391388,0.7219533324241638
16,rabbit_deer,0.6309225261211395,0.6347511410713196
17,raccoon_rabbit,0.670491635799408,0.6885147094726562
18,horse_monkey,0.5654832422733307,0.5552982985973358
19,rabbit_camel,0.547690361738205,0.5135557353496552
20,monkey_dog,0.6452957689762115,0.652312844991684
21,monkey_squirrel,0.7264460623264313,0.7363416850566864
22,horse_goat,0.6947873532772064,0.6916118860244751
23,giraffe_zebra,0.5064490437507629,0.5210942924022675
24,horse_cow,0.4918155074119568,0.4978259801864624
25,rhinoceros_cow,0.6571250259876251,0.66480553150177
26,zebra_deer,0.6525565385818481,0.6567420661449432
27,cow_lion,0.5734277367591858,0.5766451358795166
28,donkey_cow,0.6387207508087158,0.6372933685779572
29,lion_cow,0.5734277367591858,0.5766451358795166
30,bear_cow,0.49687856435775757,0.5139337182044983
31,camel_rhinoceros,0.6363818347454071,0.6203524470329285
32,cat_sheep,0.6620999276638031,0.6570218503475189
33,giraffe_donkey,0.7733444273471832,0.7731980532407761
34,giraffe_lion,0.4908753037452698,0.49263590574264526
35,cow_dog,0.684268593788147,0.630407065153122
36,giraffe_dog,0.602358877658844,0.5394608378410339
37,leopard_zebra,0.5637457966804504,0.5577563345432281
38,donkey_dog,0.8064427375793457,0.7951837629079819
39,cat_dog,0.6415589451789856,0.6443480253219604
40,lion_bear,0.6573921144008636,0.6564867496490479
41,rabbit_raccoon,0.670491635799408,0.6885147094726562
42,bear_leopard,0.7150901854038239,0.6984945833683014
43,rhinoceros_horse,0.5906336009502411,0.5952348411083221
44,raccoon_lion,0.6507112681865692,0.6549691557884216
45,tiger_raccoon,0.7465886771678925,0.7157749831676483
46,dog_bear,0.9628446251153946,0.866771012544632
47,dog_raccoon,0.767261192202568,0.7159011662006378
48,deer_sheep,0.7271036803722382,0.7297736704349518
