,Concept,Cosine Similarity,Correlation
0,bee_raccoon,0.2729451656341553,0.38151663541793823
1,bird_ant,0.21869540214538574,0.31867867708206177
2,ant_raccoon,0.22319406270980835,0.3315880298614502
3,deer_fish,0.2213403582572937,0.3487952947616577
4,bear_frog,0.27687978744506836,0.41982120275497437
5,alligator_rhinoceros,0.17669516801834106,0.28057706356048584
6,rhinoceros_alligator,0.17669516801834106,0.28057706356048584
7,bird_deer,0.24209535121917725,0.3732137084007263
8,frog_turtle,0.1596279740333557,0.26436716318130493
9,bird_horse,0.1806233525276184,0.2805127501487732
10,horse_bird,0.1806233525276184,0.2805127501487732
11,alligator_turtle,0.14475834369659424,0.2389623522758484
12,kangaroo_camel,0.17641407251358032,0.2857062816619873
13,horse_kangaroo,0.16300398111343384,0.2649187445640564
14,kangaroo_horse,0.16300398111343384,0.2649187445640564
15,squirrel_cat,0.20719778537750244,0.32983148097991943
16,rabbit_deer,0.2152126431465149,0.33685535192489624
17,raccoon_rabbit,0.1861836314201355,0.293242871761322
18,horse_monkey,0.1422465443611145,0.2229495644569397
19,rabbit_camel,0.22563278675079346,0.35572803020477295
20,monkey_dog,0.15542441606521606,0.24631059169769287
21,monkey_squirrel,0.17483049631118774,0.2728613615036011
22,horse_goat,0.16516047716140747,0.26961737871170044
23,giraffe_zebra,0.3226533532142639,0.4155753254890442
24,horse_cow,0.13324368000030518,0.21839594841003418
25,rhinoceros_cow,0.1858653426170349,0.29708361625671387
26,zebra_deer,0.21850508451461792,0.35418641567230225
27,cow_lion,0.1892673373222351,0.28439557552337646
28,donkey_cow,0.21853601932525635,0.3400210738182068
29,lion_cow,0.1892673373222351,0.28439557552337646
30,bear_cow,0.20411425828933716,0.30862754583358765
31,camel_rhinoceros,0.22154051065444946,0.3498838543891907
32,cat_sheep,0.25917553901672363,0.40028446912765503
33,giraffe_donkey,0.3261259198188782,0.41861581802368164
34,giraffe_lion,0.35779380798339844,0.4584299325942993
35,cow_dog,0.17106777429580688,0.2855294346809387
36,giraffe_dog,0.33459484577178955,0.4325864315032959
37,leopard_zebra,0.19455689191818237,0.30323219299316406
38,donkey_dog,0.2348061203956604,0.36674368381500244
39,cat_dog,0.17701709270477295,0.2876715064048767
40,lion_bear,0.2208424210548401,0.31747978925704956
41,rabbit_raccoon,0.1861836314201355,0.293242871761322
42,bear_leopard,0.28321272134780884,0.4152801036834717
43,rhinoceros_horse,0.18976479768753052,0.30047887563705444
44,raccoon_lion,0.21791726350784302,0.3260380029678345
45,tiger_raccoon,0.18303143978118896,0.29375994205474854
46,dog_bear,0.24543321132659912,0.37347596883773804
47,dog_raccoon,0.1849537491798401,0.3030638098716736
48,deer_sheep,0.2592218518257141,0.40013545751571655
