,bee,cat,squirrel,ant,goat,raccoon,frog,kangaroo,leopard,fish,camel,penguin,giraffe,horse,zebra,alligator,rabbit,lion,cow,tiger,elephant,sheep,turtle,dog,rhinoceros,donkey,monkey,bear,bird,deer
60634,0.014703207,0.045992676,0.021355346,0.042722654,0.019426035,-0.004185051,0.002575074,0.011628834,0.037704572,0.028376708,0.05502136,-0.011091498,0.02232037,0.022257507,0.075785935,0.055755366,0.03318431,0.08139269,0.011478069,0.06994826,0.029618477,0.04456834,0.056352574,0.050589617,0.035578057,0.030226154,0.038166348,0.03549934,0.055656806,0.013131672
64905,0.027117195,0.07587979,0.056086585,0.035926018,0.020095384,0.008179267,0.047887344,-0.0058712326,0.06497089,0.017316746,0.044973385,0.0015600091,0.012609333,0.016490784,0.07321473,0.050329044,0.028701834,0.041034777,0.049008977,0.030694164,0.03530769,0.028592348,0.05302407,0.0010064485,0.05175281,0.05121772,0.047333285,0.029964672,0.0017273471,0.05164081
64931,-0.01869961,0.01475669,0.021687001,0.019681664,0.054148942,0.05080353,0.052287083,0.0047662514,0.05348817,0.021219455,-0.0062433127,0.023873733,0.012400988,0.012749913,0.0053978506,0.021934329,0.0020092775,0.046470314,0.059202645,0.0007407237,0.037980553,0.06369265,0.01225618,0.06948716,0.0141112665,0.052311312,0.043586288,0.016043445,0.05477127,-0.00074796006
69239,0.034286264,0.057538938,0.06103891,0.025027351,0.009908131,0.032599576,2.2177894e-06,0.024334366,0.037349,0.025534617,0.03332003,0.0043800552,0.038018893,-0.009873728,0.07058679,0.05016361,0.046738792,0.06170429,0.051707234,0.0616285,0.012466905,0.06394157,0.03313911,0.06643856,-0.0035090402,0.010301665,0.037568476,0.008762394,0.037495386,0.029937232
69240,0.008138155,0.008068523,0.023335911,0.0162077,-0.010794501,0.04459125,-0.028871218,-0.010457112,0.018433096,0.04130167,0.0067519303,0.00864689,0.02825392,-0.013277979,0.036124844,0.03151842,0.041341655,0.048760146,0.0354243,0.04104534,-0.007939919,0.03819321,0.05470478,0.0105392365,-0.005020537,0.0012362724,0.032923754,0.03893544,0.048340335,0.007989998
69241,0.002754339,0.042276163,-0.0063940044,-0.012608812,0.004596539,0.0026253953,0.005862024,-0.0144060915,0.019056726,0.035425823,0.004380815,0.034994952,0.00017147946,0.001671028,0.007726427,0.0129691325,-0.010004751,0.038606647,0.007147392,-0.006897202,0.0460781,0.017350907,-0.002964291,-0.017534105,0.0013444865,0.016715173,0.026579231,0.005105899,0.017671622,0.047929257
69260,1.4027891e-05,0.025340287,0.028717654,0.009323933,0.002694364,0.03316014,-0.020435566,0.019434402,0.044779643,0.015788117,0.010994404,0.008382714,0.018409483,0.00081348885,0.04805476,0.019023258,0.0090024015,0.055288997,0.018763559,0.06713704,0.0047869617,0.0091951,0.047525868,0.054951232,0.017052123,-0.020081436,0.016971791,0.024039587,0.042725977,0.01761234
69261,0.009663324,-0.00744075,0.03182838,0.043618936,0.01092757,0.036303114,0.008684692,0.048055086,0.104504466,0.01355797,-0.0035236282,-0.03202841,0.010959004,0.012103626,0.062664956,0.04999171,0.030528845,0.070863314,0.024969228,0.05785665,0.04883449,0.06043764,0.06636893,0.041803602,0.04024082,0.01843168,0.050442338,0.027946139,0.07338505,0.041061927
69262,0.013130307,0.060544755,0.048745055,0.048253715,0.0036135092,0.070621006,-0.005147338,0.048598304,0.058501437,0.017777158,0.041077927,-0.01580145,0.024743997,-0.00019156747,0.07944859,0.05994916,0.036538284,0.055028576,0.035770103,0.048234284,0.048773054,0.06379291,0.040086865,0.041854423,0.0050177644,0.047213655,0.04428349,0.030378526,0.052469183,0.03191524
69263,-0.003843883,0.018300487,-0.0128718205,0.0014656835,0.020522745,-0.005119905,-0.017375426,0.0071857832,-0.011711552,0.008628684,-0.021234721,0.018482046,-0.0077218213,0.005727075,0.02683334,-0.00853401,0.027455235,0.022607565,0.005420556,-0.011919635,-0.020918468,0.040765442,0.003363205,-0.0041841175,0.029825397,0.020512076,0.010602936,0.008497994,-0.0096156,0.012068871
69282,-0.005040959,0.017764254,0.02201871,0.019084292,0.04803425,0.024031779,-0.00057838025,0.0028912125,0.022461161,0.016305344,-0.005760759,-0.0006388196,-0.0017057145,-1.5736092e-05,0.055982146,0.021061324,0.021530269,0.040420357,0.022349492,0.009916942,-0.019464297,0.028839894,0.046983704,0.03547417,-0.02797768,0.026412174,0.01046447,0.022172146,0.030167336,-0.022094628
69283,-0.0023567202,0.03053236,0.0075139017,0.028022647,-0.033618752,0.004063517,-0.004354811,-0.026300693,0.043011833,0.007241398,0.0050574434,0.0011922371,0.017648077,0.013219056,0.023177369,0.025367536,0.015605929,0.009318703,0.03127948,0.007695881,0.029737242,0.034304995,0.048642557,0.048106615,-0.013375331,0.052612867,0.03222221,0.02610661,0.017539298,-0.0026302803
69309,0.019748667,0.014247646,0.015165217,0.030954236,0.012992549,0.023019677,-0.0259,0.015065398,0.036862344,-0.011020401,0.003077576,0.0034284077,0.022782063,0.017018253,0.0062831654,0.024813913,-0.01058786,0.013263621,0.026080057,0.002052296,-0.022160381,0.030657038,0.020002034,0.020310914,0.013823564,0.035640087,0.021997474,-0.003401485,-0.002088428,0.0144117465
69310,-0.0059020445,0.0568625,0.045005146,0.0024204468,0.013257089,0.07405663,0.016308904,-0.006846167,0.032316793,-0.0046726554,0.003894288,0.010315449,0.0331658,0.021055544,0.009928596,0.0062849186,0.01900792,0.05302781,0.041513294,0.016038394,-0.0047879606,0.060366303,0.033392105,0.04365692,0.004493705,0.012292423,0.02976319,-0.00047373524,0.025955865,0.0035678968
69339,0.02419995,0.014683701,-0.011617609,0.022005068,0.066712104,0.027510365,0.0023582296,0.05248259,0.049842212,0.016435174,-0.035786394,0.0303087,0.012520588,0.031728465,0.0014904154,0.037239324,0.00997744,0.047641445,0.0188472,0.05073333,-0.002146045,0.013535273,0.026624111,0.051923607,0.008413955,0.0010816181,0.02964773,0.014633607,0.033677008,-0.0011069017
69340,-0.04878806,-0.030803064,0.04608195,-0.0047282088,0.048988566,0.008952344,-0.010023397,-0.015242462,0.025548918,0.04835083,-0.01755403,-0.008872314,0.015852397,0.013422611,0.014075544,0.007630098,-0.009212249,0.013574527,-0.008703974,0.015939524,-0.029976042,0.013804047,0.03493536,0.0028764075,0.016943695,0.029808342,0.0043945857,-0.013690372,0.0040494804,-0.007233996
