,bird,tiger,donkey,rabbit,deer,camel,goat,sheep,cat,kangaroo,rhinoceros,penguin,frog,lion,dog,squirrel,bear,turtle,elephant,ant,horse,alligator,raccoon,cow,leopard,monkey,giraffe,bee,fish,zebra
26193,0.025476262,0.016327905,0.012715782,0.017476117,0.040746182,0.08666461,0.039835554,0.023164684,0.039859556,0.04908182,0.062396806,0.048483755,0.02622132,0.022561627,0.046959773,0.049114738,0.05307236,0.046422,0.057402503,0.048432857,0.034399927,0.021520516,0.035565976,0.049611997,0.04004815,0.04684947,0.06326194,0.053339977,0.013426847,0.069549374
26194,0.0016817997,0.029503323,0.011925117,0.012412384,0.05518559,0.051881105,0.012376145,0.016943544,0.00067755766,0.052861914,0.027554566,0.049135778,0.01813783,0.04966343,0.05680004,0.026201254,0.051882233,0.039101396,0.02532685,0.011404534,0.04424161,0.020133452,0.039033633,0.0408222,0.054913584,0.031743098,0.049170185,0.019706616,0.006774184,0.04106904
26230,0.064693995,0.053992223,0.035200387,0.037449133,0.02531922,0.056520205,0.05700129,0.0031037673,0.0040658056,0.03094437,0.040006574,0.034427658,0.05560864,0.051904883,0.03154436,0.008879288,0.037677586,0.017559646,0.0348174,0.038683143,0.024817897,0.022407023,0.03931124,0.028084816,0.022444764,0.025310488,0.016353913,0.02331472,0.04968312,0.009598254
26231,0.07073196,0.06083669,0.056074172,0.03364269,0.06339731,0.058476735,0.049892247,0.036908202,0.038266055,0.09414796,0.0595223,0.056928974,0.08331216,0.07920845,0.07260755,0.057442814,0.045376807,0.029145852,0.04214548,0.030967392,0.059423197,0.043348033,0.024895566,0.033765797,0.063977845,0.047381815,0.08138902,0.06623287,0.042071845,0.051128626
26232,0.07906843,0.04732391,0.028504776,0.0369487,0.07482763,0.05181482,0.06167935,0.045897488,0.025667345,0.08147686,0.08902899,0.07180866,0.04020788,0.0882028,0.086525105,0.07893049,0.095148414,0.053280275,0.07852449,0.042340804,0.030530443,0.030938609,0.058998782,0.04014758,0.0734525,0.047191728,0.06233577,0.041298848,0.038314845,0.05454671
26272,0.041495267,0.08121582,0.045302257,0.022522891,0.043348502,0.06350113,0.056060206,0.024930894,0.05017905,0.12214277,0.034364283,0.06271695,0.067587405,0.034913488,0.08155153,0.054794785,0.04487395,0.06426252,0.053155717,0.04896407,0.08919143,0.08112063,0.0677079,0.08389217,0.08951402,0.052296653,0.036699817,0.018863758,0.037352357,0.067432016
26273,0.0449003,0.034103967,0.015851334,0.0054993425,0.02375898,0.00267554,0.0562574,0.044810344,0.07054738,0.07337826,0.03307132,0.03806718,0.066530384,0.017468352,0.040941034,0.018866597,0.036171433,-0.012006689,0.010348239,0.028714573,0.047967523,0.012152462,0.04177865,0.023970628,0.058457363,0.05641578,0.005957464,-0.01586658,0.026882743,0.035691418
29539,0.014458987,0.1044843,0.030665128,0.046179492,0.028770907,0.045342445,0.031681247,0.028056448,0.091137566,0.018159917,0.04070211,0.022006921,0.013693796,0.033718184,0.06624197,0.016164573,0.08219858,0.01611008,0.04129231,0.01291016,0.05499925,0.0051644035,0.024805017,0.04389584,0.0007928107,0.035402425,0.031683058,0.04671979,0.033249963,0.050182417
29540,-0.0011700665,0.040976394,0.032628972,0.03504332,0.011239004,0.011985179,0.03518372,0.020745063,0.023470514,0.0031960038,0.0046583666,0.01236795,0.029456293,0.025792062,0.020778393,0.04412727,0.010214587,-0.014897543,0.04818617,-0.010188576,0.0002988044,-0.004624416,0.018448776,0.042255465,0.02528617,0.011105082,0.03063907,0.027955165,0.020211967,0.021817818
29541,0.0053183306,-0.0003591118,-7.992331e-05,0.0039775213,0.01577314,-0.00056835805,0.011105114,0.017993147,0.02382911,-0.006332778,0.041917834,0.0065365047,0.034028295,0.008482995,0.0019322777,0.035390966,0.026190626,0.024061732,0.025541639,-0.0018732063,-0.0016984852,0.018678386,0.0075083226,0.031556908,0.00064822845,0.011943236,0.028316787,0.0075985068,0.02449778,0.015879376
