,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
6306,0.0038128432,-0.0014582727,0.0010201908,-0.012837612,0.042497676,0.0073830686,-0.024192901,0.023288699,-0.0021369515,0.019771026,0.013510284,0.0068851854,-0.017886503,-0.007643053,0.0074542183,-0.024738675,0.008656587,0.0070786527,0.00986591,0.012188405,0.011308945,-0.021810288,-0.015231957,-0.007076396,0.025623396,0.01284356,-0.003248755,0.028100887,-0.010767557,-0.016283715
8129,0.016690908,0.018713357,0.0032959592,-0.015780041,0.02050505,0.0019167243,-0.012818719,0.014074781,0.0024951377,-0.0071508475,0.013865595,0.03788924,0.012856509,-0.014338329,0.011978914,0.03058909,0.007437983,-0.0032739292,0.0013021367,0.021046272,-0.020237394,-0.02169557,-0.0049951244,-0.00917339,0.009597123,-0.012612469,0.023807578,-0.017083578,-0.012906562,-0.008289469
8130,0.011180914,0.005920086,0.014808554,-0.024558587,0.046685565,0.024075776,-0.00031199548,-0.021421969,0.011220478,0.038902644,0.008341008,-0.026849458,0.0135312155,0.010883485,0.036015175,-0.007901131,0.011582422,0.021772476,0.004378905,-0.0009056271,0.0059699602,0.012246226,0.0073488173,0.009095169,-0.007804872,0.0059140525,-0.017972542,-0.0029175573,-0.023325974,-0.031175932
8131,0.01373027,0.023895532,-0.004763887,0.0074378178,0.018035443,-0.018466892,0.015252433,-0.005220072,-0.016256891,0.013419636,0.0058294497,-0.008063503,0.018748067,-0.002530692,0.020618357,0.017066173,0.008146377,-0.0057609803,-0.01462724,0.029048681,-0.01213028,0.009544344,-0.014540535,-0.008671739,0.0017622301,0.020054976,-0.014736764,-0.030647375,-0.010958518,-0.011382282
10146,0.020868354,0.013587057,0.010707016,-0.025843635,0.013501392,0.01565406,8.400964e-05,-0.0022009537,0.003953456,0.009116945,0.023342973,0.013609342,-0.01125479,0.024388926,0.020194987,-0.012026335,0.010577981,-0.007925339,0.00018633048,-0.016573645,-0.010729615,-0.0011429297,0.0017515394,0.0068946797,-0.010016287,0.006526629,0.014152028,0.0042441064,-0.037311215,0.0064609046
10147,0.013479449,0.042050645,0.01474236,-0.018690124,-0.0015053382,-0.013580459,0.009646003,-0.018203346,0.0056371707,0.0056159925,0.020036671,0.010013787,-0.009527498,-0.020643922,0.008994908,-0.025098696,0.012257111,0.014918308,-0.032296974,-0.0020355005,0.010112481,0.00038543003,0.021348702,-0.009513877,-0.014788666,-0.0013509198,0.0021940016,-0.0067402557,-0.016941475,-0.013597231
10180,0.010154474,0.0026854363,0.013746541,-0.01958412,0.036043555,0.014188132,0.024376797,0.022170156,-0.004763965,0.029013203,0.011235251,0.03456044,0.021194289,0.02106916,0.025404423,0.011918235,0.01190111,0.024594016,0.0063182786,0.012859548,0.03097944,-0.035353635,-0.04951613,-0.02400515,-0.01849009,-0.0022975,0.007031456,0.013950966,-0.0070842784,0.028198546
10181,-0.018242111,0.01304433,-0.0044005266,0.005286413,0.01977379,-0.04232092,-0.002521177,0.012083083,8.559056e-05,0.019029923,0.0075490647,-0.01170553,0.008118202,-0.0055738618,0.006408401,0.009410177,-0.0024519332,0.027960708,-0.0019705228,0.0022982869,0.027053066,0.006744308,0.0075367596,-0.01859361,-0.010716702,-0.008711284,-0.00682134,-0.003729455,-0.0139122335,0.0009228435
10217,-0.018888542,0.0016092556,-0.013600473,-0.02129346,0.0074710324,-0.015212327,-0.0188093,-0.0049578776,-0.0047445833,0.016718194,0.010335234,-0.016749645,-0.015420216,-0.003209898,-0.0032177176,0.02218481,-0.010759703,0.021648942,-0.02812366,-0.013551426,-0.0043956176,-0.037491392,-0.021746412,-0.025070056,0.015719747,-0.02698377,-0.021762865,0.0014164642,-0.01120818,-0.039222505
12366,0.009506307,0.025585124,0.04934478,-0.0253174,0.03992657,0.025829757,-0.0015558228,0.015159612,0.0008623938,0.010049227,0.046919424,-0.004488509,0.0015395172,0.0028449285,0.05507961,0.03651679,0.010636023,0.015953543,0.017986888,0.012692911,0.015037671,-0.008594845,0.016453436,0.0044500735,-0.0073256134,0.00069370744,0.020197826,0.025834342,-0.053138796,0.0096579
12404,-0.030978812,-0.009041048,-0.0031577323,-0.023892596,0.06596302,-0.004507124,0.033046205,0.0271032,-0.0016827313,-0.00080955867,0.013105237,-0.0040025525,0.029842148,0.023513878,0.030799335,-0.0026642308,0.015117588,0.022872679,-0.009531331,0.0073250756,0.025357848,-0.004177118,0.0004298063,-0.03944068,-0.010860603,0.0113539295,0.01116404,0.014183126,-0.043629188,0.0036966763
12405,-0.006675158,0.01646751,-0.009126331,0.033003222,0.012846195,0.02219543,-0.033151854,-0.016034238,0.0028685408,0.028080931,0.009362094,0.0055287923,0.042660415,0.025836235,0.020418728,-0.009482722,0.0015964756,0.02872806,-0.009717346,-0.0092569,-0.009296311,-0.004175887,0.020954182,-0.026581654,-0.024890183,0.0013491038,0.0015266106,0.021825342,-0.031840872,-0.005171545
12444,-0.015507278,0.0036468168,-0.0039207055,0.0015961487,0.06757542,-0.011375862,0.008179664,0.033180464,0.011739682,0.017793478,0.011483365,-0.018309694,0.03166868,0.008344688,0.026129052,0.011582346,-0.0027679203,0.0045104492,0.00018059959,-0.0014218291,-0.004839606,-0.003477596,0.0043710214,-0.019479731,-0.0016725361,0.003609454,-0.012764501,0.00024982853,-0.023585582,0.011238764
12445,-0.022595963,0.005298913,-0.008325613,-0.029643448,0.014514896,-0.0190831,-0.011955609,-0.009049154,0.0077733956,0.025080346,0.023331707,-0.018542672,-0.00041914018,-0.011280646,0.018393278,0.0091418335,0.0057615326,-0.0050591724,-0.004184242,-0.018816339,0.015717672,0.010734457,-0.0026944035,-0.017047534,-0.019182744,-0.01047741,-0.020164484,-0.0005067966,-0.011100873,-0.025966803
12446,-0.02800972,-0.014642746,0.001434893,-0.024310974,0.011940883,-0.023611916,-0.006376277,0.0148842605,0.004091576,0.03934144,0.02639988,0.0020107988,0.040215906,0.022327283,-0.002366619,0.013452712,0.00030128317,0.011490178,-0.0017478947,0.022329604,0.039251488,-0.0020592872,-0.008174269,-0.028307224,-0.010868259,0.021248454,0.007844223,-0.008047964,0.010807522,-0.026004309
12488,0.00073512987,-0.0107346065,-0.008968146,-0.028199315,0.014730365,-0.012750517,-0.036956523,-0.015850484,-0.027044632,0.008419792,-0.004533458,-0.0029584293,0.015650874,0.0022784972,0.0032369278,-0.0019632995,-0.016696883,0.008845202,-0.03983943,-0.01902686,-0.009254114,-0.037813466,-0.029654449,-0.019278074,-0.009725598,0.018753665,-0.0011961831,-0.014424093,-0.044822544,0.010683448
12489,-0.02894742,-0.032638922,-0.0051107053,-0.0060954317,-0.0027336634,-0.017870894,-0.006887585,-0.006172515,-0.0033924852,0.011591621,0.0032597308,0.016247792,0.0024134775,0.002451197,-0.0022613432,0.027553728,-0.01516759,-0.008359664,-0.015698958,0.0015991721,0.011218712,-0.005145673,-0.041009486,0.00567466,0.01245929,0.016036706,0.00928109,0.008853658,0.001833722,0.00084694166
14816,0.0366239,0.02576415,0.04266921,-0.03455549,0.03993249,0.07625653,0.024323061,0.045449894,0.0044706636,0.0029459028,0.052694064,-0.003486532,0.00019272044,-0.00038152313,0.024410868,0.014218949,0.032772247,0.022656469,0.016417427,0.01922566,-0.0030900675,0.028695164,0.009396557,0.0037226623,0.036729846,0.02043272,0.012540392,0.015283279,-0.04778276,0.009678219
14817,0.025737368,0.0016275203,0.01036753,0.005031529,-0.020566327,0.008608537,0.004845904,-0.02014289,-0.014235411,-0.029300593,0.0066503026,0.019849136,-0.02901817,-0.009020993,-0.019347778,-0.0049499534,-0.0019208008,0.022355666,-0.003297833,-0.0050540497,-0.0065519926,0.012795497,0.0054372824,-0.019101499,0.007026958,-0.008853146,0.0036999367,-0.015097828,0.010022144,-0.0032776669
