,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
68320,0.01470014,-0.009176743,-0.015905721,0.027398566,-0.0012958618,-0.00013794191,-0.01272266,0.00015545543,0.0031036714,0.017059399,-0.00040094755,-0.019377176,0.0063667283,-0.015387059,0.02017852,0.008657508,0.02670069,-0.0024065927,0.009071125,0.008912676,0.0020676854,0.012584365,-0.0013025788,-0.0102691585,0.005763475,0.018098561,0.00073063886,0.028554246,-0.026660427,-0.0106856935
68379,-0.015600279,-0.0077945613,0.010776271,-0.021762257,0.012535062,-7.6329336e-05,-0.0016532143,0.0460545,0.007150503,0.009338413,-0.008652862,-0.032229442,-0.01443701,-0.004225987,0.013312031,0.0060978495,0.012061146,0.022891885,-0.0019178583,-0.018254524,-0.026523426,-0.01205957,-0.03331012,0.006683526,-0.02806533,0.0020175031,0.0043707974,0.008681574,-0.015376101,-0.017703863
71923,-0.0005608015,0.014029678,-0.012034219,0.002117955,0.004678113,-0.00964427,0.011853643,-0.025944838,0.0034807709,-0.0067206845,-0.0017556123,0.034948673,0.0009766463,0.0023132141,0.004542125,0.008615585,-0.000806042,-0.0013528693,0.016578374,-0.0015976969,0.012812811,0.00792186,-0.00034620115,-0.015792446,0.019998055,0.009041693,-0.00088383415,0.00046764003,-0.0034343004,-0.034114186
71983,-0.010530808,0.00014564891,0.007131892,-0.013929897,0.013273868,-0.0042130332,0.017322931,-0.03278717,0.011404273,0.013611239,0.00802926,0.015889991,-0.031339124,-0.0032192152,-0.008061875,-0.009198411,0.023735737,0.01091563,-0.019421393,-0.012058477,-0.0035159208,-0.01603622,0.033685822,0.00029014642,-0.012904062,0.009943396,-0.0017566268,0.021247676,-0.0054546576,0.013105023
72099,0.012730691,-0.024620831,0.0019003995,-0.004977861,-0.015433793,0.009726841,-0.013598784,0.015783938,0.0052253357,0.021850089,0.015358199,0.0045476314,0.0194474,-0.007200705,0.040198524,0.0029905627,0.033914823,0.0006674696,0.010627635,-0.00062268134,0.0069425316,-0.008725141,-0.010047058,0.01968851,0.0043650926,0.021159142,0.009225074,0.018957572,-0.039687764,-0.018338973
72100,-0.023241809,0.013602033,0.007005812,-0.0043239463,-0.016618354,-0.012093365,-0.028140256,0.007452196,-0.014776103,0.02298376,-0.0020557016,-0.018908378,-0.009089571,-0.020923091,0.0016709709,0.0018975139,0.0041279257,-0.0074749067,-0.009813652,-0.012658273,-0.008308138,0.004258881,-0.03245346,-0.0017675726,0.015744815,-0.008262784,-0.00574443,-0.015180983,0.0102883335,0.0029261075
72101,-0.018830784,-0.011346162,0.001944799,0.013924257,-0.01978568,0.028957246,0.008859619,0.0061515584,0.008154052,0.010405879,-0.028550021,-0.02744999,-0.031882185,-0.0022516076,-0.016981035,0.008638204,0.01233917,-0.020849144,0.013020786,0.01727278,0.019793697,0.05005218,-0.05063003,-0.01696006,-0.024633706,-0.009388915,0.0049455143,-0.015623673,-0.0005080798,0.017475994
72102,0.00137316,-0.006584234,-0.022253862,0.009306005,0.015250694,-0.026088811,0.008214858,0.009926758,-0.0063465987,0.008096296,-0.0017260021,-0.00732526,0.0032046216,-0.0014433926,0.008419411,-0.014621339,0.003068467,0.0032576292,-0.008531623,-0.022848753,0.012112337,-0.018927231,0.016921617,0.0010872092,-0.0026900556,0.02516712,0.010721847,-0.020997116,-0.0032943394,-0.00015174784
72158,0.014573619,-0.031485707,0.0060601705,-0.034451615,0.0056513287,0.011888451,0.0015304666,0.022342702,-0.0024586606,0.02754181,0.00946865,0.014496781,-0.011609722,-0.02671734,0.015185758,0.017676136,-0.0057126735,0.012870289,0.0009211435,0.008662599,0.0020562327,-0.0056772404,-0.022210693,0.026935762,-0.0075251698,0.0123528065,-0.0087786885,0.013860087,-0.03019558,-0.031031251
72159,0.024300367,0.013818782,0.00685415,0.021120524,0.0040882644,-0.00041021718,0.021613093,0.0083941985,0.009171214,0.0054665743,0.023311967,-0.010253731,0.027717575,-0.0024436687,0.0010457486,0.0059071085,0.008511516,0.00031295637,0.0030198388,-0.016780771,-0.004287176,0.014678415,-0.0077450783,-0.021975376,0.003539128,-0.007279213,0.00537241,0.019297268,-0.0056749186,0.010797112
