,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
2120,0.02922081,-0.02173227,0.01746612,0.057207707,0.00837683,0.020241382,0.0020687238,0.04012661,0.026247831,0.018710498,0.0006079804,0.019101558,-0.022069372,-1.1915341e-05,-0.009779233,0.019270264,0.013348085,0.0116652055,-0.022008559,-0.019664833,0.014285513,0.007889665,0.011851669,0.0015886525,0.019340666,0.039965127,0.028717391,0.0062304786,0.006733021,0.0013762502
2144,-0.01215304,-0.033686765,-0.032696728,0.0141119985,-0.020881504,-0.0225963,0.031175256,0.012567863,-0.012665299,-0.00026270375,0.00022216451,-0.014864068,-0.02096645,0.02267775,0.00012420242,0.0019422969,0.015795454,0.023809686,0.044570595,0.006973827,-0.03802031,0.06499992,-0.014333472,-0.010601793,0.002168281,0.029930184,-0.022540538,-0.016394204,-0.014739264,0.0023805157
3095,0.02105127,0.036122177,-0.0010403417,0.027692353,-0.0029759817,-0.015006591,0.022537516,0.043856114,-0.0071550575,-0.013380262,0.009053845,0.007986168,0.021994345,-0.0072359494,0.017835015,0.012303352,0.018329393,0.012734705,-0.010650991,0.018729059,-0.015189868,0.041801006,0.035206,0.019311357,0.005072663,-0.009792398,0.010206279,0.010363425,0.04063036,-0.0045258603
3096,0.0082114795,-0.0036068049,0.029103957,0.020523513,0.0013920473,0.017087914,7.235011e-05,0.008580608,-0.0074911322,0.025953388,0.021143017,0.009253803,0.02273042,-0.021805488,0.002353017,0.00907626,-0.0053314324,-0.000686526,0.008158459,0.015961772,0.04144793,0.033015974,-0.035119575,0.016770558,-0.0017562611,0.008074877,0.008490392,0.006675981,-0.020491993,-0.01117278
3122,-0.022406235,-0.013917877,0.005421875,-0.0030872144,0.01608307,0.03264564,-0.01453706,0.02905705,0.0038886697,-0.01701562,0.021938039,0.0017377585,0.0060835313,-0.024246126,0.023680367,-0.010848425,0.020311018,0.0073116333,0.016864596,-0.025202826,-0.027837723,-0.018771129,-0.006196879,-0.0044795824,-0.0038059577,-0.0037883713,0.009987988,0.0012576096,0.0135343075,-0.020831268
3123,0.02400597,-0.0019040258,-0.0067679905,-0.004649828,-0.01954197,-0.014016479,0.031567544,-0.009064118,-0.015587197,-0.009342213,-0.012432554,-0.005618891,-0.0032757816,-0.004875384,-0.0012923268,-0.015205052,0.016085584,-0.010220869,0.023012571,0.035095766,-0.030803068,0.02546855,-0.008568098,0.02121029,0.010051076,-0.00067122345,0.004490257,-0.012194599,0.009237997,-0.020574674
3124,0.013596726,0.028040579,0.00563,0.0039098114,0.01697219,-0.014143157,0.0142555265,-0.00436369,0.018418847,-0.0071077333,0.0061823516,0.005680987,-0.016908234,-0.008112112,0.006528657,-0.00796157,0.028359191,0.010506589,0.0044300924,0.03416674,-0.024456585,0.03294567,-0.0017563775,0.028800903,-0.0005409674,0.024548141,0.022743935,0.040273473,0.0059395847,-0.0017148587
3125,-0.0055522327,-0.020948851,0.0019574538,0.0074141235,0.0041324967,-0.0073684086,-0.0047397465,0.021455107,0.0043674577,-0.01661657,0.009096007,0.0047279648,0.02715034,-0.012428071,0.00047854192,0.006453611,0.028041715,0.015211928,-0.0076642185,0.007598499,-0.01430754,0.0035010998,0.0038554193,0.02448163,0.0013877692,-0.009417773,0.0133673055,-0.020523002,-0.0021893939,-0.020103952
3152,0.0056290175,-0.021044461,-0.014671557,-0.0034754435,0.007368592,-0.0136350915,-0.023119872,-0.0065569803,-0.0058798958,0.0073253787,-0.006609391,-0.022595884,0.008053892,-0.006406193,0.024367196,0.0117480615,-0.021157341,0.008628054,0.0030021863,-0.013895191,0.00091150217,0.019071592,-0.0036427754,0.009677505,0.01615216,-0.0093980525,0.0121799,-0.022011876,0.015982004,-0.020352734
3153,0.0243057,0.018815571,-0.008737021,-0.018995391,0.040682256,-0.022089288,0.02088403,-0.004982158,-0.0001129449,0.012419745,-0.01715867,0.004763514,-0.019037552,-0.026527002,0.021237584,-0.0069617536,0.0072786137,0.016625136,0.009424231,0.0057663713,0.0072806813,0.040312197,-0.0012374403,0.02154845,0.019451616,0.05894521,0.016984848,0.024063578,0.025577262,0.00983491
4318,-0.00374794,-0.001355358,0.004614295,-0.003503782,0.018880384,0.017984672,-0.00073809427,0.006026454,-0.02062914,0.021398641,0.008306645,0.02359124,0.003523363,0.013680596,-0.0110050775,-0.0135088265,0.009298477,0.0025052193,-0.010480792,0.006474336,0.01093229,0.014033354,0.024454007,-0.027111538,0.015177652,-0.017478846,-0.015017443,0.02915925,-0.008765927,-0.016034568
4347,-0.024144813,-0.0064046136,-0.0020423152,-9.392458e-05,-0.023655983,0.018716045,0.015020497,-0.027419785,0.015959173,-0.0026947062,0.006760973,0.020812377,0.040930953,0.03257023,0.0022052133,-0.015516158,0.013881888,0.01993718,0.031460095,-0.03334034,-0.036395427,0.009272051,-0.0055376776,-0.008391959,-0.0026315905,0.0012887021,-0.00020527549,0.017700514,0.005603774,-0.003955724
