,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
24165,-0.017160786,0.008947664,-0.023287581,-0.031322222,0.031026095,-0.009223043,0.0066163703,-0.0032415856,-0.008538819,0.0050070942,-0.015873631,-0.005946945,0.0038579078,0.016928375,-0.001793713,-0.000328041,-0.022417331,-0.004591213,0.046834994,-0.009621638,0.0039937,0.0049452437,0.012102018,-0.011860519,0.019824985,0.045122553,0.014035023,0.0007266008,-0.0069114626,0.010117173
26960,0.018763138,0.009097185,0.012356304,0.015308343,0.0179364,0.035495017,-0.024823569,-0.004620666,0.00875016,-0.004657144,0.025596328,-0.00034629475,-0.03484203,-0.009075785,0.024646655,0.014012652,0.019671341,-0.0096401805,0.005070749,-0.007173145,0.014069102,-0.003110579,-0.007234479,-0.00015873571,0.023479655,0.0015752781,0.019005304,0.046457272,-0.026512766,-0.04130602
27011,-0.009764242,0.041023277,-0.0080053015,-0.0134393005,0.0056115054,0.047072366,0.020627106,0.0031478896,-0.008618135,-0.0021804518,0.021620793,-0.002160471,0.0022070825,-0.012669937,0.0348838,-0.0025639508,0.01218452,-0.00017431546,0.012849952,-0.035493802,0.003549826,0.00032245647,0.005501839,0.012309168,0.031627942,-0.0011129584,0.0069057154,0.008897487,-0.022459352,-0.004977211
27060,0.004132294,0.0072260075,-0.0046734093,0.026469037,0.006888649,-0.034457613,-0.0012687804,0.0080059795,-0.0023929363,0.012056391,-0.013685212,-0.0021711062,0.0062898085,0.007188859,-0.005581955,0.0046491944,-0.0019905658,-0.010957393,0.0049586794,0.006212952,-0.032002203,0.00083125086,0.0058743986,0.021698602,-0.031912576,0.018030465,0.0068457033,0.0010930501,0.015040171,0.012839225
27061,0.038464665,-0.0062366053,0.01186388,-0.0258693,-0.0085108755,-0.033061847,-0.014360794,0.0022956491,-0.011747335,0.0047713933,0.02898266,0.027072847,0.007634349,-0.0011268532,0.025905006,-0.0015807613,0.003920306,-0.011646826,0.021089926,-0.0021368447,0.003815923,0.0038555327,-0.016846556,-0.019926028,0.033564806,0.00060857617,-0.012313143,0.022020819,-0.011865136,-0.0008278902
27110,-0.014914605,-0.00066902564,-0.009951002,-0.010133691,0.024675913,0.014946218,-0.006946474,0.015741607,-0.014166911,0.020296114,-0.012080923,0.012489636,0.018685944,0.018892637,0.0019396363,-0.011106073,-0.022135174,-0.006445039,0.014514729,0.013500914,-0.0013748544,-0.0077714273,0.011952803,-0.008419178,0.031208672,0.009237268,0.0016457532,0.008987638,-0.007467263,0.029278195
29907,0.014791936,-0.0030198188,0.009483882,-0.009417186,-0.0066284663,0.030176127,-0.004234386,-0.0030070085,-0.012813292,-0.031280108,0.023372428,0.012667178,0.014815293,-0.016589258,0.013134473,0.008882326,0.009891001,0.00281565,0.011225142,0.006628242,-0.020323755,0.015527735,0.0022880428,0.0048517114,-0.009370237,-0.017064273,0.011978024,0.010239795,-0.0018561786,-0.041252557
29960,0.008675163,-0.0069965012,0.011607747,0.0044099037,0.016440349,0.003359928,0.023035945,0.022765717,-0.0054626255,0.0002961699,0.015362087,-0.000120873716,0.0057916543,0.0067156292,0.03392026,-0.01194768,0.044345412,-0.0032923976,0.022150641,-0.0009866928,-0.004320526,-0.0012923317,0.011663436,0.027560607,0.0094568115,0.002183512,-0.0028659347,0.034012455,-0.04220073,-0.024806328
30012,0.02184427,0.00029225336,-0.009696135,0.025643742,-0.012418228,-0.001808824,0.0034753915,0.021443194,-0.001751244,0.0141245155,0.0039718617,0.010157061,-0.01894251,0.019669784,0.0074755116,0.014223725,0.012122064,0.0015578958,0.004069081,-0.02538141,-0.006322874,0.0025914726,0.013644404,0.012499194,0.016470132,0.007408023,0.009322821,0.024866363,-0.002473969,-0.014784248
30116,-0.02291678,-0.026798576,-0.0206708,0.0014793156,-0.0027753375,-0.009152844,0.013313849,-0.008086975,0.011795722,0.0021464762,0.002833037,0.011712576,-0.0033665712,-0.033108722,0.014726047,0.0094274115,0.025139304,0.013751267,-0.009541672,0.044179123,0.0126460055,0.04538365,0.016635565,0.0019662075,0.0015953729,0.019438406,-0.006076017,-0.0009237714,0.0024820878,0.007755494
32998,0.003271825,-0.0046237744,-0.010365336,-0.042334627,-0.017808694,0.008686445,0.0016813795,0.008457774,-0.027974322,0.020456653,0.007982233,0.038677435,0.023245305,0.025117991,-0.0044014603,-0.006437287,0.011021942,0.0075348257,0.019449139,-0.017389601,0.011258709,-0.04075651,0.010034951,-0.033840336,0.015434091,-0.008486442,0.0066041574,0.010871175,-0.06394187,-0.029108189
33104,-0.010917819,-0.014967169,0.0021089173,0.009706506,-0.01883276,0.0070447032,-0.0026879108,0.015209869,0.003796111,-0.0009918014,-0.002831849,0.035418388,-0.008622776,-0.0008352115,-0.009452368,-0.005246065,0.022422327,0.012953031,0.020519787,0.009435047,0.0025575191,-0.00043116263,0.0019131964,0.0024827153,-0.0419997,-0.0036974803,0.009962623,0.030718893,-0.037988137,-0.060229424
33210,0.023338372,0.004530761,0.012163834,-0.013233629,0.013305351,0.023941034,0.0017870559,-0.008903184,0.01780373,-0.004188978,0.0023997875,-0.00071120745,0.02065257,0.0035219702,0.009209608,0.0156192975,0.013001799,0.0025024395,-0.011751596,-0.0070498637,-0.008747878,-0.0019698713,-0.021021849,0.042181488,-0.0006480366,0.01851748,-0.001917962,0.0013943478,-0.0101611605,-0.04549201
36228,0.012106899,-0.0019765894,0.0039355117,0.0067499056,-0.01045689,0.007564844,-0.007157548,0.016307464,-0.02074146,0.017239235,0.037360862,0.035687733,0.03456076,0.016665593,0.016406605,-0.005192802,0.030355545,-0.0012488,0.0057720356,-0.015130681,-0.02521161,-0.004426259,-0.0016618265,-0.0051355804,-0.018186273,0.013883854,0.0062867757,0.054053664,-0.025710786,-0.014955389
39483,0.0047697355,-0.037123118,-0.013364683,-0.0020595097,0.0089387875,0.010424629,0.008813004,-0.0031782824,-0.019388031,0.043051597,0.006270082,-0.012716004,0.0354782,-0.012292694,0.022271514,-0.016925914,0.009289009,0.014538918,0.05666402,-0.023653658,-0.017986558,-0.03006649,0.025507623,0.03055193,0.004802516,-0.019334922,0.0036600323,-0.012552529,-0.008468852,-0.032403007
39484,0.03424396,0.005862497,0.011947214,-0.009998672,0.015931504,-0.00032597533,-0.028814912,0.014418684,-0.015394878,-0.015056412,0.016763186,0.019109773,0.018779365,0.0006862469,-0.011995981,0.0076811076,0.010895836,0.015623768,-0.02780422,-0.023658097,-0.010873816,-0.03785696,-0.018238273,0.008442193,0.0001763779,0.00014860369,-0.0036418268,0.026842626,-0.0150250355,-0.014237225
39538,0.0026259879,-0.029575774,0.01567201,0.007852424,0.0009491735,-0.04397982,0.015313615,0.0013218826,-0.018422019,0.03328206,-0.0131176105,-0.0035006462,0.024660386,-0.011981609,0.029269388,-0.026756069,0.02619779,0.019270463,0.013902131,-0.008072021,-0.01741531,-0.023514643,0.016642042,-0.0076127667,-0.009991714,-0.00016374204,-0.007792068,0.0031441234,-0.0064338897,-0.036610942
39592,-0.018906387,-0.027149605,0.0071848645,0.018725924,0.0009672499,0.01873742,0.0052577797,0.022039702,0.0030599528,-0.004584387,-0.008186415,0.0076619633,-0.006090375,-0.008538782,0.010967999,-0.0066096615,-0.0016086414,-0.012255877,0.015744865,-0.01599825,0.02177121,0.01364426,-0.006460861,0.00873312,-0.012802977,-0.011883807,-0.025242755,-0.010484246,-0.0064607696,-0.005784714
42877,0.018590353,0.009347913,0.0075317104,-0.02972813,0.012490318,0.0035013184,0.0087982705,0.020258749,0.015297879,-0.007465122,-0.01138252,-0.009987608,0.010677169,-0.030478375,0.00721319,-0.009663518,-0.036161277,0.010366776,-0.018513361,-0.016796842,0.016536286,-0.014002238,0.03111112,0.0059185475,0.018942798,0.025607323,0.011145693,0.0015587372,-0.013057726,-0.025561064
146162,-0.0049476423,0.020890022,0.014027418,-0.027448097,-0.0007769908,0.0022168348,0.0059728213,0.005478146,-0.028121077,-0.0016460465,0.018093618,0.040162142,0.008608925,0.0028819174,0.0035757087,-0.011116728,0.027632007,-0.006342376,-0.0129632475,0.021448256,0.016116673,0.002811931,-0.01020316,0.027547868,0.045459826,-0.0010495215,0.008376834,0.026467472,0.0032848641,0.004186394
146163,0.02082129,0.008208405,0.022492198,-0.005321287,0.024782717,0.0060222056,-0.003822429,-0.0047529484,-0.0017947834,-0.00808411,0.010483989,0.003760105,0.024287038,0.0037067924,0.010454807,0.027122227,0.012624626,-0.0038394567,-0.011765905,-0.011706636,0.02104625,-0.0020531074,0.007826806,0.022505501,0.038528934,-0.018221634,-0.0032887086,-0.009463567,-0.017055713,-1.9002706e-05
149513,-0.021528283,0.009919782,-0.0023944208,0.0070703425,0.007674104,0.041710306,-0.014666334,-0.013691432,-0.022727387,-0.0061768107,-0.029826054,-0.008093898,-0.00586809,5.5082764e-05,-0.0010710666,0.0049071102,-0.0025458203,-0.028790986,0.005825898,0.0049937847,0.013761953,0.016093222,0.020087067,0.036474336,0.0042123785,-0.006761286,-0.024186002,0.021342134,-0.040643822,-0.0048921965
149514,0.0034239143,-0.030644432,-0.002030303,0.0031255137,0.0057212915,-0.007351732,-0.0047085346,-0.0177695,-0.01993105,0.0197087,0.012999968,0.017454814,-0.008517628,0.004854661,0.019611167,-0.01112217,0.025681065,0.002542097,0.0018951303,-0.0068123653,0.00024928557,0.0030825902,-0.039277438,0.012288183,0.027185554,-0.01839177,0.010296796,0.04386477,-0.029588988,0.013920126
149516,-0.0042050905,0.005720604,0.021663353,-0.025318108,0.005218681,0.037865113,0.007990003,0.021094585,-0.0046812934,0.010643222,0.0018686783,0.015307506,0.004102194,-0.004954742,0.004900817,0.009493546,-0.010400421,0.020201951,-0.007180569,-0.013100632,0.017382411,-0.0010817026,-0.019650811,0.035178866,0.020080574,0.007769571,-0.011777394,0.008553633,-0.040084105,-0.023647599
152783,0.0073057073,-0.015298226,0.010542351,-0.007941361,0.01890225,-0.002131276,-0.0064921253,-0.0017205792,-0.032795694,0.019496268,-0.0061711394,0.0017851548,0.01660605,0.0072400295,0.025231848,0.003288829,0.026637083,0.0097043505,0.012929919,0.014200904,0.03523268,0.0127831735,-0.019203028,0.02667758,0.027224913,-0.0013929978,-0.0061883926,0.042238582,-0.03474124,-0.017694702
152784,0.027518487,-0.043644875,0.0069598407,-0.018531833,0.0040691216,0.013717181,-0.010053776,0.0024676702,-0.030048447,-0.012340903,0.0076666377,0.019976003,0.0088737905,-0.014445908,-0.0001939175,-0.0061703273,0.0233566,0.0033456208,-0.02942125,-0.0074350894,0.010576625,-0.018991144,-0.0031029962,0.022008175,0.025617803,-0.0069485107,0.003914518,0.014277644,-0.01668221,-0.022893572
152837,0.02774828,0.00718431,-0.019442694,-0.021509575,-0.0021256208,0.03414186,-0.00865315,0.018052474,-0.016586287,-0.0004374451,0.012897837,0.018713912,0.02021252,-0.01086945,-0.001982387,0.011942339,0.012124426,0.017644823,0.019299228,-0.014170773,-0.002803045,-0.0005140503,0.0066602123,0.005919295,-0.013461,0.009791129,0.008290808,0.03889613,-0.0346926,-0.027875965
156029,-0.013744657,-0.0140014775,-0.009275918,0.017953867,0.028711027,-0.034818348,-0.017843643,0.009167254,0.0023597851,0.026958473,0.020383907,0.0049553863,-0.006919067,0.023663938,0.0013658847,0.043132048,0.017932862,0.005503413,0.015217215,0.012662356,0.026796887,0.008975512,-0.03763034,0.024430236,-0.0040868125,-0.009323836,-0.021734139,0.0005343643,-0.00491365,-0.0148020275
156030,-0.005282048,0.013607227,0.00874718,0.0125372,-0.010135524,-0.004298757,-0.008202936,0.005353929,-0.027874297,0.017653478,0.0050447006,0.02391257,-0.0045349435,0.025410503,-0.006114094,0.007613439,0.025840322,0.008759537,0.04649123,-0.01197134,0.0088502085,-0.028368661,-0.00021565799,-0.010048205,-0.009827617,0.0011422882,-0.016138436,0.0064952853,-0.030885493,-0.037905924
