,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
67556,0.0028266509,-0.014460102,0.014165069,0.00900655,-0.010420091,0.0005613656,-0.009241384,-0.0004095491,-0.009677739,-0.015356858,0.011342966,0.010203888,-0.0068612383,0.0010672765,0.017866498,0.023500549,0.0062567047,0.010139266,-0.024999248,-0.027902016,-0.016253747,-0.020051429,0.0060068914,0.01879945,0.005396985,-0.022253724,-0.0010068743,-0.009237074,-0.017750105,-0.008833632
71277,0.04437838,-0.01580829,0.00816607,-0.03921913,-0.021667952,0.013339057,0.0013753679,0.026483014,-0.030978674,-0.016243575,0.0030565707,-0.0032704694,0.020799715,0.0021941762,0.0077960175,-0.002208324,0.0048736646,0.008121669,0.023219319,0.02999776,0.018988995,-0.014206867,-0.03687714,0.0018566462,0.007622099,0.02047888,0.011298367,0.033138733,-0.025351847,-0.03934766
71333,0.01766238,-0.010830882,0.012237776,0.03150022,0.015903493,0.015158132,-0.013799566,0.009330899,0.014932792,-0.01567855,0.015063,-0.015303162,-0.034770876,0.026860008,0.00522015,0.017353589,0.026974633,0.018957598,-0.01788866,-0.013706651,0.016218398,2.9925237e-05,0.011471459,0.0058212895,-0.0019734264,-0.0074571334,-0.001309449,-0.015888436,-0.01988885,0.00026156008
71334,-0.018854002,-0.011840147,0.020652877,0.009246114,-0.023329007,-0.0005188491,0.022360822,0.009097767,0.014295642,-0.00944471,-0.00650629,-0.010415053,0.01066763,-0.0091957105,0.009544439,0.008874212,0.01233967,-0.004493192,0.010013008,0.03377959,-0.012622415,0.03323846,-0.0011371045,-0.0056247464,-0.0013035344,0.018807797,-0.0017592335,0.0063290484,0.0001207379,0.004871549
71335,-0.014033504,0.011233012,0.006954584,0.005706519,-0.010387524,0.006840586,-0.01996005,-0.004525382,0.0151484115,0.00033376025,-0.01425987,-0.035360616,0.00036377026,-0.011577382,0.0038585623,-0.008029557,0.008682508,0.006503549,0.0004982886,0.02574189,0.0070341974,-0.006818499,0.0035931792,-0.011911972,-0.025182644,0.026279075,0.010168324,0.021203669,0.012530054,0.026517615
71391,-0.0038514163,0.025310105,0.00918535,-0.028850308,-0.02152633,0.011562202,-0.014859222,0.017926069,-0.0016666818,0.0077923858,0.0051980293,0.021391042,0.007537542,-0.026493063,0.029331261,-0.0007858879,-0.01727016,0.0040572765,0.0035801667,-0.0057448144,0.031120867,0.0016799454,-0.012971359,0.007947762,-0.0031075927,0.0014928263,-0.010885976,0.011080085,-0.04728429,-0.013119447
71392,0.024063908,-0.008561003,0.0069163255,-0.015872406,0.008688304,0.052660316,-0.027887637,0.010171932,-0.0031207912,-0.009760934,0.03292967,0.028099164,0.040549595,0.008319606,0.016894178,-0.020540768,0.021498954,-0.0067636855,0.0032327704,0.016853377,0.011172094,-0.005255304,-0.0038575844,0.014930931,0.0095096,-0.014254176,0.0089275045,0.054103702,-0.036755066,-0.009174495
71393,-0.011972952,0.03379447,0.024213439,-0.0027696893,-0.012939102,0.017030397,-0.0023418895,-0.028852077,0.0028930272,-0.020486588,-0.0075278445,0.01022045,0.01647036,0.030961266,0.013701606,-0.0027380583,0.012683772,-0.0022843943,-0.0052226894,0.0014513138,0.011739075,0.011606403,-0.024231264,-0.024319105,0.01703805,-0.0040000263,0.008967607,-0.006345212,0.005723839,0.027515404
71394,0.029986523,0.023498734,0.0056085256,0.025740819,-0.012637542,0.0020835858,-0.0025576602,-0.025989825,0.009031158,-0.0073495395,0.00756155,-0.0038222151,-0.029079167,0.007833227,-0.0130515,0.0017270985,0.017453147,0.007866389,0.02053787,-0.013794761,0.005857209,0.014816291,-0.013834673,0.0041200314,0.003582413,0.025239183,0.0053570713,0.06057699,0.013195686,-0.01579539
71450,0.0166671,0.000874687,0.015909499,0.0101152165,0.023541613,0.016714148,0.021973148,0.018127844,0.003976637,0.015801998,0.02145727,-0.0052221254,0.016182322,-0.013282084,0.011030831,-0.0136286905,0.02082237,0.009048501,-0.004088069,-0.008980295,0.00030056512,0.008373548,-0.016649975,0.00486368,0.021004803,-0.005143786,0.021146655,0.024127379,-0.02490227,-0.028509028
