,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
80818,0.020843012,0.008547115,-0.0070605404,0.03958948,-0.010479656,0.004426998,0.005396304,0.021636216,-0.017803106,0.025371121,-0.003991918,0.01909031,0.02102819,-0.017767562,0.009806998,0.0023993263,0.016286682,-0.0009135411,0.003593785,-0.022789171,-0.013852055,-0.010094703,0.023734272,0.0062049604,-0.022332376,0.0026477622,-0.013016111,-0.017762354,-0.02635733,-0.024742149
80819,0.009919814,-0.03443728,-0.016841125,0.025945602,-0.0017263895,0.006002233,0.020544931,0.011370999,0.0013235062,-0.010192609,-0.007563342,0.012642063,0.0049345307,-0.0432173,0.010014019,-0.0016350364,-0.022527883,-0.0059284507,-0.023202082,-0.04236449,-0.027034355,0.01764301,0.0032729136,0.023300022,-0.0067900657,-0.036287863,0.010871302,-0.022741264,-0.023634253,-0.038815927
80861,-0.032432828,-0.011202368,-0.006512609,-0.015636927,-0.00633806,0.024594992,-0.006083989,0.0037966121,0.008167652,-0.018738568,0.004431297,0.0012247581,0.025723452,0.0023280494,-0.032090593,-0.024991678,0.0069621652,-0.0025500418,0.01773044,-0.01621026,0.019987611,0.008414288,-0.010839197,0.0117286,-0.017978165,-0.005823389,0.020647349,0.0027340872,0.018339686,-0.011723262
80862,0.007304594,-0.014750878,-0.0144343525,-0.0062502935,0.0103431605,0.0047314605,-0.0022128297,0.019878449,0.009315506,0.03822385,0.012618601,-0.012413193,0.029726192,0.012083267,0.023586681,-0.036440905,0.006998235,0.01805563,0.01681666,-0.012698289,-0.0050909678,0.036551695,-0.018228695,-0.012499432,-0.011350408,-0.00941022,0.008787765,0.013566102,-0.009317388,-0.015814146
80863,-0.010054759,-0.014528282,-0.008097981,0.00901448,0.009773054,-0.026298188,-0.010691564,0.018593231,-0.0041380944,0.004303701,0.008919197,0.037724588,0.0049559292,0.00030077188,-0.010235038,-0.01450839,-0.020543309,0.0022463612,-0.03361084,0.0007288304,-0.008471198,0.009087476,-0.0007609368,0.030423582,0.039296243,-0.04291609,0.0146614835,0.007782001,-0.02452995,-0.026974471
80907,-0.016579544,0.008936779,-0.0019810528,-0.029159477,0.028874299,-0.0029017145,-0.0022368953,-0.015490897,-0.00069346046,-0.0025832711,0.020390095,0.021202547,-0.015569195,-0.030892884,0.00034997737,-0.025046436,-0.0062361285,0.0113540245,-0.012536633,-0.012420192,-0.0127295405,-0.011168844,0.000912759,-0.011216166,-0.001079049,-0.0017523734,0.00048822505,0.011423917,-0.002446818,-0.036866497
80908,-0.0076617226,-0.0041073146,0.016281197,0.016277533,0.012976547,-0.021641262,0.0057902304,-0.0039419136,0.010863611,-0.0025075944,-0.0036862197,0.01413161,-0.0058783316,-0.044685334,0.0157252,-0.02186084,0.0056627244,0.023771847,-0.003699734,0.015504851,0.0038520135,-0.017295672,-0.023318088,0.008297588,0.02641433,0.0002132915,0.0116095515,-0.002534217,-0.0020469446,0.021583384
80991,0.008280507,0.026276952,0.031609695,-0.036665164,0.027399072,0.034097135,0.033368934,0.017280823,-0.012627824,0.027798181,0.005911397,0.0046159974,0.005504794,0.0264809,-0.02113983,0.0077874735,0.035805464,-0.0025671725,0.018509874,-0.05253914,-0.011037402,-0.0026641607,-0.015955558,0.009766243,-0.023697607,0.010427506,0.0041618366,0.013426886,0.010380904,-0.0015036855
80992,0.0036878188,-0.0089871725,0.012153778,-0.013551615,0.017147569,0.0423801,0.008240293,0.021931035,-0.0029721751,0.004038445,0.003457958,0.0038600399,-0.0037207536,0.0016167946,-0.0032416203,-0.010279843,0.0051185708,0.004538487,0.0017577346,-0.023945743,0.0048526307,0.009533419,0.0054496103,-0.0116307875,-0.004445654,0.0024516687,-0.01609744,-0.0006256774,0.006108958,-0.017568123
81034,0.0077700545,0.005309632,0.00053627003,-0.009812014,-0.004400646,-0.023505883,-0.015817126,0.020707069,0.0107781105,0.00023474234,0.015358828,-0.0006367036,0.011790407,0.01366076,0.0053180982,0.0009843806,0.0043816455,-0.014592729,-0.019893534,-0.02962556,0.014340847,-0.035396617,-0.029745258,-0.0028704118,-0.021207748,-0.0006963091,0.009913791,-0.016920248,-0.018484602,0.03284094
