,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
50566,0.007300623,0.009656263,-0.03424024,-0.005288497,-0.028993854,-0.023526378,0.034770496,-0.0010188638,-0.011628195,-0.013716255,0.005085353,-0.023919985,-0.008851065,-0.025850393,-0.019587932,-0.040526334,-0.026421903,-0.016007835,-0.0023267998,-0.0035841975,0.0065152994,-0.005810997,0.0023491813,-0.010191338,-0.010159086,-0.013332742,-0.007528339,0.015975622,-0.0050041485,-0.02559258
50567,-0.0071009067,0.008558649,-0.003218279,-0.006036513,0.002917108,0.012175068,-0.0012671906,-0.010927734,0.0042574885,0.0061790957,-0.004548234,0.000862889,0.004665684,0.0006925634,0.010791677,-0.01892876,0.019722885,-0.013589442,-0.024625704,-0.0010271961,-0.04971854,-0.017446484,-0.016985364,0.0018654113,0.020489693,-0.013786699,-0.011677258,0.028236112,-0.0002891901,-0.03163137
50619,0.0068304534,0.014276502,-0.017937122,0.003191739,-0.026252294,-0.008456009,-0.00047063563,-0.008995981,-0.023097768,-0.0033818989,0.024727693,-0.0340403,0.011669512,0.040280256,0.016661273,-0.010154039,0.021157652,0.006962693,0.014106962,0.008890144,-0.010702438,0.0130832875,0.012366635,-0.021300212,0.01228679,-0.023520855,0.021758782,-0.00034722313,-0.021491429,0.0043586786
50672,-0.0068950155,0.010359895,-0.006858129,0.023321733,0.010077662,-0.03152198,0.026448248,-0.014838047,-0.00024113011,-0.026516728,0.013664551,0.010268397,0.0039314735,0.0074126846,0.054349173,-0.028474769,-0.0026186325,0.0011798656,-0.032193486,-0.004534747,0.016970377,-0.0010768796,0.001989626,0.0039721415,0.0014753224,0.0030462954,0.010608327,0.0159194,-0.022299571,0.019158715
53946,-0.0175072,0.0029670333,1.0807223e-05,-0.018670686,-0.013403398,-0.018467875,0.009287796,0.009602736,-0.0022648459,0.019973867,0.0008929686,-0.007728528,0.020015806,-0.01881854,0.028237535,-0.00020182629,0.008540668,0.019061748,0.019969843,0.011880733,-0.006064519,-0.012319059,-0.039398436,-0.0075288885,0.014503549,0.025459481,-0.0014765203,0.022201672,-0.015448234,0.015907906
54109,0.0076051806,-0.0058788606,0.021687597,-0.017659867,0.0018992253,0.009703952,0.01817896,0.013183427,0.0010177698,0.00796424,0.00083813706,-0.008401922,-0.013791616,0.013851426,0.010169852,0.011278602,0.010546091,-0.005736731,0.024191625,-0.025405921,0.011871439,0.0114071295,-0.031754453,-0.01582299,0.011362437,-0.022115702,0.012616892,-0.016682891,-0.007231144,-0.0021966614
54110,-0.016973868,-0.006697619,0.008210519,-0.010935172,-0.021674417,0.013290175,-0.040508118,0.020835182,-0.023012387,-0.02444607,0.004219036,-0.042343825,-0.0127637945,0.0066138213,0.0071456474,-0.0035227353,-0.010993592,-0.010590465,-0.013554064,-0.03062672,-0.01012822,0.017219676,0.00881919,0.027605101,-0.00964672,-0.025530078,0.011011287,-0.05257243,-0.015750749,0.025767505
54111,-0.0152633665,0.039206203,-0.006506154,-0.0077569447,0.007972886,0.0018105548,0.0133791985,0.0066802166,0.008613749,-0.013502638,0.017983394,-0.006201254,0.0032439565,0.010221768,-0.016584793,0.010937317,-0.0009987863,-0.0035995406,0.002811183,-0.00070808333,-0.017281694,0.011317541,0.009199149,-0.0025937797,5.766594e-05,-0.0013805242,0.01354612,-0.008820575,-0.023284135,0.010813222
54112,-0.00015177377,-0.012107161,0.0077038356,0.0121579245,-0.028909689,0.0036067178,-0.0025157544,-0.018434305,0.0023968706,-0.010111631,0.002478688,-0.012401726,-0.020276697,0.012682158,0.030727731,0.019922452,0.018670203,0.0058372407,0.004351066,0.0074692094,-0.015421876,-0.008261222,0.02381353,-0.0014659191,-0.0037037544,0.009611116,0.005144207,0.019085601,-0.030543089,-0.036881853
54163,-0.0060537993,-0.018265324,-0.014693915,-0.040184375,-0.0055356757,0.010009468,-0.010095588,-0.052518163,0.0016933657,0.015376345,8.02294e-05,-0.009093198,-0.026422173,-0.03154223,-0.015252695,0.012507123,-0.017800985,0.0097764125,0.0010372585,0.028622255,0.021623826,0.028079754,-0.019603519,-0.032742415,-0.00052615505,0.01105146,-0.0035418745,0.0068101264,-0.009519275,-0.016679991
