,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
13336,0.014872152,0.018782942,0.020334493,-0.014506373,-0.003788031,0.029002609,-0.014442821,0.041527983,-0.0071011,0.0031736596,0.00039349077,0.010863912,-0.0044456576,-0.00058790646,-0.0136511205,0.0014188864,0.00191529,0.010415602,-0.0051492737,0.015867608,-0.01440147,0.025986804,-0.0091573,0.0045849048,-0.013022378,0.0009976514,-0.007380584,0.0025558036,0.035504177,-0.034583792
13337,0.026405664,0.0032734573,0.019703027,-0.023120744,-0.014505055,0.0113616465,0.009085575,0.042703625,-0.012839614,0.003195719,-0.004038732,-0.0051267785,0.005894361,0.010410798,0.0068635526,-0.0022883427,0.019835996,-0.03454671,0.011280094,-0.013347708,0.0001801423,-0.00959803,-0.0028126284,0.038481656,-0.011680516,-0.006356834,-0.003082089,-0.015475768,-0.0026671134,0.00843734
13338,0.021602904,-0.01478377,-0.004918018,0.020679329,-0.008737273,0.0033403945,0.022236116,0.01328085,-0.02313274,0.007205752,0.018765904,0.016445106,-0.00647862,-0.008794457,0.016128024,-0.0026868659,0.025774539,0.0016946662,0.013847072,0.02193419,0.0120609775,0.0028914819,-0.0020130437,0.006034082,0.0010455092,-0.009993588,-0.009969371,0.018676981,-0.051584687,-0.021694677
13385,0.014278914,0.022315264,0.02041351,0.05183789,0.027508482,0.023648104,0.0033002298,0.01887691,0.037977796,0.03207246,0.023703912,0.06109488,0.05084826,0.01068823,0.048668385,0.017041141,0.0031250867,0.055932894,0.03422777,0.049996633,0.04079401,0.013906867,0.04143182,0.020502588,0.030665716,0.024636643,0.052328408,0.046608683,0.028963497,0.039773874
13386,-0.011188015,0.024796227,0.011860054,-0.01623518,0.0070401416,-0.037098363,0.040607635,0.011062388,0.013639399,0.035400372,-0.009241861,0.013437984,0.035067115,0.0063049546,0.0104331495,0.032461267,0.009564529,0.008517421,0.02612213,0.018033817,0.029309949,0.00020429895,0.0256347,0.007572794,-0.0026454814,0.035685573,0.027036622,0.028287562,0.0475843,0.040637594
13387,-0.011233666,-0.007527256,0.01542526,-0.000750348,-0.007354015,-0.014946441,-0.003087407,-0.00014784001,0.015050028,0.0037160572,-0.015806235,-0.012497176,-0.0061645745,0.0035393022,-0.03173731,0.012203277,-0.040891826,-0.00039169658,-0.015249245,0.022659307,0.038308237,0.02125492,0.009443046,-0.008304775,-0.014520853,-0.014830242,-0.009445385,0.002879249,0.020975024,0.023828218
13432,0.04980199,0.008502879,0.036046177,0.018002912,0.010816318,0.05530365,0.030508287,0.030773206,0.029242499,0.073939316,0.017168825,0.042844724,0.044513732,0.041143473,0.044631585,0.022013433,0.012326896,0.029722804,0.049864296,0.05774505,0.065432206,0.019946096,0.03412661,0.025489653,0.0837416,0.016556883,0.031496618,0.037399698,0.0014078462,0.012575432
13433,0.022203645,0.054777574,0.02499544,0.013416241,0.012062777,0.0038949281,0.019810282,0.03892036,0.011741538,0.057925344,0.019203901,-0.00072273455,0.047816407,0.04063769,0.040778335,0.03867318,0.014923475,0.049241234,0.0938426,0.0488916,0.06274948,0.01243642,0.05598523,0.0375646,0.053923797,0.01931638,0.02512184,0.052198645,0.019933848,0.00909367
13434,-0.027271315,0.020059265,-0.0013602743,-0.043733597,-0.012212356,-0.033008624,-0.04861187,-0.023330465,0.0006512112,-0.018043451,-0.017456068,-0.019455448,0.0019328432,-0.0201058,-0.042717915,-0.008669363,-0.0044696922,-0.02334368,0.009861474,-0.0005443667,-0.01093215,-0.006955107,0.0008624906,0.011862091,-0.024308326,-0.00665549,-0.022376642,-0.010476318,-0.0152458,0.009803639
13479,0.06462126,0.025258834,0.037860654,0.04330865,0.041955125,0.07811494,0.05514876,0.058887098,0.029821513,0.0756465,0.06174438,0.019242939,0.044784587,0.058623195,0.087891124,0.027611608,0.044332657,0.015662052,0.07121677,0.051301997,0.040621974,0.0329182,0.019377908,0.05917631,0.07081367,0.05486131,0.041710094,0.070439,0.0142663345,-0.006203251
