,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
13735,-0.0029763181,0.0022840223,-0.0010598786,-0.029333876,0.013187445,-0.0009794555,0.0061597414,0.008875042,-0.017462725,0.036166262,-0.0029564283,-0.00071213924,-0.0071211434,-0.028409513,0.020843571,-0.032091137,0.022135431,-0.022307143,-0.03197665,0.02227416,-0.013349946,-0.00067825784,-0.016030788,0.0058057993,-0.031063654,-0.0006499576,-0.035621274,-0.0030485329,-0.0036871266,0.0047215396
16088,0.011515811,0.0037543755,-0.027592428,0.008375417,-0.037281442,-0.0070706694,-0.024387293,0.04047947,-0.018050237,-0.0066899476,0.010385052,-0.0013019977,-0.008628243,0.00554193,-0.011824227,-0.00051339465,0.013249186,-0.015071263,0.028022403,0.013836364,0.01939688,-0.0028028872,-0.01314928,0.0078460565,0.013109476,0.0021081371,0.030131692,0.0061409124,-0.01350158,-0.016997507
16133,-0.022840513,-0.031001518,0.0075056194,-0.020260591,0.01521458,-0.009520127,-0.0020112738,0.0073568113,0.002059206,0.004377151,-0.0011185253,-0.030581715,-0.0015617727,-0.0019674257,0.032409403,0.0029948268,-0.02163616,0.006780345,-0.018324131,0.0057297344,-0.00354415,0.00072367425,0.020576306,0.017861573,0.0034655696,-0.008591909,-0.012535979,-0.023311572,-0.026294097,-0.016388265
16179,0.013231297,0.011174302,0.0066552837,-0.010800802,0.008951247,-0.00081928977,0.015296317,0.005438769,0.0036692554,0.017959846,-0.0036395502,-0.015523813,0.020646632,0.018967966,0.03989452,0.023509681,0.0357564,-0.0023327805,-0.001753759,0.026129922,0.00073851575,0.010625203,-0.0016420129,-0.008766803,0.01794664,0.03414346,-0.0039683734,-0.002868805,-0.0073276884,0.0039000504
16180,0.01238751,-0.01553418,0.015017219,-0.0136531005,0.014890157,-0.024725476,0.016130533,-0.0104316175,0.0145874135,0.033855315,-0.0054433704,-0.033130296,0.0042627566,0.013883566,0.0007433829,0.010351084,-0.008264965,0.010047792,0.0060566287,-0.004582387,0.02226398,-0.019369772,-0.010619725,0.029986301,0.003620873,0.007767871,0.0151897995,0.004382999,-0.02027441,0.02789312
18585,-0.013640319,-0.008831254,-0.014651462,-0.0041060722,-0.017598419,0.009397688,0.0018760754,-0.0030154858,0.0032207705,0.0059787747,-0.0005818789,0.0074493787,0.033752628,0.028894069,-0.010612463,-0.015594922,0.033689786,-0.002819549,0.016168706,-0.02294805,0.0047982414,0.031532284,0.007638207,-0.016247781,0.010675981,-0.010887501,-0.005465269,0.020302428,-0.003604699,-0.012186932
18587,-0.028199568,0.005823068,-0.022469535,0.003479265,0.04050139,-0.0018212931,-0.012562773,0.0040044007,-0.008872148,0.0065434263,-0.022429427,-0.016352154,-0.02179853,-0.021842869,0.031076884,0.0059872777,0.03153389,0.011104734,-0.014873293,0.028430564,0.019111292,-0.011299688,0.01740781,0.019968523,-0.011336659,-0.021105967,-0.013687185,-0.0251405,-0.011214311,-0.019870514
18634,0.016610011,0.019381776,-0.0033900663,-0.0007823527,0.011666636,-0.0018338828,-0.0018151203,-0.0010725273,-0.0041461973,0.017790733,0.005406422,-0.010901113,0.018291881,0.036095418,0.031038081,0.007475104,0.021342738,0.011135339,0.012877147,0.030992217,-0.007390771,0.017821165,-0.0032759085,0.022566235,0.0014871126,0.009047943,0.007930342,0.013555519,0.018201731,-0.011815186
18635,0.016208664,0.0043687853,0.011540487,0.01558151,0.04546768,-0.0013401313,0.05774322,0.028980792,0.0016731833,0.020221187,0.021717481,0.0023523166,0.027548285,0.02481041,0.028648654,0.0044089835,0.030305495,0.011434088,0.017536636,0.01929024,-0.0011955394,0.022102222,0.023425879,0.03836867,-0.0014093783,0.012228474,0.01843864,0.028809598,0.001804788,0.012153921
18636,0.012797591,-0.0046798983,0.0013713328,-0.031656243,0.007293023,0.018353485,0.0074790386,-0.020626934,0.0055284784,0.015845066,0.016392192,0.0032938793,0.0035981413,-0.010070578,0.040533926,-0.011902209,-0.010860328,0.024425412,0.051693846,0.0060295886,-0.0005275064,0.019906638,0.003993344,-0.019595496,-0.00019029652,0.02012446,0.02727211,-0.028440276,-0.0043470296,7.382594e-05
