,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
24509,0.0035055939,-0.0073850416,-0.018632343,0.007196992,0.0024095206,-0.036494836,-0.0035923452,-0.01512324,-0.011631808,0.05227806,-0.009035343,-0.017088855,0.026232027,-0.016205586,-0.02547346,-0.016813762,-0.023958238,0.010329742,0.033929233,0.009576913,0.028062917,-0.018839821,0.0050655087,-0.029458588,-0.02927181,-0.0017069086,-0.0029758827,-0.024201827,0.00631386,0.01805801
24556,-0.003289707,-0.009425329,-0.009815875,-0.0071030767,-0.0112826275,-0.0186608,-0.013889678,0.01759167,-0.0015425732,0.022613017,-0.011401677,0.012418195,0.026349543,-0.006045738,-0.008606945,-0.0011771104,-0.002950905,0.005528048,0.017860357,-0.004301831,-0.009327702,-0.014501117,0.017942382,-0.019085908,-0.015549805,0.019761145,-0.016244417,0.019148735,0.0012196662,-0.008640609
24603,0.0013512876,-0.029802531,-0.0064474605,-0.0104074115,-0.020638688,-0.013046071,0.027324567,0.0071206526,-0.0086416,-0.0037038976,0.015701389,0.011420719,0.009154669,-0.015706746,0.034648716,0.00047088912,0.0131965885,-0.0076873302,0.023241503,0.014913134,-0.0193556,-0.020791722,-0.014246377,-0.020322137,0.0085844165,0.012956023,-0.01060845,0.022595817,-0.028531216,-0.036575112
24649,0.0014169179,-0.0053097173,-0.014748897,-0.015183143,-0.009481371,-0.048786554,0.018930513,0.011481106,0.011117543,0.033225078,0.0049868706,-0.0012798533,0.012743808,-0.01678657,-0.018769167,0.00075671944,0.013476907,-0.011789907,0.037195176,-0.0027730453,0.02094725,0.007987869,0.005829399,-0.009283871,0.003222096,-0.0060015568,0.007030379,0.045333695,-0.019411203,-0.0050302367
24650,-0.0009783044,-0.025845548,-0.001532902,-0.016353423,0.031128393,0.01590675,0.00471647,0.0034673072,-4.9291277e-05,0.038380433,0.025155345,0.0037882824,0.01854418,0.0036609105,0.011169013,-0.012426018,0.01007273,0.032058734,0.033251245,0.0078620715,0.006594091,-0.007775663,-0.006224364,-0.027746638,0.012798913,0.055586215,-0.001903542,-0.009788867,-0.011969996,0.016800528
24696,0.0035541884,-0.026488049,0.02308023,0.0019818188,-0.019366728,-0.0139490515,-0.0026869096,0.0049700933,0.0040832986,-0.0077399244,-0.008450333,0.026036503,0.00082300353,0.019932061,0.018819578,0.03161235,-0.004255084,0.030630952,0.0070567597,0.0014346131,0.016099723,-0.016518794,0.021628885,-0.02182468,0.02041644,0.0027158335,-0.005782094,0.02471205,-0.016383423,0.018098844
24741,0.004860831,0.003784023,-0.01772757,0.0100813145,-0.015835738,-0.024063028,0.028579898,0.029890902,-0.026426481,0.01786968,0.001832501,-0.0012812109,-0.012482797,-0.006482382,-0.0025758923,-0.016347697,-0.0056885467,-0.010616339,-0.007366076,-0.011991966,-0.0010004739,-0.009005522,0.03242796,0.06143433,-0.011219176,-0.0023077202,0.006717162,-0.016577056,0.011054722,-0.018582782
24742,-0.0408571,-0.022202676,0.0075784563,0.011288025,-0.03670258,0.007728405,-0.02357231,0.0008022175,-0.015564866,-0.010919911,-0.01450384,0.044350315,-0.03362369,0.0002587689,0.024723038,-0.018395782,-0.02657444,0.008032901,-0.011086746,0.024445007,-0.02658649,-0.0047508404,0.009017587,-0.024731226,0.00057674764,0.00733106,-0.00061180216,-0.013715482,0.019144507,-0.017267266
24787,0.0032345934,-0.009158842,-0.033602722,-0.010662817,-0.022544593,-0.017899288,-0.004785469,-0.013155949,-0.026889905,0.015139413,-0.0006507668,-0.021223465,0.016777165,-0.012526388,-0.013661653,-0.008795465,-0.012347112,0.00026714988,-0.016010758,-0.017948689,-0.02266463,-0.024650635,-0.013725672,0.035572153,0.0025331436,-0.00794649,0.018380685,-0.02706525,-0.02657178,-0.018502897
27313,-0.025317723,-0.0034024494,0.0043130005,-0.00768266,0.01722902,0.0015423112,-0.010243096,0.029405234,-0.014604072,-0.0008647302,0.01207602,-0.007647823,0.013590418,-0.013714287,0.010327972,0.01980449,0.014150768,-0.0146571,0.011737914,-0.005782059,-0.0052623902,0.03964096,0.013467263,0.015445474,-0.0010751685,-0.013159192,-0.0021653865,-0.017041035,0.035360526,0.0032021776
