,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
1199,-0.0028933343,0.0017685428,0.00084971497,0.025277952,0.016086223,0.023529733,0.023862964,0.04732245,-0.0017472237,0.013325698,0.024669714,0.030118784,0.019216554,-0.01490254,0.030685524,0.006413318,0.017853044,0.029979067,0.0007651848,0.0030126662,-0.031750757,0.031585325,-0.007606301,-0.0070447437,0.008127418,-0.012281642,0.0075095706,0.022754872,-0.003678309,-0.006962719
1200,0.019412255,-0.016844587,-0.008183657,0.022962024,0.009322331,0.027331248,0.011295632,0.04586935,0.024813583,0.010393065,0.017242396,0.030489698,-0.008094897,-0.018667085,0.012345069,-0.00049156946,0.007705075,0.016178166,-0.0085247345,-0.010275467,-0.023638092,-0.0073558073,-0.00420853,-0.019781074,-0.030079147,0.016887186,0.01905921,0.022328645,-0.0036298037,-0.013475496
1201,0.024970317,0.018890873,0.014795127,0.006677685,-0.019779935,-0.009384144,0.024978885,-0.015877603,-0.007088803,-0.039219733,-0.027991628,-0.024540812,-0.030400956,0.0075851954,0.0053796084,-0.022049814,0.013526901,-0.0071156793,-0.019867403,0.025467793,0.004682239,0.002107057,0.00082674064,-0.01237717,0.008942143,-0.005114823,0.0013396937,0.0073372386,0.005352261,-0.0035765115
1202,0.004443863,0.013004243,0.020770205,-0.029409334,0.002046284,0.009418339,0.02262575,0.006280888,0.010371986,-0.041506913,0.004822712,-0.05366013,0.01422575,0.005562827,-0.008090806,-0.011891291,-0.01640596,0.010690534,0.016596178,-0.0318358,-0.0028168818,-0.010736659,0.012469859,0.026808927,0.003504793,0.0076323487,0.015157641,-0.0022135067,-0.007389846,-0.020691833
1225,0.021858284,-0.04239207,0.023139877,0.009566311,0.015997313,0.034344193,0.009130365,-0.010890459,0.0004101779,-0.012769102,-0.0010146884,0.038607296,0.012728869,-0.021634573,0.01686207,-0.009237248,0.019104669,0.024787584,-0.00067262194,-0.013021602,0.00509393,-0.01040382,-0.015484687,-0.024933772,0.02052632,0.008144255,0.016470863,0.004017413,-0.027999952,0.0111805005
1226,0.01892633,-0.005063743,0.018772803,0.04629305,0.015022715,0.03526141,0.0020938439,0.026366606,0.007101856,0.005361659,-0.012546618,0.0144590875,-0.0074943644,-0.012310005,-0.006243233,-0.0040055923,0.014160578,0.011294927,-0.014326983,0.010881503,-0.028077314,-0.010951967,0.008853725,-0.0195609,-0.016587026,0.0044151135,-0.02036002,-0.003952348,-0.02047615,0.004876341
1227,-0.0017758965,0.009382742,-0.014536309,0.010613478,-0.005459475,-0.0104538165,0.029093446,0.014742198,0.0016418584,-0.006027652,0.013264834,0.01685275,-0.006448803,-0.0078077507,0.0041800546,-0.0015324975,7.173807e-05,0.008738086,0.01375591,0.0019487973,-0.020533623,0.011510561,0.011985061,-0.041186363,0.056904584,-0.008694782,0.022533797,-0.01450568,0.016490009,-0.01363618
1228,0.0033752297,-0.0046379124,0.007465296,0.02939534,0.0052545206,0.024771547,0.0008804109,0.007885263,0.0032948833,-0.030384263,-0.002452197,0.0067965896,0.00625225,0.012748969,-0.00955877,-0.00051229197,-0.0034700318,0.007024553,0.007111046,-0.021416498,-0.033964332,0.006881422,-0.01585526,-0.016766695,0.019170428,0.0123857595,0.00744498,-0.018676521,-0.013031871,0.0038668022
1229,-0.0026575252,-0.011600328,-0.015417092,0.010905136,-0.0023942816,0.009400695,0.002974269,0.01987457,-0.0034505378,-0.004111793,0.0072832243,-0.000105359904,0.009544076,0.04501455,0.0061979983,-0.0145281,-0.006220152,-0.0038802538,-0.0037801247,-0.018177902,0.011519161,0.0045249052,0.015945338,0.029972965,0.0026344105,0.000388658,0.04103615,0.01068984,0.034062747,0.019962152
1230,0.027709091,0.0054484033,-0.012134813,0.030940233,-0.011602223,-0.010459292,0.012809914,-0.0023149394,0.008177442,-0.008035572,0.014798026,-0.020307692,0.0014418369,0.011350923,-0.0040730326,-0.004333815,-0.020086566,-0.01670481,-0.01846193,-0.038542595,-0.02736315,0.016484752,-0.010700741,0.0035735604,-0.0046455497,0.027952194,0.015624535,0.03292444,-0.0024646067,-0.0016138883
1251,0.022641823,0.017810179,0.011951632,-0.017138204,-0.0071161124,-0.0013271974,0.0095393555,0.012128141,0.02555496,0.016077243,0.002124478,0.00916425,0.015333255,-0.012793417,0.004070741,0.019470684,0.013268535,0.008416726,-0.014974318,-0.010207968,-0.032871526,0.015591804,-0.014350369,-0.018688863,-0.018356794,-0.025186688,0.01424696,0.026001424,-0.016154809,-0.0049136872
1252,0.006026655,-0.0030693512,-0.0025627383,0.020078251,0.0050943946,-0.009868958,0.02585098,0.023868492,-0.0077272602,-0.026226768,-0.0003293869,-0.006658051,0.019446304,-0.015735755,0.027595103,-0.01081588,-0.020404547,0.01402561,-0.036871392,-0.0051416573,-0.013073914,-0.036284737,0.01452556,-0.019892566,-0.026421465,0.010881278,0.012471083,-0.018266877,-0.031618934,-0.002921392
