,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
4028,0.03492086,0.0057128095,0.0061335447,-0.011755715,0.0018685423,-0.0010570362,0.01572285,0.023593856,0.0034318513,-0.007515535,-0.013543311,-0.024410566,-0.033225093,0.015009564,0.0011594087,0.018397423,0.016338974,0.0014029766,0.032322835,0.02023173,-0.014871023,-0.030054078,0.043246675,0.0010513173,0.017046994,0.007402832,-0.005965831,0.025891326,-0.00196837,0.013315618
5309,0.022748137,-0.014009767,0.0048452443,-0.029380977,-0.0133878,0.018910045,-0.02053971,0.01099015,-0.021110574,-0.013016568,0.009504766,0.016971901,0.008982227,-0.02243884,-0.0067301933,0.022403551,-0.0013752381,-0.011667392,-0.015432133,0.0035436444,-0.018173907,0.0012996964,0.0025582907,-0.015591901,-0.020750528,-0.015403073,-0.0014375895,-0.023499658,-0.045727015,-0.03183404
5310,0.020219287,-0.009490411,-0.00062398845,0.0024711017,-0.019273357,0.009809463,-0.008684705,0.012952086,-0.00903675,0.0070796856,0.01292232,0.011238013,0.020801285,-0.007387838,-0.029087866,-0.005595042,-0.0069174017,-0.007563382,0.027201653,0.0068184696,0.013591264,-0.004048173,-0.0025469537,-0.0076408233,0.005191997,-0.012877449,-0.016162993,0.019972052,0.010791663,-0.03544192
5354,0.0037770376,0.029798528,-0.026560545,-0.029986322,-0.0073976875,0.020269005,-0.0060863853,-0.005690986,-0.008572948,-0.01549787,0.003937575,-0.02912877,0.023452314,-0.0072308555,0.001411619,0.01131589,0.015164364,-0.007370383,0.006414574,0.01690313,0.00038293656,-0.0040260484,-0.011330846,-0.007250694,0.02451962,-0.020270178,0.0017233114,0.030554198,-0.01624438,-0.018384103
5356,0.020394837,-0.017286504,-0.0033231277,-0.009337642,0.039997686,0.010006417,0.00918387,0.03893904,0.018355481,0.022419995,-0.025808483,-0.021439957,0.016653763,0.021294147,0.00933357,-0.02110008,0.008357231,0.016444625,0.02387728,0.0056153215,0.002819679,-0.0051313243,0.0019445823,-0.001582729,-0.004122306,-0.019993944,-0.0150361145,0.0007022293,0.010235452,0.008215499
5398,0.016982669,0.008706942,0.0019501267,-0.015960015,0.04526526,-0.011685662,0.00047483598,0.014741818,-0.001744524,0.012077321,0.024828197,-0.008347171,0.013370827,0.0129221445,0.0085591,0.0072464086,0.0005701147,-0.0022867962,-0.002657219,0.005422397,-0.038665798,-0.008892323,0.0065565505,-0.0003359214,-0.01777363,-0.044304296,0.009046892,0.006255929,-0.032494918,-0.00045280822
5399,-0.006160172,0.0131591335,-0.011658759,-0.0056843455,0.003741402,0.018403193,0.019853259,-0.036796037,0.008567213,-0.016373495,0.011189367,0.0011945314,0.029383553,-0.045509696,0.0029718291,0.002073142,0.01817602,-0.014450259,-0.022599543,0.0022949392,-0.0077236164,-0.022911824,-0.03435808,-0.0102696,-0.0063618775,-0.033859458,0.007233817,0.010641932,-0.008699931,-0.0035572974
5441,0.0072491453,-0.0024082372,-0.012001801,-0.011265813,0.022941418,-0.026306419,0.009145303,0.0064433957,0.012408633,0.0025659956,-0.0023327833,-0.03915015,-0.012854156,0.028132817,-0.020724436,-0.019919703,-0.008733268,0.0005616503,-0.015545952,-0.00805421,0.009788167,-0.021192705,-0.0114824595,0.03592291,0.005385112,-0.0010414928,-0.00042058466,-0.02561467,-0.0015854798,-0.009726912
6944,0.015648846,-0.0049422667,-0.0047822166,-0.00798142,-0.0068606324,-0.03889838,0.019333662,-0.0028544336,0.01341134,-0.018965526,0.00817348,0.010156665,0.035437237,0.009043449,0.0054605664,-0.031084573,-0.014671386,-0.03469987,0.024753414,0.045022186,0.018192718,-0.014400839,0.00026894608,0.0021449297,-0.035939395,-0.0010779226,-0.01270992,-0.033350814,-0.023539161,-0.002074593
6989,0.017390624,-0.009434108,-0.008930356,-0.020399287,-0.012604638,0.0414812,0.0018583412,-0.0034927505,-0.010992933,-0.044997793,0.027144706,0.01272943,0.020431163,-0.0020762242,0.00012839772,0.009165364,0.021464737,-0.0041067875,0.029606337,0.029986588,-0.003644847,-0.004448875,-0.023508536,0.0038519574,-0.00078219763,-0.040268164,-0.010009356,0.041448932,-0.019939113,-0.024834657
6990,-0.020834327,0.000920868,-0.008602035,-0.019360533,-0.013189825,0.0069060675,-0.017391084,-0.019745003,-0.0011643391,-0.008096971,-0.0038794235,-0.004266564,0.0019951633,0.020481037,0.010033081,-0.019035323,0.039319202,-0.016728356,0.025190152,0.0069690174,0.0046881596,-0.010081832,-0.046103243,-0.011085766,-0.00074401934,-0.0027115168,-0.012925261,0.020047063,-0.016179053,-0.027295878
7034,0.016223093,0.03137556,0.010554421,-0.027755493,-0.00014158145,-0.018207356,-0.011496759,0.015696036,-0.0074841697,0.022112807,0.007901399,-0.02647475,0.005834028,-0.00032360465,0.007804682,-0.02213321,-0.006309534,0.008032602,0.018388672,0.018364513,-0.0035161723,-0.002671197,0.02418983,0.013435788,-0.009756454,-0.027092515,0.0021969643,-0.0025676212,-0.016304761,0.017403517
7035,-0.00076651014,0.016841123,-0.015848521,0.02230121,-0.002508469,0.012160379,0.0018494573,-0.03016383,-0.001046433,-0.043881718,0.0057847947,0.02271103,0.018483378,-0.023434168,0.0027469415,-0.012066524,0.01526361,-0.0037157163,-0.022949316,-0.020780116,8.743318e-05,-0.03668897,-0.021724425,-0.0058523472,-0.02227769,-0.051329598,-0.01701215,-0.01423216,-0.007880117,-0.010740514
7036,-0.021993415,-0.018239794,-0.034354102,-0.010797873,-0.003149485,-0.003130257,-0.011180714,-0.014055729,-0.007654418,-0.015479266,-0.0021560397,0.00592101,-0.018922163,0.022110796,0.00094048557,-0.00052129105,0.024547884,-0.008772059,-0.02093832,-0.0028859696,-0.00038229115,-0.0242223,-0.044799235,-0.02180329,-0.012070331,0.0199878,-0.012251604,0.008992389,-0.015172104,-0.0022299096
