,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
1034,0.05820002,0.009409674,0.0030720793,0.001241997,-0.014142457,0.021980865,-0.013531928,0.01967779,-0.015844114,0.00988382,-0.012241025,0.010283991,0.026623169,-0.011629009,0.014923376,-0.0024253146,0.0286117,0.00851401,0.012400619,0.0005678721,-0.0026242074,-0.013471629,0.010941915,0.010833719,-0.009246801,-0.00034898953,0.0007571019,0.016399004,-0.032035474,-0.046530936
1060,-0.030144423,-0.031392418,-0.011422652,0.01597653,-0.00049580325,0.025329888,-0.02456987,0.008551679,0.018738588,0.0047054593,0.0048860605,0.02384361,0.03478383,-0.012001757,-0.016863668,0.0057832557,0.016468732,0.024932468,-0.020817118,-0.014910888,0.015257433,-0.0063978634,-0.0017900722,-0.0037200954,0.0423381,0.0033097204,-0.022305718,-0.010846595,-0.02669117,0.013422306
1061,0.016259823,-0.0024925098,-0.0072098286,-0.0025196103,-0.017396407,0.026427569,-0.0006030784,0.031163918,-0.0074187014,0.010526925,0.015923845,0.022138156,0.033931743,-0.008161984,-0.001952149,0.005768473,0.03048774,0.005119087,0.026986033,0.025847273,0.015857948,0.0069996384,0.0027271814,0.00785426,0.006823089,-0.008858091,0.004432322,0.01713091,-0.050161645,-0.02853447
1062,0.035448015,-0.017165996,-0.00535042,0.0070114224,-0.028276386,0.023697725,-0.0068188366,0.023486292,-0.016010495,-0.0060133524,0.0015809969,0.009827587,0.012083595,0.002092598,-0.0047147577,0.0050419937,0.03491585,0.015790164,0.010051418,-0.0072837435,-0.014336486,-0.012400222,-0.016204854,0.0006214445,-0.019420786,-0.012451119,-0.004784522,0.030596122,-0.03145045,-0.03669903
1063,0.02301549,-0.0141076185,-0.020190913,-0.009771292,0.0060095824,0.020875052,-0.01295726,0.019325538,-0.015600921,0.015153126,0.006659858,0.013058106,0.022309659,-0.022774575,0.0007592654,0.0034243409,0.012076645,0.0039996933,0.019704815,-0.007300891,-0.009745657,-0.030422578,-0.02926684,-0.0077890507,-0.008173431,0.0033692226,-0.008171627,0.027869886,-0.039859086,-0.047499355
1064,-0.010733019,0.0149440775,-0.035374995,-0.018945834,-0.0037855618,-0.0041825864,-0.009719625,0.007848325,-0.01842404,0.005704261,-0.019479835,-0.009726358,0.02560048,-0.036271755,0.0068021133,-0.0034221823,-0.004793568,0.002928989,0.0040564225,-0.0057612695,-8.133737e-05,-0.03811613,-0.044250693,-0.04624935,-0.007812737,0.0007128737,-0.020929968,0.0022740979,-0.04551826,-0.0397461
1088,0.030536257,-0.037928868,-0.017206416,-0.0076536206,-0.004288794,-0.0039537787,0.009858242,-0.00035788238,0.007003868,-0.001840073,0.01489118,-0.0070739635,0.015852986,-0.012188743,-0.01713605,-0.029942654,-0.008319649,-0.00021876954,0.024043009,-0.030279504,0.025948105,-0.011692197,-0.05596822,-0.02068683,-0.018405419,0.009728904,-0.018491728,0.010920311,-0.020245595,-0.025458008
1089,0.016281825,-0.0131270625,-0.011589627,-0.01794962,0.010425606,0.02585215,0.014912213,0.010784595,0.0036945653,0.0069848634,0.011759928,0.01966999,0.0137197785,-0.00920851,0.0059654326,-0.030559799,0.029648595,-0.0032814147,0.013782121,0.0014815354,-0.0038483825,0.012430746,-0.011103667,0.017762126,-0.032035828,0.0144126015,-0.00589296,0.014325497,-0.012362125,-0.009407238
1090,0.035734776,-0.028741559,0.0073418417,-0.0009306685,-0.027399302,0.03565425,-0.01482704,0.020368611,-0.007833847,-0.007879508,-0.0012018703,0.021450454,-0.0015941554,0.0037522365,0.011983633,-0.022117475,0.020840114,0.010325806,0.009624638,-0.00846936,-0.00978334,-0.009262859,0.0015440956,-0.002449672,-0.013350018,-0.015656753,-0.011804808,0.022651011,-0.04484448,-0.026263257
1091,0.029996386,-0.029335925,-0.014285351,0.015496813,-0.014733528,-0.0080741765,-0.024402022,0.03860906,-0.008682068,-0.0042967643,0.006442158,0.009037197,0.014210545,-0.0085316,-0.004678936,-0.00586028,-0.00047288145,-0.0011034863,-0.013569973,0.021788059,0.016019529,-0.012712364,-0.01025359,0.010176686,0.012749031,-0.007342039,-0.014425448,0.017618556,-0.0458287,-0.040944263
1117,0.018471736,0.021116808,0.020602666,-0.058543205,0.018052386,0.040182132,0.018098293,0.018185103,-0.0012939092,0.029031493,0.015076552,-0.012901102,-0.018577157,0.022865646,0.0021439642,-0.020082839,0.012172977,0.016213916,0.008724485,0.0119466325,-0.0004693647,0.010820512,-0.019968024,-0.009098992,0.0028726067,0.01410205,0.02463954,0.0024809788,0.005376044,-0.0096795745
1203,0.03296159,0.007320723,0.007888246,-0.0058281044,0.018384209,0.013714835,0.039319944,-0.009700147,-0.0033319704,-0.016721712,0.020587051,-0.0016887431,-0.008479856,0.0021655534,0.012311806,-0.005136639,0.008126152,0.0076921755,0.019056423,-0.024089424,0.0071446486,0.0007179007,-0.035966057,0.026919564,0.00012629696,0.009382724,0.011381746,0.019732317,-0.026138246,-0.009590853
1204,0.010835136,0.04427998,0.0019128509,-0.010275831,-0.013341259,0.034036055,0.039909605,0.020614076,0.010002378,-0.016572932,0.042960525,0.0038543183,0.016602507,-0.022120252,0.038818628,0.04742239,-0.002214412,0.005116738,0.010396131,0.001450074,-0.018611822,0.012646805,0.023832383,0.030851705,0.010724832,0.011260748,0.009086292,0.027942432,-0.03711923,-0.019906227
1231,0.04832543,-0.009925048,0.019226506,0.054875847,-0.009463639,0.03877941,0.010724221,0.015251696,0.030885212,-0.026787898,0.019600315,0.031119635,-0.013359498,-0.010815543,0.023330564,0.02326271,0.024451405,0.005944969,0.0006524601,0.0046174894,-0.06655436,0.013206433,-0.00926745,0.02827063,0.020104026,0.035341628,0.03219512,0.02917736,0.013741556,0.015616835
1770,0.008005797,0.025674956,-0.0059751533,-0.015947048,0.021534635,0.018825078,0.009052464,0.020045971,-0.00944502,0.0068603265,-0.0041367817,-0.013780489,-0.00012481243,0.022798292,-0.010370185,-0.0025225542,0.03280016,0.0062173815,0.018007074,-0.013066041,-0.017522259,0.007406439,-0.003976594,0.0037116532,0.0024512124,0.006377714,-0.0024384183,-0.004246539,-0.057567675,-0.01588838
1798,0.005165935,-0.024900042,0.00012430968,-0.0066117966,-0.0154081015,-0.0019372139,-0.033454064,-0.032824345,-0.0028349145,-0.0163057,0.009850668,0.026007712,-0.025661414,0.010250165,0.009514981,0.011810931,-0.0007619864,0.0077344556,-0.0022248637,-0.023964653,0.018229768,-0.019331373,0.018924313,-0.024083117,-0.0013957819,-0.008905276,0.0017175842,-0.015334328,0.04104398,0.03485051
1800,-0.019447215,0.0086473785,-0.0067492197,5.8932736e-05,0.008893248,0.026417902,0.0070586926,0.0003469096,-0.013232342,-0.0064926855,0.02251801,-0.0063825897,-0.021682782,0.021773549,0.012832104,0.02576966,0.03382119,0.021950012,-0.016899547,-0.0236265,-8.226869e-05,-0.030460624,-0.0004264051,0.0086531555,-0.042649746,0.0009045604,-0.010636311,-0.020143675,-0.022102578,-0.02487324
1801,-0.0019945987,0.014549174,-0.0048230677,0.005356272,0.016109658,0.019157114,0.011917744,0.015686514,0.003559985,0.008625097,-0.023735238,-0.011330099,0.013440032,0.003973791,-0.0022978832,-0.016397158,0.025753843,0.0012936512,0.013474867,-0.044119257,-0.018564234,-0.024171308,-0.011975575,0.021221124,0.0015956536,-0.032159124,0.018469797,0.024423653,0.0038217662,-0.015547097
1802,-0.005110948,-0.0044893506,-0.008642693,-0.032469325,0.031422626,0.0315257,0.008973473,-0.021544384,0.0017445228,0.00030153757,-0.018480355,-0.004683103,-0.009359054,0.006468618,-0.0154353315,-0.016804934,0.015564387,-0.007966696,-0.0007848286,0.007868435,0.009853599,-0.015073959,-0.009946815,0.04216757,0.043188807,-0.007278884,0.0031226173,0.02682919,0.011112601,0.0034237301
1803,0.030431425,-0.019502573,-0.021251028,0.0055743065,0.0055810176,0.023836507,-0.027695095,-0.005036321,0.017777221,0.016440796,-0.012383687,-0.003346532,0.03296197,-0.014472964,0.018259352,-0.02939359,0.01659145,-0.022014573,-0.011935614,0.017730776,-0.022293739,-0.019181157,0.0134794535,0.0024037787,0.008699295,0.025930433,-0.014274366,-0.002012496,0.0028747108,-0.02238517
1829,-0.022003531,-0.0015619403,0.029569948,-0.04418533,0.01856821,-0.010364602,0.0070576877,-0.030189775,0.0018994398,-0.01631607,-0.0067174076,-0.019781837,-0.0023836466,0.014202061,-0.012763555,-0.015462075,0.00072759297,-0.021043,0.023507938,0.016798241,-0.012681288,0.020831237,-0.0037592917,0.009340836,0.0005958869,0.00975682,0.014487456,0.020665662,-0.0013225083,0.025109021
1830,-0.01178176,0.014856681,-0.003832465,0.006178521,0.0031789222,-0.0038357517,0.0075775795,-0.019692868,0.01876749,0.028362254,0.011904041,-0.0052829874,-0.00454097,0.02359193,-0.007006286,-0.006187836,-0.011813181,-0.0023793608,0.027797295,0.012623192,0.006009037,0.006822163,0.02415485,-0.04334508,-0.008872862,-0.016335111,0.009987384,0.01042514,0.03756032,-0.005117321
1831,0.009286635,-0.01606206,-0.0066492897,0.02281867,-0.01554631,-0.018785568,0.019009741,-0.0057258164,0.027816398,0.039748065,-0.0024742316,-0.0044235415,0.011742148,0.019297868,0.0075980746,0.014776449,-0.03589529,-0.0025007005,-0.0026016568,-0.01942112,-0.005361022,-0.007500524,-0.013804003,-0.0113092,-0.0019861555,-0.010387089,0.0065340293,-0.006854922,-0.006811008,0.004564703
1832,-0.006609651,-0.006360408,0.020194221,-0.023886291,0.0031232748,0.018218568,0.011986926,0.020089034,0.021378426,0.013364166,0.00722048,-0.028597252,-0.0072864033,-0.011422019,-0.011068878,-0.004257837,-0.013949563,0.0053651743,0.02753974,0.0018739565,0.004393864,0.001111608,-0.0029329595,0.004899531,0.016171502,0.027887398,0.003779636,0.012558837,-0.052458823,0.018010812
1833,0.024243698,-0.014469103,0.004177791,-0.01719517,0.009807252,0.010901924,0.008481934,0.02713049,0.010005373,0.025042495,0.00032675095,-0.014480591,0.030320138,0.0031561852,0.0045824777,0.012936257,0.031538308,0.010545995,0.03667075,0.006724699,0.0033866756,0.011366519,0.002648623,-0.010725121,0.02007704,0.015302472,0.0070044347,-0.016827658,-0.042258907,-0.012613576
1834,0.026963407,-0.007936419,-0.03155807,0.012385901,0.001314741,-0.012752283,-0.006967394,0.021673268,-0.005789567,0.02650492,-0.027886301,-0.016496593,0.013774172,-0.027588755,0.01186578,-0.007286361,0.0013461638,0.0085416855,0.050973993,-0.010274942,0.03248375,-0.0224081,0.0049898415,-0.016130617,0.018258689,0.027863769,-0.003746409,-0.0062950365,-0.021463027,-0.010426164
1835,0.04361497,-0.013836409,-0.020931683,-0.017844304,0.009990729,-0.021685533,-0.006323189,-0.011894575,0.0033869848,0.02483573,-0.008793541,0.0005044257,0.017768713,-0.0036018118,-0.01890049,-0.009679184,-0.0029322952,-0.0041764043,0.025350789,0.032074545,0.015899576,-0.018178536,-0.0012642524,0.015883716,0.00780219,0.018453898,-0.016582869,0.014576353,-0.01931783,-0.017877383
1836,0.03450956,-0.0065262634,-0.017849205,-0.01572363,-0.00036545904,-0.0034633463,0.0028995418,-0.0008821425,0.0009555427,-0.0018987391,0.0012927005,-0.010417101,0.0155064715,-0.01651548,-0.018478232,0.0044241673,0.017553546,-0.011585723,0.037273757,0.043684375,-0.01618152,-0.032610614,-0.032504555,-0.031343285,-0.00025098366,0.013892387,-0.029975088,0.02197121,-0.054248203,-0.020417156
1861,0.023454586,-0.004240908,0.0062836506,-0.030526793,-0.01743203,0.003384196,0.010407623,0.03423698,-0.009152182,-0.018728705,0.025740856,0.021878352,0.040142056,0.006212412,-0.00290223,0.011158916,0.024355412,0.015946504,0.03196807,-0.014510888,-0.0073236395,-0.009218105,-0.014610044,0.0012032203,0.021464905,-0.0024273333,-0.014762931,0.037244428,-0.029747317,-0.042876784
1862,0.029784031,-0.015137459,-0.023945192,0.011988155,-0.009171703,-0.0012038046,-0.012525556,0.018331915,0.0025616407,0.004413661,0.021056822,0.0016969164,0.031093685,-0.012771342,0.009087748,-0.010809712,0.003963795,0.0089251185,0.037036322,0.009132915,-0.01855371,-0.0057532154,-0.03276851,0.018960284,0.012523167,-0.017346945,-0.0084034195,0.024248078,-0.037586838,-0.034640104
1863,0.020372115,0.021248251,-0.021035612,-0.021512479,-0.018412959,-0.00057963,-0.02048155,-0.014690126,0.018039873,-0.03150853,0.010622895,-0.032392178,-0.017316699,0.011183194,-0.020760639,0.020005101,0.0023578915,-0.03234543,0.027086036,0.004902443,-0.00258166,-0.024921954,-0.023585623,-0.03237861,0.010516639,0.014699194,0.018657466,-0.011734664,-0.012150202,0.0033141791
1864,0.024117291,0.015353304,0.014789139,-0.04176907,-0.014475673,0.047818884,0.013334918,0.016431516,-0.0040877224,0.0116001135,0.027695278,-0.006851123,-0.0031892105,0.002255016,0.016626244,-0.019661158,0.02642656,-0.014889884,-0.0027876094,-0.0015608357,-0.019040907,0.006059736,0.0077043977,0.014234357,-0.025338521,-0.013639398,0.01766737,0.0061234087,0.015239465,-0.01503472
