,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
30612,-0.0105831055,-0.0052137175,0.007747264,-0.008563476,-0.0016406146,0.020339424,0.0038927218,0.01887709,0.020769903,0.001047976,0.00032161796,0.009079694,0.0069567244,-0.0052263606,0.020866634,0.034640994,-0.0007072382,0.0033985178,0.0013662997,-0.021012774,0.0014062799,-0.009057085,0.002577724,-0.0034471732,0.021099376,-0.0078851655,-0.0050736857,0.019477434,-0.055736348,0.0036028223
30613,-0.008009279,-0.013239678,-0.00051180134,0.006919244,-0.007214073,-0.0047985436,0.0052356063,-0.014732838,-0.014002827,-0.021966845,0.01655004,-0.0033012219,0.006112563,0.008927078,0.054418374,0.009461894,0.0014112733,0.005605049,0.007634331,3.337969e-05,-0.0049206554,0.016861027,-0.04803468,0.014132208,0.01505484,-0.010146968,0.007050703,0.028336339,-0.0051600556,-0.033929326
30661,0.0131919915,-0.012052435,0.004724787,-0.007027783,-0.020112114,0.030659676,0.004466258,0.032594815,0.009778959,-0.027171887,0.0077874586,0.014276575,-0.03394681,-0.017567659,-0.0051083583,0.038042367,-0.020935193,-0.00831606,-0.003516147,-0.002527886,-0.017679995,0.026084913,0.01598764,-0.0138940355,0.0034450768,-0.01098859,-0.0077033746,0.014891725,-0.012615889,-0.025820354
33718,-0.00028371904,0.0051599457,-0.005643754,-0.011123277,-0.017813584,-0.024310837,-0.0026114304,-0.01705811,-0.022220695,0.020552378,-0.017213082,0.01078317,-0.017158212,-0.01699327,-0.02548282,-0.01633193,0.023670064,-0.000729627,-0.01561934,-0.0039561577,-0.00463634,-0.02464003,-0.04643068,-0.0226968,-9.6206866e-05,-0.025861057,-0.027649717,-0.02760836,0.001301618,0.001055556
33719,0.036944594,0.012058173,0.014699654,0.018536732,0.020388914,-0.005400079,0.049015302,0.033640515,0.020604232,-0.0034949183,0.02787663,0.056039438,0.0118314065,0.012754671,0.04794923,0.017117037,0.038450185,0.018295685,-0.012153368,0.032430116,0.011629867,0.023532093,0.021189699,0.024969064,0.009207503,0.009871845,0.024644507,-0.01341805,0.010937969,0.005681819
33766,0.009919372,-0.027026974,0.010029469,-0.023599641,0.004952723,-0.03894018,0.040534787,0.011577126,0.021272354,0.0060130656,-0.006382622,-0.00855337,-0.011045427,-0.03135905,0.02054676,-0.012315045,0.039904285,0.013165002,0.0039855507,0.036895562,0.028540552,-0.0007751258,-0.011491786,0.0076179113,-0.010900497,-0.0061087925,0.0015956815,-0.018809471,0.008673587,-0.019213373
33767,-0.0019164631,-0.0062243254,0.0020410295,0.00695638,0.0053872173,-0.027979786,0.03142828,0.023992471,-0.00079856394,0.008186798,-0.00795338,-0.016694272,-0.03109026,0.0036189219,0.010471926,-0.0016017336,0.014941049,0.0002102113,-0.012825313,0.0036971762,0.019725291,0.013755951,-0.018938033,-0.02177067,-0.01859716,0.001287112,0.0024896332,0.032796144,0.0022229662,0.0028852252
33768,0.0031007647,-0.0268419,0.014640323,-0.0019925295,0.0036760175,0.00633736,-0.008002035,-0.028451137,-0.025621109,-0.0031971533,0.0005956137,0.011981321,-0.0151883615,-0.0104230745,0.007357149,0.017201846,0.016655872,-0.005633969,-0.019100925,-0.019612914,-0.030384451,0.00293817,0.01364712,-0.006287717,0.0039745905,0.0070945956,-0.0018460077,0.0074955537,-0.020165421,-0.012344659
33769,0.017364291,-0.03766137,-0.006685591,-0.0083884,-0.001356381,-0.008967413,0.014821667,0.010983926,-0.021684118,0.008911447,0.012037207,-0.0020300495,0.022873038,0.018263536,0.010997638,-0.0034167722,-0.02666424,0.0013830016,-0.010310186,0.0036645054,0.012267205,-0.01530616,0.0309903,0.00065095496,-0.0038353633,-0.0078812195,0.007319054,0.0049085114,-0.011545464,-0.03451258
33770,0.0018182532,-0.020223318,-0.018944157,-0.035393793,-0.0018177092,0.0029880914,0.0050360085,0.021692244,-0.010307736,-0.010548738,0.00071704475,0.015407783,-0.012984752,0.016096598,0.01576907,0.0044823405,-0.021554045,0.044215795,0.0056079035,-0.009425755,-0.008010956,-0.0040523307,0.0016679835,-0.040313724,-0.04444539,-0.040007014,-0.001460574,-0.009906695,-0.0016414399,-0.026259122
33817,-0.007046525,0.01259664,0.018681023,-0.008573913,-0.007713624,0.026045853,-0.012651981,0.018300226,0.004694008,-0.026580827,0.00495236,-0.0062814862,-0.0045851036,-0.026000915,0.026743589,0.034718696,-0.028750772,-0.00045533423,-0.0048306477,0.0034856964,0.0073789577,0.029171465,0.028401392,-0.024505347,-0.0013903299,0.011650349,0.0037248053,-0.010104676,0.006051071,0.001284893
33818,-0.008766357,-0.0010523599,0.0049860883,-0.0141613595,0.025059378,-0.022699421,0.013824147,0.020493755,-0.0110525815,0.0061873556,0.008425864,-0.016740495,-0.003948862,-0.020249872,0.021508703,-0.04186766,-0.01356713,0.010951488,0.008819767,-0.0013926625,0.009211396,0.0080338,0.014471474,0.011977956,0.012768385,0.008924758,0.0031330267,0.035162613,-0.023486823,0.018639838
33819,0.019662142,0.009082551,0.010440349,-0.022948831,0.011049022,0.019571543,0.01266268,0.014321878,-0.025906974,-0.004870548,-0.0022596351,-0.016672438,-0.01534219,0.0038886012,0.012815979,0.02261314,0.0071414863,0.020552417,-0.0027446037,-0.017746337,-0.0030335255,-0.029453544,0.015414182,-0.015692754,-0.0035609994,0.007383873,0.015979037,0.024582101,-0.043708783,-0.017200135
33866,-0.03215758,0.0036928002,-0.011445099,-0.008862786,0.03192183,-0.02714687,-0.011850814,-0.009000172,0.006385812,-0.005146745,-0.011906914,-0.0065025655,0.024214022,0.0099225,0.015623414,0.035460826,-0.02575732,2.1979213e-07,0.0011168061,-0.023948424,0.016149195,-0.022493726,-0.008863378,-0.02778665,0.013089991,-0.018186765,-0.018679874,-0.036587615,-0.014284015,-0.0005715303
36899,-0.014101669,-0.0042288797,0.0069540576,0.014288437,0.008936351,0.03280391,-0.010355153,-0.0026921642,0.030607626,0.027050791,-0.000690615,0.044573367,0.035554186,0.030533008,-0.019666621,0.03221526,0.025696978,0.00036061896,-0.0016613003,0.008477713,0.01594498,-0.0034893367,0.016636794,0.019739853,-0.0032776308,-0.016832652,-0.0031099068,0.024194228,0.014406577,-0.0004970832
36949,-0.009962146,0.046892088,0.008227122,0.0070919427,-0.0037983563,0.014733142,0.0020482768,0.03105929,0.009321507,0.009577627,0.015986593,0.023529856,0.012954608,0.017212108,0.018125756,0.038565315,-0.015327446,0.006861877,0.003933421,-0.020121489,-0.012604182,-0.0011550873,0.01793131,-0.029286677,0.028731843,-0.030528026,0.022608181,0.016145179,-0.012144144,-0.015831687
36950,-0.014087117,0.0050574597,-0.00065177836,-0.01000953,0.0016538101,0.02090414,-0.009137519,-0.033510577,-0.009843723,0.03785754,-0.0044747437,-0.010498541,0.006635104,0.030753978,0.010850311,0.008355428,0.0065885633,0.0132392,0.0066107563,0.0019721624,2.539965e-05,0.011058926,0.021071875,-0.012828626,-0.0065954938,0.007436394,0.003850378,0.04393207,0.025564978,0.017230734
36999,-0.0036654396,0.014515505,0.0014656499,0.03428063,0.008043601,0.0021230394,0.018958097,0.019348117,0.0039796177,0.0045987125,-0.0014978336,0.017658262,0.00841093,-0.005267399,-0.00776483,-0.0070661996,0.029678747,-0.0043691453,0.006779264,-0.017583877,-0.02235207,-0.0070909057,0.012951455,-0.0014709589,-0.007377746,-0.02231328,0.00017359814,-0.0046629435,0.01825969,0.0034138896
37000,0.025313178,-0.016918663,0.007014684,0.0069901156,-0.012734142,0.011458609,-0.011607825,-0.020761803,-0.051687017,-0.0121953515,-0.023139859,-0.010932602,-0.003453613,0.014809226,0.0025816152,0.0058109984,-0.00897115,-0.0075556207,-0.028390167,-0.01587904,-0.028369928,0.0012382185,-0.00056941557,-0.017408133,0.011954208,0.01954034,-0.0019906438,0.023703506,-0.010080833,-0.03356065
37001,0.029927224,-0.010987447,-0.00676254,-0.022839988,0.01474171,-0.022519482,0.03131189,0.0156167,0.0016382666,0.024592584,-0.003352512,0.003374857,-0.021130117,0.010406745,-0.009934374,-0.008893921,-0.015128478,-0.0076833884,0.0018989635,0.0054784236,0.0046102847,-0.04278047,0.009283268,-0.01339094,0.028182885,-0.0027845043,0.007813021,0.027980527,-0.012492095,0.004726876
37002,-0.0070212386,-0.017665057,-0.017290622,-0.022064729,-0.038623925,-0.0092904875,0.00040377118,0.008119123,0.017958224,0.007018551,-0.0072245286,0.009043564,-0.007944376,0.005640795,-0.013767035,-0.014773857,-0.0039019566,-0.020449214,-0.002629676,0.025985658,-0.0055865212,-0.017341599,-0.017822716,-0.012862186,0.007817889,-0.017593073,-0.014409799,-0.0058363867,-0.009435929,0.01453849
37049,-0.027324056,-0.021265253,-0.009382882,0.021767234,-0.011556094,0.01170978,-0.015444686,-0.04074256,-0.01819245,0.02204337,0.0061827824,0.018081408,-0.0023774551,0.000760308,-0.047234893,-0.037074734,0.016426886,-0.033621594,-0.046590462,0.0147166075,0.005946998,0.013037817,-0.025578111,-0.018504968,-0.009217299,-0.027601263,-9.833594e-05,0.0043238034,-0.0045813485,-0.009514583
37050,0.0010036206,0.0037119004,-0.0005144027,-0.00031673987,0.008726086,0.010158909,-0.021821609,-0.014392022,-0.014143061,-0.030303262,-0.016516635,-0.009013194,-0.011311792,-0.009583463,0.01584094,-0.022304391,-0.0024756063,-0.023968555,-0.01555388,-0.0031552024,0.007014286,0.009216119,0.019092081,-0.024962084,-0.00081820384,-0.014069673,-0.011417993,-0.030773295,0.013833399,0.015988445
37051,0.015914053,-0.012925583,0.007492404,0.0032808438,0.030777859,0.012582258,0.02601093,-0.00052295654,-5.6655885e-05,0.04248609,0.013727064,0.0007780755,0.01671598,-0.0044162096,0.011962019,0.019642321,-0.015331694,0.007993411,0.022325173,0.011473349,0.0183516,0.037799913,0.0091818115,-0.025169184,-0.016757777,0.027616093,0.0029477335,0.03444801,0.004596691,0.004859312
37052,-0.0013274653,-0.0060217255,-0.012831417,-0.023818962,-0.03519405,-0.0019885814,0.0071214945,0.01495678,-0.017930157,0.0068825097,0.00058944494,0.00046073334,0.015471253,-0.023257889,0.015729535,0.042603355,-0.014199802,0.016424453,0.024311418,0.0021639925,-0.00016542617,0.010853131,0.0079990635,-0.019390412,0.009353482,-0.0048904717,0.011797234,-0.013953107,-0.0026217608,-0.018415479
37053,-0.009365736,-0.011528429,-0.00862239,-0.02857022,-0.0049610795,0.0044785026,-0.0004160176,-0.010836017,-0.015141542,0.008545037,0.0011387373,0.0049181315,-0.027715279,-0.019645827,0.0104274005,0.0063920375,-0.005319161,0.0080438275,-0.00393798,-0.0052366736,0.025193216,-0.0031936523,-0.028235072,-0.015188709,-0.0006629831,-0.0023120584,-0.0042611454,-0.026667258,0.006710556,-0.022186935
37098,0.018264605,0.008933428,-0.0016628684,-0.013309479,0.012908627,-0.016431615,-0.0012044398,-0.020452742,0.012495127,0.00416136,0.0036226835,-0.036567952,0.020194268,-0.023768531,0.024557978,0.053720772,-0.010071137,0.011368588,0.0033512881,-0.009276363,0.0012688438,-0.009221441,0.018356843,-0.027440919,-0.0070506595,-0.013159587,-0.010440341,-0.01733627,-0.023124022,0.021099895
40272,0.01664842,0.015755711,0.009977739,-0.0011024596,0.017784797,-0.010748225,0.009727479,-0.022435317,-0.0070871674,-0.00635294,0.0020448547,-0.035904374,0.0121425865,0.017907185,0.024660924,0.02270065,0.023047902,0.016480217,0.011583976,0.0022778693,-0.03535762,0.024039043,-0.02681844,-0.03717302,0.005737758,0.0022407442,0.0056261593,0.0016246587,0.016696291,-0.006021896
40273,-0.002814952,-0.013487817,0.009314938,0.010331946,0.0055506057,-0.0032970489,0.0073022884,-0.02703169,0.021125196,-0.005198171,0.0006279954,-0.0035688595,0.0035740815,0.01789931,0.03074718,-0.0043934155,0.012579795,0.008390152,-0.00554453,0.009030926,-0.018245531,-0.003271195,-0.0030311577,0.019678658,0.0017115934,0.008288289,0.023684755,0.022242518,0.035373975,-0.010759867
40323,0.008091331,-0.015061952,-0.017952438,-0.01925792,0.013317202,-0.012038566,0.0047043497,-0.008233029,0.005584348,-0.006280288,0.0027845015,0.006286849,0.010918259,0.0036118354,-0.013042952,0.016574247,0.047519814,-0.004587771,0.00041444474,0.017370915,-0.0066924053,-0.0007391109,-0.023095762,-0.009162101,0.031788588,-0.026260896,0.007877908,-0.039660413,-0.0063351705,0.024676895
40324,0.029258886,0.008404177,-0.009844796,0.0010044739,-0.008697782,-0.0020940378,0.022959037,-0.026182303,0.0019815348,0.002237778,-0.007878752,-0.0060235816,-0.014847175,0.044705693,0.0012607403,-0.009157967,0.024006987,0.012685217,0.026363185,0.020432763,-0.0049471087,0.00092190504,0.009029802,0.017940275,-0.015010842,0.031329792,0.0070221485,0.010309245,0.01686746,0.031678546
40325,0.015661407,0.026250869,-0.0110286595,0.030808324,0.009613521,0.019689376,0.022256276,-0.010536973,0.01089659,-0.0064486912,-0.005088382,-0.0239079,-0.01805071,0.02286465,-0.022990773,-0.026458526,-0.016955582,0.01773019,0.050303157,-0.01202321,0.013858095,-0.020826584,-0.008523007,-0.00035278,-0.006695681,0.0025164408,0.004497209,-0.0027551095,0.005290261,0.014936174
40326,-0.0086639365,-0.011177413,0.0028475642,-0.015125948,-0.00860561,-0.0050009317,0.027651407,0.017499313,0.033991437,-0.0023069424,0.0026463273,-0.016515573,0.00038400976,0.006667679,-0.03783703,0.00031068767,0.00011634516,0.007720536,-0.004309848,0.018005932,0.007622782,-0.005866505,-0.045811895,-0.024020782,-0.018664433,-0.021413961,-0.0064443406,-0.011334595,-0.00034193383,0.00036572045
40374,0.00089920126,0.010470702,0.0052551036,0.0055577923,0.0282906,0.02097479,0.011103469,-0.020924078,0.00014986181,0.030133402,0.01559282,-0.02548716,0.04014686,0.03352421,0.0039267833,0.017501993,0.0034297418,0.01800368,0.031422514,0.031015575,0.010084043,-0.003460725,0.012478338,-0.009582852,0.0065078638,0.043025788,0.010403766,0.009452227,0.016991861,0.037307404
40375,6.373195e-05,-0.015180502,-0.010394287,0.005274097,0.020532899,-0.0184931,0.010572097,-0.024180127,-0.0036316726,0.013924529,0.0028216739,-0.03128158,0.0068116896,-0.010192683,-0.00368761,0.014895171,-0.009033573,0.014322343,0.043090988,0.012142159,0.0025106946,0.0036795943,-0.012506028,-0.034907375,-0.02356142,-0.0065089217,-0.0016123535,0.009149774,-0.001297954,-0.009495048
40422,0.0038016133,-0.009682143,0.005328069,0.017122202,0.0017303036,0.012718401,-0.01253474,-0.0127134295,0.005902566,-0.008525405,0.021720516,-0.025450403,0.018506097,-0.021602174,0.006486457,0.061208177,0.010877155,0.010263674,0.0022374727,0.010385052,0.013884418,-0.012249245,-0.018358959,0.020616533,0.004878952,-0.01801441,0.008973608,-0.015674418,-0.017699668,0.0044833045
43672,0.016408367,0.0009914743,-0.008096125,-0.016336653,-0.0056141764,-0.0023427338,0.009751945,-0.011194092,-0.0014041379,-0.0127219325,-0.0041823667,-0.008902018,0.026539356,0.009067475,0.018106325,0.033791393,-0.013254126,0.0035180862,-0.021933556,-0.013032783,0.032839287,0.01972881,0.0317228,-0.013316866,-0.008614562,0.002891276,0.008633967,0.012143057,-0.0026809592,-0.0030963027
43673,-0.013511713,-0.01011812,-0.01603778,0.004967543,0.014603198,0.010397908,-0.011102621,0.015156598,0.020437399,-0.013675398,-0.006156488,-0.00031685317,0.0037506686,0.0003342908,-0.0057529216,0.0029414056,0.021558033,-0.022371888,-0.0044379355,-0.0010689733,0.022343716,-0.0070710033,-0.011351158,0.0060161036,0.04063582,-0.047758963,0.0063611786,0.00034926087,-0.029761815,-0.018639652
43724,0.027561793,-0.0068407557,-0.013282761,-0.02628696,0.0089305565,-0.0323031,0.0012939667,-0.026147844,0.0065856506,-0.008744529,-0.013285917,-0.013166304,-0.020504115,0.011143188,0.008092009,0.029050775,-0.011529412,-0.008155285,-0.010016945,0.021482015,0.0138403075,-0.02482899,-0.022071304,-0.010128122,0.010606139,0.010040938,0.011357531,-0.002308686,-0.0060354006,0.018495915
43725,-0.03361396,-0.004189447,-0.004975282,0.020494612,0.021090658,0.0031114332,-0.01545734,-0.012017258,0.0414674,0.003929636,0.0033332703,-0.0120267095,-0.012715396,0.026284948,0.008997195,-0.005261844,0.0019410327,0.010742239,0.02078812,0.011385669,0.012162407,0.009748948,0.004585413,0.016724495,0.013090494,-0.017435808,0.021091104,-0.00799928,0.005041472,0.016288335
