,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
24266,0.034681577,-0.006635525,0.0041902815,-0.037130717,0.015640812,-0.00414355,0.0004296638,0.026575267,-0.020096501,-0.00093036145,-0.0058886986,0.01749306,0.0007902179,-0.02703976,-0.02003563,0.003391916,0.00986186,-0.027935123,-0.04608062,-0.029685238,-0.03563505,0.019697657,-0.025362127,0.0056342087,-0.008066858,-0.04284091,-0.019835718,0.013860467,-0.015263289,0.0047404184
27161,-0.029536026,-0.04317228,0.008515114,-0.022120804,0.0039672996,0.009952561,-0.0072308946,-0.011910074,-0.0058463323,0.007404117,0.012147814,0.0019862682,0.01819356,0.010722489,-0.01446622,-0.026206588,0.03453961,0.014520102,0.026473748,-0.0026927916,0.031530537,-0.009923439,-0.008283947,0.039756577,-0.025063952,0.021355703,0.008856756,0.01160987,0.019093633,-0.020250967
27162,0.0065178317,0.00049827603,0.013842341,-0.022090895,0.011251249,0.014395356,0.020803152,0.012672237,0.025958592,-0.006013568,-0.017385678,0.024937347,-0.018896421,0.006903868,0.017929176,-0.0051001157,-0.008872637,0.008047312,-0.0037660294,-0.0031269917,-0.0009367168,8.661067e-05,0.0041748625,0.022564158,0.0026700671,-0.008676199,-0.013493487,0.0044004438,-0.0024898064,0.0012888405
27163,-0.01653475,-0.02495454,-0.004098838,0.0047855433,-0.0073690624,-0.0018356293,0.007171996,-0.008846685,-0.015432377,0.005295826,0.013190832,0.01247384,-0.0026520612,-0.012588712,-0.014464609,0.009575196,-0.009983987,-0.007671615,-0.0052686757,0.0192352,0.02321723,0.0011561672,-0.02067851,0.038767267,-0.022963619,0.0069670994,-0.009987346,-0.010989852,0.00600018,-0.009050489
27164,0.012168884,-0.029532457,-0.0006782228,0.016676525,0.020472676,0.004522219,0.019755637,0.02757132,-0.0009480168,0.005358082,0.021141566,0.021626437,0.027691314,0.012592959,-0.013823621,0.018832086,0.03462803,0.0041326415,-0.0072604096,-0.015237353,-0.009421715,-0.012213477,-0.03732124,-0.02923423,-0.0061177164,0.028344447,0.0018533254,-0.00422404,-0.021070091,-0.0331948
27211,-0.008572427,-0.026948648,-0.0052199983,-0.019479185,0.04364274,0.016213283,-0.008471984,-0.009406735,0.024237491,0.02491107,-0.02079672,0.0010443131,0.0030127484,0.00028958544,0.038518474,-0.004244427,-0.019628415,-0.0073467847,-0.03251306,-0.009480014,0.008991848,0.005772717,-0.047879577,-0.011424452,-0.021754501,-0.013712213,0.010134454,-0.005000439,0.014360587,-0.0023417631
27212,-0.0047048028,-0.01977974,0.013360451,0.009835525,0.019090058,0.019865833,-0.027799575,-0.023430422,0.008614883,0.020419778,0.021830278,0.0149061335,0.015215467,-0.008904193,0.016427888,0.038148884,-0.018864658,-0.0010459686,-0.0013338771,-0.009520306,-0.00081286643,-0.006146718,0.003974612,-0.022930076,-0.019537965,-0.021429911,-0.010351571,0.025817715,0.007918368,-0.02869378
27257,0.05582385,0.0035728458,0.009564226,-0.017140549,-0.015237476,-0.009067331,0.0023932736,0.025184987,-0.021293169,0.0141629055,0.0012657341,0.006800125,0.0065316246,-0.009182048,0.035383593,-0.024913877,0.017816445,0.0010019555,-0.0041821506,-0.01918626,0.018829973,0.00066607445,-0.035491392,0.0014119534,-0.008179531,-0.018649392,-0.018463941,0.0028159379,-0.04026596,-0.032996092
27306,0.0045043067,0.015179448,0.017816983,-0.014206954,-0.0067619844,-0.0009988627,0.0053512533,-0.0028122577,-0.012467783,-0.016009847,-0.01275533,-0.030283442,-0.0072939214,-0.008952638,-0.009958583,0.014846495,0.0028808692,-0.00893931,-0.020390544,-0.00095487386,0.014534027,0.00095522776,-0.036461238,-0.019466,-0.03206843,-0.024895728,-0.023538208,0.0064428854,-0.03162619,-0.025075266
27307,-0.0016364077,-0.0060883164,0.030911671,-0.026065314,-0.010562666,0.031575296,0.024022983,-0.00012154815,0.028231964,-0.009455026,0.002057493,-0.012502967,-0.0015707497,0.008692069,0.008746203,-0.01268704,-0.014005803,0.017232055,0.02046617,0.0051021287,-0.011088102,-0.018406406,-0.03372423,-0.028681219,-0.020699775,-0.011110096,-0.019043654,-0.0057742107,0.016227702,0.0008087152
