,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
46274,0.013414848,-0.027490648,0.005197195,0.018485604,-0.007035706,-0.009437706,-0.018979214,-0.0012940153,-0.01983537,0.0036741446,0.031927437,0.02282204,0.032659903,0.011889768,0.009447619,0.0112397345,0.01495033,-0.02556836,0.023067527,0.0005837164,-0.002795194,-0.015366551,-0.007156243,-0.008987912,-0.005459038,0.017914629,0.020469347,0.010273735,-0.0115537755,0.009267972
46275,0.020775503,-0.013735839,-0.01951337,0.036509138,-0.0038472188,-0.00998233,-0.008787174,0.008188199,-0.02226769,0.007030913,0.017340558,0.023501746,0.008727698,0.0050611473,-0.005496539,-0.0075256447,-0.022262545,0.0068639643,0.013091366,-0.0025017976,0.0002634069,0.009341636,0.017854774,0.025483415,0.017076196,0.0013119759,-0.013175196,0.0064337323,-0.009259329,0.016535146
49739,0.0012432374,-0.041174624,0.0151082305,0.010264233,0.020021476,0.011551827,-0.008563734,0.0016610655,0.0107360035,-0.008582592,0.005386572,0.018459653,0.008180098,0.01099744,0.017652921,-0.016824082,0.011048746,0.011991534,0.009529571,-0.0011319014,0.0018725985,-0.004857864,-0.016341813,0.010147058,0.013501952,-0.023917869,0.0048392867,0.0105845295,0.00078476244,-0.0038380306
49740,-0.010743017,-0.017669106,-0.011568237,0.003869538,0.022672651,-0.008107997,0.028317938,0.01479347,-0.010583155,0.0014129533,0.02373111,0.021714114,-0.028768033,-0.02336897,0.02149415,-0.009529303,-0.0046215886,-0.008913346,0.016757727,-0.001734503,-0.00019848028,0.037822757,0.024159813,0.018532526,-0.03748407,0.0016551063,0.002629374,0.0044138716,-0.024246454,0.01229915
49797,0.02419921,-0.015294683,0.0006790177,-0.018157458,-0.013564777,0.012704874,0.01861072,0.016519701,0.0019927782,0.00717533,-0.0015995596,0.01440917,0.020691978,0.0015984094,0.000977736,-0.024570249,0.024868133,0.0030027889,0.009347723,0.020314103,-0.003027898,-0.013283815,2.9937675e-05,0.017902622,-0.0132319145,-0.013819371,0.026113257,0.01839468,-0.00933865,0.0029560218
49798,0.009477321,0.010394531,0.0025844292,-0.020785877,0.015779348,-0.016839964,0.011747416,0.0053603947,0.0006833856,-0.048606176,-0.0068134256,0.0136977555,0.008363803,-0.017197676,-0.01445043,0.010109321,0.008717491,-0.009265402,0.034097638,-0.014212791,-0.007464588,0.016446603,0.02830854,0.008556904,-0.015518191,-0.011371523,0.020385051,0.027632734,-0.01751306,0.011233953
49853,-0.008145529,0.0031048597,0.012185949,-0.009339749,-0.01579929,0.012742731,-0.012775269,0.012803644,-0.005242161,-0.0065390444,-0.001843846,-0.014893738,0.0020894113,-0.023007758,0.0021343918,0.032204587,9.161731e-05,0.00071999105,0.016647533,-0.002124249,-0.022568984,0.0006681066,0.018352123,0.0014603342,-0.02427343,-0.009728991,-0.00032683523,-0.028272783,-0.0015496429,0.014239079
49854,-0.024730176,0.014473214,-0.0068444014,-0.0070790574,0.022522727,-0.011705113,-0.024389723,0.003410631,-0.0075932606,-0.012389738,-0.0048566908,-0.018146506,0.0037674427,-0.016678402,-0.000120757766,-0.025101915,0.014382315,0.012472135,-0.016190512,0.02001942,-0.002727696,-0.0042071627,-0.01478769,0.01755407,0.024345838,0.007374114,0.0030387973,-0.030242734,-0.021380007,0.0042505073
49855,0.00480832,0.008306328,0.005050935,-0.003692845,0.003843897,-0.006718144,-0.027309766,0.0077486765,-0.0073939,0.0059877094,-0.0023546629,-0.013223245,-0.02423442,-0.018068064,0.0075169965,-0.02416659,0.012078171,-0.00343439,0.027355326,-0.021045089,0.011940438,-0.023746049,-0.0031337559,0.019315671,-0.017943135,-0.007750556,-0.0017213323,0.02524495,-0.022199562,-0.016715184
49856,0.0054624337,-0.01688908,0.0030170612,0.006764896,-0.010646363,-0.008422476,-0.0029004489,-0.0053972662,0.0070723346,0.013124101,-0.0021533328,0.044372093,-0.0064248,0.008718354,-0.0007007721,-0.0062503493,-0.00014300986,-0.010454434,0.036091335,0.013414714,0.0062830118,0.015436348,0.006418578,0.013222664,-0.0240004,-0.0049218037,0.0031669512,-0.004984157,0.0044902954,-0.011211685
49910,-0.023537407,-0.009186429,-0.003968006,-0.0029853776,-0.015136515,0.02819254,-0.0054849,0.008617812,-0.00623839,0.0014027664,-0.013456136,0.020749565,-0.011414616,-0.009891936,-0.003975852,-0.010858259,0.004961834,0.0055863694,0.0068150065,-0.03642288,-0.003633079,0.0072124396,0.0058547105,0.0046707676,0.024755849,-0.0047717094,-0.008474476,0.022944981,-0.0020686882,0.00034383172
49912,0.012778108,0.012373435,0.008550335,-0.008661197,-0.016161466,-0.0114416545,-0.02537462,-0.002954932,0.0014683203,0.015740205,0.0045423405,-0.028298618,-0.0010469923,-0.009644275,-0.023282388,-0.03705399,0.030003294,-0.027982565,0.023064017,-0.005136645,-0.02953253,0.006873707,-0.0027049452,-0.035019167,0.0057499683,-0.0152267,-0.013475925,-0.01826792,-0.045736164,-0.0035792384
49969,0.0024149488,0.00010038912,0.017940389,0.021948827,-0.004086487,-0.0074918796,-0.01812574,0.017021956,-0.0120360255,0.024238355,-0.0066881687,-0.001185351,0.013860845,-0.007171215,0.014658614,-0.012866884,0.011985306,-0.0031750407,0.0010569245,-0.0013238961,-0.014977683,-0.0004663281,-0.009123593,-0.013840199,-0.01091671,0.03305931,0.010796185,-0.0014192114,-0.017007703,0.0034406048
50025,-0.01240151,0.009754438,-0.019688146,-0.009705003,-0.031267103,0.0043523344,0.011088683,-0.0067178966,0.0053216293,0.0018501455,0.025583087,0.047014844,0.015067443,0.009784923,-0.014276083,-0.01803792,0.007913842,-0.0026093237,-0.0015233681,-0.01730494,0.015359369,-0.010063078,0.0004760263,0.02086096,0.026002683,-0.004330937,-0.009493501,0.007000772,0.007490436,0.0055679716
50026,0.023227343,-0.014329777,-0.002897998,-0.014549993,-0.017187618,0.0050475462,0.02409702,0.0119945295,-0.0060854764,0.036428835,0.014876072,-0.004552161,-0.018170014,0.0073826197,0.031327184,0.043853417,0.008766449,-0.019054627,0.005210273,-0.041198146,-0.03235657,-0.00020694577,0.011869666,0.010680876,0.024318941,0.024188852,0.022640638,0.015092559,0.0026252966,-0.017949423
50081,-0.007228745,0.0012347476,0.018046672,-0.008782658,-0.007646524,0.023722181,-0.016394658,0.017519938,0.010302977,0.0031548322,0.02245312,0.05368487,0.009195701,0.0015352402,-0.0060786284,-0.006188363,-0.011395447,0.015439454,-0.031165576,0.0072367224,0.020241676,0.020809077,0.011535603,0.036817975,0.015013336,0.008280979,-0.000632671,0.05692895,-0.012927839,-0.013344475
50082,-0.009744091,0.035143483,0.011528983,0.01083209,0.02607283,0.024999792,0.022714525,0.033883918,0.013191325,0.031650633,0.03253921,-0.0019198892,0.02772367,-0.008138377,0.027026197,0.042852733,-0.0075759455,0.0011214103,0.03559139,-0.008135281,0.00083614513,0.03789881,0.022269651,0.005271781,0.0010836418,0.009125927,0.033053398,0.019461418,-0.009530117,0.01617913
50137,-0.0073963213,-0.009648692,0.016439198,0.0047743847,-0.0077715837,0.0052378126,-0.0021498844,-0.033366997,-0.023277558,0.023643332,0.006040137,0.025209984,-0.007243321,0.004785622,-0.0016639776,0.01530386,0.023415074,-0.003039437,0.008780123,0.0041905935,-0.0056951824,-0.010571939,0.013577615,0.0037426536,-0.015746068,-0.010513015,-0.01433931,0.021460786,-0.024012132,0.0008861038
