,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
13023,0.013347834,-0.041619007,0.00016455632,-0.029325187,0.00024101045,0.0031257172,0.014849671,-0.0038436651,-0.025729826,-0.027487421,0.0049667587,0.023581678,0.0040715327,0.005669756,0.0057443543,0.005113518,0.01574335,-0.004759118,-0.0019027335,-0.010681827,0.020833723,-0.0062290486,-0.02817485,0.01882885,0.013644058,-0.0023974522,0.012706735,0.008586999,0.00044288547,-0.026085312
15456,-0.020116737,0.0049520372,7.0476285e-06,-0.02464573,0.011204831,0.004582724,-0.013353563,-0.014118809,-0.032625448,0.00934462,0.015443474,-0.007460982,-0.010302476,-0.014655066,0.04349378,-0.003179488,0.013649587,-0.00915186,0.016016334,0.018945683,0.012301053,-0.0066124466,-0.03093715,-0.00440721,0.016929666,-0.017307164,0.011483456,0.0042950516,-0.044357892,-0.041164268
15507,0.0016933813,-0.0071313563,0.0031232142,0.0065262294,0.015180503,-0.034892146,-0.0035971089,-0.023450926,-0.014145208,0.012151453,0.0004487826,-0.031140594,0.010668601,0.01086912,0.045002867,0.013224068,0.01229168,-0.0042617456,0.033746507,0.015698126,-0.017932689,-0.016778992,-0.0004955381,0.021722173,0.011319987,-0.020255232,-0.003551402,-0.010297391,0.0027286317,-0.015369219
17990,0.016760286,-0.027364695,0.010488397,-0.0064406297,-0.023400614,-0.0012279503,-0.011328665,0.0019700958,-0.019227449,0.0032316595,-0.018137282,0.0053703426,0.008071368,-0.030437274,0.023658983,-0.00952864,0.016307475,-0.010860016,-0.00039662296,0.0021195111,-0.018237112,-0.030378344,-0.0106476,-0.0007638919,0.018477093,-0.020619074,-0.016340375,0.0045285397,-0.027434194,-0.008162494
18041,0.009055298,-0.024390489,-0.0061705275,-0.0015229136,-0.0016371291,0.015790656,0.022215957,0.01697427,-0.019176537,0.007872193,0.003424478,-0.026720716,0.0043017757,-0.028728908,-0.0019487129,0.02863883,0.012419493,-0.010813362,0.007047938,0.013919785,0.008093589,0.010411772,-0.020112794,-0.0066703414,0.0020123285,-0.025421053,0.00399085,0.013630878,-0.026985658,-0.00772224
20711,0.025685305,-0.005499993,0.0144030815,0.0069294036,-0.011980943,0.00929944,0.010369738,-0.019447835,-0.006104329,0.007052924,-0.015991727,4.0913623e-05,0.019684946,-0.018315526,0.002497324,0.030029178,0.011905573,-0.0063885394,0.031244775,-3.9604183e-05,-0.025704956,9.61752e-05,0.012990753,0.016461551,0.027006999,-0.019868273,0.0023514621,-0.0034269977,-0.012463334,-0.0064418404
20762,-0.020332139,-0.00018736876,-0.008230177,0.00085206266,-0.020684216,-0.005123991,-0.017894998,-0.016903436,0.011418463,-0.02247113,0.0154504515,0.018204862,0.00026765218,0.0031153338,-0.0053072665,-0.0051552956,-0.00043671267,0.0022226258,-0.0047821486,-0.0010739677,-0.037316404,0.014580426,0.020027442,0.012437474,-0.0027940397,0.022083156,-0.016202418,-0.0355879,-0.02960208,0.017816171
20763,0.02645801,-0.010657783,-0.006665127,0.007196926,-0.0006732703,0.0148966685,-0.01864236,-0.0089646615,-0.0064778985,-0.031211918,0.014221755,-0.008168079,0.009184965,-0.0074464693,-0.046391893,0.008593767,0.028888574,-0.00040689996,-0.030611986,-0.0031080109,-0.015762651,-0.007654969,0.027625881,0.018435294,0.014919723,0.008803443,-0.011318955,-0.027894378,-0.023859756,-0.03437881
20815,-0.00030058157,0.0034083247,-0.009330356,0.008874018,0.034785066,0.0006877196,0.02058425,0.031717137,-0.0062480685,0.010113807,0.009093844,-0.0047020703,0.024625367,0.01582173,0.018849423,-0.010974725,0.014526675,-0.017747132,0.020734036,-0.013276246,0.0018923879,0.029599652,0.0071337563,0.018873634,0.018588262,0.0091273105,0.017384326,0.0048408345,-0.012697652,-0.016615732
23554,0.02913285,0.0055171563,0.0086460635,-0.024448873,-0.012276273,0.029823795,-0.0013290761,0.009153791,-0.011796485,0.010302645,0.029377596,0.023517692,0.026565164,0.0106655145,0.02806867,0.000568108,0.043004263,0.007441804,0.015613613,0.012881615,0.007747757,-0.0052257827,-0.012828317,0.02479752,0.01630961,-0.0043937587,-0.0033796171,0.047576938,-0.025980243,-0.042997677
23555,0.027630916,0.011623729,-0.005229808,-0.015234251,-0.012075921,0.038463984,0.007766884,-0.0056194398,-0.0015598495,0.0025369392,0.02542334,0.035134044,-0.00044406205,0.00021306053,0.0021455225,-0.0079799,0.03771706,-0.005208522,-0.0077166706,0.010168694,-0.025103739,-0.01759425,-0.021556275,-0.010443039,-0.011836548,-0.0022071323,0.019106261,0.011280529,-0.054537386,-0.03948429
