,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
65371,0.019273954,-0.016444126,0.029678104,-0.017356597,-0.03063629,-7.092518e-05,0.011035957,0.017119734,-0.0009308529,-0.0028789171,-0.010482036,-0.00916665,0.016830841,-0.008324303,0.020731086,-0.005903169,0.02879691,0.019125136,-0.017240336,0.038858443,-0.015721483,0.015081252,-0.023525104,0.0062600374,-0.01584293,-0.011799898,-0.011754066,0.02157218,0.0378404,0.021801792
69137,0.021549895,-0.027838176,0.011425042,-0.0072588525,-0.023235768,-0.04997774,0.025159648,0.0016498627,0.010382616,-0.00392915,-0.004061396,0.0012487838,-0.008190209,0.006552519,0.021660589,-0.0028154012,0.00863064,0.005407307,0.03840468,0.024438322,-0.0063096043,-0.0025962682,0.009782466,0.050359774,-0.004462848,-0.0033539396,-0.011345986,0.030699419,0.03793545,0.012825645
69190,-0.015056926,0.011304508,0.019208213,-0.015816046,-0.012094055,-0.0049816337,0.013112013,0.02599456,-0.020628411,0.02209041,0.0021923238,-0.00059244246,-0.013616023,-0.028222514,-0.009633829,0.017737634,-0.023889353,-0.0013425128,0.016552152,-0.012874848,-0.0034446009,-0.006189314,-0.035728384,0.022145115,0.0111830635,0.020649524,-0.0044743344,0.029205436,0.013965416,-0.016921066
69191,-0.03292001,-0.014433381,0.006958714,-0.0046148263,-0.03894994,-0.010368261,0.014718495,0.025676655,-0.0039102263,-0.008344042,0.002470086,0.029530672,0.005942105,-0.050326932,0.020917982,0.0013299199,-0.022924805,0.016812908,0.0034136607,0.00049515563,-0.03739365,0.012376272,-0.0020049952,-0.012696165,0.0035860993,-0.014914729,0.007908714,0.019701602,0.0016678813,0.0024451867
72752,-0.0063794204,-0.0028141153,-0.0137683675,-0.020885995,0.013865604,0.01756327,-0.012541377,0.00845983,0.0014456859,0.014421441,-0.0029397747,-0.016168978,0.02227909,-0.0056558084,0.0055300924,-0.015721118,-0.002845633,0.00077526114,0.0093160095,-0.03149611,-0.010025012,0.00930493,0.00848573,-0.0033706818,0.01667693,-0.013419263,0.012246687,-0.01945665,-0.0044025136,-0.021153225
72805,0.017174216,-0.040048752,0.0063197576,-0.020795958,-0.0010603698,0.002495398,-0.03811535,0.032643147,0.017522575,0.008403222,-0.005778998,-0.014733783,0.010155367,0.024804361,-0.010948553,0.01164468,-0.01472555,-0.011698563,0.00018982014,-0.004849441,0.012539339,-0.006757546,-0.020866126,0.0060789958,0.016794365,0.0020032732,-0.0048564975,-0.0017235223,-0.036411937,-0.019597055
72808,-0.040590856,-0.008321908,0.017438786,0.00802856,0.011368443,0.005350493,-0.020779734,0.004440132,0.011906788,0.016696371,-0.022236802,-0.0056592026,0.02555461,-0.018202938,0.0056866505,-0.014079855,-0.010021359,-0.020473216,0.038165245,-0.014983592,-0.026417239,0.03852298,0.0008060947,0.040803064,0.00684996,-0.022608334,0.002529187,0.0032647208,0.012437866,0.016982103
72863,0.020951211,-0.00079867494,0.017504899,-0.014675725,0.0020564173,-0.0137092965,0.0050926046,-0.011147623,0.005164279,-0.029792657,0.018372586,0.017267214,0.011266932,-0.013999924,-0.015337069,0.020729259,0.0004351487,0.0006574355,0.008074698,-0.05038063,0.0031968392,0.0146266185,0.011704403,0.017204821,0.0052743144,0.01593645,-0.02387563,0.005049798,-0.008969008,-0.02568228
72918,0.015093108,0.0063365777,0.009778896,0.03738297,0.0028228096,-0.023517892,-0.0063309595,-0.008786618,0.027776688,0.010493551,0.013745447,0.003826758,0.0062260665,-0.03611283,0.0132316025,0.01177943,0.015133257,0.012124428,0.025335876,0.010592285,-0.012502316,0.0054743756,-0.009273138,0.03734746,-0.02305281,0.008980757,-0.009159018,0.013446849,-0.0029873475,0.015854923
72919,0.024841823,-0.009691696,0.013597455,-0.008458138,-0.033239763,-0.005535938,0.009776673,0.016689792,0.0038630962,0.011374335,0.006205257,0.030267099,0.012874967,0.0064449734,-0.010972341,-0.007591052,0.023363015,0.004437885,0.019991523,-0.025926987,0.012952951,-0.028630095,0.012734662,0.003115351,0.0055004093,0.029050028,0.013354485,0.004220119,0.012546665,-0.02648808
72970,0.011078957,-0.014177535,0.0070555694,0.026499212,0.01583407,0.025714628,-0.008922375,0.033461098,0.015940892,0.042159203,0.0028221395,-0.008384995,0.0077928365,-0.010915467,-0.0076713474,0.010482191,0.019779371,-0.008900028,0.015383083,0.017985882,-0.018731939,0.027027393,-0.026131326,0.0053508114,-0.0011262043,0.036185626,-0.008081924,0.0060315267,0.023274487,-0.033129483
72971,-0.0023380525,-0.004172011,0.004188331,0.004814415,-0.0043617445,0.010248942,0.023594828,0.011029794,-0.006700579,0.011216324,0.011732727,0.0030628704,-0.002547399,0.023513302,-0.00040346384,0.053898502,0.010880481,0.0035751003,0.007554892,-0.012229703,-0.02306673,0.007724304,-0.035820622,0.0014648935,0.017002495,0.034297377,-0.007768078,0.029985467,0.027115181,-0.009558047
