,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
5736,-0.021662405,-0.039974805,0.020259134,-0.0035877433,-0.011083125,0.010475387,-0.012007792,0.026163816,0.013338187,0.0075846207,0.015708884,-0.022592174,-0.0044228705,0.014430292,0.020964375,0.0094966525,0.034572367,-0.019458057,-0.017517677,-0.0053216456,-0.030872943,0.008511941,-0.0033036887,-0.0029173067,-0.03259285,-0.0070934226,0.015902242,0.010254065,-0.0061762775,0.014984782
5777,-0.02392167,-0.008270169,-0.003533258,0.01115178,0.014377356,0.020836955,0.013510804,-0.018884124,-0.020280499,0.015313521,0.021186097,0.03846511,0.01795386,0.013856587,0.005185106,0.0124616,0.025491552,-0.022100693,-0.022992188,-0.0060596247,-0.029239694,-0.03212029,-0.009734695,0.020293832,-0.00969208,-0.013266981,0.007858881,0.021837516,-0.0022767682,-0.025171982
5922,0.007048253,0.00019853254,-0.028148403,-0.00959473,0.007767305,0.018776124,0.010542213,-0.021551587,0.003548247,-0.012317382,0.0039503234,0.019270284,0.025240304,0.026427114,0.004953236,0.0067965053,0.02543883,-0.01126688,-0.039966363,-0.0043883915,0.0068738214,0.013009193,0.0028867342,0.021652468,-0.0064388034,-0.028289804,-0.012099528,0.023137683,0.0021091055,-0.021279087
5956,0.002713084,-0.0036420804,-0.01769963,0.01015276,-0.020071447,0.007896899,0.011620384,0.020627132,-0.010566411,0.03602864,0.0038751143,-0.012670281,0.030421773,-0.009448126,0.0151481675,0.009850892,-0.03232146,0.008857112,0.00064017874,-0.0020973592,-0.032787953,-0.0037953698,0.010528267,0.0040841126,-0.0030366376,-0.028202778,-0.014095365,-0.0014333719,0.0026723074,-0.023611901
5989,-0.01827257,-0.019588465,-0.0024508808,0.013763193,-0.00076578977,0.022580052,0.019831873,-0.0034585868,0.00020860352,0.005326169,-0.014169012,0.028422186,0.022903547,-0.0038367163,0.008553685,0.013886415,0.0074370257,-0.0062662787,0.01553139,-0.0124981515,0.028089425,0.012900833,-0.008681926,0.016914329,0.020636132,-0.008249071,0.021961212,-0.0020799737,-0.0053856005,0.00888073
6022,0.015720244,-0.005431387,-0.011180523,-0.0035439357,0.003622417,0.035082325,0.027303567,-0.007244134,0.032992363,-0.002684595,0.008491856,-0.014413941,0.03003695,-0.019902684,0.0018230183,-0.0025504325,0.035890132,-0.00046385452,-0.009445731,0.026943842,0.0082433615,0.0056202505,-0.013150136,0.01591937,0.0050325934,-0.002205803,0.017044377,0.023558246,0.0048209024,-0.0011394015
7338,0.005327204,0.0019652613,0.019473307,-0.025820935,-0.012817632,0.038518835,0.0005200294,0.008202121,-0.0018336849,0.010491892,0.017422438,-0.0058176056,-0.03003881,0.0007634231,0.0052670375,0.0140464,0.01754986,0.0033399686,-0.022820054,-0.011550113,-0.027257234,0.005451072,-0.011372571,0.026346559,-0.0036132701,-0.001814922,-0.00638024,0.020602023,-0.0011187996,0.018406594
7381,-0.00022568181,0.0211067,0.029412827,0.011033894,0.0059202234,0.006704723,0.010158353,0.0066057,0.025371639,0.01347996,0.01789747,-0.012598805,0.01674048,0.0016651634,-0.013819811,0.0009434363,0.01155332,-0.018064564,-0.034623,0.0033541352,0.00625466,0.00979152,0.022406094,-0.0069141514,0.014280059,0.015021731,0.0063410006,-0.016391618,0.016282277,-0.008147665
7423,-0.006590607,-0.025639733,0.021810288,0.010363412,0.01906681,0.006482665,-0.011738886,-0.022760509,0.030894086,0.016327785,0.02660957,-0.017885158,0.00954412,0.0021845133,-0.0027558522,0.0064258478,0.0075387056,0.0016799364,-0.004092988,-0.003445754,0.005109487,0.0033500136,-0.0028955862,0.011063331,0.009277386,-0.015046808,0.026785448,0.0007645474,-0.0435465,-0.0039627594
7506,-0.011158067,-0.027699336,-0.013667119,0.014959529,-0.013878574,0.057527587,-0.01401342,0.012776516,-0.0031019032,0.010037777,0.019915422,0.009350768,-0.0009865346,0.007833249,0.0076278225,0.0019639318,0.024175921,0.019199954,-0.020028261,-0.015529905,0.0010228163,0.013450474,-0.0053197253,0.039015792,-0.0047871503,-0.013589035,0.005878627,0.022704987,-0.005451616,0.012715657
7546,-0.009010372,0.018113766,-0.027772866,-0.0017071547,-0.02563716,0.024271308,-0.0022582274,-0.0047120075,0.015739104,-0.011151105,0.0011116859,0.0005193672,-0.00732666,0.034491528,0.03060888,-0.011147566,0.0042490414,0.001213945,-0.009515409,-0.009940333,0.016046928,0.014014694,0.0020880022,-0.00888683,-0.0117777735,-0.009186965,-0.013662548,0.0054361657,-0.017772509,-0.00059102225
7583,0.014687589,-0.007005736,-0.014302569,0.0032991848,-0.0040487335,-0.016173748,0.005214983,-0.00012606678,0.009908922,-0.010118538,0.0011515333,-0.015465055,-0.00091139786,-0.0028997452,0.01627109,-0.037484568,0.019713305,-0.016774243,-0.0119612105,0.0006720635,0.013457726,0.0137328245,0.005962337,-0.0144282235,0.027739244,0.0070318165,0.008749972,-0.009047255,0.0105727995,-0.011427981
7584,0.0071522663,0.045854587,0.011049611,-0.019161316,-0.029260978,0.033121396,0.020708248,0.0118216425,-0.0011800295,0.011405788,-0.0028233435,-0.011160976,-0.008503567,-0.0024502487,-0.007611403,-0.046464425,-0.0024241908,-0.019664427,-0.021722922,-0.014972749,0.045535948,0.01471667,-0.004930277,0.0012615938,-0.02567556,-0.00817078,-0.011829621,0.0042128884,-0.031898458,-0.023429722
7585,0.0075045563,-0.029500648,0.020628018,-0.03400711,-0.05078878,0.01522654,-0.0012732632,0.0025381092,0.012170327,-0.0073308987,-0.01818207,-0.008716979,-0.0019736786,-0.021845607,-0.020679059,-0.011189862,0.0047767065,-0.0068699247,-0.010282367,-0.0071318843,0.0052923323,0.013494346,-0.004172562,-0.019109478,0.006823117,-0.005980984,-0.012731758,-0.05073583,0.0050525665,-0.020003824
7620,0.010725148,0.009680694,0.010006306,-0.015427369,-0.014785905,-0.00013375159,0.014246973,0.001113542,0.010139566,-0.008960349,-0.00493962,0.016106436,0.0044929297,0.022657203,0.0440311,-0.0026989337,0.005445087,-0.019949943,0.016924942,-0.008202024,-0.008287651,-0.01866568,0.003656997,-0.0015009791,-0.0016822343,-0.007989998,-0.0023330583,0.018247701,0.0073214755,-0.020173585
7621,0.009678883,-0.014288362,0.004557204,-0.012656373,0.014833904,-0.0118833175,-0.019807132,-0.002210309,-0.027731435,-0.009742235,0.015401378,-0.0071700327,-0.0037245937,-0.011184608,-0.009112562,-0.030977452,0.011661074,-0.01819175,0.023173967,0.000936575,0.008075171,0.0042128805,-0.011081189,0.02324195,-0.021906853,-0.047105882,-0.020254789,0.021354316,0.022996591,-0.0010509962
7622,-0.017569821,-0.029989937,0.004020913,-0.0061151837,-0.022240803,-0.03436929,-0.010947053,-0.014204451,0.00059816707,0.023192925,-0.021602556,-0.02085636,0.02165339,-0.016212745,-0.027247807,-0.019331597,-0.00039827765,0.00029906942,0.02547198,0.017833304,0.0062000775,0.008221795,-0.022407228,0.014386161,-0.014842053,-0.00706387,0.007306623,-0.007735073,-0.010869446,0.035874564
7656,-0.0018264052,0.0144332675,0.008328758,0.0040874504,0.007149624,0.04205056,0.009447777,0.021693885,-0.0003007142,0.0055586244,0.011863063,0.016379053,-0.0063455314,0.010005086,0.017960874,-0.008742175,0.0026106818,-0.0064698323,-0.017946482,-0.004815331,-0.010055036,0.0073069036,0.029897919,0.023605814,-0.0038379263,-0.013916721,0.007928588,0.008980486,0.006883836,0.0019888764
7657,0.023276532,-0.015967084,-0.0053605996,0.002578333,0.011713862,0.0028804934,-0.009952716,0.017318213,-0.017945716,0.006507332,0.01673971,0.010053116,0.01515647,-0.0084290905,-0.0006365366,-0.024145797,0.029007373,-0.011366681,0.018953048,-0.0062060766,0.021573745,-0.013651252,-0.026206687,0.003399132,0.01840966,-0.035309464,0.006360784,0.015338966,-0.016521068,-0.006837452
7659,0.022206811,0.010512897,0.01841742,-0.03490303,0.0031763364,-0.0011157085,0.009278093,0.039288387,-0.012052632,0.043909535,0.002279341,-0.017189689,-0.014516249,0.0039144205,-0.024797738,-0.030731313,0.031860378,0.0029006104,0.0013318948,0.0030111794,-0.010658522,-0.015450324,-0.019042134,0.0018231468,0.0066838674,-0.0018333048,0.013475653,0.022420442,-0.026221275,-0.0006914735
7692,-0.010585825,0.031666093,0.01450367,0.0024906204,0.019934665,0.019239655,0.007128091,0.0261211,0.0011717812,0.021472283,0.0033268575,-0.016519634,-0.0041612494,0.0032810736,-0.015789658,-0.0065559093,0.01803101,0.0090437755,0.0002631396,0.018401884,0.05841786,0.0035065264,-0.0072432384,0.001987051,-0.010234194,-0.02135359,0.013583819,-0.023912743,0.007155329,-0.013273787
9151,0.01743922,-0.019666485,0.0034653244,-0.0029272716,-0.019824658,0.014288954,0.0037749484,0.013944837,-0.011682882,0.02309163,0.021321775,0.02296485,-0.012695044,0.019073471,0.01697904,0.0023392725,0.026096096,-0.004506191,-0.0017456753,0.013878417,-0.006229455,-0.009426656,-0.0028985646,0.012261548,0.020281145,-0.005539944,0.0037660894,0.023666175,-0.00760105,-0.0041885115
9152,0.013236683,-0.011532642,0.013867974,0.0038818286,0.028291633,-0.024088288,-0.0038599996,0.0037212297,-0.009064662,0.0017899614,0.016849943,-0.0026290554,-0.007208908,-0.0016797009,-0.009900634,0.009246193,0.017128175,-0.006312646,-0.018607177,0.0009970829,0.0034177334,0.013073119,0.024667663,-0.023321614,-0.0019665007,-0.0062672365,0.00039193407,-0.031770557,0.022752328,0.0005875547
9196,-0.007534469,-0.017758908,0.014395949,-0.0067198053,-0.016637107,0.041433055,0.025074547,0.0065195276,-0.011939637,0.005085313,0.020310542,0.010061814,-0.01994774,0.012172186,0.010709601,0.0012866947,0.0043672086,0.0033590875,-0.026791612,-0.008886293,-0.010544873,-0.017495858,-0.001097242,0.009470882,0.020808714,-0.014870286,-0.01751799,0.012072441,0.0067437477,-0.00058608624
9197,0.018856704,-0.025911113,0.019290855,0.0051293583,-0.007173721,0.049925115,0.016718823,0.034289993,-0.0007988259,0.013712282,0.020011283,0.013261974,0.01868443,-0.0013938751,0.01694869,0.010158756,0.030481433,-0.000106641404,0.0055778883,-0.013142143,-0.0004129534,-0.0012419872,0.022853538,0.03584029,-0.009013664,0.0011271475,0.029076321,0.03584138,-0.0117476545,-0.036773656
9198,0.001513525,0.014845378,-0.0052988403,0.014625248,0.0061673056,0.013690696,0.031834107,0.015551757,0.013621997,0.025822805,-0.012890551,0.0026052117,-0.015446435,-0.005640225,0.016100248,-0.01308101,0.0077213664,-0.0098571135,-0.0034811955,-0.034894265,-0.012983884,-0.0021177381,0.00425352,0.007774522,0.0061363564,-0.005071716,0.012632853,0.0352805,-0.015922194,0.023665525
