,elephant,bear,horse,fish,bee,cat,kangaroo,dog,rabbit,tiger,alligator,frog,penguin,raccoon,ant,squirrel,donkey,cow,giraffe,zebra,sheep,goat,turtle,deer,camel,leopard,monkey,lion,rhinoceros,bird
81187,-0.00042447262,0.024855621,-0.013061331,0.014467239,0.01874972,-0.013915065,-0.020532848,-0.030839726,-0.014739429,0.004584987,-0.0045312853,-0.0012257822,0.00078821677,0.012573144,-0.019907843,-0.011428845,-0.0012044258,-0.0068127387,0.017555008,-0.031733815,-0.009670627,-0.000425489,-0.0074190963,0.032503124,0.0011808072,-0.019316567,0.021622322,-0.049985964,-0.029384352,-0.045406222
81302,-0.014497594,0.038957264,-0.023433285,0.017809907,-0.009952526,0.013163198,0.00047058178,0.022509282,-0.0039511514,0.013608259,0.008719847,-0.012674282,-0.008169896,0.0103641795,-0.009188226,0.0059778634,0.006668748,-0.00958811,0.003861137,-0.009011182,-0.031817246,-0.0039540115,0.0032761793,0.031605173,-4.7894814e-06,0.049902048,0.011526772,0.002389699,0.014027293,-0.039924536
84726,0.026178496,0.015428799,0.0077776946,0.010654355,0.003984,-0.019823592,0.016905302,-0.054328248,-0.0005861193,-0.014167662,0.011019546,0.031221332,0.017648308,-0.005383272,-0.0005243414,0.017071713,0.012651429,0.0044832067,-0.016828379,0.014953248,0.016925426,0.030792825,0.0032180927,0.024368927,-0.027391428,-0.0057685412,-0.0044726836,0.028678687,0.022736033,0.0026633663
84768,-0.0025149772,0.0005314269,0.009629105,0.022230497,0.0073458315,0.01879271,0.008634518,-0.03064289,0.0016821384,-0.010817715,0.00940117,-0.0029226418,-0.0025632966,-0.012534232,0.045075465,-0.0022458725,0.028223574,-0.0009796793,-0.003007467,-0.018328061,-0.013553263,0.02035501,0.009542824,0.01890095,-0.014605846,-0.021868033,0.008958459,0.028839365,-0.014068869,-0.02137995
84769,-0.0017538917,-0.015696308,0.0065045967,0.0135233,-0.009840922,0.013985091,-0.020813812,-0.016150035,-0.016180784,0.011428508,-0.01455143,0.024491211,-0.012223188,0.016501728,0.021428093,0.0047257827,-0.003072242,-0.014856406,0.0332856,-0.006741801,0.023901522,0.0028191758,-0.010353065,0.01819926,0.0138924485,0.015292726,0.004646439,0.005566435,-0.024897488,0.032619286
84861,0.017979335,-0.012434806,0.005650848,-0.01761713,-0.0026970815,-0.009353912,-0.007318849,-0.019395746,-0.005298868,0.013489992,0.030102825,-0.012838084,-0.0039753322,0.026706098,-0.010738197,-0.03100709,0.032597963,0.004877573,-0.026337286,0.001808775,-0.0024526464,0.009074842,-0.0007452313,0.003254872,-0.0056289495,0.021849016,0.0017809663,0.027317697,0.0086149825,-0.0051513873
84901,0.036075126,0.008201453,0.0055098035,0.02452845,-0.0047401097,0.012681355,-0.023960674,-0.02657581,-0.012217738,0.034972586,0.011352212,-0.007278189,-0.01807925,0.0026759945,0.014617058,0.018352205,0.00840818,0.0032917373,0.006153019,0.012491765,0.008786964,-0.00619985,-0.022758918,0.00048360214,-0.010364308,-0.002534521,-0.005160161,0.00751319,0.0008351502,0.01611443
84939,0.038913928,0.0008837925,0.011648971,0.029620597,0.020983102,0.013167216,-0.0020213982,0.0175149,0.0011755341,0.0029512458,0.012707967,0.017862739,0.03404261,-0.0039073355,0.0022715817,0.0068060937,-0.008710877,0.0014769118,0.016602702,0.020456592,-0.012652476,0.0007882488,0.0038074024,-0.006121133,0.0018786347,-0.03381077,-0.0028431064,0.024980126,-0.02935615,-0.0018068105
84979,0.0085767545,-0.010360687,0.013458303,0.010552173,-0.011052736,-0.03617245,0.031730518,0.030555636,0.013945184,0.014774204,0.019185768,0.013669918,0.022033239,0.017564414,-0.026039109,-0.020568976,-0.005539194,0.0004365826,-7.910157e-05,-0.011189729,0.0069619515,-0.009492057,0.009060678,0.032915514,0.0075893253,0.006124794,0.02219672,-0.007223487,-0.044508826,-0.015501607
84980,0.0023842684,-0.010089579,0.0025080643,-0.0080246115,-0.024385095,-0.031832915,0.005563773,0.003838342,-0.01641739,-0.023656553,0.025006885,0.0006285496,-0.025442922,-0.01483954,-0.013606269,0.029032513,-0.011710803,-0.012298846,0.033564508,-0.016409868,-0.00971159,0.0090771355,-0.031391088,0.0013585436,-0.015263478,-0.05312939,0.0034704069,0.0030419966,-0.0443541,-0.01647556
85018,0.04196307,0.0047595855,-0.01537441,0.014118305,0.00028848773,-0.010134782,0.00928242,0.024526527,4.8945036e-05,0.02007847,0.0021868565,0.013199669,0.020489588,0.026725695,0.018110598,0.0116331065,0.0108515145,-0.005552178,0.009289805,0.0003895443,-0.0028328572,0.0036463253,-0.017449109,0.017903516,0.07611552,-0.024788253,0.0021291059,0.0042255893,-0.0562474,-0.0451962
85019,0.01594218,-0.022093268,-0.030638443,0.013189827,0.009064715,-0.011514918,0.041281413,0.031331234,0.0138332015,0.03494808,0.01287517,0.010118543,0.020657448,0.011343781,0.021956926,0.006495984,-0.0040916186,-0.01967247,0.0030695617,-0.0002674237,-0.008686827,0.008684627,-0.0132235885,0.011449341,-0.0019262657,-0.00039095944,-0.0002497254,0.011283348,-0.06739045,0.0114576025
85020,-0.003981275,0.010631536,0.00863803,0.004037499,0.007863987,0.0022620673,0.015824148,-0.007914832,-0.020727815,0.025045136,0.0073248483,0.020152532,0.0039686575,-0.02965808,0.024613252,0.034612644,-0.0028871999,-0.015795859,0.008945726,-0.047055572,-0.003567854,0.038288508,-0.04900193,0.0030861169,-0.0082321875,-0.03359796,0.009678003,0.0040669865,-0.02483958,-0.008418444
85057,-0.013162994,0.005790765,-0.02276401,0.0026741668,0.010674189,-0.030232744,-0.0072771446,0.029081903,0.007015065,-0.00046823113,0.013382991,0.019632773,0.015648564,0.0023201657,-0.01065522,0.029045766,0.03274836,0.0030038243,0.002812065,0.031693894,-0.003021694,0.031073138,0.014140529,-0.00946247,0.033664834,0.013317135,0.0137414,0.04173391,-0.01172527,-0.009690241
88505,0.02553597,0.016463943,-0.00855329,-0.017926874,0.01506085,0.028572671,0.006952912,-0.00047306996,0.014261611,0.022900788,0.0037591644,-0.017690718,0.013942644,-0.008283894,0.02158727,0.022143176,0.0045862463,-0.0124155795,0.01758339,-0.020021623,-0.027393619,-0.019032098,-0.009971992,0.012368982,-0.0018097479,-0.017188435,0.021234253,0.02257821,0.017425222,-0.0007142539
88506,-0.026095733,0.0141362,0.0100186365,0.004528762,-0.010340047,0.0064793616,0.026544034,0.007783054,-0.0023232615,-0.00045148065,0.00997967,0.010861669,9.417472e-05,0.012648031,0.010434374,0.010400838,0.0066555254,0.012270026,0.027355442,0.0035471471,0.0016634868,0.019326394,-0.0055978117,0.019122804,-0.016651416,-0.0058461614,0.018627482,0.024412304,-0.008866627,-0.0037305702
