,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
14910,0.0073055723,0.029554188,0.02087485,0.018837139,0.007239685,-0.013523544,-0.010452314,-0.0025154313,0.034063585,0.020779785,-0.008060375,0.0072020255,-0.023897773,0.035216935,0.0070967586,0.009119339,-0.02329284,-0.013238202,-0.020579912,0.023917237,0.008597649,0.022185318,0.02499709,0.01100866,-0.01818949,0.0065480755,0.020939687,0.01615035,0.018193739,0.04884991
17585,-0.0032541265,-0.032589402,0.0038422502,-0.022106685,0.0049989694,0.0034763347,-0.030149065,-0.021197334,0.0375654,0.03275724,-0.023525484,-0.015151731,-0.02166049,0.03303707,-0.027611604,0.012518089,-0.03779122,0.010991923,0.008251562,0.010198694,-0.0020049987,0.008254315,0.019303469,0.014219596,-0.026342982,-0.0041842456,0.0038475802,-0.015953531,-0.0084791295,0.009168246
17586,-0.03472339,-0.017472917,-0.025217986,-0.025012486,-0.036212742,0.017479481,-0.027984641,-0.008088019,-0.014435125,0.0010984711,0.011399258,-0.029151553,-0.01872377,0.007432545,0.0072690076,-0.030183947,-0.032278426,0.029022234,0.0051048384,-0.01708798,-0.0032214262,0.0014078813,0.014004516,-0.013850869,-0.018602194,-0.009149895,-0.017889423,-0.002611056,0.0063272025,-0.009456902
17609,-0.005122259,-0.009717734,0.019389695,-0.011991776,0.0026857723,0.047174532,-0.041038036,0.006431774,0.021965986,0.044347167,-0.02551347,-0.0055582025,-0.009659243,0.0054461076,0.014302899,-0.010626513,-0.02086396,0.03438868,-0.02686795,0.019143358,0.04072885,0.025764013,-0.0064405985,0.027064996,0.014334682,0.01998405,0.0024024334,-0.0021382764,0.0006884124,0.010490749
17610,-0.042793993,-0.006345216,-0.05743366,-0.026441604,-0.037399292,-0.046516072,-0.024236625,0.0025054086,-0.01158287,-0.017163744,-0.014332018,-0.023564795,-0.017276,-0.024019033,-0.01653047,-0.037465457,-0.022158017,-0.013006799,-0.0059447885,-0.022839287,-0.016840527,0.009284527,0.012718446,-0.023043314,-0.028843423,-0.014995382,-0.052474767,-0.02930218,0.0059384755,-0.0020967787
17611,-0.022654144,0.011951161,-0.008995653,-0.022197416,0.03236935,-0.028157612,-0.023518533,0.006432353,0.024085002,-0.03620646,-0.01894434,0.0046457355,-0.049685687,-0.0151510425,-0.023543542,-0.0015352328,-0.016983552,0.0043660495,-0.036955208,-0.009564453,0.0025409472,0.029534005,-0.022050709,0.009224348,-0.0030478283,0.011753012,-0.017934965,-0.012904626,0.01813933,0.026851682
17612,0.002156335,-0.015391466,-0.000736421,-0.023299327,-0.032256555,0.022967411,-0.032515544,-0.0066154837,0.011399471,0.018230008,-0.03148688,-0.015861643,-0.012973187,-0.04117709,-0.02997973,-0.020341888,-0.038736317,0.010965429,-0.05797771,-0.0051768282,0.025390564,0.01572752,-0.033185396,-0.0012380838,-0.004739553,-0.0024611074,-0.004320683,-0.015770843,0.020756051,0.012452751
17613,-0.0020901875,-0.022137104,0.012374147,0.0020279987,-0.011077928,0.039603088,-0.023909172,-0.012795843,0.02171638,0.031427216,-0.024375608,-0.013748453,0.00712519,-0.0016159775,-0.017035138,0.0016361295,-0.04009934,0.0038632152,-0.018313607,-0.009426204,0.03252383,0.029822798,-0.005117239,-0.03473815,0.012735862,0.0070595467,0.011881326,-0.03033035,0.0038087694,0.0061490894
17636,0.004828418,0.0340131,0.01954359,0.027812777,-0.025734013,0.009714423,0.044278156,0.02663038,0.059145037,-0.003248157,0.031829394,0.013551854,-0.0011740957,0.007081602,0.06217214,0.042923976,-0.0045769517,0.04086554,0.0189798,0.040372144,0.048154652,0.025842806,0.020810407,0.032062326,0.060857456,0.07017766,0.051370054,0.030368855,0.018721737,0.021297557
17637,0.005203145,0.032246795,0.0021595806,-0.017077727,0.007798184,-0.038161635,0.004707911,0.01374273,0.040130258,0.03437833,0.00077193446,0.032476377,0.009740918,0.019557076,0.022069246,0.03765088,0.04159441,0.034829885,-0.009529069,0.013944209,0.03926399,0.014461838,-0.003370539,0.026537074,0.013795028,0.03103476,0.026567325,0.039365884,0.029580995,0.0022134108
20416,-0.01465889,-0.0077138417,0.0035410344,-0.017552333,0.011490982,0.015679924,-0.026803749,-0.0020949312,0.021340055,0.03309347,-0.016555803,-0.031420067,0.0031996544,-0.010712914,-0.0035194894,-0.03433811,-0.022723397,0.006310288,-0.01028784,-0.015556394,-0.0066906265,-0.0038600613,-0.0124334395,0.005822765,-0.012541488,0.002117496,-0.025566937,0.008443051,0.026174562,0.004417714
20437,-0.01891522,0.018547324,-0.001148515,-0.02336938,-0.0063276947,0.02577521,-0.010750361,-0.006969931,-0.010547689,0.02996252,-0.025120512,-0.014672239,-0.025326945,0.0068463287,0.023079397,-0.008679251,0.007802407,0.027961522,0.016418958,0.007997847,0.016338935,-0.0037008207,-0.013850504,0.03731062,0.027418623,0.024668282,0.0055863294,-0.0044782204,-0.010117113,0.008322185
20438,-0.025918752,-0.023279762,-0.03920892,0.0035055438,0.02405934,-0.0134795,0.007664446,-0.03242564,-0.022640139,-0.019327713,-0.0018272974,-0.015070158,-0.02606059,-0.012194931,-0.008207007,-0.043508053,-0.0006483591,-0.012567661,-0.009238542,-0.022628546,0.00041056005,-0.0276172,0.0311167,-0.02053921,-0.026793623,-0.00039191762,-0.020284878,-0.00092643575,0.0045267646,0.009665693
20439,0.003329695,-0.008737019,-0.0020955924,0.008869978,0.008577804,0.047529545,-0.026128436,0.0154963285,-0.014860262,0.006973935,0.017812219,-0.0013032608,0.0076498184,0.0184732,-0.013525312,0.027840333,0.004253886,0.027456313,-0.032082208,0.024016233,0.010079355,0.022261783,0.015615617,0.016949536,-0.02779533,0.011727706,0.014247417,0.011152123,-0.0014746692,0.026450781
20440,-0.007623146,-0.012970795,0.0041460707,-0.005610384,0.015027243,0.0032597717,-0.023484565,0.014376239,0.014156904,0.022405913,0.01602458,-0.0025116801,-0.0015124338,-0.000343609,0.0064014546,-0.003597182,-0.0016926825,-0.005645691,-0.016949462,0.006560043,0.027017042,0.034048464,-0.00534109,0.019226415,0.013251009,0.026475891,0.018669834,0.013773956,-0.01574369,-0.016061941
