,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
95052,0.015453245,0.003714376,-0.0138339205,0.04442982,-0.0050163954,0.013594766,-0.006732995,-0.006209466,0.027258372,-0.013802652,-0.015247884,0.024449343,-0.03198884,-0.013325088,-0.010383252,-0.018380051,-0.0022820078,0.05111763,-0.027197337,-0.0043280153,0.029692391,-0.0021590916,-0.00048189145,-0.0015034707,0.020930357,-0.0031003105,0.013576566,0.014247279,-0.016500218,-0.022680348
95053,0.00697895,-0.017056525,0.041034225,0.022477634,0.0029469978,-0.005399788,-0.0042371154,-0.0046035033,0.006349771,-0.005343534,0.011021151,0.0071652266,-0.015499573,-0.026419105,-0.004061887,0.020786142,0.017128814,0.017452007,0.00014671544,0.006857947,0.02538562,0.016433353,0.022938231,-0.011170904,-0.0016512595,0.01177298,-0.012707333,0.0058403313,-0.0037063698,0.0009445033
99262,0.017388843,-0.0033983795,0.00240014,0.014313142,0.011624269,0.0062393527,-0.00042431537,0.00098199,0.019835042,-0.03689026,0.012006576,0.0029240428,-0.01632755,0.027108489,0.016538654,-0.012298114,0.0038666583,0.01935588,-0.007958021,-0.014116433,-0.013800855,0.020442368,0.021099253,-0.02165102,0.026753103,-0.025687441,-0.010389014,-0.0076840743,0.007783381,-0.00469688
99263,-0.011033769,-0.008257293,0.018171033,-0.022112198,0.022368217,-0.0049777874,-0.0028689273,-0.0046147723,-0.0057734414,-0.019647898,0.025383601,-0.011992638,0.011346526,0.04135825,-0.014071791,-0.014601144,0.028570754,0.032050844,-0.0076703113,0.0127810715,0.01770618,-0.0068228506,-0.006987968,0.016332472,0.010335331,-0.010057049,-0.008437832,-0.011159346,0.016314408,-0.006579151
99264,0.020212734,-0.017719375,-0.013398106,0.0006839928,-0.012025896,0.010216136,-0.01627413,0.005266583,0.0026901849,-0.004819637,0.016226025,-0.0066408156,0.015309281,-0.054787587,-0.0056652,0.004824421,0.0056735366,-0.020775223,0.013939568,-0.007650908,-0.020822993,-0.0036587678,-0.0013993559,-0.020029226,0.0062834905,-0.021264808,0.0008241919,-0.008805304,0.010229637,-0.012049555
99265,-0.0038378167,0.009208885,0.005769785,0.012520055,-0.022351831,-0.024941219,-0.018015733,0.0036075588,-0.033676445,-0.015661364,0.01823186,0.0049916715,-0.0111648915,0.0005231577,0.008920881,-0.0111979665,0.017455138,0.00057954213,0.0011768934,-0.0071905977,0.012634109,0.002747286,0.00020263281,-0.005555017,0.013384647,-0.0060726735,0.01504207,-0.0011983719,0.005916275,-0.029214269
99266,0.00042939754,-0.0053803474,-0.007980279,0.0057753474,-0.0058169216,-0.0075885016,0.01925682,0.020876115,-0.01237497,0.026802564,-0.003065631,0.00547899,-0.033059973,0.012860559,0.026473613,-0.011594985,0.017804079,0.008497779,-0.011036944,-0.005774396,0.004968135,0.0015985213,-0.00083115353,0.018253949,0.015353326,0.0044705197,0.013936534,0.0036577284,-0.00017444378,0.013327655
99323,-0.006074758,-0.006963545,0.0013999781,-0.013237793,-0.011371997,-0.021063594,-0.016203267,-0.0067686974,-0.015066453,-0.015589356,-0.010106229,0.00062748016,-0.007898634,0.0026800248,-0.0011729343,0.004332176,-0.002511764,-0.015162452,-0.015784552,-0.0062008,0.011324617,0.023673318,7.767634e-05,-0.009116272,0.012888153,-0.0017384557,-0.022841798,0.0031698372,-0.004841933,0.0071695955
99324,0.014506857,-0.007446933,0.025104811,-0.023545777,-0.015083201,-0.0057045803,-0.015772492,0.010298874,-0.0025464047,-0.0010554129,-0.009853129,9.920355e-05,-0.014727117,0.00901035,-0.0043196543,-0.0528233,-0.02429594,0.0024627747,0.010368161,0.00017248125,0.00456882,0.0044027967,0.005999617,0.0053848005,0.0034610496,0.0067417338,-0.013145067,-0.014068943,0.030788632,-0.01632717
99325,-0.013735735,-0.009058601,-0.0040689106,-0.01309634,4.964943e-05,-0.006425932,-0.037410736,0.0069535743,-0.007046584,-0.014262159,-0.014037573,0.0044958186,-0.0014666613,0.0021012884,0.015442088,-0.029160751,-0.00011944771,0.0062150047,-0.019168844,0.013689507,-0.005703946,-0.028574863,-0.0011610897,-0.022695133,-0.012515132,-0.008369307,-0.037393183,-0.003690685,0.029154085,-0.011285439
99326,-0.010936069,0.008713904,-0.0039784997,0.0056212214,-0.0054431823,-0.0076411874,0.016944421,0.0005838696,-0.015797788,0.022382498,0.016630284,0.027923992,-0.014166996,-0.030692525,0.0040417826,0.035122834,0.010538786,-0.0014985288,0.007453585,0.006674266,0.022149654,0.009655982,-0.014508202,0.0035852368,-0.004345718,-0.028900845,0.012477194,0.021763185,-0.011911105,-0.03416957
99327,0.023810588,-0.02953857,0.01017682,-0.0018472262,0.008661017,0.007868333,-0.023703694,0.0462164,0.02813709,-0.0083897775,-0.013978153,0.0145484945,0.0025159519,0.0053422675,0.00824019,-0.026821202,0.0026381407,0.05681147,-0.00816501,-0.01068106,0.0064347065,0.019392496,-0.0009863364,0.038731724,0.009872466,0.018559808,-0.011327504,0.016757654,-0.019085428,0.0013272682
99386,0.024607584,-0.012298915,-0.016722111,-0.00094075967,-0.0124732675,0.009992497,-0.019087715,-0.02186886,0.018469479,0.019033514,-0.0008852587,0.013568602,0.0063231937,0.008726912,0.0009402198,-0.030114235,0.017887624,-0.009895811,-0.009428876,0.012621778,0.009347521,-0.015632214,0.007791227,0.0022915266,0.00847676,-0.016509557,-0.02676672,-0.017090721,0.004571472,0.022232762
99509,0.00028725527,0.027710738,0.06559118,-0.019975938,-0.025939249,-0.022702016,0.0029115814,0.018944867,0.0028584432,0.0016753586,0.026432976,0.012740258,0.02188071,0.0014953123,-0.033592828,-0.008378915,-0.007943692,0.035886135,0.003020117,0.0027944688,-0.0030385917,0.007594423,0.007836358,-0.004867933,-0.021747487,-0.011633396,-0.00833714,0.0144412,-0.0008521018,-0.0019527961
99511,0.005182355,-0.028240042,-0.013693416,-0.0019074607,0.022027345,-0.018268293,-0.020379093,0.010976889,0.024988467,0.012715716,-0.010695432,0.008824683,-0.033445474,0.011554061,0.015093117,0.0029054668,0.008723678,-0.022399046,0.0047065667,0.0011421965,0.02087347,0.0022401388,0.016120546,-0.030705243,0.016032794,0.009737125,0.004901086,-0.011337377,0.009842397,-0.0014559223
99571,-0.009432438,0.008768347,0.029093891,-0.0077383574,0.010008941,-0.02664799,0.016195111,0.005927064,0.0039456277,-0.02091676,0.023525553,0.0035838354,-0.016864957,0.0022289844,0.012685995,0.0025332838,-0.034589082,0.007896961,0.019366834,0.0030012468,-0.013170898,0.002624724,0.0074371286,0.006410452,-0.013003095,0.028636767,-0.020339468,0.002328359,-0.014078163,-0.014708407
99633,0.010259602,0.030381098,-0.0034673002,0.020934785,0.033544134,0.01839518,0.0084055355,-0.000849197,-0.022792002,0.00287148,0.034060057,0.0076419846,-0.034460273,-0.018070279,0.044491436,-0.004043735,-0.017745763,0.011559022,0.029002458,0.006218621,-0.004455009,0.010736152,-0.028306225,-0.02994179,-0.0031085059,0.009936993,-0.019750414,0.006976104,0.011736265,-0.0007529237
99635,-0.0026473869,0.008898328,0.019244537,-0.0219422,-0.0050980393,-0.0130679505,0.0007341406,0.0039169607,0.019526308,0.0071806833,-0.00936594,0.015271161,0.013752458,-0.011873717,0.02398535,-0.0031522505,-0.023522943,0.00794893,-0.046909403,0.00229277,0.006293796,-0.01160298,0.032014195,-0.005153975,-0.02661807,-0.015025578,-0.013723868,-0.009900395,0.005891792,-0.03164591
