,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
4207,-0.039665774,0.027683496,0.0050823116,-0.025107674,0.023845375,-0.044063564,-0.008665836,-0.012886169,0.0313568,-0.0114847645,0.01428102,0.020706644,-0.012162748,-0.022337385,-0.015482358,0.016410975,-0.033221353,-0.007784692,0.008396831,-0.0015623724,0.019427503,0.008858076,0.0033922985,0.01974456,0.0042339615,-0.008631229,0.010494959,-0.015094348,0.004470104,-0.013366827
4238,-0.0099365935,-0.009522707,-0.00049426703,-0.018405352,0.006416982,-0.04659735,-0.030761084,0.0034555458,0.011493802,0.01702629,-0.013769808,0.017885754,0.010721172,-0.02075958,0.022149645,-0.014707486,-0.0066939374,0.020080343,-0.0021646603,-0.007008852,-0.0077739437,-0.0022850952,0.019248696,-0.00086246757,-0.02814333,-0.037459783,-0.033676933,0.015278336,0.025674082,-0.0026390825
5660,-0.017290054,0.023016423,0.019479573,-0.02711395,-0.02021675,-0.0005215932,-0.0035218261,0.024164021,-0.0038601442,0.022549907,0.027444907,0.008615832,0.002678776,0.0003694369,0.006264556,-0.005197691,-0.013788975,0.022970324,0.033499513,0.019287493,-0.0032965124,-0.028555548,0.018052936,0.016118946,-0.007469906,0.0026701887,-9.138199e-05,0.0012193903,0.01299229,0.0055237226
5695,-0.012144618,-0.014591601,-0.00409485,-0.013678335,0.013505946,0.0077474224,-0.0070750937,0.007013669,-0.008973273,-0.0066825687,0.010880616,0.013667456,0.005925268,0.0003972541,0.03592612,0.0029917501,-0.038397223,0.01456226,0.008782405,0.0022120692,-0.016137846,-0.029371178,-0.015307377,0.0038967319,0.015517221,-0.0070887487,-0.043944508,0.0044733034,-0.01102643,0.012034814
5696,0.02722744,0.0022171447,0.010592421,0.0073781204,0.02772045,-0.020092858,-0.026879737,-0.0038227763,0.003776623,6.167637e-05,0.008155378,0.0148080615,-0.00064411666,0.00841061,-0.018644536,-0.0001649297,0.012810213,0.017839154,0.009375428,-0.028228313,0.011679542,0.030309996,0.034611158,-0.031651963,0.0056986585,0.009381801,0.015460762,0.009710993,-0.019346394,-0.025859607
5697,0.0036383884,0.025120266,0.008225928,-0.010771397,0.0011920823,-0.036846645,-0.015541971,0.0039757458,0.007857528,-0.0028169372,0.00050185807,0.012997738,-0.013842597,0.0029690322,-0.004367789,-0.00797511,-0.038177278,-0.0033202346,0.01369808,-0.0065791016,-0.001996702,-0.011073488,0.008420052,0.0083301505,-0.022621358,0.01063968,0.01700692,0.0153785655,0.007891369,0.005067287
5732,0.017008184,-0.01191667,-0.01460361,-0.008495743,0.012985407,-0.008831407,-0.023078972,0.010288903,0.0037973442,0.012518391,0.004281578,0.0060953237,-0.013445192,0.018377649,-0.010012715,-0.018407121,-0.05467644,0.0057816957,0.0073335175,0.0055419006,0.010418964,0.018753795,0.01161363,0.0300608,0.024299214,-0.012735948,-0.018573338,0.016793402,0.03101451,-0.0029193375
7372,-0.0003287072,-0.016885856,-0.0069337804,0.02092599,-0.017978922,-0.0017978483,0.0028692437,-0.01190206,0.029133536,-0.018416308,0.011157337,0.00972524,0.031301104,-0.0097871395,-0.0040434697,-0.0025664214,0.007960438,0.007482812,-0.020130469,0.010623783,0.0012083023,0.0048541087,-0.0014739347,0.01347161,0.0072430433,-0.011369736,0.014700703,-0.013965855,-0.016623903,-0.013592486
7373,-0.004202223,-0.011725736,0.0030662387,-0.021869352,0.040693928,-0.02745259,-0.010901471,0.013083992,0.021333843,-0.016983686,0.0024692751,-0.0033792558,-0.026756428,0.015903363,0.03691416,0.006044967,-0.021271223,0.0071501136,-0.002992892,-0.015369703,0.017385034,-0.009518899,0.0048221867,0.017064296,-0.013159026,0.009740899,-0.026893824,0.014612262,-0.007289792,-0.017993998
7409,0.0047622733,0.019588131,-0.0063448795,0.029999241,0.0026922682,0.016459825,-0.0044389297,-0.021079792,-0.0015855441,-0.0022141614,-0.006525125,-0.01363976,-0.019441565,-0.039374366,-0.0140303215,-0.014837958,0.017908683,-0.01908348,-0.02895164,-0.006136174,0.0064800475,-0.024953188,0.0017751401,0.0041585662,-0.006520362,0.0055162013,0.004845847,0.001174024,0.0042599067,0.028764457
