,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
12523,-0.0055012456,-0.034280084,0.009449535,0.0033402676,0.020179145,0.018817721,0.007067935,0.00363973,0.031557996,0.00415666,-0.008899388,0.015501986,-0.027017832,0.0074645015,-0.013222697,-0.02480419,-0.011907801,0.004505933,-0.048510954,0.012500465,0.0042094165,0.024252301,-0.029304223,-0.004686988,-0.006127851,-0.02599802,-0.024138892,-0.013083138,0.012356493,0.0011807907
12563,0.008463569,-0.004190214,-0.0021393618,-0.0067990297,0.004216423,-0.009008856,0.011888426,-0.0026966326,0.062062647,0.006023904,-0.022330992,0.023539921,-0.018512426,0.01867091,-0.01485988,-0.025268076,-0.0017936993,-0.005935684,-0.008638966,0.0098425755,0.03704394,0.01420879,0.022221623,0.038440775,-0.028064094,-0.0023903206,-0.0073400415,-0.0041473177,0.028517678,0.014901328
12565,0.0054219197,0.02368494,0.010077482,-0.019931538,0.009556497,0.022715868,-0.007137312,-0.012833863,-0.010651476,0.05571718,-0.01265984,-0.0009749437,-0.047378276,0.038468674,-0.0024706947,0.013473115,-0.016570147,0.018039659,-0.006138429,0.0007530884,0.005340287,-0.011222698,0.020323556,-0.010880776,-0.010538814,0.0063209455,-0.0012238243,0.0005389305,-0.017091377,-0.00072987843
12566,-0.0031860692,-0.009434101,0.022134518,0.009524838,0.02145499,0.019252898,0.021054888,0.0036325194,0.032890048,0.03604822,0.012774956,0.014580292,-0.006936016,0.012858068,-0.006604658,-0.031662807,0.021285737,0.011384614,-0.00021972384,0.002241269,0.002042284,-0.0068500196,0.014552135,0.006577696,-0.0006119632,0.008869149,-0.007040085,-0.012210585,-0.0044770814,0.007964571
12608,0.004578955,0.031761352,0.0015838984,0.0034619626,0.024277678,-0.014556109,-0.011165709,-0.008354834,0.0021166063,0.002362196,-0.006351605,-0.00051790505,0.03731695,0.0111771235,-0.0033398343,-0.015486428,-0.0094420845,-0.008442476,0.0008424612,0.0010450756,-0.010381829,-0.018460577,0.0206696,0.006972352,0.01977325,0.012989581,-0.030644884,0.009506876,0.032121964,-0.05237083
12609,0.04032718,0.012405547,0.01829146,0.035836164,0.0043281806,0.01897888,-0.0102835605,0.006256212,-0.010604795,-0.00040188432,0.006484138,0.0021469158,-0.0011163763,-0.00094791845,0.029547608,0.009658373,0.0031027077,0.025056347,0.020923143,-0.0018114885,-0.008020764,0.020729741,0.012268613,-0.0012316759,-0.019700592,-0.0044819894,-0.009135261,0.016614016,-0.013093778,0.013250104
12705,0.00030049155,0.007675721,0.035788998,-0.018794753,0.022643374,-0.01966977,-0.022046944,-0.006565886,0.003350423,-0.0017579049,-0.0054474417,-0.00633184,0.018255876,-0.00024719475,-0.019264977,-0.023846693,0.015553474,0.009882115,-0.0036470026,-0.00724883,-0.011252266,-0.017017357,-0.016931547,0.0012488636,-0.0012974505,0.015525485,0.007865502,0.015075333,-0.0028271654,0.0134349065
15096,0.0046958323,0.008611974,-0.03393634,0.00020916558,-0.02575188,-0.009444973,0.008867707,0.0071997154,0.07673321,-0.0056110844,-0.021218957,-0.00383339,-0.0057468736,0.008635175,-0.0022192246,-0.015634393,-0.026196241,-0.009839992,-0.009570547,0.0029569294,0.024035899,-0.0015037198,0.001380823,0.009542898,-0.019700205,0.00022732466,0.021878408,0.020970909,0.0120541835,-0.025428206
15097,-0.011717283,-0.008101008,0.0035841812,-0.021064913,-0.00064666785,0.028322792,-0.013907511,0.0055046533,0.0009213115,0.02527654,-0.021189095,-0.009886083,-0.024697378,0.03565512,0.0120818615,0.010069734,0.0069576553,-0.027115455,-0.03733628,0.0011000822,-0.0019789964,-0.013993596,0.0020590604,-0.0006399257,-0.021400085,-0.01751726,-0.025119,-0.017398171,-0.015614115,0.02516351
15140,0.00028251903,-0.0036027927,-0.029132536,-0.013016899,-0.013944759,-0.008250558,0.014476474,0.00046550637,0.05080898,-0.031915367,-0.011373937,-1.4251408e-05,-0.040261876,0.013532112,-0.0019402424,-0.034612212,-0.0013005628,-0.008315619,0.016366078,0.029809266,0.035624877,-0.0035572313,-0.00929638,-0.011175766,-0.023778707,-0.026734913,0.001912646,-0.019685442,0.026827933,-0.010511797
