,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
22054,0.020966075,0.021208279,0.020083383,-0.018962832,-0.01783792,-0.029105311,0.0023278731,0.019869154,-0.0043586846,-0.018874133,-0.018349184,-0.005422803,-0.008611036,0.011864558,0.02102019,0.0031309973,-0.0025016156,0.018310433,0.015498477,0.031314876,-0.014328179,0.005613697,-0.009866129,-0.00027869144,-0.0069730417,-0.0144065395,-0.0081365155,0.012351015,0.008018953,-0.027249167
22290,-0.0038784267,0.00525089,9.8193996e-05,0.0031807825,-0.01078106,-0.02115009,-0.00082697533,-0.009513194,0.017282635,0.011468239,-0.017929683,-0.015708014,-0.0070827766,0.00067710574,-0.019347906,-0.0035151138,0.0060875914,-0.03644168,0.021351583,-0.0008164618,0.008909968,-0.001953547,0.0060675363,0.012637372,0.009725198,-0.023657687,0.026431134,0.006780757,-0.033891875,-0.032912526
25129,0.001430672,0.011157732,-0.044709552,-0.014405858,0.032985467,-0.048780743,-0.030578343,0.010602184,-0.019487007,0.011326118,-0.019612947,0.00822372,0.00717054,0.0004537146,-0.0073632686,0.0052725472,-0.0009253118,-0.026066475,0.007916307,-0.00232886,-0.012961966,0.024588523,-0.007860282,-0.0047508604,-0.019812306,-0.024419203,0.006900251,0.0026363612,-0.013412111,-0.0028817523
25130,0.020233983,-0.0017524235,0.03377149,-0.012412016,-0.008041046,-0.021292329,0.022045976,0.02227378,0.01750338,0.0051745516,-0.031481795,-0.009298616,-0.047371898,-0.0096815685,0.010195442,-0.010752748,-0.028344491,-0.021178147,0.027171796,0.010331952,0.021351563,-0.00044729435,0.0033480504,0.021080606,-0.010203007,-0.020507276,-0.02407852,-0.0034792584,0.00935636,0.0058303364
25131,-0.0074284226,0.025060182,0.0023275586,0.019571992,-0.004172268,0.015437297,-0.041311767,0.022475779,0.023430986,0.004538598,-0.043447774,-0.015091576,-0.014951881,0.017392086,0.016293382,-0.0027385994,-0.019157903,-0.019913075,0.00286908,-0.024239814,-0.000772574,-0.010678909,0.0062147104,0.007658672,0.002866816,-0.0055479947,-0.012030672,-0.016209336,0.019117912,0.015069236
25179,-0.004091636,0.0002313629,-0.0017496404,0.008490716,0.010028642,-0.028518148,-0.030096272,0.0034190437,-0.0043129507,-0.021174513,-0.030344686,-0.007914834,-0.040573943,0.03321295,0.020948743,0.0073649683,-0.04207127,-0.024098605,0.020453272,-0.012528296,0.015668567,0.01421516,0.011858504,0.02962619,-0.00565449,-0.042447414,-0.027091166,-0.00052454695,-0.011684287,0.004038217
25180,-0.03636206,0.01750661,0.022052124,-0.02207169,0.003063799,0.016462471,-0.00889152,0.0047369315,-0.0051835575,0.0132995425,-0.00043695667,0.02238197,-0.0020623598,0.027630994,0.022439567,0.0010156083,0.011202693,0.018130414,0.006441468,0.0043174885,-0.01171896,-0.010886432,-0.0005559667,0.010006155,0.0050041266,-0.011847367,0.012124355,-0.0013911059,-0.0045446395,0.02363202
25227,-0.013603616,-0.01841362,-0.00668659,-0.018558986,-0.02321885,-0.03199294,-0.029562665,0.0145690255,0.033090092,-0.0037229173,-0.015801644,-0.00928479,-0.046591442,0.025029497,0.017921446,0.009563105,-0.05769299,-0.033475466,0.02200492,-0.00097104005,0.032328565,0.026458694,0.008775689,0.027734986,-0.0005593654,-0.02972772,-0.02765284,0.020553848,-0.02022419,-0.017352784
25228,-0.026128998,-0.0031221285,-0.013062234,-0.0012986026,-0.01731366,-0.01681945,-0.014964792,0.0035890036,0.024278363,-0.017804505,-0.023725415,-0.013084528,-0.05466755,0.038375396,-0.00041367052,-0.002047453,-0.050507445,-0.025836458,0.012125369,-0.0056291595,0.014159094,0.024891889,0.0017498549,0.028473211,0.008185091,-0.014681532,-0.031577863,0.01275253,-0.016258443,-0.0121828355
25229,-0.03267061,-0.004341107,-0.026887974,-0.00033181222,-0.0071266554,-0.0051840036,0.003009878,-0.022526303,-0.012778171,0.02150617,0.01455431,0.01630182,0.0145114325,0.025162458,-0.00019368685,0.011288916,0.0051351925,-0.006437277,-0.011718556,-0.006155411,-0.025797954,-0.017981777,-0.030057296,-0.014526515,-0.001879362,-0.009420649,-0.0024125779,-0.004697793,-0.019789899,0.008081584
