,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
901,-0.019066518,0.0052073537,0.03340565,0.006637659,0.01047195,-0.008902823,-0.01594204,-0.006575601,0.0055217375,0.03133312,-0.015990438,0.0031874513,-0.015082772,0.012942686,0.014010061,0.016895013,0.00034251995,-0.009221606,0.020279218,0.014592688,-0.0008279762,0.014998555,-0.028110372,0.013695932,-0.0020556487,0.019710494,-0.009743422,0.023018396,-0.009534674,0.008143637
928,0.009136823,0.03798316,0.036195014,-0.010302447,0.013654322,0.009703014,-0.011062493,-0.005457816,-0.027740449,0.019197915,-0.035062935,-0.0066795764,-0.03423873,0.004393279,0.010925072,0.01062103,-0.01131558,-0.015815152,0.021809494,0.019199071,-0.013565573,0.012260307,-0.021882275,-0.0003925649,-0.012005855,0.0035244804,-0.00831956,-0.0034994844,-0.02451738,0.013299826
929,0.01884099,0.011009975,0.012694965,-0.015303639,0.009375176,-0.0041875173,-0.004830827,0.014758967,-0.014279342,0.047519896,-0.046921175,0.011570223,-0.012169813,0.013011024,-0.015252694,-0.015338816,0.023159908,-0.0020440354,0.020658018,0.0077439584,-0.008103502,0.028942106,0.014587262,-0.017771168,-0.018208925,0.03322446,0.002167141,0.025642084,-0.018742047,0.023281956
953,0.009419918,0.010913645,0.027110646,0.0079801,0.02152647,-0.021128252,-0.0008624799,0.0037496972,-0.020670466,0.024016626,-0.0247755,-0.0009149197,-0.006151989,0.008977403,0.005731359,0.003168259,-0.004728393,0.008061666,0.006310371,0.005615592,-0.0033295767,0.0007443822,-0.02126456,0.028448865,-0.0033208297,0.0067290473,0.010020231,-0.011867861,-0.039527588,0.018298043
954,0.007278007,0.012016038,0.006134603,0.015210926,0.046897873,-0.021063594,-0.014014446,-0.00030499292,-0.026142046,0.016599357,0.016372822,-0.014734685,0.0028651487,0.0046232715,0.031480815,-0.012211586,0.019587195,-0.0073177465,-0.017414724,-0.003676365,0.003708901,0.024923896,-0.01664057,0.0037717372,-0.007777566,0.004262457,0.0020496075,-0.015559678,-0.02515918,0.0071678027
973,-0.0393431,-0.010555436,-0.018844241,0.005552882,-0.012038003,0.0066035506,-0.011993122,-0.010956745,0.020483801,0.016818194,0.0025666927,0.0036069946,-0.0006922309,-0.006911561,0.023283191,-0.024390124,0.023164637,0.0144882025,0.016288828,-0.014623836,0.009702233,-0.0054789656,-0.0070585595,0.015663095,-0.00781109,0.023652876,0.018005405,0.0039354223,-0.014050162,-0.0047557494
1725,-0.02919282,-0.0022480893,0.0041326284,-0.010358456,-0.02923429,-4.632771e-05,-0.014456763,0.0016867066,0.030676862,0.02205962,0.029727524,-0.0027849104,-0.0071340315,0.0078007593,0.021650046,-0.0070280507,-0.0015716093,0.031726222,0.016662939,-0.0043559037,-0.00606091,-0.0010666512,-0.006969852,0.010763708,-0.007353008,0.023038825,-0.0045728902,0.0013946194,-0.011682379,-0.029649623
1726,-0.032357555,-0.0065356866,0.013064515,-0.0037398208,-0.0008609773,-0.0031522296,-0.001935437,0.006645452,-0.004991702,-0.022991776,0.00078854273,0.02072166,-0.0074923816,0.0023936585,0.025713397,0.012697677,0.01757791,0.00054880435,-0.0032723,-0.012777272,0.0074909977,-0.011983037,0.0076405182,-0.019179313,-0.03347803,0.024233392,-0.0025644118,0.002679907,-0.008100667,0.0055985744
1756,0.02777148,0.0135830855,-0.0017513558,0.003320987,0.028591484,0.020613214,0.0022716497,0.0006801474,0.03547737,-0.0037241746,0.03351969,0.018123755,0.0059762676,0.029392546,0.054045845,-0.017237145,0.053827405,0.024782328,-0.0145134,0.009749107,-0.0018578185,-0.017532947,0.036462143,0.025629124,-0.0128166685,-0.0047027436,-0.021675313,0.010870009,0.016129067,-0.03682587
1757,0.031743366,0.034738675,0.0808971,0.026115991,0.008033838,0.026635079,0.01854469,0.015570376,0.016316468,0.010541829,-0.027539978,0.016617084,-0.0039034474,0.026507288,0.023952782,-0.0020532284,0.007982363,0.030120132,0.008135489,0.02007779,0.010722361,0.043775957,0.013801361,0.036393564,0.017819619,0.014458939,-0.004328624,0.027841264,0.0024013955,-0.021529725
1758,-0.024951736,-0.011494204,0.028475858,0.013923153,-0.008102388,0.0333154,0.015919982,-0.0027791455,0.02651035,0.0009418403,0.032640133,0.0021210278,0.0039043531,0.014353859,0.0034991214,-0.02178462,0.016768552,0.019079285,-0.0037043209,-0.009294844,-0.00933488,0.00814028,0.032109927,0.007977358,-0.023858687,0.00872939,0.0112786265,-0.021547595,-0.021221993,-0.029056957
