,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
1262,-0.0011689471,-0.037828714,-0.015803171,-0.01815728,-0.01257339,-0.06740741,-0.02851305,-0.012270165,-0.029770577,-0.012296316,-0.012652527,-0.017121946,-0.04266275,0.01999554,-0.02347026,-0.031474095,0.0033854593,-0.05022624,-0.00695701,0.007817025,-0.007994455,0.010519046,-0.017536743,0.02574577,-0.005032877,-0.026756242,-0.03000857,0.0008578698,-0.05012107,0.0019763655
1298,-0.0050092996,-0.021792479,-0.008407568,-0.012792367,-0.008629758,-0.05365139,0.0053036064,-0.010023684,0.017349632,-0.01097849,-0.026970895,-0.020309381,-0.027398847,0.012535536,-0.020499859,-0.041520175,-0.023592139,-0.041406836,-0.01902906,-0.017713042,0.018010816,0.014404287,-0.029837267,0.004284838,-0.01677398,-0.022247097,-0.025356842,-0.011055539,-0.015487668,-0.02273348
1334,-0.009952017,-0.010879415,-0.032109182,-0.017355584,-0.001377386,-0.036509905,-0.018132279,0.0013906521,0.021830374,0.011628316,-0.023292547,-0.013451786,-0.042027865,0.019392284,-0.021404358,-0.026142024,-0.026409863,-0.030793943,-0.03780216,-0.006528312,-0.00025778668,0.010571234,0.0032303196,0.022693811,-0.026806772,-0.015763806,-0.0307111,-0.0029666508,-0.03456503,-0.031323273
1335,-0.015187233,0.0040250574,-0.011371933,-0.06059423,-0.0058580576,-0.01955231,-0.060728516,9.3022936e-05,-0.008757829,0.006598663,-0.023895614,0.0001862566,-0.029495724,0.004974611,0.0069936826,-0.017541358,0.023715787,0.017977122,-0.02950915,-0.014744469,0.00588486,0.009516439,0.019161621,-0.047752965,-0.0011417167,-0.006811349,-0.014274329,0.0005354139,-0.049054403,0.010859158
1336,-0.0037367723,-0.012458749,-0.0009104349,-0.01623938,0.006373621,0.00041432478,0.021705383,0.0069594695,0.021718005,0.0051096794,-0.029137513,-0.013716654,-0.0074265623,0.015866647,0.007102703,0.020091144,-0.004810058,0.004310221,0.015992567,-0.018627468,0.005192708,0.012384632,-0.002075879,0.019624446,-0.0076650563,-0.01588194,-0.025114933,0.0030408052,8.384107e-05,-0.013542029
1371,-0.00585125,-0.029267462,-0.046713036,-0.045241937,0.009914871,-0.04716295,-0.03840242,-0.023874952,0.011750016,-0.008608167,-0.038582865,-0.03705621,-0.05721882,0.006986099,-0.026582578,0.0027140288,-9.7624026e-05,-0.03813721,-0.00842744,-0.0019389229,-0.0063022426,0.016397988,-0.030422548,0.013510679,-0.052034575,-0.006667865,-0.054876704,-0.0140714,-0.028245645,-0.0062639886
1372,-0.013266683,-0.0055444767,-0.039864875,-0.017472235,0.018413741,-0.020685716,-0.022076169,-0.008999053,-0.0055897865,0.010603998,-0.0041153654,-0.030842535,-0.03846417,0.0071387608,-0.00066608813,0.008491366,-0.010256211,-0.005301962,-0.017327473,0.002669977,-0.008188056,0.0189963,-0.013377037,0.019428698,-0.021389,0.016053323,-0.0077401865,-0.014115718,-0.01687775,0.00395092
1407,-0.020353155,-0.03810564,-0.044808045,-0.04682531,-0.013247161,-0.042999893,-0.014068847,-0.0027722165,0.035751443,0.004852529,-0.018753272,-0.023873396,-0.038664732,-0.0070725083,0.015555189,0.0033230186,-0.04025151,0.008175239,-0.011277479,-0.0037769515,-4.8125316e-06,0.00466074,-0.020908838,-0.014940113,-0.007827386,0.028767519,-0.019658117,-0.019083364,-0.0410499,-0.02117002
1408,0.009090054,0.022998035,-0.00046459553,-0.032447744,0.01037654,0.002143804,-0.0376915,0.015028217,0.023355022,0.0167478,0.018252825,0.019794451,0.008168456,0.022353748,-2.0290415e-06,0.02931781,0.0073634447,-0.01986405,-0.0008663986,0.016922519,-0.01764827,-0.017661585,0.061942916,0.012645166,0.0026032024,0.062044457,0.024839312,0.010554728,-0.009608328,0.03478256
2237,-0.020078907,-0.016477091,-0.002868858,-0.024988009,0.010231054,-0.025176883,-0.005645985,0.009358986,0.028751502,0.0014748411,0.006677116,0.0024684863,-0.0016068438,-0.010769551,0.027285812,-0.02557125,0.017092595,0.026517713,0.026470372,0.001530469,0.0130528025,-0.012346077,0.014351912,0.01772445,-0.010923862,0.012322108,-0.03717599,0.0065383613,0.00041379407,0.0010334906
2276,-0.008894165,-0.024334347,0.006413123,-0.01952956,-0.031975698,-0.038596276,-0.036794636,-0.011818704,-0.01383826,0.009132332,-0.0127395345,-0.021362403,-0.0053215562,-0.0336315,-0.031687263,-0.042865638,-0.024761314,-0.040341727,-0.013881524,-0.030816205,0.011185334,0.03311831,0.036094297,-0.0055542053,-0.01871118,-0.034422588,-0.025651619,0.0038557549,-0.0073427907,-0.0042925174
2314,-0.005825328,0.00033572316,0.010671196,-0.027406922,-0.012468822,-0.050005615,-0.0005112191,0.009551728,-0.02661202,-0.007874929,-0.012013044,0.005802922,-0.043633867,0.0009126696,-0.009835278,-0.028732061,0.0002659224,0.010421078,-0.039537136,-0.012499027,0.018947976,0.006856911,0.014108184,-0.004513373,-0.011597358,0.013780954,-0.022635417,-0.010506918,-0.013006152,-0.018586809
2315,-0.018571315,-0.020045275,-0.027012283,0.006457997,0.008031855,-0.01918031,-0.006697809,-0.000690514,-0.020033712,0.0029031772,0.013594243,-0.00921178,-0.019504203,-0.019366773,-0.0031192712,0.013364905,-0.015986277,-0.016161514,-0.011899429,0.0018106702,0.019325858,0.014627769,-0.023906505,-0.0174021,-0.0012290304,-0.0063321623,0.0061843633,0.0034868245,-0.014082308,0.0006070938
2316,-0.027611798,-0.047141522,-0.017030742,-0.013871604,-0.03330173,0.022414355,-0.0026783214,-0.010082192,-0.010471513,0.004359541,-0.044102725,-0.023247367,-0.003859084,-0.02001679,-0.007321734,-0.015350119,-0.019568766,0.010311776,-0.01584688,-0.0006621669,-0.040566288,-0.012706429,-0.015379098,-0.006458974,0.008530331,-0.022268862,-0.020052793,-0.04774062,-0.023697995,0.0120011745
2353,0.0010762139,-0.025094979,-0.016372217,-0.033150256,0.013175045,-0.022833133,0.013548478,0.0015417393,0.019956203,-0.009326507,-0.015973432,0.0070703547,-0.03305136,0.021717375,0.009953168,-0.016612915,-0.016901547,0.039027873,0.001763879,0.006080248,0.0069865533,0.02708363,0.0031532391,0.02595962,-0.0031923465,-0.0018887272,0.0011566766,0.010700651,-0.03458372,-0.0019160794
