,zebra,kangaroo,lion,penguin,turtle,raccoon,tiger,monkey,camel,deer,rhinoceros,cow,giraffe,elephant,fish,sheep,leopard,dog,squirrel,horse,alligator,bear,donkey,ant,bird,bee,cat,rabbit,frog,goat
45443,-0.02106034,-0.0029635255,0.006114075,0.024809562,-0.025120432,0.003721038,0.011405706,0.0035565377,0.018853039,0.023746625,0.010317508,-0.008499776,0.0013662331,0.018009411,0.025408836,0.021769913,-0.003919004,-0.009511641,0.010886521,-0.008646824,0.018114237,-0.016987203,-0.00355999,0.019096922,0.021677712,0.0035186203,0.014640745,0.025311477,-0.030276425,0.03292885
45500,0.01466106,0.013485894,0.01054791,-0.015268587,-0.013134177,0.016230116,-0.009472051,-0.003838706,-0.0045670853,0.004446415,-0.010426894,0.0063856635,-0.0039363527,-0.0040277853,0.00039927926,-0.00883355,-0.013052318,0.0056681396,-0.008248708,0.004322138,0.0008231055,-0.0050517344,-0.026718855,0.006937044,0.024577854,0.00768652,0.015737636,-0.0106830895,-0.010804745,0.03369887
45557,0.016114486,-0.02190847,-0.0035377573,0.01336301,-0.025140822,-0.013725389,0.006985804,0.012881454,-0.0039622528,0.004612208,-0.019255199,0.0090567805,-0.016160043,0.017058855,-0.006075869,0.010623735,0.013036144,0.041495275,0.025295014,0.013331961,0.0062990882,-0.044778,0.049942266,0.01677843,0.0076770647,-0.0072142906,0.0030787734,0.0021281668,0.006536799,0.020787144
49235,-0.014928106,-0.018339327,0.0041764956,0.0036001243,-0.012542331,0.0351322,0.0017147437,-0.0023781646,0.038828667,-0.0129611865,-0.009972707,-0.029406907,-0.004203129,0.0285644,0.0042550643,-0.0017947959,-0.0077098846,0.021869143,0.031428263,0.0065041003,0.012297803,0.0059710196,0.0021106054,0.030275665,0.02235349,0.0069948337,-0.00223116,0.02599451,0.013301936,0.0037244894
49292,0.020494943,0.0055447104,0.0068546445,-0.02642224,0.023289904,-0.0062973346,0.027093694,-0.006780121,-0.0031309586,0.0061507486,-0.011385749,-0.013774279,-0.02686459,-0.010110083,-0.00088402786,-0.00013224191,-0.0027160803,0.036960177,0.026781706,0.018521605,0.032836463,-0.0008131657,0.02271963,0.04624595,0.009744213,0.0016927756,-0.0018810487,0.033651575,0.018814059,0.016952423
49293,-0.035721887,0.009420749,-0.013556909,-0.026262023,0.03090836,-0.015262124,-0.01343606,-0.0056257346,-0.01702665,-0.024975002,0.0035166368,-0.021221505,0.014197659,-0.030405695,0.006539753,0.019940188,-0.044338357,-0.007976842,0.006474489,0.017156221,-0.00019468088,-0.017409945,0.0043973695,0.013848723,0.027912932,-0.0026345795,0.0021134892,0.0030549522,0.004104228,-0.0135618
49349,0.027439833,-0.0008217208,0.008005164,-0.010325336,0.008271821,0.018387167,0.007283395,0.00018715393,0.04146487,-0.004362454,-0.0021728848,-0.00054356456,0.0097507015,-0.019048497,-0.048884537,-0.013686846,-0.016955413,0.045207698,-0.03511273,0.009847672,0.03208201,-0.009760953,-0.0002764473,0.011466894,0.007559132,-0.0002464015,-0.027053261,0.0080823535,0.019141508,-0.0053172763
49350,-0.014903081,0.021063276,0.0047896337,-0.023627104,-0.0002921739,-0.00079861534,-0.015622263,-0.0049502268,0.002392851,0.007234854,-0.011117622,-0.0071501,0.032839064,-0.01012219,-0.005818602,-0.00048464848,0.002894712,0.013562393,-0.010297943,0.0040710648,0.006214785,-0.02983451,0.010261614,-0.0014277945,0.011347764,0.005502842,-0.028070087,-0.0059073265,-0.030374156,-0.016073478
49406,-0.002703524,0.030512469,0.029097872,-0.022699296,0.043729674,0.073234096,0.025254896,0.022500152,0.02309143,0.0033838972,0.013235421,0.014010605,-0.020188475,0.004696624,-0.0047397595,-0.015037585,-0.018216189,0.05020794,-0.0067992643,0.05161424,0.061769903,0.043129724,0.003162001,-0.00051250187,0.007893215,-0.013916746,0.020631604,0.016833492,-0.02414094,0.018567411
49462,0.037503656,-0.005061463,0.020180153,0.008571467,0.027151724,0.011213101,-0.0077939895,0.02230238,-0.00051016407,-0.0037307423,-0.016034862,0.008253343,-0.002354986,0.011810406,-0.021886306,-0.012208757,-0.015163605,0.038144913,-0.013079573,0.0052172006,0.012096929,0.04883413,0.0016046636,0.0030197736,-0.026186928,-0.007853405,0.009366921,-0.01564151,0.013735565,-0.022453388
49463,0.029956328,-0.014853351,0.020112429,-0.0054068733,0.013904468,0.05651598,0.0618463,0.012747723,0.022365494,-0.013060185,-0.027197884,0.017978013,-0.04138607,0.052006546,-0.018994436,0.009350979,-0.02571176,0.033296656,-0.021983711,0.0016679243,0.049080715,0.052663606,0.008768006,0.015584134,0.041876107,-0.017354397,0.016296523,0.011026956,-0.0045835827,-0.0040142066
49464,-0.018100752,0.0005346979,0.005557056,-0.0037139494,-0.0064099343,0.027771479,-0.009888282,-0.021302983,-0.001533425,-0.0014355159,0.0036433358,0.017235162,-0.020905338,0.0070207436,-0.009910483,-0.018431889,-0.0050018444,-0.013370384,-0.013671284,0.010356871,0.014002497,0.012881871,-0.021784024,-0.016649144,-0.003301453,0.00851754,0.022088813,0.0020643065,-0.011402142,-0.01671031
49520,-0.015091866,-0.022006204,0.0230505,0.004297519,0.028081773,0.012072531,0.018727219,0.00017804508,0.022764402,0.005168362,-0.022076214,0.0019181244,-0.03121612,0.017226165,-0.03705484,0.0037552232,-0.009331781,0.0148637,-0.021442734,0.0014723792,0.008888625,0.027546406,0.006790305,0.034671336,0.0059085614,0.013542589,-0.00447569,-0.0024729827,-0.017532358,-0.028625846
53084,0.014196049,0.009321984,0.04327096,0.015460915,0.009936744,0.0358721,0.016989077,0.021956509,0.02063801,-0.010122966,0.0048038037,0.012603027,-0.026828758,0.027184362,-0.01186455,0.016725862,-0.0038265956,0.047027227,-0.002905375,0.01704742,0.04167818,1.5153278e-05,0.03621021,0.023561774,-0.025029914,0.021339273,0.022709372,0.03344124,0.022256741,0.02735217
53141,-0.0070699467,0.009145607,0.01447767,0.024061972,-0.006681688,0.051707048,-0.0055350014,0.006229753,0.042834118,0.009902318,-0.026286663,0.019106073,-0.006284615,0.048587862,-0.027330285,0.004503402,-0.019069323,0.05861199,-0.004278902,0.021780277,0.035370592,-0.00070508756,0.011137766,0.041265573,-0.011735993,-0.003149214,-0.004853548,0.02302547,0.010676321,-0.019130297
53142,0.00028629196,-0.013797425,0.017129457,0.011525012,0.029614849,-0.005975934,0.0059421905,0.0023477038,0.011383834,-0.0064819404,-0.0009371361,-0.013096734,0.003913256,0.0061061378,-0.0008217261,-0.010720103,0.0065315277,-0.008964995,-0.005635098,-0.021154808,-0.028394187,0.011501134,-0.014505461,-0.0013133399,-0.011408165,-0.006663769,0.016418884,0.02010677,0.06281688,0.015661431
53198,0.0006517768,-0.030438319,0.04333287,0.0016659753,0.04846133,0.021337502,0.037541475,0.01585823,0.036096174,0.00095788034,-0.009101477,0.008136711,0.019146552,0.029951839,-0.006479911,-0.008644662,-0.01790403,0.042810723,-0.002428401,0.04777154,0.02208324,-0.0023519371,0.027642712,0.0086010145,-0.014081116,0.03382455,0.0112009095,0.023157967,-0.024718715,0.01603405
53199,-0.002202877,-0.011274815,0.038262546,-0.009938388,0.0069990642,0.035571817,0.02398471,0.009559285,0.04773731,-0.016730132,-0.008497444,0.0007462813,-0.0002148499,0.018064892,0.009457157,0.027724661,-0.026840841,0.024518007,-0.022999449,0.029432282,0.046119142,-0.0200684,-0.00074975565,-0.007199502,0.024193292,0.03691039,-0.0058607324,0.035584614,-0.013399559,-0.0065233484
53200,0.0003565907,0.0017226205,-0.002507388,-0.0011693966,0.005895747,-0.005245959,0.026978986,0.0008927391,0.0068768263,-0.014032892,0.02753009,-0.007940761,0.006755426,-0.028141402,-0.00083996105,0.011417679,0.010685501,-0.023491621,0.00011103414,0.0052201464,0.011315226,0.023570837,0.02591073,0.02736135,-0.01066881,0.017378822,-0.043333065,-6.0747687e-05,0.012558696,0.0062477975
53256,0.029825239,0.026318109,0.0059481114,0.024443539,0.013555159,0.0039862446,0.000788616,0.0012204369,-0.009275851,0.03614054,-0.008351122,0.014818725,0.0074292547,0.03975496,0.008993907,7.984438e-05,-0.021455185,0.022330364,0.0029152806,0.006873619,0.027243515,0.033043157,0.014765521,0.023113603,-0.002642871,0.02215296,0.009879817,0.014147981,0.03695976,-0.013770827
53257,0.01354115,0.017230017,0.015273298,0.027645908,0.009502403,0.06914251,0.01619774,0.009774931,0.031957436,-0.0057681315,-0.003269897,0.0060483175,-0.0025558958,0.012966298,-0.035374418,0.015260075,-0.011067801,0.061503995,-0.006087323,0.028750606,0.05692159,-0.0046865745,-0.014463122,0.01621542,-0.019035786,0.004842343,-0.0017833846,0.019991478,0.01050926,0.01195941
53258,-0.027760258,-0.03717811,-0.034623172,-0.008799269,-0.006890232,0.022010177,-0.0015742307,-0.018356802,0.009069129,0.016246682,-0.007476702,-0.012560514,-0.017745944,-0.0033684634,-0.006217433,0.0059856973,0.005265601,0.00824462,0.016991215,0.0022103826,-0.038567036,-0.030565118,-0.017495714,-0.029211821,-0.029926153,0.010571189,0.0014793297,-0.025983728,0.018162787,-0.018310674
53314,-0.03147604,0.012978119,0.024303392,-0.006345811,-0.0005151468,0.015566769,0.016328678,0.015341144,0.043988217,0.027087057,-0.0077330177,-0.0024103571,0.01596764,0.020672202,-0.0007944079,0.0075039216,0.012497705,0.021645695,0.0011067862,0.010907419,0.032296177,0.029087497,-0.0025420783,-0.002469848,-0.0013131481,0.01598408,0.035325922,0.006266363,-0.020278795,0.021039201
53315,0.0118397875,0.0335512,0.02302078,-0.0026967302,0.045829903,0.06091586,0.009195108,0.013786807,0.043492153,-0.0055147843,0.015034773,0.012422855,-0.012716326,0.017258892,-0.024414718,-0.023737296,0.009112415,0.03249603,0.01177375,0.02790984,0.04674801,0.007123325,0.011504701,0.013866535,-0.0022045271,0.023997977,0.00081441615,0.0013978161,-0.0109398,0.0066224015
53316,0.010408454,0.0013287842,-0.001415365,-0.02117574,-0.007942001,0.0063557643,0.0031156696,0.04216597,-0.003991416,0.017558586,-0.0018404812,-0.0074631064,-0.01851892,-0.013825816,-0.006220359,-0.0070431065,-0.0058767633,0.0015815875,-0.004977692,-0.007988826,0.0035075694,0.027195022,0.017691491,0.0064737187,-0.014898864,0.021875687,-0.0352037,-0.0034775238,0.0049746935,-0.015228011
53372,-0.008144534,0.014121373,0.03525487,0.008152347,0.00016077608,0.02233692,-0.008717429,0.018701917,0.029787755,-0.012772621,0.00033366875,0.008540783,-0.008744109,0.025143826,-0.011625968,0.0009345854,-0.02161369,-0.0014539178,0.0018095815,0.005618512,0.014350477,0.026042825,0.022114396,0.008421273,-0.0007674955,-0.0017732559,0.019520586,-0.0025366961,0.010874589,0.0049257674
53373,-0.0067818393,0.028024087,0.026116246,-0.01291315,0.012493704,0.054674733,0.016342739,0.023344526,0.018403724,-0.0045274943,-0.026679,0.019381521,-0.017243696,0.03992151,-0.018882701,0.0066666645,-0.01763807,0.03306889,-0.010575411,0.02850618,0.046993177,0.037837934,0.0075926906,0.017484449,0.012371632,-0.0058360114,-0.007548172,0.0047291447,-0.0070688105,-0.021639295
53374,-0.03956575,-0.024720112,0.013962678,0.013401053,-0.0055830074,-0.009769761,-0.04092848,0.014645026,0.028911533,-0.009916845,0.01120453,0.005189276,0.010080046,0.0005622264,0.003056533,0.029837938,0.020526765,-0.011017944,0.0014234176,-0.012633472,0.009394505,0.0096961735,0.029793037,-1.0873191e-05,-0.012416803,0.0009052952,0.021350734,0.016323088,0.029546792,-0.015974479
53431,-0.011343334,-0.011040471,0.034248874,0.03764257,0.003264088,0.004836527,-0.026740814,-0.00059534673,-0.0060502235,-0.0005888722,-0.034723263,0.005388504,-0.06724652,0.009191923,-0.0048655067,-0.020006577,0.002800924,0.017566144,-0.010472714,0.0031002543,-0.008098141,0.017921422,0.0083077615,0.017348474,-0.038107242,0.049962778,-0.016147962,0.0015568364,-0.019537568,-0.024403177
